subfield_id,subfield_name,title,doi,year,cited_by_count,id
3320,Political Science and International Relations,"Where giving birth is a forecast of death: maternal mortality in four districts of Afghanistan, 1999–2002",https://doi.org/10.1016/s0140-6736(05)71044-8,2005,220,https://openalex.org/W2075459938
3320,Political Science and International Relations,The triple nexus: A potential approach to supporting the achievement of the Sustainable Development Goals?,https://doi.org/10.1016/j.worlddev.2019.104629,2019,74,https://openalex.org/W2968882650
3320,Political Science and International Relations,Adaptation to climate change in Afghanistan: Evidence on the impact of external interventions,https://doi.org/10.1016/j.eap.2019.07.010,2019,71,https://openalex.org/W2962706098
3312,Sociology and Political Science,Core Outcome Measures for Clinical Research in Acute Respiratory Failure Survivors. An International Modified Delphi Consensus Study,https://doi.org/10.1164/rccm.201702-0372oc,2017,432,https://openalex.org/W2617732284
3312,Sociology and Political Science,Properties of the Hopkins Symptom Checklist-25 (HSCL-25) and the Self-Reporting Questionnaire (SRQ-20) as screening instruments used in primary care in Afghanistan,https://doi.org/10.1007/s00127-007-0161-8,2007,178,https://openalex.org/W2002638790
3312,Sociology and Political Science,Hesitancy in COVID-19 vaccine uptake and its associated factors among the general adult population: a cross-sectional study in six Southeast Asian countries,https://doi.org/10.1186/s41182-021-00393-1,2022,147,https://openalex.org/W4206479359
3304,Education,Students’ Self-Confidence and Its Impacts on Their Learning Process,https://doi.org/10.46281/aijssr.v5i1.462,2020,166,https://openalex.org/W3004267257
3304,Education,"The relationship between social media addiction and depression: a quantitative study among university students in Khost, Afghanistan",https://doi.org/10.1080/02673843.2020.1741407,2020,128,https://openalex.org/W3010745860
3304,Education,Teacher Reform in Indonesia: The Role of Politics and Evidence in Policy Making,https://doi.org/10.1596/978-0-8213-9829-6,2013,124,https://openalex.org/W3141722160
2739,"Public Health, Environmental and Occupational Health",Infant Group B Streptococcal Disease Incidence and Serotypes Worldwide: Systematic Review and Meta-analyses,https://doi.org/10.1093/cid/cix656,2017,420,https://openalex.org/W2777601894
2739,"Public Health, Environmental and Occupational Health",Disposal practices of unused and expired pharmaceuticals among general public in Kabul,https://doi.org/10.1186/s12889-016-3975-z,2017,192,https://openalex.org/W2570383313
