year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,5,AF,2025-12-01 19:05:59
2005,3320,Political Science and International Relations,4,AF,2025-12-01 19:05:59
2005,2735,"Pediatrics, Perinatology and Child Health",3,AF,2025-12-01 19:05:59
2005,2739,"Public Health, Environmental and Occupational Health",3,AF,2025-12-01 19:05:59
2005,3600,General Health Professions,3,AF,2025-12-01 19:05:59
2005,1110,Plant Science,2,AF,2025-12-01 19:05:59
2005,1100,General Agricultural and Biological Sciences,1,AF,2025-12-01 19:05:59
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,AF,2025-12-01 19:05:59
2005,1402,Accounting,1,AF,2025-12-01 19:05:59
2005,1605,Organic Chemistry,1,AF,2025-12-01 19:05:59
2005,1710,Information Systems,1,AF,2025-12-01 19:05:59
2005,2002,Economics and Econometrics,1,AF,2025-12-01 19:05:59
2005,2403,Immunology,1,AF,2025-12-01 19:05:59
2005,2706,Critical Care and Intensive Care Medicine,1,AF,2025-12-01 19:05:59
2005,2725,Infectious Diseases,1,AF,2025-12-01 19:05:59
2005,2729,Obstetrics and Gynecology,1,AF,2025-12-01 19:05:59
2005,3304,Education,1,AF,2025-12-01 19:05:59
2005,3314,Anthropology,1,AF,2025-12-01 19:05:59
2005,3322,Urban Studies,1,AF,2025-12-01 19:05:59
2005,3604,Emergency Medical Services,1,AF,2025-12-01 19:05:59
2006,3312,Sociology and Political Science,5,AF,2025-12-01 19:05:59
2006,3320,Political Science and International Relations,3,AF,2025-12-01 19:05:59
2006,3600,General Health Professions,3,AF,2025-12-01 19:05:59
2006,1100,General Agricultural and Biological Sciences,1,AF,2025-12-01 19:05:59
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,AF,2025-12-01 19:05:59
2006,1110,Plant Science,1,AF,2025-12-01 19:05:59
2006,1111,Soil Science,1,AF,2025-12-01 19:05:59
2006,2720,Hematology,1,AF,2025-12-01 19:05:59
2006,2735,"Pediatrics, Perinatology and Child Health",1,AF,2025-12-01 19:05:59
2006,2916,Nutrition and Dietetics,1,AF,2025-12-01 19:05:59
2006,3203,Clinical Psychology,1,AF,2025-12-01 19:05:59
2006,3306,Health,1,AF,2025-12-01 19:05:59
2006,3317,Demography,1,AF,2025-12-01 19:05:59
2007,2725,Infectious Diseases,7,AF,2025-12-01 19:05:59
2007,2713,Epidemiology,6,AF,2025-12-01 19:05:59
2007,3312,Sociology and Political Science,6,AF,2025-12-01 19:05:59
2007,3600,General Health Professions,6,AF,2025-12-01 19:05:59
2007,2739,"Public Health, Environmental and Occupational Health",4,AF,2025-12-01 19:05:59
2007,3203,Clinical Psychology,4,AF,2025-12-01 19:05:59
2007,3320,Political Science and International Relations,4,AF,2025-12-01 19:05:59
2007,2721,Hepatology,3,AF,2025-12-01 19:05:59
2007,2002,Economics and Econometrics,2,AF,2025-12-01 19:05:59
2007,2003,Finance,2,AF,2025-12-01 19:05:59
2007,1202,History,1,AF,2025-12-01 19:05:59
2007,2405,Parasitology,1,AF,2025-12-01 19:05:59
2007,2406,Virology,1,AF,2025-12-01 19:05:59
