subfield_id,subfield_name,title,doi,year,cited_by_count,id
2746,Surgery,Gestational diabetes and pregnancy outcomes - a systematic review of the World Health Organization (WHO) and the International Association of Diabetes in Pregnancy Study Groups (IADPSG) diagnostic criteria,https://doi.org/10.1186/1471-2393-12-23,2012,609,https://openalex.org/W2072554726
2746,Surgery,Laparoscopy versus laparotomy for FIGO stage I ovarian cancer,https://doi.org/10.1002/14651858.cd005344.pub4,2016,129,https://openalex.org/W1792639311
2746,Surgery,Assessment of total cardiovascular risk using WHO/ISH risk prediction charts in three low and middle income countries in Asia,https://doi.org/10.1186/1471-2458-13-539,2013,125,https://openalex.org/W2030788814
2740,Pulmonary and Respiratory Medicine,The role of the open abdomen procedure in managing severe abdominal sepsis: WSES position paper,https://doi.org/10.1186/s13017-015-0032-7,2015,178,https://openalex.org/W2109275292
2740,Pulmonary and Respiratory Medicine,WSES guidelines for emergency repair of complicated abdominal wall hernias,https://doi.org/10.1186/1749-7922-8-50,2013,65,https://openalex.org/W2097629237
2740,Pulmonary and Respiratory Medicine,Exacerbations of COPD and symptoms of gastroesophageal reflux: a systematic review and meta-analysis,https://doi.org/10.1590/s1806-37132013000300002,2013,58,https://openalex.org/W1564822787
2713,Epidemiology,"HCV-related burden of disease in Europe: a systematic assessment of incidence, prevalence, morbidity, and mortality",https://doi.org/10.1186/1471-2458-9-34,2009,233,https://openalex.org/W2117055822
2713,Epidemiology,Adherence to Antiretroviral Therapy (ART) among People Living With HIV (PLHIV): a cross-sectional survey to measure in Lao PDR,https://doi.org/10.1186/1471-2458-13-617,2013,106,https://openalex.org/W2072750694
2713,Epidemiology,Depression in hemodialysis patients: the role of dialysis shift,https://doi.org/10.6061/clinics/2014(03)10,2014,92,https://openalex.org/W2077430028
1312,Molecular Biology,"Ten years of progress and promise of induced pluripotent stem cells: historical origins, characteristics, mechanisms, limitations, and potential applications",https://doi.org/10.7717/peerj.4370,2018,191,https://openalex.org/W2765385557
1312,Molecular Biology,Superoxide dismutase and neurological disorders,https://doi.org/10.1016/j.ibneur.2023.11.007,2024,88,https://openalex.org/W4391132237
1312,Molecular Biology,"The Role of a Gut Microbial-Derived Metabolite, Trimethylamine N-Oxide (TMAO), in Neurological Disorders",https://doi.org/10.1007/s12035-022-02990-5,2022,80,https://openalex.org/W4294090794
2705,Cardiology and Cardiovascular Medicine,The patient perspective: Quality of life in advanced heart failure with frequent hospitalisations,https://doi.org/10.1016/j.ijcard.2015.04.235,2015,157,https://openalex.org/W2004557419
2705,Cardiology and Cardiovascular Medicine,Utility Estimates for Decision–Analytic Modeling in Chronic Heart Failure—Health States Based on New York Heart Association Classes and Number of Rehospitalizations,https://doi.org/10.1111/j.1524-4733.2008.00425.x,2008,145,https://openalex.org/W2113117011
2705,Cardiology and Cardiovascular Medicine,International consensus statement on injury surveillance in cricket: a 2016 update,https://doi.org/10.1136/bjsports-2016-096125,2016,132,https://openalex.org/W2418046704
2730,Oncology,Elective surgeries during and after the COVID-19 pandemic: Case burden and physician shortage concerns,https://doi.org/10.1016/j.amsu.2022.104395,2022,76,https://openalex.org/W4293277795
2730,Oncology,Differential Expression and Enzymatic Activity of DPPIV/CD26 Affects Migration Ability of Cervical Carcinoma Cells,https://doi.org/10.1371/journal.pone.0134305,2015,38,https://openalex.org/W986741403
2730,Oncology,Comparative study of actinic keratosis treatment with 3% diclofenac sodium and 5% 5-fluorouracil,https://doi.org/10.1590/abd1806-4841.20132083,2013,34,https://openalex.org/W2046220168
2739,"Public Health, Environmental and Occupational Health","Physical inactivity and associated factors among university students in 23 low-, middle- and high-income countries",https://doi.org/10.1007/s00038-015-0680-0,2015,261,https://openalex.org/W1967729660
2739,"Public Health, Environmental and Occupational Health","Pregnancy outcomes and vaccine effectiveness during the period of omicron as the variant of concern, INTERCOVID-2022: a multinational, observational study",https://doi.org/10.1016/s0140-6736(22)02467-9,2023,158,https://openalex.org/W4317682429
2739,"Public Health, Environmental and Occupational Health",World Society of Emergency Surgery (WSES) guidelines for management of skin and soft tissue infections,https://doi.org/10.1186/1749-7922-9-57,2014,150,https://openalex.org/W2144262774
2737,Physiology,Hippocampus and its involvement in Alzheimer’s disease: a review,https://doi.org/10.1007/s13205-022-03123-4,2022,465,https://openalex.org/W4210493947
2737,Physiology,"Physical inactivity and associated factors among university students in 23 low-, middle- and high-income countries",https://doi.org/10.1007/s00038-015-0680-0,2015,261,https://openalex.org/W1967729660
2737,Physiology,The Role of Gut Dysbiosis in the Pathophysiology of Neuropsychiatric Disorders,https://doi.org/10.3390/cells12010054,2022,111,https://openalex.org/W4312172553
2741,"Radiology, Nuclear Medicine and Imaging","Large language models in radiology: fundamentals, applications, ethical considerations, risks, and future directions",https://doi.org/10.4274/dir.2023.232417,2023,158,https://openalex.org/W4387327030
2741,"Radiology, Nuclear Medicine and Imaging",Postmortem computed tomography angiography vs. conventional autopsy: advantages and inconveniences of each method,https://doi.org/10.1007/s00414-012-0814-3,2013,128,https://openalex.org/W1995789189
2741,"Radiology, Nuclear Medicine and Imaging",Lung ultrasound in acute and chronic heart failure: a clinical consensus statement of the European Association of Cardiovascular Imaging (EACVI),https://doi.org/10.1093/ehjci/jead169,2023,97,https://openalex.org/W4384282618
2734,Pathology and Forensic Medicine,Marijuana use and acute myocardial infarction: A systematic review of published cases in the literature,https://doi.org/10.1016/j.tcm.2019.08.003,2019,63,https://openalex.org/W2967967032
2734,Pathology and Forensic Medicine,Assessment of Treatment Volume Definition for Irradiation of Spinal Ependymomas: an Original Article,https://doi.org/10.20431/2455-6009.0601001,2020,36,https://openalex.org/W4206132589
2734,Pathology and Forensic Medicine,Baseline 18F-FDG PET textural features as predictors of response to chemotherapy in diffuse large B-cell lymphoma,https://doi.org/10.1097/mnm.0000000000001447,2021,26,https://openalex.org/W3164711840
