subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,The impact of remittances on economic growth: An econometric model,https://doi.org/10.1016/j.econ.2016.06.001,2016,384,https://openalex.org/W2471662348
3312,Sociology and Political Science,The Vanishing Farms? The Impact of International Migration on Albanian Family Farming,https://doi.org/10.1080/00220380903197978,2009,164,https://openalex.org/W3125360617
3312,Sociology and Political Science,Rogers Theory on Diffusion of Innovation-The Most Appropriate Theoretical Model in the Study of Factors Influencing the Integration of Sustainability in Tourism Businesses,https://doi.org/10.1016/j.sbspro.2015.06.443,2015,125,https://openalex.org/W982482027
2002,Economics and Econometrics,"Continuity of Care, Medication Adherence, and Health Care Outcomes Among Patients With Newly Diagnosed Type 2 Diabetes",https://doi.org/10.1097/mlr.0b013e31827da5b9,2012,177,https://openalex.org/W2072149538
2002,Economics and Econometrics,Barriers for Access to New Medicines: Searching for the Balance Between Rising Costs and Limited Budgets,https://doi.org/10.3389/fpubh.2018.00328,2018,150,https://openalex.org/W2899026268
2002,Economics and Econometrics,The impact of savings on economic growth in a developing country (the case of Kosovo),https://doi.org/10.1186/s13731-020-00140-6,2021,142,https://openalex.org/W3161571735
3320,Political Science and International Relations,Impact of good governance in the economic development of Western Balkan countries,https://doi.org/10.17979/ejge.2015.4.1.4305,2015,51,https://openalex.org/W1574979665
3320,Political Science and International Relations,Decentralization and the Increased Autonomy in Local Governments,https://doi.org/10.1016/j.sbspro.2013.12.490,2014,48,https://openalex.org/W2046183449
3320,Political Science and International Relations,The Spring Marches of 2006,https://doi.org/10.1177/0002764208324603,2008,46,https://openalex.org/W2094692783
2746,Surgery,Human papillomaviruses in oral carcinoma and oral potentially malignant disorders: a systematic review,https://doi.org/10.1111/j.1601-0825.2011.01792.x,2011,374,https://openalex.org/W2143734820
2746,Surgery,Global Retinoblastoma Presentation and Analysis by National Income Level,https://doi.org/10.1001/jamaoncol.2019.6716,2020,341,https://openalex.org/W3008735477
2746,Surgery,"The Overview of Porous, Bioactive Scaffolds as Instructive Biomaterials for Tissue Regeneration and Their Clinical Translation",https://doi.org/10.3390/pharmaceutics12070602,2020,196,https://openalex.org/W3037029104
3304,Education,"The Importance of Four Skills Reading, Speaking, Writing, Listening in a Lesson Hour",https://doi.org/10.26417/ejls.v1i1.p29-31,2015,313,https://openalex.org/W2279909996
3304,Education,Self–efficacy and student satisfaction in the context of blended learning courses,https://doi.org/10.1080/02680513.2020.1755642,2020,160,https://openalex.org/W3020259591
3304,Education,Digital transformation initiatives in higher education institutions: A multivocal literature review,https://doi.org/10.1007/s10639-022-11544-0,2023,121,https://openalex.org/W4323668227
2713,Epidemiology,Epidemic of carbapenem-resistant Klebsiella pneumoniae in Europe is driven by nosocomial spread,https://doi.org/10.1038/s41564-019-0492-8,2019,743,https://openalex.org/W2965957986
2713,Epidemiology,Surveillance for severe acute respiratory infections (SARI) in hospitals in the WHO European region - an exploratory analysis of risk factors for a severe outcome in influenza-positive SARI cases,https://doi.org/10.1186/s12879-014-0722-x,2015,312,https://openalex.org/W2075782082
2713,Epidemiology,"Association between Characteristics at Birth, Breastfeeding and Obesity in 22 Countries: The WHO European Childhood Obesity Surveillance Initiative – COSI 2015/2017",https://doi.org/10.1159/000500425,2019,293,https://openalex.org/W2940806864
3600,General Health Professions,Adverse childhood experiences and associations with health-harming behaviours in young adults: surveys in eight eastern European countries,https://doi.org/10.2471/blt.13.129247,2014,328,https://openalex.org/W2005715595
3600,General Health Professions,Prevalence of Severe Obesity among Primary School Children in 21 European Countries,https://doi.org/10.1159/000500436,2019,309,https://openalex.org/W2941687566
3600,General Health Professions,Strategies to Improve Antimicrobial Utilization with a Special Focus on Developing Countries,https://doi.org/10.3390/life11060528,2021,223,https://openalex.org/W3168461482
1710,Information Systems,The impact of remittances on economic growth: An econometric model,https://doi.org/10.1016/j.econ.2016.06.001,2016,384,https://openalex.org/W2471662348
1710,Information Systems,The impact of savings on economic growth in a developing country (the case of Kosovo),https://doi.org/10.1186/s13731-020-00140-6,2021,142,https://openalex.org/W3161571735
1710,Information Systems,Digital transformation initiatives in higher education institutions: A multivocal literature review,https://doi.org/10.1007/s10639-022-11544-0,2023,121,https://openalex.org/W4323668227
1312,Molecular Biology,Pharmaceutical pollution of the world’s rivers,https://doi.org/10.1073/pnas.2113947119,2022,1249,https://openalex.org/W4212893393
1312,Molecular Biology,"Light Adaptation and Senescence of the Photosynthetic Apparatus. Changes in Pigment Composition, Chlorophyll Fluorescence Parameters and Photosynthetic Activity",https://doi.org/10.1007/978-1-4020-3218-9_28,2007,201,https://openalex.org/W2224646525
1312,Molecular Biology,The Human Respiratory System and its Microbiome at a Glimpse,https://doi.org/10.3390/biology9100318,2020,172,https://openalex.org/W3091652854
2739,"Public Health, Environmental and Occupational Health",Zika virus and microcephaly: why is this situation a PHEIC?,https://doi.org/10.1016/s0140-6736(16)00320-2,2016,409,https://openalex.org/W2272004514
2739,"Public Health, Environmental and Occupational Health",Emerging contaminants: A One Health perspective,https://doi.org/10.1016/j.xinn.2024.100612,2024,360,https://openalex.org/W4392752318
2739,"Public Health, Environmental and Occupational Health",Prevalence of Severe Obesity among Primary School Children in 21 European Countries,https://doi.org/10.1159/000500436,2019,309,https://openalex.org/W2941687566
