subfield_id,subfield_name,title,doi,year,cited_by_count,id
3106,Nuclear and High Energy Physics,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,https://doi.org/10.1016/j.physletb.2012.08.021,2012,9562,https://openalex.org/W2167727518
3106,Nuclear and High Energy Physics,The CMS experiment at the CERN LHC,https://doi.org/10.1088/1748-0221/3/08/s08004,2008,5320,https://openalex.org/W2151512268
3106,Nuclear and High Energy Physics,The ATLAS Experiment at the CERN Large Hadron Collider,https://doi.org/10.1088/1748-0221/3/08/s08003,2008,3909,https://openalex.org/W4211046286
3106,Nuclear and High Energy Physics,Neutrino physics with JUNO,https://doi.org/10.1088/0954-3899/43/3/030401,2016,1110,https://openalex.org/W1927325176
3106,Nuclear and High Energy Physics,Particle-flow reconstruction and global event description with the CMS detector,https://doi.org/10.1088/1748-0221/12/10/p10003,2017,948,https://openalex.org/W2624881227
3106,Nuclear and High Energy Physics,Design concepts for the Cherenkov Telescope Array CTA: an advanced facility for ground-based high-energy gamma-ray astronomy,https://doi.org/10.1007/s10686-011-9247-0,2011,883,https://openalex.org/W2130916877
3106,Nuclear and High Energy Physics,"Observation of long-range, near-side angular correlations in proton-proton collisions at the LHC",https://doi.org/10.1007/jhep09(2010)091,2010,854,https://openalex.org/W2137236837
3106,Nuclear and High Energy Physics,FCC-ee: The Lepton Collider,https://doi.org/10.1140/epjst/e2019-900045-4,2019,832,https://openalex.org/W2908825166
3106,Nuclear and High Energy Physics,Observations of the Crab nebula with HESS,https://doi.org/10.1051/0004-6361:20065351,2006,817,https://openalex.org/W2104721808
3106,Nuclear and High Energy Physics,The CMS trigger system,https://doi.org/10.1088/1748-0221/12/01/p01020,2017,769,https://openalex.org/W2566668505
3107,"Atomic and Molecular Physics, and Optics",Nonlinear Fiber Optics,https://doi.org/10.1016/b978-0-12-369516-1.x5000-6,2006,2078,https://openalex.org/W4237970860
3107,"Atomic and Molecular Physics, and Optics",Single-Spin Asymmetries in Semi-Inclusive Deep-Inelastic Scattering on a Transversely Polarized Hydrogen Target,https://doi.org/10.1103/physrevlett.94.012002,2005,531,https://openalex.org/W2148880548
3107,"Atomic and Molecular Physics, and Optics",Relativistic high-power laser–matter interactions,https://doi.org/10.1016/j.physrep.2006.01.002,2006,448,https://openalex.org/W2076724430
3107,"Atomic and Molecular Physics, and Optics",A small proton charge radius from an electron–proton scattering experiment,https://doi.org/10.1038/s41586-019-1721-2,2019,323,https://openalex.org/W2983977092
3107,"Atomic and Molecular Physics, and Optics",Cooperative Lamb Shift in an Atomic Vapor Layer of Nanometer Thickness,https://doi.org/10.1103/physrevlett.108.173601,2012,268,https://openalex.org/W2032161132
3107,"Atomic and Molecular Physics, and Optics","High-precision measurement of the proton elastic form factor ratio <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.gif"" overflow=""scroll""><mml:msub><mml:mi>μ</mml:mi><mml:mi>p</mml:mi></mml:msub><mml:msub><mml:mi>G</mml:mi><mml:mi>E</mml:mi></mml:msub><mml:mo stretchy=""false"">/</mml:mo><mml:msub><mml:mi>G</mml:mi><mml:mi>M</mml:mi></mml:msub></mml:math> at low <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si2.gif"" overflow=""scroll""><mml:msup><mml:mi>Q</mml:mi><mml:mn>2</mml:mn></mml:msup></mml:math>",https://doi.org/10.1016/j.physletb.2011.10.002,2011,196,https://openalex.org/W2146955158
3107,"Atomic and Molecular Physics, and Optics",Stacking order dependent electric field tuning of the band gap in graphene multilayers,https://doi.org/10.1103/physrevb.81.115432,2010,174,https://openalex.org/W2023498447
3107,"Atomic and Molecular Physics, and Optics",Nonequilibrium quantum fluctuations of work,https://doi.org/10.1103/physreve.90.032137,2014,155,https://openalex.org/W2044617104
3107,"Atomic and Molecular Physics, and Optics",Work extremum principle: Structure and function of quantum heat engines,https://doi.org/10.1103/physreve.77.041118,2008,147,https://openalex.org/W2045219333
3107,"Atomic and Molecular Physics, and Optics",Measurement of the inclusive e ± p scattering cross section at high inelasticity y and of the structure function F L,https://doi.org/10.1140/epjc/s10052-011-1579-4,2011,137,https://openalex.org/W2147682721
2208,Electrical and Electronic Engineering,Nonlinear Fiber Optics,https://doi.org/10.1016/b978-0-12-369516-1.x5000-6,2006,2078,https://openalex.org/W4237970860
2208,Electrical and Electronic Engineering,FCC-ee: The Lepton Collider,https://doi.org/10.1140/epjst/e2019-900045-4,2019,832,https://openalex.org/W2908825166
2208,Electrical and Electronic Engineering,FCC-hh: The Hadron Collider,https://doi.org/10.1140/epjst/e2019-900087-0,2019,590,https://openalex.org/W3200934665
2208,Electrical and Electronic Engineering,First operation of a free-electron laser generating GW power radiation at 32 nm wavelength,https://doi.org/10.1140/epjd/e2005-00308-1,2005,359,https://openalex.org/W2101205749
2208,Electrical and Electronic Engineering,Fast Variability of TeraElectron Volt γ Rays from the Radio Galaxy M87,https://doi.org/10.1126/science.1134408,2006,317,https://openalex.org/W2069701135
2208,Electrical and Electronic Engineering,"Metal oxide hydrogen, oxygen, and carbon monoxide sensors for hydrogen setups and cells",https://doi.org/10.1016/j.ijhydene.2007.01.004,2007,236,https://openalex.org/W2031238742
2208,Electrical and Electronic Engineering,HE-LHC: The High-Energy Large Hadron Collider,https://doi.org/10.1140/epjst/e2019-900088-6,2019,180,https://openalex.org/W2962966855
2208,Electrical and Electronic Engineering,Particle bursts from thunderclouds: Natural particle accelerators above our heads,https://doi.org/10.1103/physrevd.83.062001,2011,145,https://openalex.org/W1996000967
2208,Electrical and Electronic Engineering,Strange Quark Contributions to Parity-Violating Asymmetries in the Backward Angle G0 Electron Scattering Experiment,https://doi.org/10.1103/physrevlett.104.012001,2010,136,https://openalex.org/W2140581563
2208,Electrical and Electronic Engineering,Electric-field control of the band gap and Fermi energy in graphene multilayers by top and back gates,https://doi.org/10.1103/physrevb.80.195401,2009,135,https://openalex.org/W2056345158
3103,Astronomy and Astrophysics,Observation of a new boson at a mass of 125 GeV with the CMS experiment at the LHC,https://doi.org/10.1016/j.physletb.2012.08.021,2012,9562,https://openalex.org/W2167727518
3103,Astronomy and Astrophysics,Observations of the Crab nebula with HESS,https://doi.org/10.1051/0004-6361:20065351,2006,817,https://openalex.org/W2104721808
3103,Astronomy and Astrophysics,An Exceptional Very High Energy Gamma-Ray Flare of PKS 2155-304,https://doi.org/10.1086/520635,2007,768,https://openalex.org/W2068614195
3103,Astronomy and Astrophysics,Introducing the CTA concept,https://doi.org/10.1016/j.astropartphys.2013.01.007,2013,711,https://openalex.org/W2099269353
3103,Astronomy and Astrophysics,"Accurate Determination of the Neutron Skin Thickness of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi>Pb</mml:mi></mml:mrow><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>208</mml:mn></mml:mrow></mml:mmultiscripts></mml:mrow></mml:math> through Parity-Violation in Electron Scattering",https://doi.org/10.1103/physrevlett.126.172502,2021,538,https://openalex.org/W3132010812
3103,Astronomy and Astrophysics,The H.E.S.S. Survey of the Inner Galaxy in Very High Energy Gamma Rays,https://doi.org/10.1086/498013,2006,530,https://openalex.org/W2163770281
3103,Astronomy and Astrophysics,A low level of extragalactic background light as revealed by γ-rays from blazars,https://doi.org/10.1038/nature04680,2006,523,https://openalex.org/W2164377755
3103,Astronomy and Astrophysics,Variable Very High Energy γ‐Ray Emission from Markarian 501,https://doi.org/10.1086/521382,2007,516,https://openalex.org/W2075628611
3103,Astronomy and Astrophysics,The supernova rate per unit mass,https://doi.org/10.1051/0004-6361:20041411,2005,506,https://openalex.org/W2037095813
3103,Astronomy and Astrophysics,Acceleration of petaelectronvolt protons in the Galactic Centre,https://doi.org/10.1038/nature17147,2016,472,https://openalex.org/W2307116240
1312,Molecular Biology,Ancient human genomes suggest three ancestral populations for present-day Europeans,https://doi.org/10.1038/nature13673,2014,1419,https://openalex.org/W2050967443
1312,Molecular Biology,Phylotranscriptomic analysis of the origin and early diversification of land plants,https://doi.org/10.1073/pnas.1323926111,2014,1287,https://openalex.org/W2013277649
1312,Molecular Biology,Pharmaceutical pollution of the world’s rivers,https://doi.org/10.1073/pnas.2113947119,2022,1265,https://openalex.org/W4212893393
1312,Molecular Biology,"Early Divergent Strains of Yersinia pestis in Eurasia 5,000 Years Ago",https://doi.org/10.1016/j.cell.2015.10.009,2015,562,https://openalex.org/W2114418658
1312,Molecular Biology,The Platelet-to-Lymphocyte Ratio as an Inflammatory Marker in Rheumatic Diseases,https://doi.org/10.3343/alm.2019.39.4.345,2019,557,https://openalex.org/W2917958408
1312,Molecular Biology,Flavonoids: promising natural compounds against viral infections,https://doi.org/10.1007/s00705-017-3417-y,2017,501,https://openalex.org/W2618085212
1312,Molecular Biology,A Major Lung CD103 (αE)-β7 Integrin-Positive Epithelial Dendritic Cell Population Expressing Langerin and Tight Junction Proteins,https://doi.org/10.4049/jimmunol.176.4.2161,2006,461,https://openalex.org/W1950729478
1312,Molecular Biology,"One-step Solution Processing of Ag, Au and Pd@MXene Hybrids for SERS",https://doi.org/10.1038/srep32049,2016,440,https://openalex.org/W2517708724
1312,Molecular Biology,Two-Dimensional Titanium Carbide (MXene) as Surface-Enhanced Raman Scattering Substrate,https://doi.org/10.1021/acs.jpcc.7b08180,2017,398,https://openalex.org/W2749094564
1312,Molecular Biology,Mutations in <i>NALP12</i> cause hereditary periodic fever syndromes,https://doi.org/10.1073/pnas.0708616105,2008,363,https://openalex.org/W2053114531
2505,Materials Chemistry,"One-step Solution Processing of Ag, Au and Pd@MXene Hybrids for SERS",https://doi.org/10.1038/srep32049,2016,440,https://openalex.org/W2517708724
2505,Materials Chemistry,Two-Dimensional Titanium Carbide (MXene) as Surface-Enhanced Raman Scattering Substrate,https://doi.org/10.1021/acs.jpcc.7b08180,2017,398,https://openalex.org/W2749094564
2505,Materials Chemistry,"Effects of zinc-oxide nanoparticles on soil, plants, animals and soil organisms: A review",https://doi.org/10.1016/j.enmm.2017.12.006,2017,358,https://openalex.org/W2777152729
