subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,"Perceived Social Support, School Engagement and Satisfaction with School",https://doi.org/10.1016/j.psicoe.2017.05.001,2017,71,https://openalex.org/W2679333690
3304,Education,Importância da Extensão Universitária na Formação Profissional: Projeto Canudos,https://doi.org/10.5205/1981-8963.2019.242189,2019,68,https://openalex.org/W2995889528
3304,Education,"Apoyo social percibido, implicación escolar y satisfacción con la escuela",https://doi.org/10.1016/j.psicod.2017.01.001,2017,58,https://openalex.org/W2734135704
3600,General Health Professions,A Performance Assessment Method for Hospitals: The Case of Municipal Hospitals in Angola,https://doi.org/10.1007/s10916-008-9157-5,2008,105,https://openalex.org/W1971853813
3600,General Health Professions,"Partner Support for Family Planning and Modern Contraceptive Use in Luanda, Angola",https://doi.org/10.29063/ajrh2017/v21i2.5,2017,77,https://openalex.org/W2746050293
3600,General Health Professions,Health system reforms in five sub-Saharan African countries that experienced major armed conflicts (wars) during 1990–2015: a literature review,https://doi.org/10.1080/16549716.2018.1517931,2018,51,https://openalex.org/W2894983827
3312,Sociology and Political Science,Achieving the first 90 for key populations in sub‐Saharan Africa through venue‐based outreach: challenges and opportunities for <scp>HIV</scp> prevention based on <scp>PLACE</scp> study findings from Malawi and Angola,https://doi.org/10.1002/jia2.25132,2018,40,https://openalex.org/W2883291170
3312,Sociology and Political Science,Determinants of COVID-19 Vaccine Hesitancy in Portuguese-Speaking Countries: A Structural Equations Modeling Approach,https://doi.org/10.3390/vaccines9101167,2021,39,https://openalex.org/W3205000337
3312,Sociology and Political Science,Hope in Africa? Social representations of world history and the future in six African countries,https://doi.org/10.1080/00207594.2011.560268,2011,31,https://openalex.org/W2108872551
2739,"Public Health, Environmental and Occupational Health",Genetic diversity of the African malaria vector Anopheles gambiae,https://doi.org/10.1038/nature24995,2017,416,https://openalex.org/W2770432019
2739,"Public Health, Environmental and Occupational Health",Duffy Negative Antigen Is No Longer a Barrier to Plasmodium vivax – Molecular Evidences from the African West Coast (Angola and Equatorial Guinea),https://doi.org/10.1371/journal.pntd.0001192,2011,190,https://openalex.org/W2042337608
2739,"Public Health, Environmental and Occupational Health",Autochthonous Japanese Encephalitis with Yellow Fever Coinfection in Africa,https://doi.org/10.1056/nejmc1701600,2017,120,https://openalex.org/W2607072579
1710,Information Systems,El compromiso escolar (school engagement) de los adolescentes: Medida de sus dimensiones,https://doi.org/10.14201/et2016341119135,2016,36,https://openalex.org/W2517610065
1710,Information Systems,Fatores associados à depressão em idoso,https://doi.org/10.25248/reas.e239.2019,2019,36,https://openalex.org/W2910379692
1710,Information Systems,PERSPECTIVAS TRANSDISCIPLINARES EM TEMPOS DE PANDEMIA: O ensino remoto em resposta a crise do ensino,https://doi.org/10.20873/uft.2447-4266.2020v6n4a14pt,2020,22,https://openalex.org/W3124386931
2713,Epidemiology,"Global Role and Burden of Influenza in Pediatric Respiratory Hospitalizations, 1982–2012: A Systematic Analysis",https://doi.org/10.1371/journal.pmed.1001977,2016,362,https://openalex.org/W2308892148
2713,Epidemiology,"Influenza Surveillance in 15 Countries in Africa, 2006–2010",https://doi.org/10.1093/infdis/jis606,2012,142,https://openalex.org/W2102522764
