year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,895,AR,2025-12-01 18:48:13
2005,1110,Plant Science,669,AR,2025-12-01 18:48:13
2005,2303,Ecology,504,AR,2025-12-01 18:48:13
2005,1105,"Ecology, Evolution, Behavior and Systematics",488,AR,2025-12-01 18:48:13
2005,2505,Materials Chemistry,479,AR,2025-12-01 18:48:13
2005,3312,Sociology and Political Science,419,AR,2025-12-01 18:48:13
2005,2746,Surgery,306,AR,2025-12-01 18:48:13
2005,3304,Education,256,AR,2025-12-01 18:48:13
2005,3316,Cultural Studies,252,AR,2025-12-01 18:48:13
2005,3320,Political Science and International Relations,225,AR,2025-12-01 18:48:13
2005,1311,Genetics,164,AR,2025-12-01 18:48:13
2005,1109,Insect Science,163,AR,2025-12-01 18:48:13
2005,1106,Food Science,156,AR,2025-12-01 18:48:13
2005,2309,Nature and Landscape Conservation,151,AR,2025-12-01 18:48:13
2005,2306,Global and Planetary Change,119,AR,2025-12-01 18:48:13
2005,1307,Cell Biology,110,AR,2025-12-01 18:48:13
2005,3314,Anthropology,99,AR,2025-12-01 18:48:13
2005,2713,Epidemiology,96,AR,2025-12-01 18:48:13
2005,1911,Paleontology,93,AR,2025-12-01 18:48:13
2005,1605,Organic Chemistry,90,AR,2025-12-01 18:48:13
2005,2204,Biomedical Engineering,81,AR,2025-12-01 18:48:13
2005,3207,Social Psychology,80,AR,2025-12-01 18:48:13
2005,2740,Pulmonary and Respiratory Medicine,76,AR,2025-12-01 18:48:13
2005,1208,Literature and Literary Theory,75,AR,2025-12-01 18:48:13
2005,2208,Electrical and Electronic Engineering,73,AR,2025-12-01 18:48:13
2005,3317,Demography,72,AR,2025-12-01 18:48:13
2005,3107,"Atomic and Molecular Physics, and Optics",69,AR,2025-12-01 18:48:13
2005,2210,Mechanical Engineering,67,AR,2025-12-01 18:48:13
2005,1102,Agronomy and Crop Science,64,AR,2025-12-01 18:48:13
2005,1910,Oceanography,64,AR,2025-12-01 18:48:13
2005,2737,Physiology,62,AR,2025-12-01 18:48:13
2005,1503,Catalysis,60,AR,2025-12-01 18:48:13
2005,2705,Cardiology and Cardiovascular Medicine,59,AR,2025-12-01 18:48:13
2005,2730,Oncology,56,AR,2025-12-01 18:48:13
2005,2725,Infectious Diseases,54,AR,2025-12-01 18:48:13
2005,2804,Cellular and Molecular Neuroscience,53,AR,2025-12-01 18:48:13
2005,3104,Condensed Matter Physics,53,AR,2025-12-01 18:48:13
2005,1306,Cancer Research,50,AR,2025-12-01 18:48:13
2005,2105,"Renewable Energy, Sustainability and the Environment",49,AR,2025-12-01 18:48:13
2005,2739,"Public Health, Environmental and Occupational Health",47,AR,2025-12-01 18:48:13
2005,1902,Atmospheric Science,45,AR,2025-12-01 18:48:13
2005,1111,Soil Science,44,AR,2025-12-01 18:48:13
2005,1607,Spectroscopy,44,AR,2025-12-01 18:48:13
2005,2916,Nutrition and Dietetics,44,AR,2025-12-01 18:48:13
2005,1202,History,43,AR,2025-12-01 18:48:13
2005,2405,Parasitology,43,AR,2025-12-01 18:48:13
2005,2712,"Endocrinology, Diabetes and Metabolism",43,AR,2025-12-01 18:48:13
2005,3300,General Social Sciences,42,AR,2025-12-01 18:48:13
2005,3308,Law,42,AR,2025-12-01 18:48:13
2005,2304,Environmental Chemistry,41,AR,2025-12-01 18:48:13
2005,2504,"Electronic, Optical and Magnetic Materials",41,AR,2025-12-01 18:48:13
2005,1604,Inorganic Chemistry,40,AR,2025-12-01 18:48:13
2005,2736,Pharmacology,39,AR,2025-12-01 18:48:13
2005,2211,Mechanics of Materials,38,AR,2025-12-01 18:48:13
2005,2502,Biomaterials,38,AR,2025-12-01 18:48:13
2005,2403,Immunology,37,AR,2025-12-01 18:48:13
2005,3404,Small Animals,37,AR,2025-12-01 18:48:13
2005,1100,General Agricultural and Biological Sciences,36,AR,2025-12-01 18:48:13
2005,1710,Information Systems,36,AR,2025-12-01 18:48:13
2005,1606,Physical and Theoretical Chemistry,35,AR,2025-12-01 18:48:13
2005,2734,Pathology and Forensic Medicine,35,AR,2025-12-01 18:48:13
2005,2741,"Radiology, Nuclear Medicine and Imaging",35,AR,2025-12-01 18:48:13
2005,3303,Development,35,AR,2025-12-01 18:48:13
2005,2002,Economics and Econometrics,34,AR,2025-12-01 18:48:13
2005,3311,Safety Research,34,AR,2025-12-01 18:48:13
2005,1305,Biotechnology,32,AR,2025-12-01 18:48:13
2005,3600,General Health Professions,32,AR,2025-12-01 18:48:13
2005,1103,Animal Science and Zoology,30,AR,2025-12-01 18:48:13
2005,1104,Aquatic Science,28,AR,2025-12-01 18:48:13
2005,1303,Biochemistry,28,AR,2025-12-01 18:48:13
2005,3322,Urban Studies,28,AR,2025-12-01 18:48:13
2005,2308,"Management, Monitoring, Policy and Law",27,AR,2025-12-01 18:48:13
2005,2735,"Pediatrics, Perinatology and Child Health",27,AR,2025-12-01 18:48:13
2005,2745,Rheumatology,27,AR,2025-12-01 18:48:13
2005,3103,Astronomy and Astrophysics,26,AR,2025-12-01 18:48:13
2005,1908,Geophysics,25,AR,2025-12-01 18:48:13
2005,2310,Pollution,24,AR,2025-12-01 18:48:13
2005,3318,Gender Studies,24,AR,2025-12-01 18:48:13
2005,1211,Philosophy,22,AR,2025-12-01 18:48:13
2005,2312,Water Science and Technology,22,AR,2025-12-01 18:48:13
2005,2716,Genetics,22,AR,2025-12-01 18:48:13
2005,1706,Computer Science Applications,21,AR,2025-12-01 18:48:13
2005,2307,"Health, Toxicology and Mutagenesis",21,AR,2025-12-01 18:48:13
2005,3004,Pharmacology,21,AR,2025-12-01 18:48:13
2005,3310,Linguistics and Language,21,AR,2025-12-01 18:48:13
2005,1204,Archeology,20,AR,2025-12-01 18:48:13
2005,2503,Ceramics and Composites,20,AR,2025-12-01 18:48:13
2005,2748,Urology,20,AR,2025-12-01 18:48:13
2005,3203,Clinical Psychology,20,AR,2025-12-01 18:48:13
2005,1107,Forestry,19,AR,2025-12-01 18:48:13
