year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,1795,AT,2025-11-28 17:24:57
2005,2746,Surgery,1127,AT,2025-11-28 17:24:57
2005,2208,Electrical and Electronic Engineering,1024,AT,2025-11-28 17:24:57
2005,3107,"Atomic and Molecular Physics, and Optics",819,AT,2025-11-28 17:24:57
2005,2204,Biomedical Engineering,809,AT,2025-11-28 17:24:57
2005,2505,Materials Chemistry,804,AT,2025-11-28 17:24:57
2005,1702,Artificial Intelligence,743,AT,2025-11-28 17:24:57
2005,2740,Pulmonary and Respiratory Medicine,725,AT,2025-11-28 17:24:57
2005,2713,Epidemiology,657,AT,2025-11-28 17:24:57
2005,3312,Sociology and Political Science,491,AT,2025-11-28 17:24:57
2005,2730,Oncology,324,AT,2025-11-28 17:24:57
2005,2705,Cardiology and Cardiovascular Medicine,289,AT,2025-11-28 17:24:57
2005,2210,Mechanical Engineering,254,AT,2025-11-28 17:24:57
2005,2741,"Radiology, Nuclear Medicine and Imaging",253,AT,2025-11-28 17:24:57
2005,1311,Genetics,239,AT,2025-11-28 17:24:57
2005,1705,Computer Networks and Communications,232,AT,2025-11-28 17:24:57
2005,1607,Spectroscopy,225,AT,2025-11-28 17:24:57
2005,2211,Mechanics of Materials,205,AT,2025-11-28 17:24:57
2005,2504,"Electronic, Optical and Magnetic Materials",191,AT,2025-11-28 17:24:57
2005,1605,Organic Chemistry,180,AT,2025-11-28 17:24:57
2005,2737,Physiology,175,AT,2025-11-28 17:24:57
2005,2745,Rheumatology,174,AT,2025-11-28 17:24:57
2005,1703,Computational Theory and Mathematics,171,AT,2025-11-28 17:24:57
2005,1110,Plant Science,168,AT,2025-11-28 17:24:57
2005,1710,Information Systems,161,AT,2025-11-28 17:24:57
2005,2403,Immunology,158,AT,2025-11-28 17:24:57
2005,1307,Cell Biology,155,AT,2025-11-28 17:24:57
2005,2734,Pathology and Forensic Medicine,152,AT,2025-11-28 17:24:57
2005,3104,Condensed Matter Physics,149,AT,2025-11-28 17:24:57
2005,2804,Cellular and Molecular Neuroscience,138,AT,2025-11-28 17:24:57
2005,1306,Cancer Research,130,AT,2025-11-28 17:24:57
2005,2739,"Public Health, Environmental and Occupational Health",126,AT,2025-11-28 17:24:57
2005,1707,Computer Vision and Pattern Recognition,114,AT,2025-11-28 17:24:57
2005,2206,Computational Mechanics,114,AT,2025-11-28 17:24:57
2005,2728,Neurology,111,AT,2025-11-28 17:24:57
2005,2712,"Endocrinology, Diabetes and Metabolism",107,AT,2025-11-28 17:24:57
2005,1604,Inorganic Chemistry,106,AT,2025-11-28 17:24:57
2005,2202,Aerospace Engineering,100,AT,2025-11-28 17:24:57
2005,2720,Hematology,94,AT,2025-11-28 17:24:57
2005,2731,Ophthalmology,92,AT,2025-11-28 17:24:57
2005,3103,Astronomy and Astrophysics,91,AT,2025-11-28 17:24:57
2005,3108,Radiation,91,AT,2025-11-28 17:24:57
2005,2735,"Pediatrics, Perinatology and Child Health",85,AT,2025-11-28 17:24:57
2005,2732,Orthopedics and Sports Medicine,83,AT,2025-11-28 17:24:57
2005,3320,Political Science and International Relations,83,AT,2025-11-28 17:24:57
2005,3106,Nuclear and High Energy Physics,79,AT,2025-11-28 17:24:57
2005,2711,Emergency Medicine,78,AT,2025-11-28 17:24:57
2005,2207,Control and Systems Engineering,76,AT,2025-11-28 17:24:57
2005,2303,Ecology,74,AT,2025-11-28 17:24:57
2005,2721,Hepatology,74,AT,2025-11-28 17:24:57
2005,2748,Urology,74,AT,2025-11-28 17:24:57
2005,2736,Pharmacology,73,AT,2025-11-28 17:24:57
2005,2507,Polymers and Plastics,71,AT,2025-11-28 17:24:57
2005,2725,Infectious Diseases,71,AT,2025-11-28 17:24:57
2005,3109,Statistical and Nonlinear Physics,71,AT,2025-11-28 17:24:57
2005,1711,Signal Processing,69,AT,2025-11-28 17:24:57
2005,1606,Physical and Theoretical Chemistry,64,AT,2025-11-28 17:24:57
2005,2716,Genetics,64,AT,2025-11-28 17:24:57
2005,2502,Biomaterials,62,AT,2025-11-28 17:24:57
2005,2508,"Surfaces, Coatings and Films",62,AT,2025-11-28 17:24:57
2005,1708,Hardware and Architecture,57,AT,2025-11-28 17:24:57
2005,1902,Atmospheric Science,56,AT,2025-11-28 17:24:57
2005,1303,Biochemistry,54,AT,2025-11-28 17:24:57
2005,1404,Management Information Systems,52,AT,2025-11-28 17:24:57
2005,2742,Rehabilitation,52,AT,2025-11-28 17:24:57
2005,2805,Cognitive Neuroscience,52,AT,2025-11-28 17:24:57
2005,1908,Geophysics,50,AT,2025-11-28 17:24:57
2005,2715,Gastroenterology,50,AT,2025-11-28 17:24:57
2005,2916,Nutrition and Dietetics,50,AT,2025-11-28 17:24:57
2005,1304,Biophysics,49,AT,2025-11-28 17:24:57
2005,2703,Anesthesiology and Pain Medicine,49,AT,2025-11-28 17:24:57
2005,2708,Dermatology,48,AT,2025-11-28 17:24:57
2005,1106,Food Science,46,AT,2025-11-28 17:24:57
2005,2002,Economics and Econometrics,46,AT,2025-11-28 17:24:57
2005,2105,"Renewable Energy, Sustainability and the Environment",46,AT,2025-11-28 17:24:57
2005,2727,Nephrology,46,AT,2025-11-28 17:24:57
2005,2724,Internal Medicine,44,AT,2025-11-28 17:24:57
2005,2747,Transplantation,44,AT,2025-11-28 17:24:57
2005,1105,"Ecology, Evolution, Behavior and Systematics",43,AT,2025-11-28 17:24:57
2005,1308,Clinical Biochemistry,43,AT,2025-11-28 17:24:57
2005,2706,Critical Care and Intensive Care Medicine,41,AT,2025-11-28 17:24:57
2005,2729,Obstetrics and Gynecology,41,AT,2025-11-28 17:24:57
2005,2738,Psychiatry and Mental health,41,AT,2025-11-28 17:24:57
2005,2723,Immunology and Allergy,38,AT,2025-11-28 17:24:57
2005,1305,Biotechnology,36,AT,2025-11-28 17:24:57
2005,1503,Catalysis,36,AT,2025-11-28 17:24:57
2005,1803,Management Science and Operations Research,34,AT,2025-11-28 17:24:57
2005,2203,Automotive Engineering,33,AT,2025-11-28 17:24:57
2005,2808,Neurology,33,AT,2025-11-28 17:24:57
2005,1712,Software,32,AT,2025-11-28 17:24:57
2005,2404,Microbiology,32,AT,2025-11-28 17:24:57
2005,1502,Bioengineering,31,AT,2025-11-28 17:24:57
2005,3304,Education,31,AT,2025-11-28 17:24:57
2005,2205,Civil and Structural Engineering,29,AT,2025-11-28 17:24:57
2005,2704,Biochemistry,29,AT,2025-11-28 17:24:57
2005,3207,Social Psychology,28,AT,2025-11-28 17:24:57
2005,3600,General Health Professions,28,AT,2025-11-28 17:24:57
2005,3404,Small Animals,27,AT,2025-11-28 17:24:57
2005,2213,"Safety, Risk, Reliability and Quality",26,AT,2025-11-28 17:24:57
2005,2306,Global and Planetary Change,26,AT,2025-11-28 17:24:57
2005,2311,Industrial and Manufacturing Engineering,26,AT,2025-11-28 17:24:57
2005,2503,Ceramics and Composites,26,AT,2025-11-28 17:24:57
2005,2610,Mathematical Physics,26,AT,2025-11-28 17:24:57
2005,3504,Oral Surgery,26,AT,2025-11-28 17:24:57
2005,1407,Organizational Behavior and Human Resource Management,24,AT,2025-11-28 17:24:57
2005,3004,Pharmacology,24,AT,2025-11-28 17:24:57
2005,3308,Law,24,AT,2025-11-28 17:24:57
2005,1603,Electrochemistry,23,AT,2025-11-28 17:24:57
2005,3205,Experimental and Cognitive Psychology,23,AT,2025-11-28 17:24:57
2005,3616,Speech and Hearing,23,AT,2025-11-28 17:24:57
2005,1802,Information Systems and Management,22,AT,2025-11-28 17:24:57
2005,2209,Industrial and Manufacturing Engineering,22,AT,2025-11-28 17:24:57
2005,2406,Virology,22,AT,2025-11-28 17:24:57
2005,2613,Statistics and Probability,21,AT,2025-11-28 17:24:57
2005,2743,Reproductive Medicine,21,AT,2025-11-28 17:24:57
2005,1910,Oceanography,20,AT,2025-11-28 17:24:57
2005,2807,Endocrine and Autonomic Systems,20,AT,2025-11-28 17:24:57
2005,3318,Gender Studies,20,AT,2025-11-28 17:24:57
2005,1408,Strategy and Management,19,AT,2025-11-28 17:24:57
2005,1706,Computer Science Applications,19,AT,2025-11-28 17:24:57
2005,2212,Ocean Engineering,19,AT,2025-11-28 17:24:57
2005,2214,Media Technology,19,AT,2025-11-28 17:24:57
2005,2806,Developmental Neuroscience,19,AT,2025-11-28 17:24:57
2005,1203,Language and Linguistics,18,AT,2025-11-28 17:24:57
2005,1709,Human-Computer Interaction,18,AT,2025-11-28 17:24:57
2005,2310,Pollution,18,AT,2025-11-28 17:24:57
2005,3003,Pharmaceutical Science,18,AT,2025-11-28 17:24:57
2005,3604,Emergency Medical Services,18,AT,2025-11-28 17:24:57
2005,1202,History,17,AT,2025-11-28 17:24:57
2005,2500,General Materials Science,17,AT,2025-11-28 17:24:57
2005,3203,Clinical Psychology,17,AT,2025-11-28 17:24:57
2005,1405,Management of Technology and Innovation,16,AT,2025-11-28 17:24:57
2005,1507,Fluid Flow and Transfer Processes,16,AT,2025-11-28 17:24:57
2005,1602,Analytical Chemistry,16,AT,2025-11-28 17:24:57
2005,2307,"Health, Toxicology and Mutagenesis",16,AT,2025-11-28 17:24:57
2005,2707,Complementary and alternative medicine,16,AT,2025-11-28 17:24:57
2005,2733,Otorhinolaryngology,16,AT,2025-11-28 17:24:57
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",16,AT,2025-11-28 17:24:57
2005,1109,Insect Science,15,AT,2025-11-28 17:24:57
2005,1310,Endocrinology,15,AT,2025-11-28 17:24:57
2005,2215,Building and Construction,15,AT,2025-11-28 17:24:57
2005,2304,Environmental Chemistry,15,AT,2025-11-28 17:24:57
2005,2405,Parasitology,15,AT,2025-11-28 17:24:57
2005,2809,Sensory Systems,15,AT,2025-11-28 17:24:57
2005,2612,Numerical Analysis,14,AT,2025-11-28 17:24:57
2005,3204,Developmental and Educational Psychology,14,AT,2025-11-28 17:24:57
2005,1314,Physiology,13,AT,2025-11-28 17:24:57
2005,3311,Safety Research,13,AT,2025-11-28 17:24:57
2005,1704,Computer Graphics and Computer-Aided Design,12,AT,2025-11-28 17:24:57
2005,2607,Discrete Mathematics and Combinatorics,12,AT,2025-11-28 17:24:57
2005,1103,Animal Science and Zoology,11,AT,2025-11-28 17:24:57
2005,1315,Structural Biology,11,AT,2025-11-28 17:24:57
2005,2309,Nature and Landscape Conservation,11,AT,2025-11-28 17:24:57
2005,3315,Communication,11,AT,2025-11-28 17:24:57
2005,3317,Demography,11,AT,2025-11-28 17:24:57
2005,1204,Archeology,10,AT,2025-11-28 17:24:57
2005,1406,Marketing,10,AT,2025-11-28 17:24:57
2005,1506,Filtration and Separation,10,AT,2025-11-28 17:24:57
2005,1804,"Statistics, Probability and Uncertainty",10,AT,2025-11-28 17:24:57
2005,2305,Environmental Engineering,10,AT,2025-11-28 17:24:57
2005,2308,"Management, Monitoring, Policy and Law",10,AT,2025-11-28 17:24:57
2005,3314,Anthropology,10,AT,2025-11-28 17:24:57
2005,2312,Water Science and Technology,9,AT,2025-11-28 17:24:57
2005,2604,Applied Mathematics,9,AT,2025-11-28 17:24:57
2005,2608,Geometry and Topology,9,AT,2025-11-28 17:24:57
2005,3005,Toxicology,9,AT,2025-11-28 17:24:57
2005,3321,Public Administration,9,AT,2025-11-28 17:24:57
2005,3322,Urban Studies,9,AT,2025-11-28 17:24:57
2005,3506,Periodontics,9,AT,2025-11-28 17:24:57
2005,1207,History and Philosophy of Science,8,AT,2025-11-28 17:24:57
2005,1302,Aging,8,AT,2025-11-28 17:24:57
2005,2000,"General Economics, Econometrics and Finance",8,AT,2025-11-28 17:24:57
2005,2506,Metals and Alloys,8,AT,2025-11-28 17:24:57
2005,2717,Geriatrics and Gerontology,8,AT,2025-11-28 17:24:57
2005,3303,Development,8,AT,2025-11-28 17:24:57
2005,3402,Equine,8,AT,2025-11-28 17:24:57
2005,3614,Radiological and Ultrasound Technology,8,AT,2025-11-28 17:24:57
2005,1102,Agronomy and Crop Science,7,AT,2025-11-28 17:24:57
2005,1208,Literature and Literary Theory,7,AT,2025-11-28 17:24:57
2005,1800,General Decision Sciences,7,AT,2025-11-28 17:24:57
2005,2602,Algebra and Number Theory,7,AT,2025-11-28 17:24:57
2005,3105,Instrumentation,7,AT,2025-11-28 17:24:57
2005,1211,Philosophy,6,AT,2025-11-28 17:24:57
2005,1402,Accounting,6,AT,2025-11-28 17:24:57
2005,2003,Finance,6,AT,2025-11-28 17:24:57
2005,2102,Energy Engineering and Power Technology,6,AT,2025-11-28 17:24:57
2005,3605,Health Information Management,6,AT,2025-11-28 17:24:57
2005,3611,Pharmacy,6,AT,2025-11-28 17:24:57
2005,1409,"Tourism, Leisure and Hospitality Management",5,AT,2025-11-28 17:24:57
2005,1911,Paleontology,5,AT,2025-11-28 17:24:57
2005,2702,Anatomy,5,AT,2025-11-28 17:24:57
2005,3305,"Geography, Planning and Development",5,AT,2025-11-28 17:24:57
2005,3306,Health,5,AT,2025-11-28 17:24:57
2005,3313,Transportation,5,AT,2025-11-28 17:24:57
2005,1104,Aquatic Science,4,AT,2025-11-28 17:24:57
2005,1309,Developmental Biology,4,AT,2025-11-28 17:24:57
2005,1313,Molecular Medicine,4,AT,2025-11-28 17:24:57
2005,1906,Geochemistry and Petrology,4,AT,2025-11-28 17:24:57
2005,2402,Applied Microbiology and Biotechnology,4,AT,2025-11-28 17:24:57
2005,3102,Acoustics and Ultrasonics,4,AT,2025-11-28 17:24:57
2006,1312,Molecular Biology,1905,AT,2025-11-28 17:24:57
2006,2208,Electrical and Electronic Engineering,1282,AT,2025-11-28 17:24:57
2006,2746,Surgery,1209,AT,2025-11-28 17:24:57
2006,3107,"Atomic and Molecular Physics, and Optics",859,AT,2025-11-28 17:24:57
2006,2204,Biomedical Engineering,853,AT,2025-11-28 17:24:57
2006,1702,Artificial Intelligence,831,AT,2025-11-28 17:24:57
2006,2505,Materials Chemistry,824,AT,2025-11-28 17:24:57
2006,2740,Pulmonary and Respiratory Medicine,763,AT,2025-11-28 17:24:57
2006,2713,Epidemiology,684,AT,2025-11-28 17:24:57
2006,3312,Sociology and Political Science,597,AT,2025-11-28 17:24:57
2006,2730,Oncology,358,AT,2025-11-28 17:24:57
2006,2705,Cardiology and Cardiovascular Medicine,294,AT,2025-11-28 17:24:57
2006,2210,Mechanical Engineering,275,AT,2025-11-28 17:24:57
2006,1311,Genetics,255,AT,2025-11-28 17:24:57
2006,1705,Computer Networks and Communications,244,AT,2025-11-28 17:24:57
2006,2211,Mechanics of Materials,225,AT,2025-11-28 17:24:57
2006,2741,"Radiology, Nuclear Medicine and Imaging",221,AT,2025-11-28 17:24:57
2006,1607,Spectroscopy,213,AT,2025-11-28 17:24:57
2006,2737,Physiology,204,AT,2025-11-28 17:24:57
2006,2504,"Electronic, Optical and Magnetic Materials",198,AT,2025-11-28 17:24:57
2006,1710,Information Systems,193,AT,2025-11-28 17:24:57
2006,1605,Organic Chemistry,171,AT,2025-11-28 17:24:57
2006,1307,Cell Biology,168,AT,2025-11-28 17:24:57
2006,2734,Pathology and Forensic Medicine,168,AT,2025-11-28 17:24:57
2006,2745,Rheumatology,161,AT,2025-11-28 17:24:57
2006,1703,Computational Theory and Mathematics,156,AT,2025-11-28 17:24:57
2006,1707,Computer Vision and Pattern Recognition,153,AT,2025-11-28 17:24:57
2006,1110,Plant Science,152,AT,2025-11-28 17:24:57
2006,1306,Cancer Research,151,AT,2025-11-28 17:24:57
2006,2206,Computational Mechanics,151,AT,2025-11-28 17:24:57
2006,3104,Condensed Matter Physics,140,AT,2025-11-28 17:24:57
2006,2403,Immunology,134,AT,2025-11-28 17:24:57
2006,2739,"Public Health, Environmental and Occupational Health",133,AT,2025-11-28 17:24:57
2006,2804,Cellular and Molecular Neuroscience,133,AT,2025-11-28 17:24:57
2006,2712,"Endocrinology, Diabetes and Metabolism",119,AT,2025-11-28 17:24:57
2006,3320,Political Science and International Relations,118,AT,2025-11-28 17:24:57
2006,2735,"Pediatrics, Perinatology and Child Health",117,AT,2025-11-28 17:24:57
2006,2728,Neurology,105,AT,2025-11-28 17:24:57
2006,2202,Aerospace Engineering,104,AT,2025-11-28 17:24:57
2006,3108,Radiation,101,AT,2025-11-28 17:24:57
2006,2711,Emergency Medicine,95,AT,2025-11-28 17:24:57
2006,2507,Polymers and Plastics,90,AT,2025-11-28 17:24:57
2006,1711,Signal Processing,89,AT,2025-11-28 17:24:57
2006,2725,Infectious Diseases,89,AT,2025-11-28 17:24:57
2006,3103,Astronomy and Astrophysics,88,AT,2025-11-28 17:24:57
2006,2721,Hepatology,86,AT,2025-11-28 17:24:57
2006,2508,"Surfaces, Coatings and Films",85,AT,2025-11-28 17:24:57
