year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,4311,AU,2025-12-01 18:43:20
2005,3312,Sociology and Political Science,3183,AU,2025-12-01 18:43:20
2005,2208,Electrical and Electronic Engineering,3075,AU,2025-12-01 18:43:20
2005,1702,Artificial Intelligence,2919,AU,2025-12-01 18:43:20
2005,2746,Surgery,2611,AU,2025-12-01 18:43:20
2005,2739,"Public Health, Environmental and Occupational Health",2282,AU,2025-12-01 18:43:20
2005,2713,Epidemiology,2142,AU,2025-12-01 18:43:20
2005,3600,General Health Professions,2094,AU,2025-12-01 18:43:20
2005,2303,Ecology,2006,AU,2025-12-01 18:43:20
2005,2204,Biomedical Engineering,1958,AU,2025-12-01 18:43:20
2005,1705,Computer Networks and Communications,1115,AU,2025-12-01 18:43:20
2005,1311,Genetics,842,AU,2025-12-01 18:43:20
2005,3107,"Atomic and Molecular Physics, and Optics",832,AU,2025-12-01 18:43:20
2005,2740,Pulmonary and Respiratory Medicine,677,AU,2025-12-01 18:43:20
2005,2730,Oncology,632,AU,2025-12-01 18:43:20
2005,1710,Information Systems,604,AU,2025-12-01 18:43:20
2005,2737,Physiology,604,AU,2025-12-01 18:43:20
2005,2705,Cardiology and Cardiovascular Medicine,580,AU,2025-12-01 18:43:20
2005,2505,Materials Chemistry,555,AU,2025-12-01 18:43:20
2005,3203,Clinical Psychology,550,AU,2025-12-01 18:43:20
2005,1110,Plant Science,525,AU,2025-12-01 18:43:20
2005,2306,Global and Planetary Change,498,AU,2025-12-01 18:43:20
2005,2002,Economics and Econometrics,477,AU,2025-12-01 18:43:20
2005,2725,Infectious Diseases,473,AU,2025-12-01 18:43:20
2005,2309,Nature and Landscape Conservation,469,AU,2025-12-01 18:43:20
2005,2735,"Pediatrics, Perinatology and Child Health",467,AU,2025-12-01 18:43:20
2005,2403,Immunology,449,AU,2025-12-01 18:43:20
2005,2741,"Radiology, Nuclear Medicine and Imaging",422,AU,2025-12-01 18:43:20
2005,2804,Cellular and Molecular Neuroscience,421,AU,2025-12-01 18:43:20
2005,1105,"Ecology, Evolution, Behavior and Systematics",390,AU,2025-12-01 18:43:20
2005,3304,Education,389,AU,2025-12-01 18:43:20
2005,1703,Computational Theory and Mathematics,383,AU,2025-12-01 18:43:20
2005,3207,Social Psychology,382,AU,2025-12-01 18:43:20
2005,3320,Political Science and International Relations,381,AU,2025-12-01 18:43:20
