subfield_id,subfield_name,title,doi,year,cited_by_count,id
2505,Materials Chemistry,Prediction and observation of an antiferromagnetic topological insulator,https://doi.org/10.1038/s41586-019-1840-9,2019,1024,https://openalex.org/W3011492296
2505,Materials Chemistry,Nanofluid for enhanced oil recovery,https://doi.org/10.1016/j.petrol.2011.06.014,2011,458,https://openalex.org/W2007399539
2505,Materials Chemistry,Current developments in green synthesis of metallic nanoparticles using plant extracts: a review,https://doi.org/10.1080/21691401.2018.1492931,2018,239,https://openalex.org/W2883184470
2208,Electrical and Electronic Engineering,Performance of the ATLAS Trigger System in 2010,https://doi.org/10.1140/epjc/s10052-011-1849-1,2012,351,https://openalex.org/W2143484136
2208,Electrical and Electronic Engineering,Direct conversion of the water adsorption energy to electricity on the surface of zirconia nanoparticles,https://doi.org/10.1007/s13204-019-00979-6,2019,308,https://openalex.org/W2920215640
2208,Electrical and Electronic Engineering,Plasma-Wave Terahertz Detection Mediated by Topological Insulators Surface States,https://doi.org/10.1021/acs.nanolett.5b02901,2015,190,https://openalex.org/W2402116939
2002,Economics and Econometrics,The impact of economic growth on CO2 emissions in Azerbaijan,https://doi.org/10.1016/j.jclepro.2018.06.269,2018,446,https://openalex.org/W2792679216
2002,Economics and Econometrics,The impact of international trade on CO2 emissions in oil exporting countries: Territory vs consumption emissions accounting,https://doi.org/10.1016/j.eneco.2018.06.004,2018,303,https://openalex.org/W2807908244
2002,Economics and Econometrics,Impact of the COVID-19 Pandemic on Online Consumer Purchasing Behavior,https://doi.org/10.3390/jtaer16060125,2021,288,https://openalex.org/W3197348463
2210,Mechanical Engineering,"Application of Neural Network for estimation of heat transfer treatment of Al<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""mml39"" display=""inline"" overflow=""scroll"" altimg=""si39.gif""><mml:msub><mml:mrow/><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math>O<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""mml40"" display=""inline"" overflow=""scroll"" altimg=""si40.gif""><mml:msub><mml:mrow/><mml:mrow><mml:mn>3</mml:mn></mml:mrow></mml:msub></mml:math>-H<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""mml41"" display=""inline"" overflow=""scroll"" altimg=""si39.gif""><mml:msub><mml:mrow/><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:math>O nanofluid through a channel",https://doi.org/10.1016/j.cma.2018.09.025,2018,267,https://openalex.org/W2897153593
