year,id,name,works_count,country,fetch_date
2005,2505,Materials Chemistry,70,AZ,2025-12-03 12:24:23
2005,1605,Organic Chemistry,43,AZ,2025-12-03 12:24:23
2005,2208,Electrical and Electronic Engineering,37,AZ,2025-12-03 12:24:23
2005,3107,"Atomic and Molecular Physics, and Optics",36,AZ,2025-12-03 12:24:23
2005,2504,"Electronic, Optical and Magnetic Materials",26,AZ,2025-12-03 12:24:23
2005,2210,Mechanical Engineering,22,AZ,2025-12-03 12:24:23
2005,2204,Biomedical Engineering,17,AZ,2025-12-03 12:24:23
2005,2002,Economics and Econometrics,16,AZ,2025-12-03 12:24:23
2005,2211,Mechanics of Materials,16,AZ,2025-12-03 12:24:23
2005,1506,Filtration and Separation,11,AZ,2025-12-03 12:24:23
2005,1507,Fluid Flow and Transfer Processes,11,AZ,2025-12-03 12:24:23
2005,1110,Plant Science,8,AZ,2025-12-03 12:24:23
2005,1607,Spectroscopy,7,AZ,2025-12-03 12:24:23
2005,1312,Molecular Biology,6,AZ,2025-12-03 12:24:23
2005,1503,Catalysis,6,AZ,2025-12-03 12:24:23
2005,2507,Polymers and Plastics,6,AZ,2025-12-03 12:24:23
2005,3104,Condensed Matter Physics,6,AZ,2025-12-03 12:24:23
2005,3312,Sociology and Political Science,6,AZ,2025-12-03 12:24:23
2005,1602,Analytical Chemistry,5,AZ,2025-12-03 12:24:23
2005,2000,"General Economics, Econometrics and Finance",5,AZ,2025-12-03 12:24:23
2005,2207,Control and Systems Engineering,5,AZ,2025-12-03 12:24:23
2005,1604,Inorganic Chemistry,4,AZ,2025-12-03 12:24:23
2005,1606,Physical and Theoretical Chemistry,4,AZ,2025-12-03 12:24:23
2005,2500,General Materials Science,4,AZ,2025-12-03 12:24:23
2005,2730,Oncology,4,AZ,2025-12-03 12:24:23
2005,3106,Nuclear and High Energy Physics,4,AZ,2025-12-03 12:24:23
2005,1105,"Ecology, Evolution, Behavior and Systematics",3,AZ,2025-12-03 12:24:23
2005,1702,Artificial Intelligence,3,AZ,2025-12-03 12:24:23
2005,1705,Computer Networks and Communications,3,AZ,2025-12-03 12:24:23
2005,2105,"Renewable Energy, Sustainability and the Environment",3,AZ,2025-12-03 12:24:23
2005,2305,Environmental Engineering,3,AZ,2025-12-03 12:24:23
2005,3109,Statistical and Nonlinear Physics,3,AZ,2025-12-03 12:24:23
2005,1106,Food Science,2,AZ,2025-12-03 12:24:23
2005,1408,Strategy and Management,2,AZ,2025-12-03 12:24:23
2005,1502,Bioengineering,2,AZ,2025-12-03 12:24:23
2005,1603,Electrochemistry,2,AZ,2025-12-03 12:24:23
2005,1804,"Statistics, Probability and Uncertainty",2,AZ,2025-12-03 12:24:23
2005,1902,Atmospheric Science,2,AZ,2025-12-03 12:24:23
2005,1908,Geophysics,2,AZ,2025-12-03 12:24:23
2005,2003,Finance,2,AZ,2025-12-03 12:24:23
2005,2206,Computational Mechanics,2,AZ,2025-12-03 12:24:23
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,AZ,2025-12-03 12:24:23
2005,3003,Pharmaceutical Science,2,AZ,2025-12-03 12:24:23
2005,3317,Demography,2,AZ,2025-12-03 12:24:23
2005,1102,Agronomy and Crop Science,1,AZ,2025-12-03 12:24:23
2005,1104,Aquatic Science,1,AZ,2025-12-03 12:24:23
2005,1109,Insect Science,1,AZ,2025-12-03 12:24:23
2005,1202,History,1,AZ,2025-12-03 12:24:23
2005,1303,Biochemistry,1,AZ,2025-12-03 12:24:23
2005,1402,Accounting,1,AZ,2025-12-03 12:24:23
2005,1406,Marketing,1,AZ,2025-12-03 12:24:23
2005,1508,Process Chemistry and Technology,1,AZ,2025-12-03 12:24:23
2005,1803,Management Science and Operations Research,1,AZ,2025-12-03 12:24:23
2005,1907,Geology,1,AZ,2025-12-03 12:24:23
2005,2103,Fuel Technology,1,AZ,2025-12-03 12:24:23
2005,2104,Nuclear Energy and Engineering,1,AZ,2025-12-03 12:24:23
2005,2202,Aerospace Engineering,1,AZ,2025-12-03 12:24:23
2005,2203,Automotive Engineering,1,AZ,2025-12-03 12:24:23
2005,2209,Industrial and Manufacturing Engineering,1,AZ,2025-12-03 12:24:23
2005,2212,Ocean Engineering,1,AZ,2025-12-03 12:24:23
2005,2303,Ecology,1,AZ,2025-12-03 12:24:23
