subfield_id,subfield_name,title,doi,year,cited_by_count,id
2002,Economics and Econometrics,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2002,Economics and Econometrics,Mental health consequences of COVID-19 media coverage: the need for effective crisis communication practices,https://doi.org/10.1186/s12992-020-00654-4,2021,412,https://openalex.org/W3120880088
2002,Economics and Econometrics,"Comparisons of Health Care Systems in the United States, Germany and Canada",https://doi.org/10.5455/msm.2012.24.112-120,2012,303,https://openalex.org/W1995928597
3312,Sociology and Political Science,Inequality: what can be done?,https://doi.org/10.21953/lse.q3wqhy5t36kn,2025,595,https://openalex.org/W630957149
3312,Sociology and Political Science,Mental health consequences of COVID-19 media coverage: the need for effective crisis communication practices,https://doi.org/10.1186/s12992-020-00654-4,2021,412,https://openalex.org/W3120880088
3312,Sociology and Political Science,Effectiveness of a School-Based Group Psychotherapy Program for War-Exposed Adolescents: A Randomized Controlled Trial,https://doi.org/10.1097/chi.0b013e31817eecae,2008,352,https://openalex.org/W1967994282
2746,Surgery,European Position Paper on Rhinosinusitis and Nasal Polyps 2020,https://doi.org/10.4193/rhin20.600,2020,5316,https://openalex.org/W2993259418
2746,Surgery,2019 ESC/EAS guidelines for the management of dyslipidaemias: Lipid modification to reduce cardiovascular risk,https://doi.org/10.1016/j.atherosclerosis.2019.08.014,2019,4779,https://openalex.org/W2953804067
2746,Surgery,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
3320,Political Science and International Relations,Inequality: what can be done?,https://doi.org/10.3326/fintp.40.2.6,2016,126,https://openalex.org/W2414049926
3320,Political Science and International Relations,Digital Transformation and Its Influence on GDP,https://doi.org/10.1515/eoik-2017-0028,2017,112,https://openalex.org/W2790023715
3320,Political Science and International Relations,Business innovation modes and their impact on innovation outputs: Regional variations and the nature of innovation across EU regions,https://doi.org/10.1016/j.respol.2020.104047,2020,106,https://openalex.org/W3042284857
2208,Electrical and Electronic Engineering,Traffic accident detection using random forest classifier,https://doi.org/10.1109/lt.2018.8368509,2018,273,https://openalex.org/W2807258775
2208,Electrical and Electronic Engineering,Raspberry Pi as a Sensor Web node for home automation,https://doi.org/10.1016/j.compeleceng.2015.01.019,2015,225,https://openalex.org/W1986210179
2208,Electrical and Electronic Engineering,"Beyond throughput, the next generation",https://doi.org/10.1145/3339825.3394938,2020,213,https://openalex.org/W3017194848
1110,Plant Science,The Role of Polyphenols in Abiotic Stress Response: The Influence of Molecular Structure,https://doi.org/10.3390/plants10010118,2021,584,https://openalex.org/W3118335452
1110,Plant Science,A Review of the Most Common and Economically Important Diseases That Undermine the Cultivation of Tomato Crop in the Mediterranean Basin,https://doi.org/10.3390/agronomy11112188,2021,289,https://openalex.org/W3209845747
1110,Plant Science,Biostimulants research in some horticultural plant species—A review,https://doi.org/10.1002/fes3.162,2018,274,https://openalex.org/W2906616642
1312,Molecular Biology,Vagus nerve stimulation inhibits cytokine production and attenuates disease severity in rheumatoid arthritis,https://doi.org/10.1073/pnas.1605635113,2016,946,https://openalex.org/W2469268362
1312,Molecular Biology,The Role of Polyphenols in Abiotic Stress Response: The Influence of Molecular Structure,https://doi.org/10.3390/plants10010118,2021,584,https://openalex.org/W3118335452
1312,Molecular Biology,"The HUman MicroNucleus project on eXfoLiated buccal cells (HUMNXL): The role of life-style, host factors, occupational exposures, health status, and assay protocol",https://doi.org/10.1016/j.mrrev.2011.06.005,2011,386,https://openalex.org/W2026518249
2713,Epidemiology,Human papillomavirus genotype attribution in invasive cervical cancer: a retrospective cross-sectional worldwide study,https://doi.org/10.1016/s1470-2045(10)70230-8,2010,2627,https://openalex.org/W2139736159
2713,Epidemiology,Post-stroke dementia – a comprehensive review,https://doi.org/10.1186/s12916-017-0779-7,2017,639,https://openalex.org/W2576382126
2713,Epidemiology,Strokes in young adults: epidemiology and prevention,https://doi.org/10.2147/vhrm.s53203,2015,390,https://openalex.org/W2032438124
2740,Pulmonary and Respiratory Medicine,Are hospitalized or ambulatory patients with heart failure treated in accordance with European Society of Cardiology guidelines? Evidence from 12 440 patients of the ESC Heart Failure Long‐Term Registry,https://doi.org/10.1093/eurjhf/hft134,2013,642,https://openalex.org/W1968782440
2740,Pulmonary and Respiratory Medicine,EULAR recommendations for the use of imaging of the joints in the clinical management of rheumatoid arthritis,https://doi.org/10.1136/annrheumdis-2012-203158,2013,635,https://openalex.org/W2139508918
2740,Pulmonary and Respiratory Medicine,HER2 screening data from ToGA: targeting HER2 in gastric and gastroesophageal junction cancer,https://doi.org/10.1007/s10120-014-0402-y,2014,570,https://openalex.org/W2136197678
2210,Mechanical Engineering,"Internet of Things (IoT): A review of enabling technologies, challenges, and open research issues",https://doi.org/10.1016/j.comnet.2018.07.017,2018,794,https://openalex.org/W2883753518
2210,Mechanical Engineering,"Predictive maintenance, its implementation and latest trends",https://doi.org/10.1177/0954405415601640,2016,328,https://openalex.org/W2222570178
2210,Mechanical Engineering,Advances in thermal energy storage: Fundamentals and applications,https://doi.org/10.1016/j.pecs.2023.101109,2023,312,https://openalex.org/W4387205121
