subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,The STROCSS statement: Strengthening the Reporting of Cohort Studies in Surgery,https://doi.org/10.1016/j.ijsu.2017.08.586,2017,784,https://openalex.org/W2751909729
3312,Sociology and Political Science,Can Google data improve the forecasting performance of tourist arrivals? Mixed-data sampling approach,https://doi.org/10.1016/j.tourman.2014.07.014,2014,320,https://openalex.org/W2154291363
3312,Sociology and Political Science,"Does Nationality, Gender, and Age Affect Travel Motivation? a Case of Visitors to The Caribbean Island of Barbados",https://doi.org/10.1080/10548400802508499,2008,232,https://openalex.org/W2088995390
2739,"Public Health, Environmental and Occupational Health",The STROCSS statement: Strengthening the Reporting of Cohort Studies in Surgery,https://doi.org/10.1016/j.ijsu.2017.08.586,2017,784,https://openalex.org/W2751909729
2739,"Public Health, Environmental and Occupational Health",Rising rural body-mass index is the main driver of the global obesity epidemic in adults,https://doi.org/10.1038/s41586-019-1171-x,2019,697,https://openalex.org/W2945386046
2739,"Public Health, Environmental and Occupational Health",A meta‐analysis of “hospital in the home”,https://doi.org/10.5694/mja12.10480,2012,381,https://openalex.org/W2034084542
2746,Surgery,Association of Gestational Diabetes With Maternal Disorders of Glucose Metabolism and Childhood Adiposity,https://doi.org/10.1001/jama.2018.11628,2018,543,https://openalex.org/W2892298718
2746,Surgery,Long-Term Durability of Transcatheter Aortic Valve Prostheses,https://doi.org/10.1016/j.jacc.2018.10.078,2019,247,https://openalex.org/W2914686002
2746,Surgery,A genome-wide association study on African-ancestry populations for asthma,https://doi.org/10.1016/j.jaci.2009.08.031,2009,194,https://openalex.org/W2104775278
2002,Economics and Econometrics,Does the CONSORT checklist improve the quality of reports of randomised controlled trials? A systematic review,https://doi.org/10.5694/j.1326-5377.2006.tb00557.x,2006,848,https://openalex.org/W1529485074
2002,Economics and Econometrics,Hypertension Pharmacological Treatment in Adults: A World Health Organization Guideline Executive Summary,https://doi.org/10.1161/hypertensionaha.121.18192,2021,324,https://openalex.org/W3213301568
2002,Economics and Econometrics,Investing in non-communicable diseases: an estimation of the return on investment for prevention and treatment services,https://doi.org/10.1016/s0140-6736(18)30665-2,2018,179,https://openalex.org/W2795737218
2713,Epidemiology,Global estimates of diabetes prevalence for 2013 and projections for 2035,https://doi.org/10.1016/j.diabres.2013.11.002,2013,4596,https://openalex.org/W2139923324
2713,Epidemiology,Risk Factors for Incident Open-angle Glaucoma,https://doi.org/10.1016/j.ophtha.2007.03.017,2007,754,https://openalex.org/W1984618569
2713,Epidemiology,Can Google data improve the forecasting performance of tourist arrivals? Mixed-data sampling approach,https://doi.org/10.1016/j.tourman.2014.07.014,2014,320,https://openalex.org/W2154291363
3600,General Health Professions,Does the CONSORT checklist improve the quality of reports of randomised controlled trials? A systematic review,https://doi.org/10.5694/j.1326-5377.2006.tb00557.x,2006,848,https://openalex.org/W1529485074
3600,General Health Professions,A meta‐analysis of “hospital in the home”,https://doi.org/10.5694/mja12.10480,2012,381,https://openalex.org/W2034084542
3600,General Health Professions,Prevalence of Overweight/Obesity and Its Associated Factors among University Students from 22 Countries,https://doi.org/10.3390/ijerph110707425,2014,331,https://openalex.org/W2050020331
2303,Ecology,"The Global Syndemic of Obesity, Undernutrition, and Climate Change: The Lancet Commission report",https://doi.org/10.1016/s0140-6736(18)32822-8,2019,2729,https://openalex.org/W2912842935
2303,Ecology,"Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005",https://doi.org/10.1371/journal.pone.0013969,2010,882,https://openalex.org/W2156568771
2303,Ecology,Outbreak and persistence of opportunistic symbiotic dinoflagellates during the 2005 Caribbean mass coral ‘bleaching’ event,https://doi.org/10.1098/rspb.2009.1405,2009,299,https://openalex.org/W2104636305
2306,Global and Planetary Change,Adaptive co‐management for social–ecological complexity,https://doi.org/10.1890/070089,2008,1386,https://openalex.org/W2035153982
2306,Global and Planetary Change,"Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005",https://doi.org/10.1371/journal.pone.0013969,2010,882,https://openalex.org/W2156568771
2306,Global and Planetary Change,Interhemispheric transport of viable fungi and bacteria from Africa to the Caribbean with soil dust,https://doi.org/10.1007/s10453-004-5872-7,2005,375,https://openalex.org/W4205424024
2725,Infectious Diseases,Global disparities in SARS-CoV-2 genomic surveillance,https://doi.org/10.1038/s41467-022-33713-y,2022,256,https://openalex.org/W4309338001
2725,Infectious Diseases,Resolution of coronavirus disease 2019 (COVID-19),https://doi.org/10.1080/14787210.2020.1797487,2020,226,https://openalex.org/W3047098227
2725,Infectious Diseases,Control of human immunodeficiency virus replication by cytotoxic T lymphocytes targeting subdominant epitopes,https://doi.org/10.1038/ni1281,2005,222,https://openalex.org/W2092368847
2740,Pulmonary and Respiratory Medicine,Transcatheter Aortic Valve Replacement in Pure Native Aortic Valve Regurgitation,https://doi.org/10.1016/j.jacc.2017.10.006,2017,302,https://openalex.org/W2769078814
2740,Pulmonary and Respiratory Medicine,Diagnosis and management of iron deficiency anaemia: a clinical update,https://doi.org/10.5694/j.1326-5377.2010.tb04038.x,2010,280,https://openalex.org/W2121584920
2740,Pulmonary and Respiratory Medicine,"Stroke epidemiology, prevention, and management strategies at a regional level: Latin America and the Caribbean",https://doi.org/10.1016/s1474-4422(07)70003-0,2007,261,https://openalex.org/W2115749921
