year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,367,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,262,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,181,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,144,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,128,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,102,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T11338,Advancements in Photolithography Techniques,89,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,84,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,82,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,79,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,76,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10624,Silicon and Solar Cell Technologies,76,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10369,Advanced MEMS and NEMS Technologies,69,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10361,Silicon Carbide Semiconductor Technologies,67,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T11853,Semiconductor materials and interfaces,65,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,63,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10363,Low-power high-performance VLSI design,60,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,55,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T12039,Electron and X-Ray Spectroscopy Techniques,55,BE,2025-11-25 22:29:59
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,54,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,127,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,85,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,72,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,60,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,58,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,58,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,56,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,55,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,55,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10353,Zeolite Catalysis and Synthesis,52,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10083,Graphene research and applications,48,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10204,Microstructure and mechanical properties,41,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,40,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,38,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,35,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11242,Nuclear Materials and Properties,35,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,34,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10310,Corrosion Behavior and Inhibition,33,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T10592,Fusion materials and technologies,33,BE,2025-11-25 22:29:59
2005,2505,Materials Chemistry,T11240,Luminescence and Fluorescent Materials,32,BE,2025-11-25 22:29:59
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,65,BE,2025-11-25 22:29:59
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,60,BE,2025-11-25 22:29:59
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,59,BE,2025-11-25 22:29:59
