year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,2360,BE,2025-12-01 18:45:02
2005,2208,Electrical and Electronic Engineering,2020,BE,2025-12-01 18:45:02
2005,2746,Surgery,1473,BE,2025-12-01 18:45:02
2005,3312,Sociology and Political Science,1222,BE,2025-12-01 18:45:02
2005,2505,Materials Chemistry,1162,BE,2025-12-01 18:45:02
2005,2204,Biomedical Engineering,1160,BE,2025-12-01 18:45:02
2005,2713,Epidemiology,1011,BE,2025-12-01 18:45:02
2005,2740,Pulmonary and Respiratory Medicine,992,BE,2025-12-01 18:45:02
2005,2002,Economics and Econometrics,941,BE,2025-12-01 18:45:02
2005,1311,Genetics,897,BE,2025-12-01 18:45:02
2005,3107,"Atomic and Molecular Physics, and Optics",474,BE,2025-12-01 18:45:02
2005,2730,Oncology,454,BE,2025-12-01 18:45:02
2005,2705,Cardiology and Cardiovascular Medicine,325,BE,2025-12-01 18:45:02
2005,2741,"Radiology, Nuclear Medicine and Imaging",312,BE,2025-12-01 18:45:02
2005,2737,Physiology,292,BE,2025-12-01 18:45:02
2005,1110,Plant Science,280,BE,2025-12-01 18:45:02
2005,2210,Mechanical Engineering,268,BE,2025-12-01 18:45:02
2005,1605,Organic Chemistry,256,BE,2025-12-01 18:45:02
2005,2403,Immunology,248,BE,2025-12-01 18:45:02
2005,1705,Computer Networks and Communications,241,BE,2025-12-01 18:45:02
2005,3320,Political Science and International Relations,234,BE,2025-12-01 18:45:02
2005,2504,"Electronic, Optical and Magnetic Materials",225,BE,2025-12-01 18:45:02
2005,2739,"Public Health, Environmental and Occupational Health",221,BE,2025-12-01 18:45:02
2005,2725,Infectious Diseases,206,BE,2025-12-01 18:45:02
2005,2211,Mechanics of Materials,205,BE,2025-12-01 18:45:02
2005,2712,"Endocrinology, Diabetes and Metabolism",204,BE,2025-12-01 18:45:02
2005,2734,Pathology and Forensic Medicine,202,BE,2025-12-01 18:45:02
2005,1306,Cancer Research,196,BE,2025-12-01 18:45:02
2005,2745,Rheumatology,186,BE,2025-12-01 18:45:02
2005,3600,General Health Professions,186,BE,2025-12-01 18:45:02
2005,2804,Cellular and Molecular Neuroscience,183,BE,2025-12-01 18:45:02
2005,1307,Cell Biology,181,BE,2025-12-01 18:45:02
2005,1105,"Ecology, Evolution, Behavior and Systematics",166,BE,2025-12-01 18:45:02
2005,2202,Aerospace Engineering,161,BE,2025-12-01 18:45:02
2005,1607,Spectroscopy,160,BE,2025-12-01 18:45:02
2005,2721,Hepatology,153,BE,2025-12-01 18:45:02
2005,2206,Computational Mechanics,151,BE,2025-12-01 18:45:02
2005,2728,Neurology,151,BE,2025-12-01 18:45:02
2005,2735,"Pediatrics, Perinatology and Child Health",142,BE,2025-12-01 18:45:02
2005,2732,Orthopedics and Sports Medicine,140,BE,2025-12-01 18:45:02
2005,2003,Finance,137,BE,2025-12-01 18:45:02
2005,2000,"General Economics, Econometrics and Finance",133,BE,2025-12-01 18:45:02
2005,1402,Accounting,131,BE,2025-12-01 18:45:02
2005,1702,Artificial Intelligence,128,BE,2025-12-01 18:45:02
2005,2508,"Surfaces, Coatings and Films",123,BE,2025-12-01 18:45:02
2005,2303,Ecology,119,BE,2025-12-01 18:45:02
2005,2207,Control and Systems Engineering,116,BE,2025-12-01 18:45:02
2005,3108,Radiation,112,BE,2025-12-01 18:45:02
2005,1604,Inorganic Chemistry,110,BE,2025-12-01 18:45:02
2005,2507,Polymers and Plastics,107,BE,2025-12-01 18:45:02
2005,2736,Pharmacology,104,BE,2025-12-01 18:45:02
2005,3304,Education,103,BE,2025-12-01 18:45:02
2005,1503,Catalysis,102,BE,2025-12-01 18:45:02
2005,2916,Nutrition and Dietetics,102,BE,2025-12-01 18:45:02
2005,1106,Food Science,98,BE,2025-12-01 18:45:02
2005,3322,Urban Studies,96,BE,2025-12-01 18:45:02
2005,2711,Emergency Medicine,95,BE,2025-12-01 18:45:02
2005,3103,Astronomy and Astrophysics,92,BE,2025-12-01 18:45:02
2005,2715,Gastroenterology,90,BE,2025-12-01 18:45:02
2005,2716,Genetics,86,BE,2025-12-01 18:45:02
2005,2720,Hematology,85,BE,2025-12-01 18:45:02
2005,2743,Reproductive Medicine,85,BE,2025-12-01 18:45:02
2005,1803,Management Science and Operations Research,84,BE,2025-12-01 18:45:02
2005,2738,Psychiatry and Mental health,84,BE,2025-12-01 18:45:02
2005,1703,Computational Theory and Mathematics,82,BE,2025-12-01 18:45:02
2005,1305,Biotechnology,80,BE,2025-12-01 18:45:02
2005,3104,Condensed Matter Physics,77,BE,2025-12-01 18:45:02
2005,2805,Cognitive Neuroscience,76,BE,2025-12-01 18:45:02
