year,id,name,works_count,country,fetch_date
2005,2739,"Public Health, Environmental and Occupational Health",24,BH,2025-12-01 19:00:15
2005,2208,Electrical and Electronic Engineering,18,BH,2025-12-01 19:00:15
2005,2746,Surgery,17,BH,2025-12-01 19:00:15
2005,2713,Epidemiology,15,BH,2025-12-01 19:00:15
2005,3107,"Atomic and Molecular Physics, and Optics",9,BH,2025-12-01 19:00:15
2005,3304,Education,9,BH,2025-12-01 19:00:15
2005,3600,General Health Professions,9,BH,2025-12-01 19:00:15
2005,1702,Artificial Intelligence,7,BH,2025-12-01 19:00:15
2005,2002,Economics and Econometrics,5,BH,2025-12-01 19:00:15
2005,2505,Materials Chemistry,5,BH,2025-12-01 19:00:15
2005,3312,Sociology and Political Science,5,BH,2025-12-01 19:00:15
2005,2213,"Safety, Risk, Reliability and Quality",4,BH,2025-12-01 19:00:15
2005,2714,Family Practice,4,BH,2025-12-01 19:00:15
2005,2735,"Pediatrics, Perinatology and Child Health",4,BH,2025-12-01 19:00:15
2005,1311,Genetics,3,BH,2025-12-01 19:00:15
2005,1404,Management Information Systems,3,BH,2025-12-01 19:00:15
2005,2204,Biomedical Engineering,3,BH,2025-12-01 19:00:15
2005,2207,Control and Systems Engineering,3,BH,2025-12-01 19:00:15
2005,2403,Immunology,3,BH,2025-12-01 19:00:15
2005,2705,Cardiology and Cardiovascular Medicine,3,BH,2025-12-01 19:00:15
2005,2712,"Endocrinology, Diabetes and Metabolism",3,BH,2025-12-01 19:00:15
2005,2721,Hepatology,3,BH,2025-12-01 19:00:15
2005,2725,Infectious Diseases,3,BH,2025-12-01 19:00:15
2005,2743,Reproductive Medicine,3,BH,2025-12-01 19:00:15
2005,3203,Clinical Psychology,3,BH,2025-12-01 19:00:15
2005,3204,Developmental and Educational Psychology,3,BH,2025-12-01 19:00:15
2005,3604,Emergency Medical Services,3,BH,2025-12-01 19:00:15
2005,1405,Management of Technology and Innovation,2,BH,2025-12-01 19:00:15
2005,1407,Organizational Behavior and Human Resource Management,2,BH,2025-12-01 19:00:15
2005,1705,Computer Networks and Communications,2,BH,2025-12-01 19:00:15
