year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,50,BJ,2025-12-01 19:00:06
2005,2303,Ecology,26,BJ,2025-12-01 19:00:06
2005,1105,"Ecology, Evolution, Behavior and Systematics",19,BJ,2025-12-01 19:00:06
2005,2739,"Public Health, Environmental and Occupational Health",19,BJ,2025-12-01 19:00:06
2005,1109,Insect Science,18,BJ,2025-12-01 19:00:06
2005,3312,Sociology and Political Science,18,BJ,2025-12-01 19:00:06
2005,1312,Molecular Biology,17,BJ,2025-12-01 19:00:06
2005,2713,Epidemiology,12,BJ,2025-12-01 19:00:06
2005,1311,Genetics,10,BJ,2025-12-01 19:00:06
2005,1106,Food Science,9,BJ,2025-12-01 19:00:06
2005,2309,Nature and Landscape Conservation,9,BJ,2025-12-01 19:00:06
2005,1111,Soil Science,7,BJ,2025-12-01 19:00:06
2005,2405,Parasitology,7,BJ,2025-12-01 19:00:06
2005,3404,Small Animals,7,BJ,2025-12-01 19:00:06
2005,1107,Forestry,6,BJ,2025-12-01 19:00:06
2005,2725,Infectious Diseases,6,BJ,2025-12-01 19:00:06
2005,3600,General Health Professions,6,BJ,2025-12-01 19:00:06
2005,1910,Oceanography,5,BJ,2025-12-01 19:00:06
2005,3322,Urban Studies,5,BJ,2025-12-01 19:00:06
2005,1102,Agronomy and Crop Science,4,BJ,2025-12-01 19:00:06
2005,1104,Aquatic Science,4,BJ,2025-12-01 19:00:06
2005,2306,Global and Planetary Change,4,BJ,2025-12-01 19:00:06
2005,2746,Surgery,4,BJ,2025-12-01 19:00:06
2005,1100,General Agricultural and Biological Sciences,3,BJ,2025-12-01 19:00:06
2005,2308,"Management, Monitoring, Policy and Law",3,BJ,2025-12-01 19:00:06
2005,2735,"Pediatrics, Perinatology and Child Health",3,BJ,2025-12-01 19:00:06
2005,2916,Nutrition and Dietetics,3,BJ,2025-12-01 19:00:06
2005,1108,Horticulture,2,BJ,2025-12-01 19:00:06
2005,1303,Biochemistry,2,BJ,2025-12-01 19:00:06
2005,1407,Organizational Behavior and Human Resource Management,2,BJ,2025-12-01 19:00:06
2005,2002,Economics and Econometrics,2,BJ,2025-12-01 19:00:06
2005,2304,Environmental Chemistry,2,BJ,2025-12-01 19:00:06
2005,2403,Immunology,2,BJ,2025-12-01 19:00:06
2005,2736,Pharmacology,2,BJ,2025-12-01 19:00:06
2005,2737,Physiology,2,BJ,2025-12-01 19:00:06
2005,3320,Political Science and International Relations,2,BJ,2025-12-01 19:00:06
2005,1307,Cell Biology,1,BJ,2025-12-01 19:00:06
2005,1408,Strategy and Management,1,BJ,2025-12-01 19:00:06
2005,1902,Atmospheric Science,1,BJ,2025-12-01 19:00:06
2005,1904,Earth-Surface Processes,1,BJ,2025-12-01 19:00:06
2005,1908,Geophysics,1,BJ,2025-12-01 19:00:06
2005,1911,Paleontology,1,BJ,2025-12-01 19:00:06
2005,2307,"Health, Toxicology and Mutagenesis",1,BJ,2025-12-01 19:00:06
2005,2704,Biochemistry,1,BJ,2025-12-01 19:00:06
2005,2705,Cardiology and Cardiovascular Medicine,1,BJ,2025-12-01 19:00:06
2005,2707,Complementary and alternative medicine,1,BJ,2025-12-01 19:00:06
2005,2708,Dermatology,1,BJ,2025-12-01 19:00:06
2005,2711,Emergency Medicine,1,BJ,2025-12-01 19:00:06
2005,2720,Hematology,1,BJ,2025-12-01 19:00:06
2005,2729,Obstetrics and Gynecology,1,BJ,2025-12-01 19:00:06
2005,2743,Reproductive Medicine,1,BJ,2025-12-01 19:00:06
2005,2745,Rheumatology,1,BJ,2025-12-01 19:00:06
2005,3004,Pharmacology,1,BJ,2025-12-01 19:00:06
2005,3207,Social Psychology,1,BJ,2025-12-01 19:00:06
2005,3305,"Geography, Planning and Development",1,BJ,2025-12-01 19:00:06
2005,3306,Health,1,BJ,2025-12-01 19:00:06
2005,3308,Law,1,BJ,2025-12-01 19:00:06
2005,3311,Safety Research,1,BJ,2025-12-01 19:00:06
2005,3314,Anthropology,1,BJ,2025-12-01 19:00:06
2005,3318,Gender Studies,1,BJ,2025-12-01 19:00:06
2006,1110,Plant Science,53,BJ,2025-12-01 19:00:06
2006,1105,"Ecology, Evolution, Behavior and Systematics",32,BJ,2025-12-01 19:00:06
2006,2739,"Public Health, Environmental and Occupational Health",27,BJ,2025-12-01 19:00:06
2006,2303,Ecology,23,BJ,2025-12-01 19:00:06
2006,1109,Insect Science,17,BJ,2025-12-01 19:00:06
2006,2713,Epidemiology,17,BJ,2025-12-01 19:00:06
2006,3312,Sociology and Political Science,15,BJ,2025-12-01 19:00:06
2006,1106,Food Science,12,BJ,2025-12-01 19:00:06
2006,1107,Forestry,12,BJ,2025-12-01 19:00:06
2006,1311,Genetics,12,BJ,2025-12-01 19:00:06
2006,1312,Molecular Biology,12,BJ,2025-12-01 19:00:06
2006,2725,Infectious Diseases,10,BJ,2025-12-01 19:00:06
2006,3600,General Health Professions,10,BJ,2025-12-01 19:00:06
2006,2306,Global and Planetary Change,8,BJ,2025-12-01 19:00:06
2006,2309,Nature and Landscape Conservation,8,BJ,2025-12-01 19:00:06
2006,1102,Agronomy and Crop Science,7,BJ,2025-12-01 19:00:06
2006,2916,Nutrition and Dietetics,7,BJ,2025-12-01 19:00:06
2006,2403,Immunology,6,BJ,2025-12-01 19:00:06
2006,2405,Parasitology,6,BJ,2025-12-01 19:00:06
2006,1100,General Agricultural and Biological Sciences,5,BJ,2025-12-01 19:00:06
2006,1111,Soil Science,5,BJ,2025-12-01 19:00:06
2006,2304,Environmental Chemistry,5,BJ,2025-12-01 19:00:06
2006,2729,Obstetrics and Gynecology,5,BJ,2025-12-01 19:00:06
2006,1104,Aquatic Science,3,BJ,2025-12-01 19:00:06
2006,2737,Physiology,3,BJ,2025-12-01 19:00:06
2006,3320,Political Science and International Relations,3,BJ,2025-12-01 19:00:06
2006,3404,Small Animals,3,BJ,2025-12-01 19:00:06
2006,1108,Horticulture,2,BJ,2025-12-01 19:00:06
2006,1202,History,2,BJ,2025-12-01 19:00:06
2006,1306,Cancer Research,2,BJ,2025-12-01 19:00:06
2006,1307,Cell Biology,2,BJ,2025-12-01 19:00:06
2006,2002,Economics and Econometrics,2,BJ,2025-12-01 19:00:06
2006,2307,"Health, Toxicology and Mutagenesis",2,BJ,2025-12-01 19:00:06
2006,2308,"Management, Monitoring, Policy and Law",2,BJ,2025-12-01 19:00:06
2006,2404,Microbiology,2,BJ,2025-12-01 19:00:06
2006,2406,Virology,2,BJ,2025-12-01 19:00:06
2006,2735,"Pediatrics, Perinatology and Child Health",2,BJ,2025-12-01 19:00:06
2006,2736,Pharmacology,2,BJ,2025-12-01 19:00:06
2006,2745,Rheumatology,2,BJ,2025-12-01 19:00:06
2006,2746,Surgery,2,BJ,2025-12-01 19:00:06
2006,3322,Urban Studies,2,BJ,2025-12-01 19:00:06
2006,1103,Animal Science and Zoology,1,BJ,2025-12-01 19:00:06
2006,1204,Archeology,1,BJ,2025-12-01 19:00:06
2006,1211,Philosophy,1,BJ,2025-12-01 19:00:06
2006,1303,Biochemistry,1,BJ,2025-12-01 19:00:06
2006,1305,Biotechnology,1,BJ,2025-12-01 19:00:06
2006,1308,Clinical Biochemistry,1,BJ,2025-12-01 19:00:06
2006,1310,Endocrinology,1,BJ,2025-12-01 19:00:06
2006,1705,Computer Networks and Communications,1,BJ,2025-12-01 19:00:06
2006,1902,Atmospheric Science,1,BJ,2025-12-01 19:00:06
2006,1904,Earth-Surface Processes,1,BJ,2025-12-01 19:00:06
2006,1908,Geophysics,1,BJ,2025-12-01 19:00:06
