subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,"Towards Sustainable Energy: A Systematic Review of Renewable Energy Sources, Technologies, and Public Opinions",https://doi.org/10.1109/access.2019.2906402,2019,1035,https://openalex.org/W2945102769
3312,Sociology and Political Science,Smartphones usage in the classrooms: Learning aid or interference?,https://doi.org/10.1007/s10639-017-9572-7,2017,429,https://openalex.org/W2578905268
3312,Sociology and Political Science,Blockchain Medledger: Hyperledger fabric enabled drug traceability system for counterfeit drugs in pharmaceutical industry,https://doi.org/10.1016/j.ijpharm.2021.120235,2021,216,https://openalex.org/W3126435510
2208,Electrical and Electronic Engineering,Advanced materials and technologies for hybrid supercapacitors for energy storage – A review,https://doi.org/10.1016/j.est.2019.100852,2019,692,https://openalex.org/W2965923045
2208,Electrical and Electronic Engineering,Conducting PANI stimulated ZnO system for visible light photocatalytic degradation of coloured dyes,https://doi.org/10.1016/j.molliq.2016.06.074,2016,673,https://openalex.org/W2462226888
2208,Electrical and Electronic Engineering,Metal oxides as photocatalysts,https://doi.org/10.1016/j.jscs.2015.04.003,2015,638,https://openalex.org/W1978761857
3304,Education,Smartphones usage in the classrooms: Learning aid or interference?,https://doi.org/10.1007/s10639-017-9572-7,2017,429,https://openalex.org/W2578905268
3304,Education,Prevalence of depressive symptoms among adolescents in secondary school in mainland China: A systematic review and meta-analysis,https://doi.org/10.1016/j.jad.2018.11.043,2018,278,https://openalex.org/W2899567937
3304,Education,School Connectedness and Problematic Internet Use in Adolescents: A Moderated Mediation Model of Deviant Peer Affiliation and Self-Control,https://doi.org/10.1007/s10802-013-9761-9,2013,182,https://openalex.org/W2014230480
2204,Biomedical Engineering,Effect of process parameters on production of biochar from biomass waste through pyrolysis: A review,https://doi.org/10.1016/j.rser.2015.10.122,2015,1545,https://openalex.org/W2178640296
2204,Biomedical Engineering,Bioethanol production from renewable sources: Current perspectives and technological progress,https://doi.org/10.1016/j.rser.2016.12.076,2017,779,https://openalex.org/W2571407906
2204,Biomedical Engineering,Fuel ethanol production from lignocellulosic biomass: An overview on feedstocks and technological approaches,https://doi.org/10.1016/j.rser.2016.08.038,2016,756,https://openalex.org/W2509184164
2505,Materials Chemistry,"Hydrogen production, storage, transportation and key challenges with applications: A review",https://doi.org/10.1016/j.enconman.2018.03.088,2018,1632,https://openalex.org/W2796444718
2505,Materials Chemistry,Review on Ammonia as a Potential Fuel: From Synthesis to Economics,https://doi.org/10.1021/acs.energyfuels.0c03685,2021,845,https://openalex.org/W3134967399
2505,Materials Chemistry,Nitrogen-doped titanium dioxide (N-doped TiO<sub>2</sub>) for visible light photocatalysis,https://doi.org/10.1039/c5nj03478g,2016,657,https://openalex.org/W2264518439
2002,Economics and Econometrics,Understanding the Effects of Government Spending on Consumption,https://doi.org/10.1162/jeea.2007.5.1.227,2007,1881,https://openalex.org/W2149530077
2002,Economics and Econometrics,Online pharmacies: desirable characteristics and regulations,https://doi.org/10.1007/s40267-020-00727-9,2020,377,https://openalex.org/W3016052868
2002,Economics and Econometrics,Drug safety in China,https://doi.org/10.1016/b978-0-12-819837-7.00028-5,2020,367,https://openalex.org/W3033987658
2210,Mechanical Engineering,Patent landscape review on biodiesel production: Technology updates,https://doi.org/10.1016/j.rser.2019.109526,2019,414,https://openalex.org/W2986844658
2210,Mechanical Engineering,"A techno-economic review on carbon capture, utilisation and storage systems for achieving a net-zero CO2 emissions future",https://doi.org/10.1016/j.ccst.2022.100044,2022,380,https://openalex.org/W4220658494
2210,Mechanical Engineering,Thermal properties of beeswax/graphene phase change material as energy storage for building applications,https://doi.org/10.1016/j.applthermaleng.2016.10.085,2016,343,https://openalex.org/W2531414265
1402,Accounting,Understanding the Effects of Government Spending on Consumption,https://doi.org/10.1162/jeea.2007.5.1.227,2007,1881,https://openalex.org/W2149530077
1402,Accounting,Fintech-based financial inclusion and bank risk-taking: Evidence from OIC countries,https://doi.org/10.1016/j.intfin.2021.101447,2021,187,https://openalex.org/W3206119721
1402,Accounting,"Board gender diversity and transparency of environmental, social and governance disclosure: Evidence from Malaysia",https://doi.org/10.1002/mde.3099,2019,179,https://openalex.org/W2982662624
1702,Artificial Intelligence,Exploring Data Security Issues and Solutions in Cloud Computing,https://doi.org/10.1016/j.procs.2017.12.089,2018,257,https://openalex.org/W2783317467
1702,Artificial Intelligence,Water cycle algorithm with evaporation rate for solving constrained and unconstrained optimization problems,https://doi.org/10.1016/j.asoc.2015.01.050,2015,210,https://openalex.org/W2170400052
1702,Artificial Intelligence,Deep Learning for Depression Detection from Textual Data,https://doi.org/10.3390/electronics11050676,2022,194,https://openalex.org/W4213206766
1710,Information Systems,A systematic review of software development cost estimation studies,https://doi.org/10.1109/tse.2007.3,2007,749,https://openalex.org/W2151511199
1710,Information Systems,A Systematic Review of Software Development Cost Estimation Studies,https://doi.org/10.1109/tse.2007.256943,2006,702,https://openalex.org/W3143822685
1710,Information Systems,Mobile Health Apps on COVID-19 Launched in the Early Days of the Pandemic: Content Analysis and Review,https://doi.org/10.2196/19796,2020,585,https://openalex.org/W3038855713
