year,id,name,works_count,country,fetch_date
2005,3312,Sociology and Political Science,11,BN,2025-12-01 19:03:09
2005,2208,Electrical and Electronic Engineering,6,BN,2025-12-01 19:03:09
2005,2210,Mechanical Engineering,6,BN,2025-12-01 19:03:09
2005,2206,Computational Mechanics,5,BN,2025-12-01 19:03:09
2005,2505,Materials Chemistry,5,BN,2025-12-01 19:03:09
2005,1402,Accounting,4,BN,2025-12-01 19:03:09
2005,2002,Economics and Econometrics,4,BN,2025-12-01 19:03:09
2005,2003,Finance,4,BN,2025-12-01 19:03:09
2005,2204,Biomedical Engineering,4,BN,2025-12-01 19:03:09
2005,2212,Ocean Engineering,4,BN,2025-12-01 19:03:09
2005,3107,"Atomic and Molecular Physics, and Optics",4,BN,2025-12-01 19:03:09
2005,3304,Education,4,BN,2025-12-01 19:03:09
2005,3320,Political Science and International Relations,4,BN,2025-12-01 19:03:09
2005,1702,Artificial Intelligence,3,BN,2025-12-01 19:03:09
2005,1710,Information Systems,3,BN,2025-12-01 19:03:09
2005,1803,Management Science and Operations Research,3,BN,2025-12-01 19:03:09
2005,2211,Mechanics of Materials,3,BN,2025-12-01 19:03:09
2005,1705,Computer Networks and Communications,2,BN,2025-12-01 19:03:09
2005,1707,Computer Vision and Pattern Recognition,2,BN,2025-12-01 19:03:09
2005,1712,Software,2,BN,2025-12-01 19:03:09
2005,1802,Information Systems and Management,2,BN,2025-12-01 19:03:09
2005,3204,Developmental and Educational Psychology,2,BN,2025-12-01 19:03:09
2005,1100,General Agricultural and Biological Sciences,1,BN,2025-12-01 19:03:09
2005,1203,Language and Linguistics,1,BN,2025-12-01 19:03:09
2005,1404,Management Information Systems,1,BN,2025-12-01 19:03:09
2005,1406,Marketing,1,BN,2025-12-01 19:03:09
2005,1507,Fluid Flow and Transfer Processes,1,BN,2025-12-01 19:03:09
2005,1711,Signal Processing,1,BN,2025-12-01 19:03:09
2005,2207,Control and Systems Engineering,1,BN,2025-12-01 19:03:09
2005,2308,"Management, Monitoring, Policy and Law",1,BN,2025-12-01 19:03:09
2005,2507,Polymers and Plastics,1,BN,2025-12-01 19:03:09
2005,3103,Astronomy and Astrophysics,1,BN,2025-12-01 19:03:09
2005,3106,Nuclear and High Energy Physics,1,BN,2025-12-01 19:03:09
2005,3205,Experimental and Cognitive Psychology,1,BN,2025-12-01 19:03:09
2005,3311,Safety Research,1,BN,2025-12-01 19:03:09
2005,3317,Demography,1,BN,2025-12-01 19:03:09
2005,3322,Urban Studies,1,BN,2025-12-01 19:03:09
2006,3312,Sociology and Political Science,12,BN,2025-12-01 19:03:09
2006,2208,Electrical and Electronic Engineering,9,BN,2025-12-01 19:03:09
2006,3304,Education,8,BN,2025-12-01 19:03:09
2006,1702,Artificial Intelligence,6,BN,2025-12-01 19:03:09
2006,2210,Mechanical Engineering,5,BN,2025-12-01 19:03:09
2006,2212,Ocean Engineering,4,BN,2025-12-01 19:03:09
2006,1705,Computer Networks and Communications,3,BN,2025-12-01 19:03:09
2006,1710,Information Systems,3,BN,2025-12-01 19:03:09
2006,1402,Accounting,2,BN,2025-12-01 19:03:09
2006,1703,Computational Theory and Mathematics,2,BN,2025-12-01 19:03:09
2006,1707,Computer Vision and Pattern Recognition,2,BN,2025-12-01 19:03:09
2006,1712,Software,2,BN,2025-12-01 19:03:09
2006,2002,Economics and Econometrics,2,BN,2025-12-01 19:03:09
2006,2207,Control and Systems Engineering,2,BN,2025-12-01 19:03:09
2006,3307,Human Factors and Ergonomics,2,BN,2025-12-01 19:03:09
2006,3310,Linguistics and Language,2,BN,2025-12-01 19:03:09
2006,3318,Gender Studies,2,BN,2025-12-01 19:03:09
2006,3600,General Health Professions,2,BN,2025-12-01 19:03:09
2006,1203,Language and Linguistics,1,BN,2025-12-01 19:03:09
2006,1208,Literature and Literary Theory,1,BN,2025-12-01 19:03:09
2006,1209,Museology,1,BN,2025-12-01 19:03:09
2006,1407,Organizational Behavior and Human Resource Management,1,BN,2025-12-01 19:03:09
2006,1502,Bioengineering,1,BN,2025-12-01 19:03:09
2006,1803,Management Science and Operations Research,1,BN,2025-12-01 19:03:09
2006,1908,Geophysics,1,BN,2025-12-01 19:03:09
2006,2003,Finance,1,BN,2025-12-01 19:03:09
2006,2202,Aerospace Engineering,1,BN,2025-12-01 19:03:09
2006,2204,Biomedical Engineering,1,BN,2025-12-01 19:03:09
2006,2505,Materials Chemistry,1,BN,2025-12-01 19:03:09
2006,2739,"Public Health, Environmental and Occupational Health",1,BN,2025-12-01 19:03:09
2006,2805,Cognitive Neuroscience,1,BN,2025-12-01 19:03:09
2006,3103,Astronomy and Astrophysics,1,BN,2025-12-01 19:03:09
2006,3105,Instrumentation,1,BN,2025-12-01 19:03:09
2006,3106,Nuclear and High Energy Physics,1,BN,2025-12-01 19:03:09
