subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,Resilience: New Utopia or New Tyranny? Reflection about the Potentials and Limits of the Concept of Resilience in Relation to Vulnerability Reduction Programmes,https://doi.org/10.1111/j.2040-0209.2012.00405.x,2012,738,https://openalex.org/W2126155747
3312,Sociology and Political Science,"CROSS‐NATIONAL DIFFERENCES IN RELATIONSHIPS OF WORK DEMANDS, JOB SATISFACTION, AND TURNOVER INTENTIONS WITH WORK–FAMILY CONFLICT",https://doi.org/10.1111/j.1744-6570.2007.00092.x,2007,471,https://openalex.org/W2145326460
3312,Sociology and Political Science,Environmental justice and the SDGs: from synergies to gaps and contradictions,https://doi.org/10.1007/s11625-020-00789-8,2020,352,https://openalex.org/W3016195942
3312,Sociology and Political Science,"COVID-19, aftermath, impacts, and hospitality firms: An international perspective",https://doi.org/10.1016/j.ijhm.2020.102654,2020,341,https://openalex.org/W3080788958
3312,Sociology and Political Science,Fragmentation of Andes-to-Amazon connectivity by hydropower dams,https://doi.org/10.1126/sciadv.aao1642,2018,329,https://openalex.org/W2788693165
3312,Sociology and Political Science,"Flexible Work Arrangements Availability and their Relationship with Work‐to‐Family Conflict, Job Satisfaction, and Turnover Intentions: A Comparison of Three Country Clusters",https://doi.org/10.1111/j.1464-0597.2011.00453.x,2011,248,https://openalex.org/W2120620363
3312,Sociology and Political Science,"""Economía Internacional""",https://doi.org/10.32418/rfs.2015.278.1634,2015,215,https://openalex.org/W4234905088
3312,Sociology and Political Science,Exploring the challenges of remote work on Twitter users' sentiments: From digital technology development to a post-pandemic era,https://doi.org/10.1016/j.jbusres.2021.12.052,2022,190,https://openalex.org/W4205930438
3312,Sociology and Political Science,Crowdsourcing hypothesis tests: Making transparent how design choices shape research results.,https://doi.org/10.1037/bul0000220,2020,172,https://openalex.org/W2991191531
3312,Sociology and Political Science,Proactive career behaviors and subjective career success: The moderating role of national culture,https://doi.org/10.1002/job.2316,2018,156,https://openalex.org/W2888091607
3304,Education,Going the Distance With Online Education,https://doi.org/10.3102/00346543076004567,2006,511,https://openalex.org/W2158935892
3304,Education,Teacher–Child Relationships and the Development of Academic and Behavioral Skills During Elementary School: A Within‐ and Between‐Child Analysis,https://doi.org/10.1111/j.1467-8624.2010.01533.x,2011,179,https://openalex.org/W1771263328
3304,Education,Decolonial pedagogies walking and asking. Notes to Paulo Freire from AbyaYala,https://doi.org/10.1080/02601370.2014.991522,2015,143,https://openalex.org/W2044284403
3304,Education,Measuring Skills in Developing Countries,https://doi.org/10.1596/1813-9450-8000,2017,143,https://openalex.org/W3086968535
3304,Education,Child Care and the Development of Behavior Problems Among Economically Disadvantaged Children in Middle Childhood,https://doi.org/10.1111/j.1467-8624.2010.01485.x,2010,110,https://openalex.org/W1855728973
3304,Education,"""Exploring Strategy. Text and Cases""",https://doi.org/10.32418/rfs.2015.278.1639,2015,107,https://openalex.org/W3012306613
3304,Education,Teleducación en tiempos de COVID-19: brechas de desigualdad,https://doi.org/10.33210/ca.v9i2.307,2020,80,https://openalex.org/W3035768772
3304,Education,Colonialidade e pedagogia decolonial: Para pensar uma educação outra,https://doi.org/10.14507/epaa.26.3874,2018,80,https://openalex.org/W2884844535
3304,Education,Presentación. Juegos digitales y gamificación aplicados en el ámbito de la educación,https://doi.org/10.5944/ried.19.2.16143,2016,66,https://openalex.org/W2418728503
3304,Education,"El concepto de innovación social: ámbitos, definiciones y alcances teóricos",https://doi.org/10.7203/ciriec-e.88.8849,2017,59,https://openalex.org/W2623929164
3320,Political Science and International Relations,Environmental justice and the SDGs: from synergies to gaps and contradictions,https://doi.org/10.1007/s11625-020-00789-8,2020,352,https://openalex.org/W3016195942
3320,Political Science and International Relations,THE POLITICAL ECONOMY OF FISCAL DEFICITS: A SURVEY,https://doi.org/10.1111/j.1467-6419.2010.00647.x,2010,186,https://openalex.org/W2102901098
3320,Political Science and International Relations,Decolonial pedagogies walking and asking. Notes to Paulo Freire from AbyaYala,https://doi.org/10.1080/02601370.2014.991522,2015,143,https://openalex.org/W2044284403
3320,Political Science and International Relations,Decentralization and access to social services in Colombia,https://doi.org/10.1007/s11127-013-0077-7,2013,128,https://openalex.org/W1990658979
3320,Political Science and International Relations,Formal Law and Local Water Control in the Andean Region: A Fiercely Contested Field,https://doi.org/10.1080/07900620500405049,2006,88,https://openalex.org/W2057797022
3320,Political Science and International Relations,"Producción de fibra de alpaca, llama, vicuña y guanaco en Sudamérica",https://doi.org/10.1017/s1014233909990277,2009,83,https://openalex.org/W2157804066
3320,Political Science and International Relations,The Transaction Costs of Government Responses to the <scp>COVID</scp>‐19 Emergency in Latin America,https://doi.org/10.1111/puar.13259,2020,83,https://openalex.org/W3033168227
3320,Political Science and International Relations,Latin American IR and the Primacy of<i>lo práctico</i><sup>1</sup>,https://doi.org/10.1111/j.1468-2486.2008.00829.x,2008,64,https://openalex.org/W2067499766
3320,Political Science and International Relations,"Epistemic oppression, resistance, and resurgence",https://doi.org/10.1057/s41296-021-00483-z,2021,62,https://openalex.org/W3156349801
3320,Political Science and International Relations,On the Rights of Warlords: Legitimate Authority and Basic Protection in War-Torn Societies,https://doi.org/10.1017/s0003055416000423,2016,61,https://openalex.org/W2551098081
1110,Plant Science,"Wine, Beer, Snuff, Medicine, and Loss of Diversity - Ethnobotanical travels in the Georgian Caucasus",https://doi.org/10.17348/era.12.0.237-313,2014,982,https://openalex.org/W1754328501
