year,id,name,works_count,country,fetch_date
2005,2002,Economics and Econometrics,2,BS,2025-12-03 12:47:46
2005,2309,Nature and Landscape Conservation,2,BS,2025-12-03 12:47:46
2005,3312,Sociology and Political Science,2,BS,2025-12-03 12:47:46
2005,1208,Literature and Literary Theory,1,BS,2025-12-03 12:47:46
2005,1311,Genetics,1,BS,2025-12-03 12:47:46
2005,1407,Organizational Behavior and Human Resource Management,1,BS,2025-12-03 12:47:46
2005,1408,Strategy and Management,1,BS,2025-12-03 12:47:46
2005,2302,Ecological Modeling,1,BS,2025-12-03 12:47:46
2005,2306,Global and Planetary Change,1,BS,2025-12-03 12:47:46
2005,2406,Virology,1,BS,2025-12-03 12:47:46
2005,3207,Social Psychology,1,BS,2025-12-03 12:47:46
2005,3305,"Geography, Planning and Development",1,BS,2025-12-03 12:47:46
2005,3308,Law,1,BS,2025-12-03 12:47:46
2005,3316,Cultural Studies,1,BS,2025-12-03 12:47:46
2005,3322,Urban Studies,1,BS,2025-12-03 12:47:46
2006,2002,Economics and Econometrics,3,BS,2025-12-03 12:47:46
2006,2303,Ecology,3,BS,2025-12-03 12:47:46
2006,3316,Cultural Studies,3,BS,2025-12-03 12:47:46
2006,2306,Global and Planetary Change,2,BS,2025-12-03 12:47:46
2006,3310,Linguistics and Language,2,BS,2025-12-03 12:47:46
2006,3312,Sociology and Political Science,2,BS,2025-12-03 12:47:46
2006,1110,Plant Science,1,BS,2025-12-03 12:47:46
2006,1212,Religious studies,1,BS,2025-12-03 12:47:46
2006,1309,Developmental Biology,1,BS,2025-12-03 12:47:46
2006,1311,Genetics,1,BS,2025-12-03 12:47:46
2006,1408,Strategy and Management,1,BS,2025-12-03 12:47:46
2006,1710,Information Systems,1,BS,2025-12-03 12:47:46
2006,1910,Oceanography,1,BS,2025-12-03 12:47:46
2006,2309,Nature and Landscape Conservation,1,BS,2025-12-03 12:47:46
2006,2739,"Public Health, Environmental and Occupational Health",1,BS,2025-12-03 12:47:46
2006,3303,Development,1,BS,2025-12-03 12:47:46
2006,3304,Education,1,BS,2025-12-03 12:47:46
2006,3308,Law,1,BS,2025-12-03 12:47:46
2006,3309,Library and Information Sciences,1,BS,2025-12-03 12:47:46
2006,3320,Political Science and International Relations,1,BS,2025-12-03 12:47:46
2007,3312,Sociology and Political Science,8,BS,2025-12-03 12:47:46
2007,2303,Ecology,5,BS,2025-12-03 12:47:46
2007,1311,Genetics,4,BS,2025-12-03 12:47:46
2007,3316,Cultural Studies,4,BS,2025-12-03 12:47:46
2007,3600,General Health Professions,4,BS,2025-12-03 12:47:46
2007,1902,Atmospheric Science,3,BS,2025-12-03 12:47:46
2007,3305,"Geography, Planning and Development",3,BS,2025-12-03 12:47:46
2007,1910,Oceanography,2,BS,2025-12-03 12:47:46
2007,2002,Economics and Econometrics,2,BS,2025-12-03 12:47:46
2007,2306,Global and Planetary Change,2,BS,2025-12-03 12:47:46
2007,2406,Virology,2,BS,2025-12-03 12:47:46
2007,2725,Infectious Diseases,2,BS,2025-12-03 12:47:46
2007,3207,Social Psychology,2,BS,2025-12-03 12:47:46
2007,3304,Education,2,BS,2025-12-03 12:47:46
2007,3308,Law,2,BS,2025-12-03 12:47:46
2007,1103,Animal Science and Zoology,1,BS,2025-12-03 12:47:46
2007,1104,Aquatic Science,1,BS,2025-12-03 12:47:46
2007,1204,Archeology,1,BS,2025-12-03 12:47:46
2007,1208,Literature and Literary Theory,1,BS,2025-12-03 12:47:46
2007,1212,Religious studies,1,BS,2025-12-03 12:47:46
2007,1911,Paleontology,1,BS,2025-12-03 12:47:46
2007,2308,"Management, Monitoring, Policy and Law",1,BS,2025-12-03 12:47:46
2007,2608,Geometry and Topology,1,BS,2025-12-03 12:47:46
2007,2739,"Public Health, Environmental and Occupational Health",1,BS,2025-12-03 12:47:46
2007,2743,Reproductive Medicine,1,BS,2025-12-03 12:47:46
2007,3203,Clinical Psychology,1,BS,2025-12-03 12:47:46
2007,3310,Linguistics and Language,1,BS,2025-12-03 12:47:46
2007,3317,Demography,1,BS,2025-12-03 12:47:46
2007,3318,Gender Studies,1,BS,2025-12-03 12:47:46
2008,3316,Cultural Studies,30,BS,2025-12-03 12:47:46
2008,3312,Sociology and Political Science,21,BS,2025-12-03 12:47:46
2008,3304,Education,13,BS,2025-12-03 12:47:46
2008,1311,Genetics,7,BS,2025-12-03 12:47:46
2008,3314,Anthropology,6,BS,2025-12-03 12:47:46
2008,1208,Literature and Literary Theory,4,BS,2025-12-03 12:47:46
2008,2303,Ecology,3,BS,2025-12-03 12:47:46
2008,2406,Virology,3,BS,2025-12-03 12:47:46
2008,2725,Infectious Diseases,3,BS,2025-12-03 12:47:46
2008,3305,"Geography, Planning and Development",3,BS,2025-12-03 12:47:46
2008,3308,Law,3,BS,2025-12-03 12:47:46
2008,3600,General Health Professions,3,BS,2025-12-03 12:47:46
2008,1202,History,2,BS,2025-12-03 12:47:46
2008,1212,Religious studies,2,BS,2025-12-03 12:47:46
2008,1910,Oceanography,2,BS,2025-12-03 12:47:46
2008,2306,Global and Planetary Change,2,BS,2025-12-03 12:47:46
2008,3203,Clinical Psychology,2,BS,2025-12-03 12:47:46
2008,3311,Safety Research,2,BS,2025-12-03 12:47:46
2008,1312,Molecular Biology,1,BS,2025-12-03 12:47:46
2008,1402,Accounting,1,BS,2025-12-03 12:47:46
2008,1405,Management of Technology and Innovation,1,BS,2025-12-03 12:47:46
2008,1408,Strategy and Management,1,BS,2025-12-03 12:47:46
2008,2002,Economics and Econometrics,1,BS,2025-12-03 12:47:46
2008,2308,"Management, Monitoring, Policy and Law",1,BS,2025-12-03 12:47:46
2008,2309,Nature and Landscape Conservation,1,BS,2025-12-03 12:47:46
2008,2613,Statistics and Probability,1,BS,2025-12-03 12:47:46
2008,2739,"Public Health, Environmental and Occupational Health",1,BS,2025-12-03 12:47:46
2008,3204,Developmental and Educational Psychology,1,BS,2025-12-03 12:47:46
2008,3310,Linguistics and Language,1,BS,2025-12-03 12:47:46
2008,3317,Demography,1,BS,2025-12-03 12:47:46
2008,3320,Political Science and International Relations,1,BS,2025-12-03 12:47:46
2008,3322,Urban Studies,1,BS,2025-12-03 12:47:46
2009,3312,Sociology and Political Science,9,BS,2025-12-03 12:47:46
2009,3316,Cultural Studies,8,BS,2025-12-03 12:47:46
2009,3600,General Health Professions,6,BS,2025-12-03 12:47:46
2009,2309,Nature and Landscape Conservation,5,BS,2025-12-03 12:47:46
2009,1104,Aquatic Science,4,BS,2025-12-03 12:47:46
2009,3304,Education,4,BS,2025-12-03 12:47:46
2009,1311,Genetics,3,BS,2025-12-03 12:47:46
2009,2303,Ecology,3,BS,2025-12-03 12:47:46
2009,3203,Clinical Psychology,3,BS,2025-12-03 12:47:46
2009,3311,Safety Research,3,BS,2025-12-03 12:47:46
2009,1212,Religious studies,2,BS,2025-12-03 12:47:46
2009,2002,Economics and Econometrics,2,BS,2025-12-03 12:47:46
2009,2306,Global and Planetary Change,2,BS,2025-12-03 12:47:46
2009,2406,Virology,2,BS,2025-12-03 12:47:46
2009,2725,Infectious Diseases,2,BS,2025-12-03 12:47:46
2009,3207,Social Psychology,2,BS,2025-12-03 12:47:46
2009,3305,"Geography, Planning and Development",2,BS,2025-12-03 12:47:46
2009,3306,Health,2,BS,2025-12-03 12:47:46
2009,3314,Anthropology,2,BS,2025-12-03 12:47:46
2009,1208,Literature and Literary Theory,1,BS,2025-12-03 12:47:46
2009,1309,Developmental Biology,1,BS,2025-12-03 12:47:46
2009,1312,Molecular Biology,1,BS,2025-12-03 12:47:46
2009,1402,Accounting,1,BS,2025-12-03 12:47:46
2009,1803,Management Science and Operations Research,1,BS,2025-12-03 12:47:46
2009,1902,Atmospheric Science,1,BS,2025-12-03 12:47:46
2009,1904,Earth-Surface Processes,1,BS,2025-12-03 12:47:46
2009,1910,Oceanography,1,BS,2025-12-03 12:47:46
2009,2000,"General Economics, Econometrics and Finance",1,BS,2025-12-03 12:47:46
2009,2308,"Management, Monitoring, Policy and Law",1,BS,2025-12-03 12:47:46
2009,2922,Research and Theory,1,BS,2025-12-03 12:47:46
2009,3310,Linguistics and Language,1,BS,2025-12-03 12:47:46
2009,3608,Medical Terminology,1,BS,2025-12-03 12:47:46
2010,3312,Sociology and Political Science,11,BS,2025-12-03 12:47:46
2010,2309,Nature and Landscape Conservation,10,BS,2025-12-03 12:47:46
2010,2303,Ecology,9,BS,2025-12-03 12:47:46
2010,3316,Cultural Studies,7,BS,2025-12-03 12:47:46
2010,1311,Genetics,6,BS,2025-12-03 12:47:46
2010,2306,Global and Planetary Change,6,BS,2025-12-03 12:47:46
2010,3600,General Health Professions,6,BS,2025-12-03 12:47:46
2010,3203,Clinical Psychology,5,BS,2025-12-03 12:47:46
2010,2002,Economics and Econometrics,4,BS,2025-12-03 12:47:46
2010,3306,Health,4,BS,2025-12-03 12:47:46
2010,3317,Demography,3,BS,2025-12-03 12:47:46
2010,1104,Aquatic Science,2,BS,2025-12-03 12:47:46
2010,1312,Molecular Biology,2,BS,2025-12-03 12:47:46
