subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,A Literature Review on Impact of COVID-19 Pandemic on Teaching and Learning,https://doi.org/10.1177/2347631120983481,2021,2302,https://openalex.org/W3124004752
3304,Education,Self-reported TPACK of teacher educators across six countries in Asia and Europe,https://doi.org/10.1007/s10639-020-10106-6,2020,84,https://openalex.org/W2998740637
3304,Education,The Effect of Using Cooperative Learning Method on Tenth Grade Students’ Learning Achievement and Attitude towards Biology,https://doi.org/10.12973/iji.2018.11218a,2018,79,https://openalex.org/W2795166925
2303,Ecology,The future of biotic indices in the ecogenomic era: Integrating (e)DNA metabarcoding in biological assessment of aquatic ecosystems,https://doi.org/10.1016/j.scitotenv.2018.05.002,2018,518,https://openalex.org/W2803272388
2303,Ecology,Local Participation in Natural Resource Monitoring: a Characterization of Approaches,https://doi.org/10.1111/j.1523-1739.2008.01063.x,2008,502,https://openalex.org/W2059924891
2303,Ecology,"Livestock predation by carnivores in Jigme Singye Wangchuck National Park, Bhutan",https://doi.org/10.1016/j.biocon.2005.11.024,2006,259,https://openalex.org/W1989014103
2739,"Public Health, Environmental and Occupational Health",Cross-Border Malaria: A Major Obstacle for Malaria Elimination,https://doi.org/10.1016/bs.apar.2015.04.002,2015,153,https://openalex.org/W2145182053
2739,"Public Health, Environmental and Occupational Health",The effect of chloroquine dose and primaquine on Plasmodium vivax recurrence: a WorldWide Antimalarial Resistance Network systematic review and individual patient pooled meta-analysis,https://doi.org/10.1016/s1473-3099(18)30348-7,2018,108,https://openalex.org/W2884033046
2739,"Public Health, Environmental and Occupational Health","Overview of rabies post-exposure prophylaxis access, procurement and distribution in selected countries in Asia and Africa, 2017–2018",https://doi.org/10.1016/j.vaccine.2019.04.024,2019,85,https://openalex.org/W2970484937
2306,Global and Planetary Change,Ongoing declines for the world’s amphibians in the face of emerging threats,https://doi.org/10.1038/s41586-023-06578-4,2023,546,https://openalex.org/W4387344519
2306,Global and Planetary Change,"Livestock predation by carnivores in Jigme Singye Wangchuck National Park, Bhutan",https://doi.org/10.1016/j.biocon.2005.11.024,2006,259,https://openalex.org/W1989014103
2306,Global and Planetary Change,Changes in temperature and precipitation extremes over the Indo‐Pacific region from 1971 to 2005,https://doi.org/10.1002/joc.2118,2010,200,https://openalex.org/W1972285425
1110,Plant Science,Intercropping of Wheat and Pea as Influenced by Nitrogen Fertilization,https://doi.org/10.1007/s10705-005-2475-9,2005,164,https://openalex.org/W2165892161
1110,Plant Science,Organic Agriculture 3.0 is innovation with research,https://doi.org/10.1007/s13165-016-0171-5,2016,139,https://openalex.org/W2557647961
1110,Plant Science,Steps towards sustainable harvest of Ophiocordyceps sinensis in Bhutan,https://doi.org/10.1007/s10531-009-9587-5,2009,101,https://openalex.org/W2028695609
1105,"Ecology, Evolution, Behavior and Systematics",Changes in temperature and precipitation extremes over the Indo‐Pacific region from 1971 to 2005,https://doi.org/10.1002/joc.2118,2010,200,https://openalex.org/W1972285425
1105,"Ecology, Evolution, Behavior and Systematics",The use of camera traps for estimating tiger and leopard populations in the high altitude mountains of Bhutan,https://doi.org/10.1016/j.biocon.2008.11.023,2009,114,https://openalex.org/W1994695325
1105,"Ecology, Evolution, Behavior and Systematics",Phylogenetic Relationships of Citrus and Its Relatives Based on matK Gene Sequences,https://doi.org/10.1371/journal.pone.0062574,2013,95,https://openalex.org/W2034405621
3312,Sociology and Political Science,"Companion Modeling, Conflict Resolution, and Institution Building: Sharing Irrigation Water in the Lingmuteychu Watershed, Bhutan",https://doi.org/10.5751/es-01929-110236,2006,135,https://openalex.org/W2552368691
3312,Sociology and Political Science,Understanding Travelers’ Behavior for Sustainable Smart Tourism: A Technology Readiness Perspective,https://doi.org/10.3390/su10114259,2018,94,https://openalex.org/W2900627742
3312,Sociology and Political Science,Cross‐sectional survey of the disaster preparedness of nurses across the <scp>A</scp>sia–<scp>P</scp>acific region,https://doi.org/10.1111/nhs.12211,2015,94,https://openalex.org/W2151604791
2308,"Management, Monitoring, Policy and Law","Livestock predation by carnivores in Jigme Singye Wangchuck National Park, Bhutan",https://doi.org/10.1016/j.biocon.2005.11.024,2006,259,https://openalex.org/W1989014103
2308,"Management, Monitoring, Policy and Law","Feeding habits and niche partitioning in a predator guild composed of tigers, leopards and dholes in a temperate ecosystem in central Bhutan",https://doi.org/10.1111/j.1469-7998.2008.00537.x,2009,106,https://openalex.org/W1972036514
2308,"Management, Monitoring, Policy and Law",Sustaining Biodiversity and Ecosystem Services in the Hindu Kush Himalaya,https://doi.org/10.1007/978-3-319-92288-1_5,2019,104,https://openalex.org/W2907037807
2713,Epidemiology,Global burden of influenza-associated lower respiratory tract infections and hospitalizations among adults: A systematic review and meta-analysis,https://doi.org/10.1371/journal.pmed.1003550,2021,216,https://openalex.org/W3134620343
2713,Epidemiology,Epidemiological and virological characteristics of influenza B: results of the Global Influenza B Study,https://doi.org/10.1111/irv.12319,2015,196,https://openalex.org/W2161082487
2713,Epidemiology,The epidemiological signature of influenza B virus and its B/Victoria and B/Yamagata lineages in the 21st century,https://doi.org/10.1371/journal.pone.0222381,2019,168,https://openalex.org/W2973008808
3207,Social Psychology,Ongoing declines for the world’s amphibians in the face of emerging threats,https://doi.org/10.1038/s41586-023-06578-4,2023,546,https://openalex.org/W4387344519
3207,Social Psychology,The voice conveys emotion in ten globalized cultures and one remote village in Bhutan.,https://doi.org/10.1037/emo0000100,2015,148,https://openalex.org/W2470524170
3207,Social Psychology,Human-Computer Interaction for Recognizing Speech Emotions Using Multilayer Perceptron Classifier,https://doi.org/10.1155/2022/6005446,2022,126,https://openalex.org/W4220894258
