year,id,name,works_count,country,fetch_date
2005,1102,Agronomy and Crop Science,3,BT,2025-12-01 19:09:30
2005,1110,Plant Science,3,BT,2025-12-01 19:09:30
2005,1111,Soil Science,3,BT,2025-12-01 19:09:30
2005,2303,Ecology,2,BT,2025-12-01 19:09:30
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,BT,2025-12-01 19:09:30
2005,1106,Food Science,1,BT,2025-12-01 19:09:30
2005,1109,Insect Science,1,BT,2025-12-01 19:09:30
2005,1307,Cell Biology,1,BT,2025-12-01 19:09:30
2005,1902,Atmospheric Science,1,BT,2025-12-01 19:09:30
2005,1904,Earth-Surface Processes,1,BT,2025-12-01 19:09:30
2005,1908,Geophysics,1,BT,2025-12-01 19:09:30
2005,2304,Environmental Chemistry,1,BT,2025-12-01 19:09:30
2005,2306,Global and Planetary Change,1,BT,2025-12-01 19:09:30
2005,2308,"Management, Monitoring, Policy and Law",1,BT,2025-12-01 19:09:30
2005,2404,Microbiology,1,BT,2025-12-01 19:09:30
2005,2713,Epidemiology,1,BT,2025-12-01 19:09:30
2005,2736,Pharmacology,1,BT,2025-12-01 19:09:30
2006,2303,Ecology,4,BT,2025-12-01 19:09:30
2006,2306,Global and Planetary Change,4,BT,2025-12-01 19:09:30
2006,2308,"Management, Monitoring, Policy and Law",4,BT,2025-12-01 19:09:30
2006,3207,Social Psychology,3,BT,2025-12-01 19:09:30
2006,3312,Sociology and Political Science,3,BT,2025-12-01 19:09:30
2006,1105,"Ecology, Evolution, Behavior and Systematics",2,BT,2025-12-01 19:09:30
2006,1100,General Agricultural and Biological Sciences,1,BT,2025-12-01 19:09:30
2006,1109,Insect Science,1,BT,2025-12-01 19:09:30
2006,2406,Virology,1,BT,2025-12-01 19:09:30
2006,3320,Political Science and International Relations,1,BT,2025-12-01 19:09:30
2006,3404,Small Animals,1,BT,2025-12-01 19:09:30
2007,3312,Sociology and Political Science,4,BT,2025-12-01 19:09:30
2007,2306,Global and Planetary Change,3,BT,2025-12-01 19:09:30
2007,3313,Transportation,2,BT,2025-12-01 19:09:30
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,BT,2025-12-01 19:09:30
2007,1110,Plant Science,1,BT,2025-12-01 19:09:30
2007,1311,Genetics,1,BT,2025-12-01 19:09:30
2007,1702,Artificial Intelligence,1,BT,2025-12-01 19:09:30
2007,2303,Ecology,1,BT,2025-12-01 19:09:30
2007,2308,"Management, Monitoring, Policy and Law",1,BT,2025-12-01 19:09:30
2007,2309,Nature and Landscape Conservation,1,BT,2025-12-01 19:09:30
2007,2707,Complementary and alternative medicine,1,BT,2025-12-01 19:09:30
2007,3004,Pharmacology,1,BT,2025-12-01 19:09:30
2007,3103,Astronomy and Astrophysics,1,BT,2025-12-01 19:09:30
2007,3207,Social Psychology,1,BT,2025-12-01 19:09:30
2007,3303,Development,1,BT,2025-12-01 19:09:30
2007,3304,Education,1,BT,2025-12-01 19:09:30
2007,3317,Demography,1,BT,2025-12-01 19:09:30
2007,3320,Political Science and International Relations,1,BT,2025-12-01 19:09:30
2008,2303,Ecology,3,BT,2025-12-01 19:09:30
2008,1105,"Ecology, Evolution, Behavior and Systematics",2,BT,2025-12-01 19:09:30
2008,2306,Global and Planetary Change,2,BT,2025-12-01 19:09:30
2008,2308,"Management, Monitoring, Policy and Law",2,BT,2025-12-01 19:09:30
2008,1102,Agronomy and Crop Science,1,BT,2025-12-01 19:09:30
2008,1107,Forestry,1,BT,2025-12-01 19:09:30
2008,1110,Plant Science,1,BT,2025-12-01 19:09:30
2008,1311,Genetics,1,BT,2025-12-01 19:09:30
2008,1902,Atmospheric Science,1,BT,2025-12-01 19:09:30
2008,2302,Ecological Modeling,1,BT,2025-12-01 19:09:30
2008,2309,Nature and Landscape Conservation,1,BT,2025-12-01 19:09:30
2008,2705,Cardiology and Cardiovascular Medicine,1,BT,2025-12-01 19:09:30
2008,3207,Social Psychology,1,BT,2025-12-01 19:09:30
2008,3305,"Geography, Planning and Development",1,BT,2025-12-01 19:09:30
2009,2303,Ecology,6,BT,2025-12-01 19:09:30
2009,2306,Global and Planetary Change,5,BT,2025-12-01 19:09:30
2009,2308,"Management, Monitoring, Policy and Law",5,BT,2025-12-01 19:09:30
2009,1110,Plant Science,3,BT,2025-12-01 19:09:30
2009,2309,Nature and Landscape Conservation,3,BT,2025-12-01 19:09:30
2009,2739,"Public Health, Environmental and Occupational Health",3,BT,2025-12-01 19:09:30
2009,1105,"Ecology, Evolution, Behavior and Systematics",2,BT,2025-12-01 19:09:30
2009,2736,Pharmacology,2,BT,2025-12-01 19:09:30
2009,1106,Food Science,1,BT,2025-12-01 19:09:30
2009,1303,Biochemistry,1,BT,2025-12-01 19:09:30
2009,1307,Cell Biology,1,BT,2025-12-01 19:09:30
2009,1902,Atmospheric Science,1,BT,2025-12-01 19:09:30
2009,1904,Earth-Surface Processes,1,BT,2025-12-01 19:09:30
2009,2311,Industrial and Manufacturing Engineering,1,BT,2025-12-01 19:09:30
2009,2707,Complementary and alternative medicine,1,BT,2025-12-01 19:09:30
2009,2725,Infectious Diseases,1,BT,2025-12-01 19:09:30
2009,3207,Social Psychology,1,BT,2025-12-01 19:09:30
2010,1311,Genetics,6,BT,2025-12-01 19:09:30
2010,2303,Ecology,4,BT,2025-12-01 19:09:30
2010,2308,"Management, Monitoring, Policy and Law",4,BT,2025-12-01 19:09:30
2010,1105,"Ecology, Evolution, Behavior and Systematics",3,BT,2025-12-01 19:09:30
2010,2739,"Public Health, Environmental and Occupational Health",3,BT,2025-12-01 19:09:30
2010,3207,Social Psychology,3,BT,2025-12-01 19:09:30
2010,1102,Agronomy and Crop Science,2,BT,2025-12-01 19:09:30
2010,1110,Plant Science,2,BT,2025-12-01 19:09:30
2010,1407,Organizational Behavior and Human Resource Management,2,BT,2025-12-01 19:09:30
2010,2306,Global and Planetary Change,2,BT,2025-12-01 19:09:30
2010,2406,Virology,2,BT,2025-12-01 19:09:30
2010,1202,History,1,BT,2025-12-01 19:09:30
2010,1210,Music,1,BT,2025-12-01 19:09:30
2010,1307,Cell Biology,1,BT,2025-12-01 19:09:30
2010,1708,Hardware and Architecture,1,BT,2025-12-01 19:09:30
2010,1802,Information Systems and Management,1,BT,2025-12-01 19:09:30
2010,1902,Atmospheric Science,1,BT,2025-12-01 19:09:30
2010,2309,Nature and Landscape Conservation,1,BT,2025-12-01 19:09:30
