year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,380,BY,2025-11-28 17:32:00
2005,2505,Materials Chemistry,350,BY,2025-11-28 17:32:00
2005,3107,"Atomic and Molecular Physics, and Optics",314,BY,2025-11-28 17:32:00
2005,2204,Biomedical Engineering,194,BY,2025-11-28 17:32:00
2005,2210,Mechanical Engineering,170,BY,2025-11-28 17:32:00
2005,1605,Organic Chemistry,130,BY,2025-11-28 17:32:00
2005,2504,"Electronic, Optical and Magnetic Materials",122,BY,2025-11-28 17:32:00
2005,1312,Molecular Biology,105,BY,2025-11-28 17:32:00
2005,2211,Mechanics of Materials,104,BY,2025-11-28 17:32:00
2005,2206,Computational Mechanics,101,BY,2025-11-28 17:32:00
2005,3104,Condensed Matter Physics,54,BY,2025-11-28 17:32:00
2005,1607,Spectroscopy,41,BY,2025-11-28 17:32:00
2005,1606,Physical and Theoretical Chemistry,37,BY,2025-11-28 17:32:00
2005,2202,Aerospace Engineering,34,BY,2025-11-28 17:32:00
2005,2500,General Materials Science,30,BY,2025-11-28 17:32:00
2005,2507,Polymers and Plastics,30,BY,2025-11-28 17:32:00
2005,1604,Inorganic Chemistry,29,BY,2025-11-28 17:32:00
2005,2209,Industrial and Manufacturing Engineering,28,BY,2025-11-28 17:32:00
2005,2503,Ceramics and Composites,24,BY,2025-11-28 17:32:00
2005,1705,Computer Networks and Communications,23,BY,2025-11-28 17:32:00
2005,1702,Artificial Intelligence,22,BY,2025-11-28 17:32:00
2005,2741,"Radiology, Nuclear Medicine and Imaging",22,BY,2025-11-28 17:32:00
2005,2207,Control and Systems Engineering,21,BY,2025-11-28 17:32:00
2005,2730,Oncology,19,BY,2025-11-28 17:32:00
2005,2205,Civil and Structural Engineering,18,BY,2025-11-28 17:32:00
2005,1304,Biophysics,17,BY,2025-11-28 17:32:00
2005,2508,"Surfaces, Coatings and Films",17,BY,2025-11-28 17:32:00
2005,3109,Statistical and Nonlinear Physics,17,BY,2025-11-28 17:32:00
2005,3106,Nuclear and High Energy Physics,16,BY,2025-11-28 17:32:00
2005,2740,Pulmonary and Respiratory Medicine,15,BY,2025-11-28 17:32:00
2005,2212,Ocean Engineering,14,BY,2025-11-28 17:32:00
2005,3108,Radiation,14,BY,2025-11-28 17:32:00
2005,1502,Bioengineering,13,BY,2025-11-28 17:32:00
2005,1902,Atmospheric Science,13,BY,2025-11-28 17:32:00
2005,2804,Cellular and Molecular Neuroscience,13,BY,2025-11-28 17:32:00
2005,2105,"Renewable Energy, Sustainability and the Environment",12,BY,2025-11-28 17:32:00
2005,2311,Industrial and Manufacturing Engineering,12,BY,2025-11-28 17:32:00
2005,1703,Computational Theory and Mathematics,11,BY,2025-11-28 17:32:00
2005,1707,Computer Vision and Pattern Recognition,11,BY,2025-11-28 17:32:00
2005,2312,Water Science and Technology,11,BY,2025-11-28 17:32:00
2005,2737,Physiology,11,BY,2025-11-28 17:32:00
2005,1110,Plant Science,10,BY,2025-11-28 17:32:00
2005,1503,Catalysis,10,BY,2025-11-28 17:32:00
2005,1908,Geophysics,10,BY,2025-11-28 17:32:00
2005,2502,Biomaterials,9,BY,2025-11-28 17:32:00
2005,2612,Numerical Analysis,9,BY,2025-11-28 17:32:00
2005,2731,Ophthalmology,9,BY,2025-11-28 17:32:00
2005,3003,Pharmaceutical Science,9,BY,2025-11-28 17:32:00
2005,1311,Genetics,8,BY,2025-11-28 17:32:00
2005,1507,Fluid Flow and Transfer Processes,8,BY,2025-11-28 17:32:00
2005,2604,Applied Mathematics,7,BY,2025-11-28 17:32:00
2005,1106,Food Science,6,BY,2025-11-28 17:32:00
2005,1305,Biotechnology,6,BY,2025-11-28 17:32:00
2005,1602,Analytical Chemistry,6,BY,2025-11-28 17:32:00
2005,2104,Nuclear Energy and Engineering,6,BY,2025-11-28 17:32:00
2005,2610,Mathematical Physics,6,BY,2025-11-28 17:32:00
2005,3005,Toxicology,6,BY,2025-11-28 17:32:00
2005,3103,Astronomy and Astrophysics,6,BY,2025-11-28 17:32:00
2005,1307,Cell Biology,5,BY,2025-11-28 17:32:00
2005,1314,Physiology,5,BY,2025-11-28 17:32:00
2005,1603,Electrochemistry,5,BY,2025-11-28 17:32:00
2005,2203,Automotive Engineering,5,BY,2025-11-28 17:32:00
2005,2215,Building and Construction,5,BY,2025-11-28 17:32:00
2005,2305,Environmental Engineering,5,BY,2025-11-28 17:32:00
2005,2736,Pharmacology,5,BY,2025-11-28 17:32:00
2005,1404,Management Information Systems,4,BY,2025-11-28 17:32:00
2005,1906,Geochemistry and Petrology,4,BY,2025-11-28 17:32:00
2005,2213,"Safety, Risk, Reliability and Quality",4,BY,2025-11-28 17:32:00
2005,2303,Ecology,4,BY,2025-11-28 17:32:00
2005,2310,Pollution,4,BY,2025-11-28 17:32:00
2005,2403,Immunology,4,BY,2025-11-28 17:32:00
2005,2607,Discrete Mathematics and Combinatorics,4,BY,2025-11-28 17:32:00
2005,2704,Biochemistry,4,BY,2025-11-28 17:32:00
2005,3004,Pharmacology,4,BY,2025-11-28 17:32:00
2005,1109,Insect Science,3,BY,2025-11-28 17:32:00
2005,1306,Cancer Research,3,BY,2025-11-28 17:32:00
2005,1313,Molecular Medicine,3,BY,2025-11-28 17:32:00
2005,1508,Process Chemistry and Technology,3,BY,2025-11-28 17:32:00
2005,2214,Media Technology,3,BY,2025-11-28 17:32:00
2005,2304,Environmental Chemistry,3,BY,2025-11-28 17:32:00
2005,2306,Global and Planetary Change,3,BY,2025-11-28 17:32:00
2005,2705,Cardiology and Cardiovascular Medicine,3,BY,2025-11-28 17:32:00
2005,2725,Infectious Diseases,3,BY,2025-11-28 17:32:00
2005,2746,Surgery,3,BY,2025-11-28 17:32:00
2005,1204,Archeology,2,BY,2025-11-28 17:32:00
2005,1303,Biochemistry,2,BY,2025-11-28 17:32:00
2005,1315,Structural Biology,2,BY,2025-11-28 17:32:00
2005,1704,Computer Graphics and Computer-Aided Design,2,BY,2025-11-28 17:32:00
2005,1708,Hardware and Architecture,2,BY,2025-11-28 17:32:00
2005,1904,Earth-Surface Processes,2,BY,2025-11-28 17:32:00
2005,2712,"Endocrinology, Diabetes and Metabolism",2,BY,2025-11-28 17:32:00
2005,2734,Pathology and Forensic Medicine,2,BY,2025-11-28 17:32:00
2005,2738,Psychiatry and Mental health,2,BY,2025-11-28 17:32:00
2005,2807,Endocrine and Autonomic Systems,2,BY,2025-11-28 17:32:00
2005,1104,Aquatic Science,1,BY,2025-11-28 17:32:00
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,BY,2025-11-28 17:32:00
2005,1111,Soil Science,1,BY,2025-11-28 17:32:00
2005,1206,Conservation,1,BY,2025-11-28 17:32:00
2005,1408,Strategy and Management,1,BY,2025-11-28 17:32:00
2005,1804,"Statistics, Probability and Uncertainty",1,BY,2025-11-28 17:32:00
2005,1907,Geology,1,BY,2025-11-28 17:32:00
2005,1910,Oceanography,1,BY,2025-11-28 17:32:00
2005,2102,Energy Engineering and Power Technology,1,BY,2025-11-28 17:32:00
2005,2302,Ecological Modeling,1,BY,2025-11-28 17:32:00
2005,2406,Virology,1,BY,2025-11-28 17:32:00
2005,2506,Metals and Alloys,1,BY,2025-11-28 17:32:00
2005,2608,Geometry and Topology,1,BY,2025-11-28 17:32:00
2005,2720,Hematology,1,BY,2025-11-28 17:32:00
2005,2728,Neurology,1,BY,2025-11-28 17:32:00
2005,2735,"Pediatrics, Perinatology and Child Health",1,BY,2025-11-28 17:32:00
2005,2739,"Public Health, Environmental and Occupational Health",1,BY,2025-11-28 17:32:00
2005,2742,Rehabilitation,1,BY,2025-11-28 17:32:00
2005,2743,Reproductive Medicine,1,BY,2025-11-28 17:32:00
2005,2745,Rheumatology,1,BY,2025-11-28 17:32:00
2005,2916,Nutrition and Dietetics,1,BY,2025-11-28 17:32:00
2005,3312,Sociology and Political Science,1,BY,2025-11-28 17:32:00
2005,3320,Political Science and International Relations,1,BY,2025-11-28 17:32:00
2006,2208,Electrical and Electronic Engineering,346,BY,2025-11-28 17:32:00
2006,2505,Materials Chemistry,300,BY,2025-11-28 17:32:00
2006,3107,"Atomic and Molecular Physics, and Optics",294,BY,2025-11-28 17:32:00
2006,2204,Biomedical Engineering,173,BY,2025-11-28 17:32:00
2006,2210,Mechanical Engineering,168,BY,2025-11-28 17:32:00
2006,1605,Organic Chemistry,134,BY,2025-11-28 17:32:00
2006,1312,Molecular Biology,130,BY,2025-11-28 17:32:00
2006,2504,"Electronic, Optical and Magnetic Materials",120,BY,2025-11-28 17:32:00
2006,2211,Mechanics of Materials,95,BY,2025-11-28 17:32:00
2006,2206,Computational Mechanics,79,BY,2025-11-28 17:32:00
2006,1607,Spectroscopy,49,BY,2025-11-28 17:32:00
2006,3104,Condensed Matter Physics,47,BY,2025-11-28 17:32:00
2006,2209,Industrial and Manufacturing Engineering,43,BY,2025-11-28 17:32:00
2006,2202,Aerospace Engineering,38,BY,2025-11-28 17:32:00
2006,1606,Physical and Theoretical Chemistry,37,BY,2025-11-28 17:32:00
2006,2212,Ocean Engineering,31,BY,2025-11-28 17:32:00
2006,1604,Inorganic Chemistry,29,BY,2025-11-28 17:32:00
2006,2741,"Radiology, Nuclear Medicine and Imaging",27,BY,2025-11-28 17:32:00
2006,2500,General Materials Science,26,BY,2025-11-28 17:32:00
2006,2205,Civil and Structural Engineering,25,BY,2025-11-28 17:32:00
2006,2507,Polymers and Plastics,24,BY,2025-11-28 17:32:00
2006,3109,Statistical and Nonlinear Physics,21,BY,2025-11-28 17:32:00
2006,1110,Plant Science,18,BY,2025-11-28 17:32:00
2006,1902,Atmospheric Science,16,BY,2025-11-28 17:32:00
2006,2207,Control and Systems Engineering,16,BY,2025-11-28 17:32:00
2006,2503,Ceramics and Composites,16,BY,2025-11-28 17:32:00
2006,1503,Catalysis,15,BY,2025-11-28 17:32:00
2006,1702,Artificial Intelligence,15,BY,2025-11-28 17:32:00
2006,2730,Oncology,15,BY,2025-11-28 17:32:00
2006,3106,Nuclear and High Energy Physics,15,BY,2025-11-28 17:32:00
2006,1304,Biophysics,14,BY,2025-11-28 17:32:00
2006,2105,"Renewable Energy, Sustainability and the Environment",14,BY,2025-11-28 17:32:00
2006,1705,Computer Networks and Communications,13,BY,2025-11-28 17:32:00
2006,2740,Pulmonary and Respiratory Medicine,13,BY,2025-11-28 17:32:00
2006,1106,Food Science,12,BY,2025-11-28 17:32:00
2006,2736,Pharmacology,12,BY,2025-11-28 17:32:00
2006,1311,Genetics,11,BY,2025-11-28 17:32:00
2006,3103,Astronomy and Astrophysics,11,BY,2025-11-28 17:32:00
2006,2737,Physiology,10,BY,2025-11-28 17:32:00
2006,3108,Radiation,10,BY,2025-11-28 17:32:00
2006,1502,Bioengineering,9,BY,2025-11-28 17:32:00
2006,1603,Electrochemistry,9,BY,2025-11-28 17:32:00
2006,1707,Computer Vision and Pattern Recognition,9,BY,2025-11-28 17:32:00
2006,1908,Geophysics,9,BY,2025-11-28 17:32:00
2006,1303,Biochemistry,8,BY,2025-11-28 17:32:00
2006,1507,Fluid Flow and Transfer Processes,8,BY,2025-11-28 17:32:00
2006,1703,Computational Theory and Mathematics,8,BY,2025-11-28 17:32:00
2006,2214,Media Technology,8,BY,2025-11-28 17:32:00
2006,2502,Biomaterials,8,BY,2025-11-28 17:32:00
2006,2804,Cellular and Molecular Neuroscience,8,BY,2025-11-28 17:32:00
2006,2604,Applied Mathematics,7,BY,2025-11-28 17:32:00
2006,1307,Cell Biology,6,BY,2025-11-28 17:32:00
2006,1404,Management Information Systems,6,BY,2025-11-28 17:32:00
2006,1602,Analytical Chemistry,6,BY,2025-11-28 17:32:00
