year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,6,BZ,2025-12-03 12:49:47
2005,2713,Epidemiology,6,BZ,2025-12-03 12:49:47
2005,3312,Sociology and Political Science,5,BZ,2025-12-03 12:49:47
2005,2306,Global and Planetary Change,3,BZ,2025-12-03 12:49:47
2005,2721,Hepatology,3,BZ,2025-12-03 12:49:47
2005,2725,Infectious Diseases,3,BZ,2025-12-03 12:49:47
2005,3600,General Health Professions,3,BZ,2025-12-03 12:49:47
2005,1106,Food Science,2,BZ,2025-12-03 12:49:47
2005,1311,Genetics,2,BZ,2025-12-03 12:49:47
2005,2002,Economics and Econometrics,2,BZ,2025-12-03 12:49:47
2005,2303,Ecology,2,BZ,2025-12-03 12:49:47
2005,2309,Nature and Landscape Conservation,2,BZ,2025-12-03 12:49:47
2005,2739,"Public Health, Environmental and Occupational Health",2,BZ,2025-12-03 12:49:47
2005,1110,Plant Science,1,BZ,2025-12-03 12:49:47
2005,1204,Archeology,1,BZ,2025-12-03 12:49:47
2005,1409,"Tourism, Leisure and Hospitality Management",1,BZ,2025-12-03 12:49:47
2005,1605,Organic Chemistry,1,BZ,2025-12-03 12:49:47
2005,1705,Computer Networks and Communications,1,BZ,2025-12-03 12:49:47
2005,1710,Information Systems,1,BZ,2025-12-03 12:49:47
2005,2211,Mechanics of Materials,1,BZ,2025-12-03 12:49:47
2005,2406,Virology,1,BZ,2025-12-03 12:49:47
2005,2705,Cardiology and Cardiovascular Medicine,1,BZ,2025-12-03 12:49:47
2005,2729,Obstetrics and Gynecology,1,BZ,2025-12-03 12:49:47
2005,2730,Oncology,1,BZ,2025-12-03 12:49:47
2005,2735,"Pediatrics, Perinatology and Child Health",1,BZ,2025-12-03 12:49:47
2005,2736,Pharmacology,1,BZ,2025-12-03 12:49:47
2005,2737,Physiology,1,BZ,2025-12-03 12:49:47
2005,2745,Rheumatology,1,BZ,2025-12-03 12:49:47
2005,2804,Cellular and Molecular Neuroscience,1,BZ,2025-12-03 12:49:47
2005,2805,Cognitive Neuroscience,1,BZ,2025-12-03 12:49:47
2005,3203,Clinical Psychology,1,BZ,2025-12-03 12:49:47
2005,3204,Developmental and Educational Psychology,1,BZ,2025-12-03 12:49:47
2005,3207,Social Psychology,1,BZ,2025-12-03 12:49:47
2005,3310,Linguistics and Language,1,BZ,2025-12-03 12:49:47
2005,3316,Cultural Studies,1,BZ,2025-12-03 12:49:47
2006,1312,Molecular Biology,9,BZ,2025-12-03 12:49:47
2006,1110,Plant Science,6,BZ,2025-12-03 12:49:47
2006,2713,Epidemiology,6,BZ,2025-12-03 12:49:47
2006,2721,Hepatology,4,BZ,2025-12-03 12:49:47
2006,3312,Sociology and Political Science,4,BZ,2025-12-03 12:49:47
2006,2303,Ecology,3,BZ,2025-12-03 12:49:47
2006,2739,"Public Health, Environmental and Occupational Health",3,BZ,2025-12-03 12:49:47
2006,2306,Global and Planetary Change,2,BZ,2025-12-03 12:49:47
2006,3308,Law,2,BZ,2025-12-03 12:49:47
2006,1102,Agronomy and Crop Science,1,BZ,2025-12-03 12:49:47
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,BZ,2025-12-03 12:49:47
2006,1106,Food Science,1,BZ,2025-12-03 12:49:47
2006,1202,History,1,BZ,2025-12-03 12:49:47
2006,1207,History and Philosophy of Science,1,BZ,2025-12-03 12:49:47
2006,1208,Literature and Literary Theory,1,BZ,2025-12-03 12:49:47
2006,1307,Cell Biology,1,BZ,2025-12-03 12:49:47
2006,1310,Endocrinology,1,BZ,2025-12-03 12:49:47
2006,1311,Genetics,1,BZ,2025-12-03 12:49:47
2006,1409,"Tourism, Leisure and Hospitality Management",1,BZ,2025-12-03 12:49:47
2006,1604,Inorganic Chemistry,1,BZ,2025-12-03 12:49:47
2006,1606,Physical and Theoretical Chemistry,1,BZ,2025-12-03 12:49:47
2006,1911,Paleontology,1,BZ,2025-12-03 12:49:47
2006,2302,Ecological Modeling,1,BZ,2025-12-03 12:49:47
2006,2307,"Health, Toxicology and Mutagenesis",1,BZ,2025-12-03 12:49:47
2006,2309,Nature and Landscape Conservation,1,BZ,2025-12-03 12:49:47
2006,2402,Applied Microbiology and Biotechnology,1,BZ,2025-12-03 12:49:47
2006,2403,Immunology,1,BZ,2025-12-03 12:49:47
2006,2704,Biochemistry,1,BZ,2025-12-03 12:49:47
2006,2706,Critical Care and Intensive Care Medicine,1,BZ,2025-12-03 12:49:47
2006,2712,"Endocrinology, Diabetes and Metabolism",1,BZ,2025-12-03 12:49:47
2006,2725,Infectious Diseases,1,BZ,2025-12-03 12:49:47
2006,2729,Obstetrics and Gynecology,1,BZ,2025-12-03 12:49:47
2006,2730,Oncology,1,BZ,2025-12-03 12:49:47
2006,2732,Orthopedics and Sports Medicine,1,BZ,2025-12-03 12:49:47
2006,2734,Pathology and Forensic Medicine,1,BZ,2025-12-03 12:49:47
2006,2736,Pharmacology,1,BZ,2025-12-03 12:49:47
2006,2737,Physiology,1,BZ,2025-12-03 12:49:47
2006,2745,Rheumatology,1,BZ,2025-12-03 12:49:47
