year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,7615,CA,2025-11-28 17:22:36
2005,2208,Electrical and Electronic Engineering,6162,CA,2025-11-28 17:22:36
2005,3312,Sociology and Political Science,5197,CA,2025-11-28 17:22:36
2005,2746,Surgery,3927,CA,2025-11-28 17:22:36
2005,1702,Artificial Intelligence,3896,CA,2025-11-28 17:22:36
2005,2204,Biomedical Engineering,3495,CA,2025-11-28 17:22:36
2005,2740,Pulmonary and Respiratory Medicine,2896,CA,2025-11-28 17:22:36
2005,3600,General Health Professions,2778,CA,2025-11-28 17:22:36
2005,2713,Epidemiology,2737,CA,2025-11-28 17:22:36
2005,2739,"Public Health, Environmental and Occupational Health",2595,CA,2025-11-28 17:22:36
2005,1705,Computer Networks and Communications,1885,CA,2025-11-28 17:22:36
2005,1311,Genetics,1373,CA,2025-11-28 17:22:36
2005,2705,Cardiology and Cardiovascular Medicine,1259,CA,2025-11-28 17:22:36
2005,3107,"Atomic and Molecular Physics, and Optics",1242,CA,2025-11-28 17:22:36
2005,2730,Oncology,1141,CA,2025-11-28 17:22:36
2005,2737,Physiology,1087,CA,2025-11-28 17:22:36
2005,2505,Materials Chemistry,945,CA,2025-11-28 17:22:36
2005,2741,"Radiology, Nuclear Medicine and Imaging",907,CA,2025-11-28 17:22:36
2005,2804,Cellular and Molecular Neuroscience,735,CA,2025-11-28 17:22:36
2005,1710,Information Systems,731,CA,2025-11-28 17:22:36
2005,1703,Computational Theory and Mathematics,723,CA,2025-11-28 17:22:36
2005,3203,Clinical Psychology,721,CA,2025-11-28 17:22:36
2005,2735,"Pediatrics, Perinatology and Child Health",715,CA,2025-11-28 17:22:36
2005,3320,Political Science and International Relations,700,CA,2025-11-28 17:22:36
2005,1110,Plant Science,697,CA,2025-11-28 17:22:36
2005,2002,Economics and Econometrics,672,CA,2025-11-28 17:22:36
2005,2207,Control and Systems Engineering,644,CA,2025-11-28 17:22:36
2005,2734,Pathology and Forensic Medicine,643,CA,2025-11-28 17:22:36
2005,2403,Immunology,639,CA,2025-11-28 17:22:36
2005,1307,Cell Biology,632,CA,2025-11-28 17:22:36
2005,2725,Infectious Diseases,611,CA,2025-11-28 17:22:36
2005,2202,Aerospace Engineering,578,CA,2025-11-28 17:22:36
2005,1707,Computer Vision and Pattern Recognition,574,CA,2025-11-28 17:22:36
2005,2210,Mechanical Engineering,548,CA,2025-11-28 17:22:36
2005,3322,Urban Studies,528,CA,2025-11-28 17:22:36
2005,2712,"Endocrinology, Diabetes and Metabolism",526,CA,2025-11-28 17:22:36
2005,1711,Signal Processing,515,CA,2025-11-28 17:22:36
2005,3207,Social Psychology,461,CA,2025-11-28 17:22:36
2005,2745,Rheumatology,458,CA,2025-11-28 17:22:36
2005,1306,Cancer Research,451,CA,2025-11-28 17:22:36
2005,2736,Pharmacology,428,CA,2025-11-28 17:22:36
2005,2805,Cognitive Neuroscience,428,CA,2025-11-28 17:22:36
2005,2206,Computational Mechanics,417,CA,2025-11-28 17:22:36
2005,3306,Health,407,CA,2025-11-28 17:22:36
2005,1605,Organic Chemistry,403,CA,2025-11-28 17:22:36
2005,2711,Emergency Medicine,388,CA,2025-11-28 17:22:36
2005,2728,Neurology,377,CA,2025-11-28 17:22:36
2005,2738,Psychiatry and Mental health,339,CA,2025-11-28 17:22:36
2005,2211,Mechanics of Materials,332,CA,2025-11-28 17:22:36
2005,3304,Education,331,CA,2025-11-28 17:22:36
2005,2303,Ecology,328,CA,2025-11-28 17:22:36
2005,2916,Nutrition and Dietetics,328,CA,2025-11-28 17:22:36
2005,2720,Hematology,319,CA,2025-11-28 17:22:36
2005,1607,Spectroscopy,317,CA,2025-11-28 17:22:36
2005,1708,Hardware and Architecture,316,CA,2025-11-28 17:22:36
2005,2732,Orthopedics and Sports Medicine,315,CA,2025-11-28 17:22:36
2005,3318,Gender Studies,315,CA,2025-11-28 17:22:36
2005,1908,Geophysics,304,CA,2025-11-28 17:22:36
2005,3604,Emergency Medical Services,292,CA,2025-11-28 17:22:36
2005,2721,Hepatology,280,CA,2025-11-28 17:22:36
2005,3108,Radiation,279,CA,2025-11-28 17:22:36
2005,2743,Reproductive Medicine,268,CA,2025-11-28 17:22:36
2005,2716,Genetics,263,CA,2025-11-28 17:22:36
2005,1105,"Ecology, Evolution, Behavior and Systematics",248,CA,2025-11-28 17:22:36
2005,3317,Demography,242,CA,2025-11-28 17:22:36
2005,2504,"Electronic, Optical and Magnetic Materials",239,CA,2025-11-28 17:22:36
2005,1407,Organizational Behavior and Human Resource Management,231,CA,2025-11-28 17:22:36
2005,3103,Astronomy and Astrophysics,220,CA,2025-11-28 17:22:36
2005,1803,Management Science and Operations Research,216,CA,2025-11-28 17:22:36
2005,2729,Obstetrics and Gynecology,211,CA,2025-11-28 17:22:36
2005,1211,Philosophy,210,CA,2025-11-28 17:22:36
2005,2731,Ophthalmology,209,CA,2025-11-28 17:22:36
2005,2807,Endocrine and Autonomic Systems,206,CA,2025-11-28 17:22:36
2005,3308,Law,199,CA,2025-11-28 17:22:36
2005,2508,"Surfaces, Coatings and Films",196,CA,2025-11-28 17:22:36
2005,1106,Food Science,192,CA,2025-11-28 17:22:36
2005,3205,Experimental and Cognitive Psychology,184,CA,2025-11-28 17:22:36
2005,2715,Gastroenterology,181,CA,2025-11-28 17:22:36
2005,2742,Rehabilitation,181,CA,2025-11-28 17:22:36
2005,2105,"Renewable Energy, Sustainability and the Environment",179,CA,2025-11-28 17:22:36
2005,2404,Microbiology,179,CA,2025-11-28 17:22:36
2005,2507,Polymers and Plastics,176,CA,2025-11-28 17:22:36
2005,2502,Biomaterials,173,CA,2025-11-28 17:22:36
2005,1305,Biotechnology,170,CA,2025-11-28 17:22:36
2005,1207,History and Philosophy of Science,169,CA,2025-11-28 17:22:36
2005,2613,Statistics and Probability,167,CA,2025-11-28 17:22:36
2005,3109,Statistical and Nonlinear Physics,166,CA,2025-11-28 17:22:36
2005,2708,Dermatology,159,CA,2025-11-28 17:22:36
2005,2727,Nephrology,158,CA,2025-11-28 17:22:36
2005,1308,Clinical Biochemistry,157,CA,2025-11-28 17:22:36
2005,2703,Anesthesiology and Pain Medicine,157,CA,2025-11-28 17:22:36
2005,2723,Immunology and Allergy,157,CA,2025-11-28 17:22:36
2005,1303,Biochemistry,148,CA,2025-11-28 17:22:36
2005,2748,Urology,147,CA,2025-11-28 17:22:36
2005,2307,"Health, Toxicology and Mutagenesis",145,CA,2025-11-28 17:22:36
2005,1202,History,143,CA,2025-11-28 17:22:36
2005,2212,Ocean Engineering,143,CA,2025-11-28 17:22:36
2005,1109,Insect Science,141,CA,2025-11-28 17:22:36
2005,3614,Radiological and Ultrasound Technology,140,CA,2025-11-28 17:22:36
2005,1712,Software,139,CA,2025-11-28 17:22:36
2005,1804,"Statistics, Probability and Uncertainty",138,CA,2025-11-28 17:22:36
