year,id,name,works_count,country,fetch_date
2005,2713,Epidemiology,16,CD,2025-12-03 12:34:32
2005,2725,Infectious Diseases,13,CD,2025-12-03 12:34:32
2005,2406,Virology,7,CD,2025-12-03 12:34:32
2005,2002,Economics and Econometrics,6,CD,2025-12-03 12:34:32
2005,3600,General Health Professions,6,CD,2025-12-03 12:34:32
2005,2739,"Public Health, Environmental and Occupational Health",5,CD,2025-12-03 12:34:32
2005,3312,Sociology and Political Science,5,CD,2025-12-03 12:34:32
2005,1311,Genetics,3,CD,2025-12-03 12:34:32
2005,2303,Ecology,3,CD,2025-12-03 12:34:32
2005,3320,Political Science and International Relations,3,CD,2025-12-03 12:34:32
2005,1110,Plant Science,2,CD,2025-12-03 12:34:32
2005,2405,Parasitology,2,CD,2025-12-03 12:34:32
2005,2712,"Endocrinology, Diabetes and Metabolism",2,CD,2025-12-03 12:34:32
2005,2740,Pulmonary and Respiratory Medicine,2,CD,2025-12-03 12:34:32
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,CD,2025-12-03 12:34:32
2005,1111,Soil Science,1,CD,2025-12-03 12:34:32
2005,1211,Philosophy,1,CD,2025-12-03 12:34:32
2005,1307,Cell Biology,1,CD,2025-12-03 12:34:32
2005,1312,Molecular Biology,1,CD,2025-12-03 12:34:32
2005,2306,Global and Planetary Change,1,CD,2025-12-03 12:34:32
2005,2308,"Management, Monitoring, Policy and Law",1,CD,2025-12-03 12:34:32
2005,2711,Emergency Medicine,1,CD,2025-12-03 12:34:32
2005,2716,Genetics,1,CD,2025-12-03 12:34:32
2005,2717,Geriatrics and Gerontology,1,CD,2025-12-03 12:34:32
2005,2720,Hematology,1,CD,2025-12-03 12:34:32
2005,2728,Neurology,1,CD,2025-12-03 12:34:32
2005,2733,Otorhinolaryngology,1,CD,2025-12-03 12:34:32
2005,2737,Physiology,1,CD,2025-12-03 12:34:32
2005,2746,Surgery,1,CD,2025-12-03 12:34:32
2005,3005,Toxicology,1,CD,2025-12-03 12:34:32
2005,3207,Social Psychology,1,CD,2025-12-03 12:34:32
2005,3304,Education,1,CD,2025-12-03 12:34:32
2005,3311,Safety Research,1,CD,2025-12-03 12:34:32
2005,3314,Anthropology,1,CD,2025-12-03 12:34:32
2005,3404,Small Animals,1,CD,2025-12-03 12:34:32
2006,2713,Epidemiology,11,CD,2025-12-03 12:34:32
2006,2739,"Public Health, Environmental and Occupational Health",11,CD,2025-12-03 12:34:32
