year,id,name,works_count,country,fetch_date
2005,2739,"Public Health, Environmental and Occupational Health",7,CF,2025-12-01 19:11:42
2005,2713,Epidemiology,5,CF,2025-12-01 19:11:42
2005,2725,Infectious Diseases,3,CF,2025-12-01 19:11:42
2005,2303,Ecology,2,CF,2025-12-01 19:11:42
2005,2403,Immunology,2,CF,2025-12-01 19:11:42
2005,2705,Cardiology and Cardiovascular Medicine,2,CF,2025-12-01 19:11:42
2005,3207,Social Psychology,2,CF,2025-12-01 19:11:42
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,CF,2025-12-01 19:11:42
2005,1106,Food Science,1,CF,2025-12-01 19:11:42
2005,1110,Plant Science,1,CF,2025-12-01 19:11:42
2005,1312,Molecular Biology,1,CF,2025-12-01 19:11:42
2005,1703,Computational Theory and Mathematics,1,CF,2025-12-01 19:11:42
2005,2405,Parasitology,1,CF,2025-12-01 19:11:42
2005,2730,Oncology,1,CF,2025-12-01 19:11:42
2005,2734,Pathology and Forensic Medicine,1,CF,2025-12-01 19:11:42
2005,2737,Physiology,1,CF,2025-12-01 19:11:42
2005,2746,Surgery,1,CF,2025-12-01 19:11:42
2005,3004,Pharmacology,1,CF,2025-12-01 19:11:42
2005,3600,General Health Professions,1,CF,2025-12-01 19:11:42
2006,2725,Infectious Diseases,9,CF,2025-12-01 19:11:42
2006,2713,Epidemiology,6,CF,2025-12-01 19:11:42
2006,2739,"Public Health, Environmental and Occupational Health",4,CF,2025-12-01 19:11:42
2006,2403,Immunology,3,CF,2025-12-01 19:11:42
2006,1310,Endocrinology,2,CF,2025-12-01 19:11:42
2006,1313,Molecular Medicine,2,CF,2025-12-01 19:11:42
2006,1703,Computational Theory and Mathematics,2,CF,2025-12-01 19:11:42
2006,2406,Virology,2,CF,2025-12-01 19:11:42
2006,2746,Surgery,2,CF,2025-12-01 19:11:42
2006,1105,"Ecology, Evolution, Behavior and Systematics",1,CF,2025-12-01 19:11:42
2006,1312,Molecular Biology,1,CF,2025-12-01 19:11:42
2006,2303,Ecology,1,CF,2025-12-01 19:11:42
2006,2307,"Health, Toxicology and Mutagenesis",1,CF,2025-12-01 19:11:42
2006,2310,Pollution,1,CF,2025-12-01 19:11:42
2006,2404,Microbiology,1,CF,2025-12-01 19:11:42
2006,2405,Parasitology,1,CF,2025-12-01 19:11:42
2006,2721,Hepatology,1,CF,2025-12-01 19:11:42
2006,3004,Pharmacology,1,CF,2025-12-01 19:11:42
2006,3306,Health,1,CF,2025-12-01 19:11:42
2006,3312,Sociology and Political Science,1,CF,2025-12-01 19:11:42
2007,2725,Infectious Diseases,5,CF,2025-12-01 19:11:42
2007,2406,Virology,4,CF,2025-12-01 19:11:42
2007,2713,Epidemiology,4,CF,2025-12-01 19:11:42
2007,1105,"Ecology, Evolution, Behavior and Systematics",2,CF,2025-12-01 19:11:42
2007,1110,Plant Science,2,CF,2025-12-01 19:11:42
2007,2403,Immunology,2,CF,2025-12-01 19:11:42
2007,2705,Cardiology and Cardiovascular Medicine,2,CF,2025-12-01 19:11:42
2007,2739,"Public Health, Environmental and Occupational Health",2,CF,2025-12-01 19:11:42
2007,2746,Surgery,2,CF,2025-12-01 19:11:42
2007,3207,Social Psychology,2,CF,2025-12-01 19:11:42
2007,1102,Agronomy and Crop Science,1,CF,2025-12-01 19:11:42
2007,1107,Forestry,1,CF,2025-12-01 19:11:42
2007,1309,Developmental Biology,1,CF,2025-12-01 19:11:42
2007,1310,Endocrinology,1,CF,2025-12-01 19:11:42
2007,1313,Molecular Medicine,1,CF,2025-12-01 19:11:42
2007,2303,Ecology,1,CF,2025-12-01 19:11:42
2007,2404,Microbiology,1,CF,2025-12-01 19:11:42
2007,2711,Emergency Medicine,1,CF,2025-12-01 19:11:42
2007,2720,Hematology,1,CF,2025-12-01 19:11:42
2007,2728,Neurology,1,CF,2025-12-01 19:11:42
2007,2731,Ophthalmology,1,CF,2025-12-01 19:11:42
2007,2738,Psychiatry and Mental health,1,CF,2025-12-01 19:11:42
2007,3600,General Health Professions,1,CF,2025-12-01 19:11:42
2008,2725,Infectious Diseases,7,CF,2025-12-01 19:11:42
2008,2713,Epidemiology,6,CF,2025-12-01 19:11:42
2008,2739,"Public Health, Environmental and Occupational Health",3,CF,2025-12-01 19:11:42
2008,2406,Virology,2,CF,2025-12-01 19:11:42
2008,2721,Hepatology,2,CF,2025-12-01 19:11:42
2008,1105,"Ecology, Evolution, Behavior and Systematics",1,CF,2025-12-01 19:11:42
2008,1110,Plant Science,1,CF,2025-12-01 19:11:42
2008,1309,Developmental Biology,1,CF,2025-12-01 19:11:42
2008,1310,Endocrinology,1,CF,2025-12-01 19:11:42
2008,1312,Molecular Biology,1,CF,2025-12-01 19:11:42
2008,1702,Artificial Intelligence,1,CF,2025-12-01 19:11:42
2008,1908,Geophysics,1,CF,2025-12-01 19:11:42
2008,2705,Cardiology and Cardiovascular Medicine,1,CF,2025-12-01 19:11:42
2008,2715,Gastroenterology,1,CF,2025-12-01 19:11:42
2008,2745,Rheumatology,1,CF,2025-12-01 19:11:42
2008,3207,Social Psychology,1,CF,2025-12-01 19:11:42
2008,3312,Sociology and Political Science,1,CF,2025-12-01 19:11:42
2008,3320,Political Science and International Relations,1,CF,2025-12-01 19:11:42
2008,3600,General Health Professions,1,CF,2025-12-01 19:11:42
2009,2713,Epidemiology,7,CF,2025-12-01 19:11:42
