subfield_id,subfield_name,title,doi,year,cited_by_count,id
2725,Infectious Diseases,"The continuing 2019-nCoV epidemic threat of novel coronaviruses to global health — The latest 2019 novel coronavirus outbreak in Wuhan, China",https://doi.org/10.1016/j.ijid.2020.01.009,2020,3975,https://openalex.org/W2999409984
2725,Infectious Diseases,"Global Tuberculosis Report 2020 – Reflections on the Global TB burden, treatment and prevention efforts",https://doi.org/10.1016/j.ijid.2021.02.107,2021,1025,https://openalex.org/W3135682442
2725,Infectious Diseases,Rotavirus Vaccination and the Global Burden of Rotavirus Diarrhea Among Children Younger Than 5 Years,https://doi.org/10.1001/jamapediatrics.2018.1960,2018,816,https://openalex.org/W2886376263
2725,Infectious Diseases,Climate change and vector-borne diseases: what are the implications for public health research and policy?,https://doi.org/10.1098/rstb.2013.0552,2015,420,https://openalex.org/W2093359862
2725,Infectious Diseases,The WHO Global Tuberculosis 2021 Report – not so good news and turning the tide back to End TB,https://doi.org/10.1016/j.ijid.2022.03.011,2022,385,https://openalex.org/W4220781931
2725,Infectious Diseases,"Tuberculosis: progress and advances in development of new drugs, treatment regimens, and host-directed therapies",https://doi.org/10.1016/s1473-3099(18)30110-5,2018,369,https://openalex.org/W2792154364
2725,Infectious Diseases,The Human African Trypanosomiasis Control and Surveillance Programme of the World Health Organization 2000–2009: The Way Forward,https://doi.org/10.1371/journal.pntd.0001007,2011,342,https://openalex.org/W2110499439
2725,Infectious Diseases,Socio-Demographic Characteristics and Behavioral Risk Factors of Female Sex Workers in Sub-Saharan Africa: A Systematic Review,https://doi.org/10.1007/s10461-011-9985-z,2011,309,https://openalex.org/W2054126510
2725,Infectious Diseases,Revision of clinical case definitions: influenza-like illness and severe acute respiratory infection,https://doi.org/10.2471/blt.17.194514,2017,301,https://openalex.org/W2785977781
2725,Infectious Diseases,"Single dose moxidectin versus ivermectin for Onchocerca volvulus infection in Ghana, Liberia, and the Democratic Republic of the Congo: a randomised, controlled, double-blind phase 3 trial",https://doi.org/10.1016/s0140-6736(17)32844-1,2018,295,https://openalex.org/W2783063986
2713,Epidemiology,"Global Tuberculosis Report 2020 – Reflections on the Global TB burden, treatment and prevention efforts",https://doi.org/10.1016/j.ijid.2021.02.107,2021,1025,https://openalex.org/W3135682442
2713,Epidemiology,The WHO Global Tuberculosis 2021 Report – not so good news and turning the tide back to End TB,https://doi.org/10.1016/j.ijid.2022.03.011,2022,385,https://openalex.org/W4220781931
2713,Epidemiology,"Tuberculosis: progress and advances in development of new drugs, treatment regimens, and host-directed therapies",https://doi.org/10.1016/s1473-3099(18)30110-5,2018,369,https://openalex.org/W2792154364
2713,Epidemiology,Estimating and Mapping the Population at Risk of Sleeping Sickness,https://doi.org/10.1371/journal.pntd.0001859,2012,349,https://openalex.org/W2126295663
2713,Epidemiology,The Human African Trypanosomiasis Control and Surveillance Programme of the World Health Organization 2000–2009: The Way Forward,https://doi.org/10.1371/journal.pntd.0001007,2011,342,https://openalex.org/W2110499439
