year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,12,CG,2025-12-01 19:05:41
2005,2739,"Public Health, Environmental and Occupational Health",11,CG,2025-12-01 19:05:41
2005,3312,Sociology and Political Science,11,CG,2025-12-01 19:05:41
2005,2002,Economics and Econometrics,10,CG,2025-12-01 19:05:41
2005,2725,Infectious Diseases,9,CG,2025-12-01 19:05:41
2005,2303,Ecology,6,CG,2025-12-01 19:05:41
2005,2713,Epidemiology,6,CG,2025-12-01 19:05:41
2005,3600,General Health Professions,6,CG,2025-12-01 19:05:41
2005,1105,"Ecology, Evolution, Behavior and Systematics",4,CG,2025-12-01 19:05:41
2005,2711,Emergency Medicine,4,CG,2025-12-01 19:05:41
2005,1106,Food Science,3,CG,2025-12-01 19:05:41
2005,1107,Forestry,3,CG,2025-12-01 19:05:41
2005,1312,Molecular Biology,3,CG,2025-12-01 19:05:41
2005,2003,Finance,3,CG,2025-12-01 19:05:41
2005,2309,Nature and Landscape Conservation,3,CG,2025-12-01 19:05:41
2005,1111,Soil Science,2,CG,2025-12-01 19:05:41
2005,1803,Management Science and Operations Research,2,CG,2025-12-01 19:05:41
2005,2306,Global and Planetary Change,2,CG,2025-12-01 19:05:41
2005,2405,Parasitology,2,CG,2025-12-01 19:05:41
2005,2406,Virology,2,CG,2025-12-01 19:05:41
2005,2734,Pathology and Forensic Medicine,2,CG,2025-12-01 19:05:41
2005,2735,"Pediatrics, Perinatology and Child Health",2,CG,2025-12-01 19:05:41
2005,3317,Demography,2,CG,2025-12-01 19:05:41
2005,3322,Urban Studies,2,CG,2025-12-01 19:05:41
2005,1100,General Agricultural and Biological Sciences,1,CG,2025-12-01 19:05:41
2005,1103,Animal Science and Zoology,1,CG,2025-12-01 19:05:41
2005,1104,Aquatic Science,1,CG,2025-12-01 19:05:41
2005,1109,Insect Science,1,CG,2025-12-01 19:05:41
2005,1204,Archeology,1,CG,2025-12-01 19:05:41
2005,1208,Literature and Literary Theory,1,CG,2025-12-01 19:05:41
2005,1209,Museology,1,CG,2025-12-01 19:05:41
2005,1211,Philosophy,1,CG,2025-12-01 19:05:41
2005,1303,Biochemistry,1,CG,2025-12-01 19:05:41
2005,1307,Cell Biology,1,CG,2025-12-01 19:05:41
2005,1605,Organic Chemistry,1,CG,2025-12-01 19:05:41
2005,1710,Information Systems,1,CG,2025-12-01 19:05:41
2005,1910,Oceanography,1,CG,2025-12-01 19:05:41
2005,2105,"Renewable Energy, Sustainability and the Environment",1,CG,2025-12-01 19:05:41
2005,2205,Civil and Structural Engineering,1,CG,2025-12-01 19:05:41
2005,2304,Environmental Chemistry,1,CG,2025-12-01 19:05:41
2005,2307,"Health, Toxicology and Mutagenesis",1,CG,2025-12-01 19:05:41
2005,2308,"Management, Monitoring, Policy and Law",1,CG,2025-12-01 19:05:41
2005,2312,Water Science and Technology,1,CG,2025-12-01 19:05:41
2005,2704,Biochemistry,1,CG,2025-12-01 19:05:41
2005,2708,Dermatology,1,CG,2025-12-01 19:05:41
2005,2727,Nephrology,1,CG,2025-12-01 19:05:41
2005,2730,Oncology,1,CG,2025-12-01 19:05:41
2005,2737,Physiology,1,CG,2025-12-01 19:05:41
2005,2738,Psychiatry and Mental health,1,CG,2025-12-01 19:05:41
2005,2745,Rheumatology,1,CG,2025-12-01 19:05:41
2005,2746,Surgery,1,CG,2025-12-01 19:05:41
2005,2916,Nutrition and Dietetics,1,CG,2025-12-01 19:05:41
2005,3004,Pharmacology,1,CG,2025-12-01 19:05:41
2005,3200,General Psychology,1,CG,2025-12-01 19:05:41
2005,3304,Education,1,CG,2025-12-01 19:05:41
2005,3314,Anthropology,1,CG,2025-12-01 19:05:41
2005,3320,Political Science and International Relations,1,CG,2025-12-01 19:05:41
2005,3321,Public Administration,1,CG,2025-12-01 19:05:41
2005,3506,Periodontics,1,CG,2025-12-01 19:05:41
2005,3604,Emergency Medical Services,1,CG,2025-12-01 19:05:41
2006,3312,Sociology and Political Science,24,CG,2025-12-01 19:05:41
2006,1110,Plant Science,16,CG,2025-12-01 19:05:41
2006,2303,Ecology,16,CG,2025-12-01 19:05:41
2006,2739,"Public Health, Environmental and Occupational Health",11,CG,2025-12-01 19:05:41
2006,3600,General Health Professions,10,CG,2025-12-01 19:05:41
2006,1105,"Ecology, Evolution, Behavior and Systematics",8,CG,2025-12-01 19:05:41
2006,2725,Infectious Diseases,8,CG,2025-12-01 19:05:41
2006,1312,Molecular Biology,6,CG,2025-12-01 19:05:41
2006,2306,Global and Planetary Change,6,CG,2025-12-01 19:05:41
2006,2713,Epidemiology,6,CG,2025-12-01 19:05:41
2006,1111,Soil Science,5,CG,2025-12-01 19:05:41
2006,2735,"Pediatrics, Perinatology and Child Health",5,CG,2025-12-01 19:05:41
2006,1109,Insect Science,4,CG,2025-12-01 19:05:41
2006,1204,Archeology,4,CG,2025-12-01 19:05:41
2006,1910,Oceanography,4,CG,2025-12-01 19:05:41
2006,2002,Economics and Econometrics,4,CG,2025-12-01 19:05:41
2006,2405,Parasitology,4,CG,2025-12-01 19:05:41
2006,3314,Anthropology,4,CG,2025-12-01 19:05:41
2006,1202,History,3,CG,2025-12-01 19:05:41
2006,2304,Environmental Chemistry,3,CG,2025-12-01 19:05:41
2006,2308,"Management, Monitoring, Policy and Law",3,CG,2025-12-01 19:05:41
2006,2746,Surgery,3,CG,2025-12-01 19:05:41
2006,2916,Nutrition and Dietetics,3,CG,2025-12-01 19:05:41
2006,3306,Health,3,CG,2025-12-01 19:05:41
2006,1106,Food Science,2,CG,2025-12-01 19:05:41
2006,1307,Cell Biology,2,CG,2025-12-01 19:05:41
2006,2003,Finance,2,CG,2025-12-01 19:05:41
2006,2309,Nature and Landscape Conservation,2,CG,2025-12-01 19:05:41
2006,2406,Virology,2,CG,2025-12-01 19:05:41
2006,2707,Complementary and alternative medicine,2,CG,2025-12-01 19:05:41
2006,2711,Emergency Medicine,2,CG,2025-12-01 19:05:41
2006,2716,Genetics,2,CG,2025-12-01 19:05:41
2006,3207,Social Psychology,2,CG,2025-12-01 19:05:41
2006,3320,Political Science and International Relations,2,CG,2025-12-01 19:05:41
2006,3404,Small Animals,2,CG,2025-12-01 19:05:41
2006,1104,Aquatic Science,1,CG,2025-12-01 19:05:41
2006,1107,Forestry,1,CG,2025-12-01 19:05:41
2006,1108,Horticulture,1,CG,2025-12-01 19:05:41
2006,1305,Biotechnology,1,CG,2025-12-01 19:05:41
2006,1306,Cancer Research,1,CG,2025-12-01 19:05:41
2006,1309,Developmental Biology,1,CG,2025-12-01 19:05:41
2006,1310,Endocrinology,1,CG,2025-12-01 19:05:41
2006,1311,Genetics,1,CG,2025-12-01 19:05:41
2006,1403,Business and International Management,1,CG,2025-12-01 19:05:41
2006,1605,Organic Chemistry,1,CG,2025-12-01 19:05:41
2006,1703,Computational Theory and Mathematics,1,CG,2025-12-01 19:05:41
2006,1803,Management Science and Operations Research,1,CG,2025-12-01 19:05:41
2006,1902,Atmospheric Science,1,CG,2025-12-01 19:05:41
2006,1906,Geochemistry and Petrology,1,CG,2025-12-01 19:05:41
2006,2000,"General Economics, Econometrics and Finance",1,CG,2025-12-01 19:05:41
2006,2205,Civil and Structural Engineering,1,CG,2025-12-01 19:05:41
2006,2207,Control and Systems Engineering,1,CG,2025-12-01 19:05:41
2006,2213,"Safety, Risk, Reliability and Quality",1,CG,2025-12-01 19:05:41
2006,2215,Building and Construction,1,CG,2025-12-01 19:05:41
2006,2311,Industrial and Manufacturing Engineering,1,CG,2025-12-01 19:05:41
2006,2404,Microbiology,1,CG,2025-12-01 19:05:41
2006,2704,Biochemistry,1,CG,2025-12-01 19:05:41
2006,2721,Hepatology,1,CG,2025-12-01 19:05:41
2006,2729,Obstetrics and Gynecology,1,CG,2025-12-01 19:05:41
2006,2734,Pathology and Forensic Medicine,1,CG,2025-12-01 19:05:41
2006,2736,Pharmacology,1,CG,2025-12-01 19:05:41
2006,3300,General Social Sciences,1,CG,2025-12-01 19:05:41
2006,3303,Development,1,CG,2025-12-01 19:05:41
2006,3322,Urban Studies,1,CG,2025-12-01 19:05:41
2006,3604,Emergency Medical Services,1,CG,2025-12-01 19:05:41
2007,2739,"Public Health, Environmental and Occupational Health",15,CG,2025-12-01 19:05:41
2007,2303,Ecology,13,CG,2025-12-01 19:05:41
2007,1105,"Ecology, Evolution, Behavior and Systematics",11,CG,2025-12-01 19:05:41
2007,3600,General Health Professions,10,CG,2025-12-01 19:05:41
2007,2002,Economics and Econometrics,9,CG,2025-12-01 19:05:41
2007,2713,Epidemiology,9,CG,2025-12-01 19:05:41
2007,3312,Sociology and Political Science,9,CG,2025-12-01 19:05:41
2007,1111,Soil Science,7,CG,2025-12-01 19:05:41
