year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,3226,CH,2025-11-28 17:23:55
2005,2208,Electrical and Electronic Engineering,2252,CH,2025-11-28 17:23:55
2005,2746,Surgery,1877,CH,2025-11-28 17:23:55
2005,2204,Biomedical Engineering,1595,CH,2025-11-28 17:23:55
2005,3107,"Atomic and Molecular Physics, and Optics",1504,CH,2025-11-28 17:23:55
2005,2505,Materials Chemistry,1448,CH,2025-11-28 17:23:55
2005,3106,Nuclear and High Energy Physics,1234,CH,2025-11-28 17:23:55
2005,2713,Epidemiology,1215,CH,2025-11-28 17:23:55
2005,2740,Pulmonary and Respiratory Medicine,1170,CH,2025-11-28 17:23:55
2005,3312,Sociology and Political Science,809,CH,2025-11-28 17:23:55
2005,2730,Oncology,489,CH,2025-11-28 17:23:55
2005,2741,"Radiology, Nuclear Medicine and Imaging",469,CH,2025-11-28 17:23:55
2005,1311,Genetics,435,CH,2025-11-28 17:23:55
2005,1607,Spectroscopy,419,CH,2025-11-28 17:23:55
2005,2705,Cardiology and Cardiovascular Medicine,415,CH,2025-11-28 17:23:55
2005,1605,Organic Chemistry,380,CH,2025-11-28 17:23:55
2005,3103,Astronomy and Astrophysics,336,CH,2025-11-28 17:23:55
2005,3108,Radiation,336,CH,2025-11-28 17:23:55
2005,3104,Condensed Matter Physics,334,CH,2025-11-28 17:23:55
2005,2804,Cellular and Molecular Neuroscience,316,CH,2025-11-28 17:23:55
2005,2504,"Electronic, Optical and Magnetic Materials",313,CH,2025-11-28 17:23:55
2005,2737,Physiology,303,CH,2025-11-28 17:23:55
2005,1705,Computer Networks and Communications,301,CH,2025-11-28 17:23:55
2005,2202,Aerospace Engineering,301,CH,2025-11-28 17:23:55
2005,2734,Pathology and Forensic Medicine,277,CH,2025-11-28 17:23:55
2005,1307,Cell Biology,264,CH,2025-11-28 17:23:55
2005,2403,Immunology,263,CH,2025-11-28 17:23:55
2005,2210,Mechanical Engineering,243,CH,2025-11-28 17:23:55
2005,2725,Infectious Diseases,232,CH,2025-11-28 17:23:55
2005,2745,Rheumatology,231,CH,2025-11-28 17:23:55
2005,1702,Artificial Intelligence,224,CH,2025-11-28 17:23:55
2005,2739,"Public Health, Environmental and Occupational Health",207,CH,2025-11-28 17:23:55
2005,2211,Mechanics of Materials,204,CH,2025-11-28 17:23:55
2005,1110,Plant Science,198,CH,2025-11-28 17:23:55
2005,1306,Cancer Research,198,CH,2025-11-28 17:23:55
2005,1604,Inorganic Chemistry,191,CH,2025-11-28 17:23:55
2005,2728,Neurology,191,CH,2025-11-28 17:23:55
2005,2712,"Endocrinology, Diabetes and Metabolism",174,CH,2025-11-28 17:23:55
2005,2206,Computational Mechanics,167,CH,2025-11-28 17:23:55
2005,2207,Control and Systems Engineering,159,CH,2025-11-28 17:23:55
2005,3109,Statistical and Nonlinear Physics,156,CH,2025-11-28 17:23:55
2005,2732,Orthopedics and Sports Medicine,143,CH,2025-11-28 17:23:55
2005,2508,"Surfaces, Coatings and Films",136,CH,2025-11-28 17:23:55
2005,2736,Pharmacology,131,CH,2025-11-28 17:23:55
2005,2735,"Pediatrics, Perinatology and Child Health",128,CH,2025-11-28 17:23:55
2005,2721,Hepatology,123,CH,2025-11-28 17:23:55
2005,1606,Physical and Theoretical Chemistry,121,CH,2025-11-28 17:23:55
2005,3600,General Health Professions,120,CH,2025-11-28 17:23:55
2005,1703,Computational Theory and Mathematics,116,CH,2025-11-28 17:23:55
2005,2105,"Renewable Energy, Sustainability and the Environment",111,CH,2025-11-28 17:23:55
2005,2916,Nutrition and Dietetics,110,CH,2025-11-28 17:23:55
2005,2716,Genetics,108,CH,2025-11-28 17:23:55
2005,2805,Cognitive Neuroscience,108,CH,2025-11-28 17:23:55
2005,3320,Political Science and International Relations,107,CH,2025-11-28 17:23:55
2005,1304,Biophysics,106,CH,2025-11-28 17:23:55
2005,2731,Ophthalmology,106,CH,2025-11-28 17:23:55
2005,1707,Computer Vision and Pattern Recognition,102,CH,2025-11-28 17:23:55
2005,2711,Emergency Medicine,100,CH,2025-11-28 17:23:55
2005,2502,Biomaterials,96,CH,2025-11-28 17:23:55
2005,2748,Urology,94,CH,2025-11-28 17:23:55
2005,2720,Hematology,90,CH,2025-11-28 17:23:55
2005,2507,Polymers and Plastics,88,CH,2025-11-28 17:23:55
2005,1503,Catalysis,86,CH,2025-11-28 17:23:55
2005,2742,Rehabilitation,83,CH,2025-11-28 17:23:55
2005,1105,"Ecology, Evolution, Behavior and Systematics",82,CH,2025-11-28 17:23:55
2005,2002,Economics and Econometrics,82,CH,2025-11-28 17:23:55
2005,1902,Atmospheric Science,81,CH,2025-11-28 17:23:55
2005,2404,Microbiology,78,CH,2025-11-28 17:23:55
2005,2703,Anesthesiology and Pain Medicine,76,CH,2025-11-28 17:23:55
2005,1303,Biochemistry,75,CH,2025-11-28 17:23:55
2005,3207,Social Psychology,75,CH,2025-11-28 17:23:55
2005,1502,Bioengineering,74,CH,2025-11-28 17:23:55
2005,1708,Hardware and Architecture,74,CH,2025-11-28 17:23:55
2005,2708,Dermatology,74,CH,2025-11-28 17:23:55
2005,2706,Critical Care and Intensive Care Medicine,72,CH,2025-11-28 17:23:55
2005,3504,Oral Surgery,71,CH,2025-11-28 17:23:55
2005,1106,Food Science,68,CH,2025-11-28 17:23:55
2005,2303,Ecology,68,CH,2025-11-28 17:23:55
2005,3203,Clinical Psychology,66,CH,2025-11-28 17:23:55
2005,2747,Transplantation,63,CH,2025-11-28 17:23:55
2005,2723,Immunology and Allergy,62,CH,2025-11-28 17:23:55
2005,2715,Gastroenterology,61,CH,2025-11-28 17:23:55
2005,2205,Civil and Structural Engineering,59,CH,2025-11-28 17:23:55
2005,2738,Psychiatry and Mental health,56,CH,2025-11-28 17:23:55
2005,2808,Neurology,56,CH,2025-11-28 17:23:55
2005,1308,Clinical Biochemistry,53,CH,2025-11-28 17:23:55
2005,1908,Geophysics,52,CH,2025-11-28 17:23:55
2005,2727,Nephrology,51,CH,2025-11-28 17:23:55
2005,2724,Internal Medicine,49,CH,2025-11-28 17:23:55
2005,3404,Small Animals,47,CH,2025-11-28 17:23:55
2005,2203,Automotive Engineering,46,CH,2025-11-28 17:23:55
2005,2405,Parasitology,46,CH,2025-11-28 17:23:55
2005,2807,Endocrine and Autonomic Systems,46,CH,2025-11-28 17:23:55
2005,2406,Virology,45,CH,2025-11-28 17:23:55
2005,1603,Electrochemistry,43,CH,2025-11-28 17:23:55
2005,3604,Emergency Medical Services,43,CH,2025-11-28 17:23:55
2005,2214,Media Technology,42,CH,2025-11-28 17:23:55
2005,3304,Education,41,CH,2025-11-28 17:23:55
2005,3004,Pharmacology,40,CH,2025-11-28 17:23:55
2005,2729,Obstetrics and Gynecology,39,CH,2025-11-28 17:23:55
2005,1305,Biotechnology,37,CH,2025-11-28 17:23:55
2005,1710,Information Systems,37,CH,2025-11-28 17:23:55
2005,1711,Signal Processing,37,CH,2025-11-28 17:23:55
2005,2809,Sensory Systems,36,CH,2025-11-28 17:23:55
2005,1314,Physiology,35,CH,2025-11-28 17:23:55
2005,2806,Developmental Neuroscience,34,CH,2025-11-28 17:23:55
2005,3306,Health,34,CH,2025-11-28 17:23:55
2005,1507,Fluid Flow and Transfer Processes,33,CH,2025-11-28 17:23:55
2005,2733,Otorhinolaryngology,33,CH,2025-11-28 17:23:55
2005,3322,Urban Studies,33,CH,2025-11-28 17:23:55
2005,1109,Insect Science,32,CH,2025-11-28 17:23:55
2005,1602,Analytical Chemistry,32,CH,2025-11-28 17:23:55
2005,2212,Ocean Engineering,32,CH,2025-11-28 17:23:55
2005,2306,Global and Planetary Change,32,CH,2025-11-28 17:23:55
2005,2307,"Health, Toxicology and Mutagenesis",32,CH,2025-11-28 17:23:55
2005,2310,Pollution,30,CH,2025-11-28 17:23:55
2005,3616,Speech and Hearing,30,CH,2025-11-28 17:23:55
2005,3611,Pharmacy,29,CH,2025-11-28 17:23:55
2005,2610,Mathematical Physics,28,CH,2025-11-28 17:23:55
2005,3003,Pharmaceutical Science,28,CH,2025-11-28 17:23:55
2005,1803,Management Science and Operations Research,27,CH,2025-11-28 17:23:55
2005,2312,Water Science and Technology,27,CH,2025-11-28 17:23:55
2005,2503,Ceramics and Composites,27,CH,2025-11-28 17:23:55
2005,3317,Demography,27,CH,2025-11-28 17:23:55
2005,2608,Geometry and Topology,26,CH,2025-11-28 17:23:55
2005,1103,Animal Science and Zoology,25,CH,2025-11-28 17:23:55
2005,1310,Endocrinology,25,CH,2025-11-28 17:23:55
2005,1407,Organizational Behavior and Human Resource Management,25,CH,2025-11-28 17:23:55
2005,2305,Environmental Engineering,25,CH,2025-11-28 17:23:55
2005,2743,Reproductive Medicine,25,CH,2025-11-28 17:23:55
2005,2311,Industrial and Manufacturing Engineering,24,CH,2025-11-28 17:23:55
2005,3105,Instrumentation,24,CH,2025-11-28 17:23:55
2005,3318,Gender Studies,24,CH,2025-11-28 17:23:55
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",24,CH,2025-11-28 17:23:55
2005,1408,Strategy and Management,23,CH,2025-11-28 17:23:55
2005,2213,"Safety, Risk, Reliability and Quality",23,CH,2025-11-28 17:23:55
2005,2704,Biochemistry,23,CH,2025-11-28 17:23:55
2005,1315,Structural Biology,22,CH,2025-11-28 17:23:55
2005,1804,"Statistics, Probability and Uncertainty",22,CH,2025-11-28 17:23:55
2005,2707,Complementary and alternative medicine,22,CH,2025-11-28 17:23:55
2005,2209,Industrial and Manufacturing Engineering,21,CH,2025-11-28 17:23:55
2005,3315,Communication,21,CH,2025-11-28 17:23:55
2005,1202,History,20,CH,2025-11-28 17:23:55
2005,1313,Molecular Medicine,20,CH,2025-11-28 17:23:55
2005,3311,Safety Research,20,CH,2025-11-28 17:23:55
2005,2308,"Management, Monitoring, Policy and Law",19,CH,2025-11-28 17:23:55
2005,2613,Statistics and Probability,19,CH,2025-11-28 17:23:55
2005,1204,Archeology,18,CH,2025-11-28 17:23:55
2005,3505,Orthodontics,17,CH,2025-11-28 17:23:55
2005,1102,Agronomy and Crop Science,16,CH,2025-11-28 17:23:55
2005,1405,Management of Technology and Innovation,15,CH,2025-11-28 17:23:55
2005,2215,Building and Construction,15,CH,2025-11-28 17:23:55
2005,3205,Experimental and Cognitive Psychology,15,CH,2025-11-28 17:23:55
2005,3506,Periodontics,15,CH,2025-11-28 17:23:55
2005,1802,Information Systems and Management,14,CH,2025-11-28 17:23:55
2005,2304,Environmental Chemistry,14,CH,2025-11-28 17:23:55
2005,3005,Toxicology,14,CH,2025-11-28 17:23:55
2005,1211,Philosophy,13,CH,2025-11-28 17:23:55
2005,3202,Applied Psychology,13,CH,2025-11-28 17:23:55
2005,3314,Anthropology,13,CH,2025-11-28 17:23:55
2005,1207,History and Philosophy of Science,12,CH,2025-11-28 17:23:55
2005,1302,Aging,12,CH,2025-11-28 17:23:55
2005,2102,Energy Engineering and Power Technology,12,CH,2025-11-28 17:23:55
2005,2506,Metals and Alloys,12,CH,2025-11-28 17:23:55
2005,1906,Geochemistry and Petrology,11,CH,2025-11-28 17:23:55
2005,1911,Paleontology,11,CH,2025-11-28 17:23:55
2005,3614,Radiological and Ultrasound Technology,11,CH,2025-11-28 17:23:55
2005,1404,Management Information Systems,10,CH,2025-11-28 17:23:55
2005,1910,Oceanography,10,CH,2025-11-28 17:23:55
2005,3308,Law,10,CH,2025-11-28 17:23:55
2005,3603,Complementary and Manual Therapy,10,CH,2025-11-28 17:23:55
2005,1508,Process Chemistry and Technology,9,CH,2025-11-28 17:23:55
2005,2702,Anatomy,9,CH,2025-11-28 17:23:55
2005,1203,Language and Linguistics,8,CH,2025-11-28 17:23:55
2005,1406,Marketing,8,CH,2025-11-28 17:23:55
2005,1706,Computer Science Applications,8,CH,2025-11-28 17:23:55
2005,2604,Applied Mathematics,8,CH,2025-11-28 17:23:55
2005,2611,Modeling and Simulation,8,CH,2025-11-28 17:23:55
2005,3303,Development,8,CH,2025-11-28 17:23:55
2005,3310,Linguistics and Language,8,CH,2025-11-28 17:23:55
2005,3316,Cultural Studies,8,CH,2025-11-28 17:23:55
2005,3402,Equine,8,CH,2025-11-28 17:23:55
2005,1208,Literature and Literary Theory,7,CH,2025-11-28 17:23:55
2005,1309,Developmental Biology,7,CH,2025-11-28 17:23:55
2005,1506,Filtration and Separation,7,CH,2025-11-28 17:23:55
2005,1709,Human-Computer Interaction,7,CH,2025-11-28 17:23:55
2005,2612,Numerical Analysis,7,CH,2025-11-28 17:23:55
2005,3321,Public Administration,7,CH,2025-11-28 17:23:55
2005,1212,Religious studies,6,CH,2025-11-28 17:23:55
2005,2717,Geriatrics and Gerontology,6,CH,2025-11-28 17:23:55
2005,2802,Behavioral Neuroscience,6,CH,2025-11-28 17:23:55
2005,2803,Biological Psychiatry,6,CH,2025-11-28 17:23:55
2005,3204,Developmental and Educational Psychology,6,CH,2025-11-28 17:23:55
2005,3305,"Geography, Planning and Development",6,CH,2025-11-28 17:23:55
2005,1409,"Tourism, Leisure and Hospitality Management",5,CH,2025-11-28 17:23:55
2005,2000,"General Economics, Econometrics and Finance",5,CH,2025-11-28 17:23:55
2005,2003,Finance,5,CH,2025-11-28 17:23:55
2005,2309,Nature and Landscape Conservation,5,CH,2025-11-28 17:23:55
