subfield_id,subfield_name,title,doi,year,cited_by_count,id
1105,"Ecology, Evolution, Behavior and Systematics",Global trait–environment relationships of plant communities,https://doi.org/10.1038/s41559-018-0699-8,2018,668,https://openalex.org/W2898973103
1105,"Ecology, Evolution, Behavior and Systematics",Compositional response of Amazon forests to climate change,https://doi.org/10.1111/gcb.14413,2018,457,https://openalex.org/W2900106581
1105,"Ecology, Evolution, Behavior and Systematics",Global distribution of earthworm diversity,https://doi.org/10.1126/science.aax4851,2019,424,https://openalex.org/W2981612066
1110,Plant Science,"Effect of extraction conditions on the yield, purity and surface properties of sugar beet pulp pectin extracts",https://doi.org/10.1016/j.foodchem.2005.12.012,2006,433,https://openalex.org/W2011696234
1110,Plant Science,Pectic substances: From simple pectic polysaccharides to complex pectins—A new hypothetical model,https://doi.org/10.1016/j.carbpol.2011.05.065,2011,313,https://openalex.org/W2079581401
1110,Plant Science,"Comparative study of cytotoxicity and oxidative stress induced by deoxynivalenol, zearalenone or fumonisin B1 in human intestinal cell line Caco-2",https://doi.org/10.1016/j.tox.2005.05.010,2005,269,https://openalex.org/W2121635535
3312,Sociology and Political Science,Do International Remittances Affect Poverty in Africa?*,https://doi.org/10.1111/j.1467-8268.2009.00228.x,2010,270,https://openalex.org/W2071415924
3312,Sociology and Political Science,Multidimensional Measures of Well-Being: Standard of Living and Quality of Life Across Countries,https://doi.org/10.1016/j.worlddev.2006.10.011,2007,261,https://openalex.org/W2053988025
3312,Sociology and Political Science,Perceptions of the appropriate response to norm violation in 57 societies,https://doi.org/10.1038/s41467-021-21602-9,2021,187,https://openalex.org/W3134934442
2713,Epidemiology,Early mortality among adults accessing antiretroviral treatment programmes in sub-Saharan Africa,https://doi.org/10.1097/qad.0b013e32830007cd,2008,636,https://openalex.org/W1999408007
2713,Epidemiology,"Experimental Treatment with Favipiravir for Ebola Virus Disease (the JIKI Trial): A Historically Controlled, Single-Arm Proof-of-Concept Trial in Guinea",https://doi.org/10.1371/journal.pmed.1001967,2016,475,https://openalex.org/W2296414617
2713,Epidemiology,"Global Role and Burden of Influenza in Pediatric Respiratory Hospitalizations, 1982–2012: A Systematic Analysis",https://doi.org/10.1371/journal.pmed.1001977,2016,362,https://openalex.org/W2308892148
1107,Forestry,The number of tree species on Earth,https://doi.org/10.1073/pnas.2115329119,2022,191,https://openalex.org/W4210377061
1107,Forestry,"Climate change, cocoa migrations and deforestation in West Africa: What does the past tell us about the future?",https://doi.org/10.1007/s11625-014-0282-4,2014,160,https://openalex.org/W2078675567
1107,Forestry,"International Journal of Environment, Agriculture and Biotechnology",https://doi.org/10.22161/ijeab,2016,157,https://openalex.org/W3160037449
2725,Infectious Diseases,Preparedness and vulnerability of African countries against importations of COVID-19: a modelling study,https://doi.org/10.1016/s0140-6736(20)30411-6,2020,1264,https://openalex.org/W3006834170
2725,Infectious Diseases,"Global, regional, and national incidence and mortality for HIV, tuberculosis, and malaria during 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013",https://doi.org/10.1016/s0140-6736(14)60844-8,2014,966,https://openalex.org/W2128886090
2725,Infectious Diseases,Advancing global health and strengthening the HIV response in the era of the Sustainable Development Goals: the International AIDS Society—Lancet Commission,https://doi.org/10.1016/s0140-6736(18)31070-5,2018,717,https://openalex.org/W2883729505
2739,"Public Health, Environmental and Occupational Health",Impending extinction crisis of the world’s primates: Why primates matter,https://doi.org/10.1126/sciadv.1600946,2017,1376,https://openalex.org/W2581828022
2739,"Public Health, Environmental and Occupational Health",Pandemic Human Viruses Cause Decline of Endangered Great Apes,https://doi.org/10.1016/j.cub.2008.01.012,2008,498,https://openalex.org/W2082320621
2739,"Public Health, Environmental and Occupational Health",Investigating the zoonotic origin of the West African Ebola epidemic,https://doi.org/10.15252/emmm.201404792,2014,440,https://openalex.org/W2107792909
1312,Molecular Biology,Pharmaceutical pollution of the world’s rivers,https://doi.org/10.1073/pnas.2113947119,2022,1249,https://openalex.org/W4212893393
1312,Molecular Biology,The genome of Theobroma cacao,https://doi.org/10.1038/ng.736,2010,755,https://openalex.org/W2092779913
1312,Molecular Biology,INTEREST IN DETERMINING THE CD34+ CD38- PHENOTYPE IN THE DIAGNOSIS AND PROGNOSIS OF ACUTE LEUKEMIA IN ABIDJAN – CÔTE D’IVOIRE,https://doi.org/10.4084/mjhid.2013.023,2013,381,https://openalex.org/W2158240777
3600,General Health Professions,[Global health 2035: a world converging within a generation].,,2017,945,https://openalex.org/W2149759828
3600,General Health Professions,A deprivation index for health planning in Canada,https://doi.org/10.24095/hpcdp.29.4.05,2009,525,https://openalex.org/W203518869
3600,General Health Professions,"Working with Indigenous, local and scientific knowledge in assessments of nature and nature’s linkages with people",https://doi.org/10.1016/j.cosust.2019.12.006,2020,330,https://openalex.org/W2999751453
2303,Ecology,Global trait–environment relationships of plant communities,https://doi.org/10.1038/s41559-018-0699-8,2018,668,https://openalex.org/W2898973103
2303,Ecology,Schistosomiasis and neglected tropical diseases: towards integrated and sustainable control and a word of caution,https://doi.org/10.1017/s0031182009991600,2009,416,https://openalex.org/W2094315264
2303,Ecology,"Working with Indigenous, local and scientific knowledge in assessments of nature and nature’s linkages with people",https://doi.org/10.1016/j.cosust.2019.12.006,2020,330,https://openalex.org/W2999751453
