year,id,name,works_count,country,fetch_date
2005,3103,Astronomy and Astrophysics,562,CL,2025-12-03 12:11:22
2005,1312,Molecular Biology,381,CL,2025-12-03 12:11:22
2005,3312,Sociology and Political Science,327,CL,2025-12-03 12:11:22
2005,1110,Plant Science,274,CL,2025-12-03 12:11:22
2005,2303,Ecology,273,CL,2025-12-03 12:11:22
2005,2746,Surgery,269,CL,2025-12-03 12:11:22
2005,2739,"Public Health, Environmental and Occupational Health",265,CL,2025-12-03 12:11:22
2005,3304,Education,244,CL,2025-12-03 12:11:22
2005,3320,Political Science and International Relations,241,CL,2025-12-03 12:11:22
2005,3600,General Health Professions,199,CL,2025-12-03 12:11:22
2005,3105,Instrumentation,179,CL,2025-12-03 12:11:22
2005,3308,Law,113,CL,2025-12-03 12:11:22
2005,1105,"Ecology, Evolution, Behavior and Systematics",105,CL,2025-12-03 12:11:22
2005,3106,Nuclear and High Energy Physics,90,CL,2025-12-03 12:11:22
2005,2713,Epidemiology,79,CL,2025-12-03 12:11:22
2005,1311,Genetics,74,CL,2025-12-03 12:11:22
2005,2306,Global and Planetary Change,67,CL,2025-12-03 12:11:22
2005,2740,Pulmonary and Respiratory Medicine,59,CL,2025-12-03 12:11:22
2005,2705,Cardiology and Cardiovascular Medicine,55,CL,2025-12-03 12:11:22
2005,1106,Food Science,54,CL,2025-12-03 12:11:22
2005,2737,Physiology,54,CL,2025-12-03 12:11:22
2005,1208,Literature and Literary Theory,50,CL,2025-12-03 12:11:22
2005,1910,Oceanography,48,CL,2025-12-03 12:11:22
2005,3107,"Atomic and Molecular Physics, and Optics",48,CL,2025-12-03 12:11:22
2005,3207,Social Psychology,46,CL,2025-12-03 12:11:22
2005,2735,"Pediatrics, Perinatology and Child Health",45,CL,2025-12-03 12:11:22
2005,2804,Cellular and Molecular Neuroscience,45,CL,2025-12-03 12:11:22
2005,3300,General Social Sciences,45,CL,2025-12-03 12:11:22
2005,2309,Nature and Landscape Conservation,42,CL,2025-12-03 12:11:22
2005,1109,Insect Science,41,CL,2025-12-03 12:11:22
2005,3317,Demography,41,CL,2025-12-03 12:11:22
2005,1710,Information Systems,38,CL,2025-12-03 12:11:22
2005,1307,Cell Biology,37,CL,2025-12-03 12:11:22
2005,1100,General Agricultural and Biological Sciences,36,CL,2025-12-03 12:11:22
2005,2916,Nutrition and Dietetics,36,CL,2025-12-03 12:11:22
2005,2002,Economics and Econometrics,33,CL,2025-12-03 12:11:22
2005,1902,Atmospheric Science,32,CL,2025-12-03 12:11:22
2005,2403,Immunology,30,CL,2025-12-03 12:11:22
2005,2712,"Endocrinology, Diabetes and Metabolism",30,CL,2025-12-03 12:11:22
2005,3203,Clinical Psychology,30,CL,2025-12-03 12:11:22
2005,3316,Cultural Studies,30,CL,2025-12-03 12:11:22
2005,1607,Spectroscopy,29,CL,2025-12-03 12:11:22
2005,2730,Oncology,29,CL,2025-12-03 12:11:22
2005,2736,Pharmacology,29,CL,2025-12-03 12:11:22
2005,2204,Biomedical Engineering,28,CL,2025-12-03 12:11:22
2005,2743,Reproductive Medicine,28,CL,2025-12-03 12:11:22
2005,2734,Pathology and Forensic Medicine,27,CL,2025-12-03 12:11:22
2005,3109,Statistical and Nonlinear Physics,27,CL,2025-12-03 12:11:22
2005,3204,Developmental and Educational Psychology,26,CL,2025-12-03 12:11:22
2005,1407,Organizational Behavior and Human Resource Management,25,CL,2025-12-03 12:11:22
2005,2745,Rheumatology,25,CL,2025-12-03 12:11:22
2005,1202,History,24,CL,2025-12-03 12:11:22
2005,1211,Philosophy,24,CL,2025-12-03 12:11:22
2005,1306,Cancer Research,24,CL,2025-12-03 12:11:22
2005,3306,Health,24,CL,2025-12-03 12:11:22
2005,2405,Parasitology,22,CL,2025-12-03 12:11:22
2005,2725,Infectious Diseases,22,CL,2025-12-03 12:11:22
2005,3611,Pharmacy,22,CL,2025-12-03 12:11:22
2005,1111,Soil Science,21,CL,2025-12-03 12:11:22
2005,2304,Environmental Chemistry,21,CL,2025-12-03 12:11:22
2005,3311,Safety Research,21,CL,2025-12-03 12:11:22
2005,1911,Paleontology,20,CL,2025-12-03 12:11:22
