subfield_id,subfield_name,title,doi,year,cited_by_count,id
1110,Plant Science,Global diversity and geography of soil fungi,https://doi.org/10.1126/science.1256688,2014,3384,https://openalex.org/W2145840889
1110,Plant Science,"Monkeypox Virus in Nigeria: Infection Biology, Epidemiology, and Evolution",https://doi.org/10.3390/v12111257,2020,753,https://openalex.org/W3095572728
1110,Plant Science,Antidiabetic Potential of Medicinal Plants and Their Active Components,https://doi.org/10.3390/biom9100551,2019,678,https://openalex.org/W2975190007
1110,Plant Science,Potential of Cameroonian Plants and Derived Products against Microbial Infections: A Review,https://doi.org/10.1055/s-0030-1250027,2010,632,https://openalex.org/W2143006671
1110,Plant Science,454 Pyrosequencing and Sanger sequencing of tropical mycorrhizal fungi provide similar results but reveal substantial methodological biases,https://doi.org/10.1111/j.1469-8137.2010.03373.x,2010,551,https://openalex.org/W2156417649
1110,Plant Science,Genetic diversity targets and indicators in the CBD post-2020 Global Biodiversity Framework must be improved,https://doi.org/10.1016/j.biocon.2020.108654,2020,538,https://openalex.org/W3038412545
1110,Plant Science,Effects of the stage of maturation and varieties on the chemical composition of banana and plantain peels,https://doi.org/10.1016/j.foodchem.2006.09.006,2006,472,https://openalex.org/W2073621318
1110,Plant Science,Recent advances in research on lignans and neolignans,https://doi.org/10.1039/c6np00021e,2016,459,https://openalex.org/W2346050115
1110,Plant Science,Flavonoids and Strigolactones in Root Exudates as Signals in Symbiotic and Pathogenic Plant-Fungus Interactions,https://doi.org/10.3390/12071290,2007,412,https://openalex.org/W2148187674
1110,Plant Science,"Implications of insecticide resistance for malaria vector control with long-lasting insecticidal nets: a WHO-coordinated, prospective, international, observational cohort study",https://doi.org/10.1016/s1473-3099(18)30172-5,2018,334,https://openalex.org/W2797631732
1312,Molecular Biology,"Lifestyle, Oxidative Stress, and Antioxidants: Back and Forth in the Pathophysiology of Chronic Diseases",https://doi.org/10.3389/fphys.2020.00694,2020,1772,https://openalex.org/W3039077710
1312,Molecular Biology,Pharmaceutical pollution of the world’s rivers,https://doi.org/10.1073/pnas.2113947119,2022,1265,https://openalex.org/W4212893393
1312,Molecular Biology,"Monkeypox Virus in Nigeria: Infection Biology, Epidemiology, and Evolution",https://doi.org/10.3390/v12111257,2020,753,https://openalex.org/W3095572728
1312,Molecular Biology,The Therapeutic Potential of Naringenin: A Review of Clinical Trials,https://doi.org/10.3390/ph12010011,2019,741,https://openalex.org/W2908708255
1312,Molecular Biology,Phenotype and Course of Hutchinson–Gilford Progeria Syndrome,https://doi.org/10.1056/nejmoa0706898,2008,722,https://openalex.org/W2073460054
1312,Molecular Biology,Enhancing a Somatic Maturity Prediction Model,https://doi.org/10.1249/mss.0000000000000588,2014,639,https://openalex.org/W2002120939
1312,Molecular Biology,Potential of Cameroonian Plants and Derived Products against Microbial Infections: A Review,https://doi.org/10.1055/s-0030-1250027,2010,632,https://openalex.org/W2143006671
1312,Molecular Biology,Comparative genomics of the major parasitic worms,https://doi.org/10.1038/s41588-018-0262-1,2018,563,https://openalex.org/W2780728213
1312,Molecular Biology,Age at Surgery for Undescended Testis and Risk of Testicular Cancer,https://doi.org/10.1056/nejmoa067588,2007,561,https://openalex.org/W2162919508
1312,Molecular Biology,Recent advances in research on lignans and neolignans,https://doi.org/10.1039/c6np00021e,2016,459,https://openalex.org/W2346050115
2739,"Public Health, Environmental and Occupational Health","Aedes albopictus, an arbovirus vector: From the darkness to the light",https://doi.org/10.1016/j.micinf.2009.05.005,2009,974,https://openalex.org/W2046261273
2739,"Public Health, Environmental and Occupational Health",Rising rural body-mass index is the main driver of the global obesity epidemic in adults,https://doi.org/10.1038/s41586-019-1171-x,2019,700,https://openalex.org/W2945386046
2739,"Public Health, Environmental and Occupational Health",The Health Behaviour in School-aged Children (HBSC) study: methodological developments and current tensions,https://doi.org/10.1007/s00038-009-5405-9,2009,674,https://openalex.org/W2135424189
2739,"Public Health, Environmental and Occupational Health",Autocalibration of accelerometer data for free-living physical activity assessment using local gravity and temperature: an evaluation on four continents,https://doi.org/10.1152/japplphysiol.00421.2014,2014,640,https://openalex.org/W2109784184
2739,"Public Health, Environmental and Occupational Health",Malaria in pregnancy: pathogenesis and immunity,https://doi.org/10.1016/s1473-3099(07)70022-1,2007,602,https://openalex.org/W2129816308
2739,"Public Health, Environmental and Occupational Health",Perioperative patient outcomes in the African Surgical Outcomes Study: a 7-day prospective observational cohort study,https://doi.org/10.1016/s0140-6736(18)30001-1,2018,551,https://openalex.org/W2782431511
2739,"Public Health, Environmental and Occupational Health",Origin of the human malaria parasite Plasmodium falciparum in gorillas,https://doi.org/10.1038/nature09442,2010,504,https://openalex.org/W2156636923
2739,"Public Health, Environmental and Occupational Health",Midgut Microbiota of the Malaria Mosquito Vector Anopheles gambiae and Interactions with Plasmodium falciparum Infection,https://doi.org/10.1371/journal.ppat.1002742,2012,503,https://openalex.org/W2034452193
2739,"Public Health, Environmental and Occupational Health",Open Source Drug Discovery with the Malaria Box Compound Collection for Neglected Diseases and Beyond,https://doi.org/10.1371/journal.ppat.1005763,2016,439,https://openalex.org/W2488914148
2739,"Public Health, Environmental and Occupational Health",Genetic diversity of the African malaria vector Anopheles gambiae,https://doi.org/10.1038/nature24995,2017,420,https://openalex.org/W2770432019
2725,Infectious Diseases,"Aedes albopictus, an arbovirus vector: From the darkness to the light",https://doi.org/10.1016/j.micinf.2009.05.005,2009,974,https://openalex.org/W2046261273
2725,Infectious Diseases,Bacterial vaginosis and HIV acquisition: a meta-analysis of published studies,https://doi.org/10.1097/qad.0b013e3283021a37,2008,676,https://openalex.org/W2044148516
2725,Infectious Diseases,"Coronavirus in water environments: Occurrence, persistence and concentration methods - A scoping review",https://doi.org/10.1016/j.watres.2020.115899,2020,491,https://openalex.org/W3021369014
2725,Infectious Diseases,Mycobacterium tuberculosis lineage 4 comprises globally distributed and geographically restricted sublineages,https://doi.org/10.1038/ng.3704,2016,453,https://openalex.org/W2544696205
2725,Infectious Diseases,Community engagement for COVID-19 prevention and control: a rapid evidence synthesis,https://doi.org/10.1136/bmjgh-2020-003188,2020,436,https://openalex.org/W3092393555
2725,Infectious Diseases,HIV-1 drug resistance before initiation or re-initiation of first-line antiretroviral therapy in low-income and middle-income countries: a systematic review and meta-regression analysis,https://doi.org/10.1016/s1473-3099(17)30702-8,2017,399,https://openalex.org/W2773554166
2725,Infectious Diseases,Antifungal Combinations for Treatment of Cryptococcal Meningitis in Africa,https://doi.org/10.1056/nejmoa1710922,2018,386,https://openalex.org/W2791888954
2725,Infectious Diseases,SIV infection in wild gorillas,https://doi.org/10.1038/444164a,2006,383,https://openalex.org/W2044916494
2725,Infectious Diseases,In-silico design of a multi-epitope vaccine candidate against onchocerciasis and related filarial diseases,https://doi.org/10.1038/s41598-019-40833-x,2019,354,https://openalex.org/W2922503279
2725,Infectious Diseases,"A review of mathematical modeling, artificial intelligence and datasets used in the study, prediction and management of COVID-19",https://doi.org/10.1007/s10489-020-01770-9,2020,346,https://openalex.org/W3039828206
2713,Epidemiology,"IDF Diabetes Atlas: Global, regional and country-level diabetes prevalence estimates for 2021 and projections for 2045",https://doi.org/10.1016/j.diabres.2021.109119,2021,8408,https://openalex.org/W4200026682
2713,Epidemiology,Respiratory Syncytial Virus Infection in Elderly and High-Risk Adults,https://doi.org/10.1056/nejmoa043951,2005,2119,https://openalex.org/W1989501142
2713,Epidemiology,Chimpanzee Reservoirs of Pandemic and Nonpandemic HIV-1,https://doi.org/10.1126/science.1126531,2006,897,https://openalex.org/W2140665904
2713,Epidemiology,"Abdominal Obesity and the Risk of All-Cause, Cardiovascular, and Cancer Mortality",https://doi.org/10.1161/circulationaha.107.739714,2008,829,https://openalex.org/W2070559035
2713,Epidemiology,Diabetes Mellitus and Inflammation,https://doi.org/10.1007/s11892-013-0375-y,2013,783,https://openalex.org/W2021343620
2713,Epidemiology,Diabetes in sub-Saharan Africa: from clinical care to health policy,https://doi.org/10.1016/s2213-8587(17)30181-x,2017,494,https://openalex.org/W2730331548
2713,Epidemiology,Mycobacterium tuberculosis lineage 4 comprises globally distributed and geographically restricted sublineages,https://doi.org/10.1038/ng.3704,2016,453,https://openalex.org/W2544696205
2713,Epidemiology,Antifungal Combinations for Treatment of Cryptococcal Meningitis in Africa,https://doi.org/10.1056/nejmoa1710922,2018,386,https://openalex.org/W2791888954
2713,Epidemiology,Genomic history of the seventh pandemic of cholera in Africa,https://doi.org/10.1126/science.aad5901,2017,362,https://openalex.org/W2767869505
2713,Epidemiology,Options for Field Diagnosis of Human African Trypanosomiasis,https://doi.org/10.1128/cmr.18.1.133-146.2005,2005,361,https://openalex.org/W2141871601
1105,"Ecology, Evolution, Behavior and Systematics",Great ape genetic diversity and population history,https://doi.org/10.1038/nature12228,2013,948,https://openalex.org/W2114794895
1105,"Ecology, Evolution, Behavior and Systematics",Will African Agriculture Survive Climate Change?,https://doi.org/10.1093/wber/lhl004,2006,501,https://openalex.org/W2117807705
1105,"Ecology, Evolution, Behavior and Systematics",Extinction risk and threats to plants and fungi,https://doi.org/10.1002/ppp3.10146,2020,412,https://openalex.org/W3089890018
1105,"Ecology, Evolution, Behavior and Systematics",Flavonoids and Strigolactones in Root Exudates as Signals in Symbiotic and Pathogenic Plant-Fungus Interactions,https://doi.org/10.3390/12071290,2007,412,https://openalex.org/W2148187674
1105,"Ecology, Evolution, Behavior and Systematics",A general framework for the distance–decay of similarity in ecological communities,https://doi.org/10.1111/j.1461-0248.2008.01202.x,2008,392,https://openalex.org/W2090596951
1105,"Ecology, Evolution, Behavior and Systematics",Environmental variability supports chimpanzee behavioural diversity,https://doi.org/10.1038/s41467-020-18176-3,2020,388,https://openalex.org/W3084246142
1105,"Ecology, Evolution, Behavior and Systematics",Plant diversity increases with the strength of negative density dependence at the global scale,https://doi.org/10.1126/science.aam5678,2017,326,https://openalex.org/W2728951461
1105,"Ecology, Evolution, Behavior and Systematics",Soil resources and topography shape local tree community structure in tropical forests,https://doi.org/10.1098/rspb.2012.2532,2012,290,https://openalex.org/W2102858277
1105,"Ecology, Evolution, Behavior and Systematics","Cocoa Intensification Scenarios and Their Predicted Impact on CO2 Emissions, Biodiversity Conservation, and Rural Livelihoods in the Guinea Rain Forest of West Africa",https://doi.org/10.1007/s00267-010-9602-3,2010,284,https://openalex.org/W2278866024
1105,"Ecology, Evolution, Behavior and Systematics",Important Plant Areas: revised selection criteria for a global approach to plant conservation,https://doi.org/10.1007/s10531-017-1336-6,2017,273,https://openalex.org/W2603747411
3312,Sociology and Political Science,Beyond the ‘east–west’ dichotomy: Global variation in cultural models of selfhood.,https://doi.org/10.1037/xge0000175,2016,525,https://openalex.org/W2474075425
3312,Sociology and Political Science,"Digital Childhood: Electronic Media and Technology Use Among Infants, Toddlers, and Preschoolers",https://doi.org/10.1542/peds.2006-1804,2007,496,https://openalex.org/W2102968543
3312,Sociology and Political Science,Poverty Risks and National Parks: Policy Issues in Conservation and Resettlement,https://doi.org/10.1016/j.worlddev.2006.02.008,2006,411,https://openalex.org/W2136852522
3312,Sociology and Political Science,The Mobile Phone in the Diffusion of Knowledge for Institutional Quality in Sub-Saharan Africa,https://doi.org/10.1016/j.worlddev.2016.05.012,2016,372,https://openalex.org/W2414302609
3312,Sociology and Political Science,Comparative Role of<i>Aedes albopictus</i>and<i>Aedes aegypti</i>in the Emergence of Dengue and Chikungunya in Central Africa,https://doi.org/10.1089/vbz.2009.0005,2009,296,https://openalex.org/W2086791381
3312,Sociology and Political Science,Aedes Mosquitoes and Aedes-Borne Arboviruses in Africa: Current and Future Threats,https://doi.org/10.3390/ijerph15020220,2018,290,https://openalex.org/W2785376775
3312,Sociology and Political Science,The role of governance in mobile phones for inclusive human development in Sub-Saharan Africa,https://doi.org/10.1016/j.technovation.2016.04.002,2016,277,https://openalex.org/W2369637050
3312,Sociology and Political Science,“It’s The Skin You’re In”: African-American Women Talk About Their Experiences of Racism. An Exploratory Study to Develop Measures of Racism for Birth Outcome Studies,https://doi.org/10.1007/s10995-008-0357-x,2008,254,https://openalex.org/W2096982585
3312,Sociology and Political Science,Continuing education meetings and workshops: effects on professional practice and healthcare outcomes,https://doi.org/10.1002/14651858.cd003030.pub3,2021,238,https://openalex.org/W4255005174
3312,Sociology and Political Science,Global Inequality: Beyond the Bottom Billion – A Rapid Review of Income Distribution in 141 Countries,https://doi.org/10.2139/ssrn.1805046,2011,235,https://openalex.org/W1523177657
2002,Economics and Econometrics,Averting biodiversity collapse in tropical forest protected areas,https://doi.org/10.1038/nature11318,2012,1160,https://openalex.org/W2098816950
2002,Economics and Econometrics,ICT and environmental quality in Sub-Saharan Africa: Effects and transmission channels,https://doi.org/10.1016/j.techfore.2020.120028,2020,502,https://openalex.org/W3014062620
