year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,81,CM,2025-12-01 18:56:25
2005,1312,Molecular Biology,65,CM,2025-12-01 18:56:25
2005,2739,"Public Health, Environmental and Occupational Health",59,CM,2025-12-01 18:56:25
2005,2713,Epidemiology,43,CM,2025-12-01 18:56:25
2005,1105,"Ecology, Evolution, Behavior and Systematics",42,CM,2025-12-01 18:56:25
2005,2725,Infectious Diseases,42,CM,2025-12-01 18:56:25
2005,3600,General Health Professions,31,CM,2025-12-01 18:56:25
2005,2735,"Pediatrics, Perinatology and Child Health",29,CM,2025-12-01 18:56:25
2005,3312,Sociology and Political Science,25,CM,2025-12-01 18:56:25
2005,1109,Insect Science,19,CM,2025-12-01 18:56:25
2005,2002,Economics and Econometrics,17,CM,2025-12-01 18:56:25
2005,1106,Food Science,15,CM,2025-12-01 18:56:25
2005,2916,Nutrition and Dietetics,15,CM,2025-12-01 18:56:25
2005,1107,Forestry,14,CM,2025-12-01 18:56:25
2005,1303,Biochemistry,14,CM,2025-12-01 18:56:25
2005,2406,Virology,14,CM,2025-12-01 18:56:25
2005,2303,Ecology,12,CM,2025-12-01 18:56:25
2005,2405,Parasitology,12,CM,2025-12-01 18:56:25
2005,2712,"Endocrinology, Diabetes and Metabolism",10,CM,2025-12-01 18:56:25
2005,2736,Pharmacology,9,CM,2025-12-01 18:56:25
2005,1102,Agronomy and Crop Science,8,CM,2025-12-01 18:56:25
2005,3004,Pharmacology,8,CM,2025-12-01 18:56:25
2005,1306,Cancer Research,7,CM,2025-12-01 18:56:25
2005,1307,Cell Biology,7,CM,2025-12-01 18:56:25
2005,2404,Microbiology,7,CM,2025-12-01 18:56:25
2005,2737,Physiology,7,CM,2025-12-01 18:56:25
2005,2740,Pulmonary and Respiratory Medicine,7,CM,2025-12-01 18:56:25
2005,3203,Clinical Psychology,7,CM,2025-12-01 18:56:25
2005,1111,Soil Science,6,CM,2025-12-01 18:56:25
2005,2403,Immunology,6,CM,2025-12-01 18:56:25
2005,2729,Obstetrics and Gynecology,6,CM,2025-12-01 18:56:25
2005,1310,Endocrinology,5,CM,2025-12-01 18:56:25
2005,2721,Hepatology,5,CM,2025-12-01 18:56:25
2005,2730,Oncology,5,CM,2025-12-01 18:56:25
2005,2746,Surgery,5,CM,2025-12-01 18:56:25
2005,3109,Statistical and Nonlinear Physics,5,CM,2025-12-01 18:56:25
2005,1108,Horticulture,4,CM,2025-12-01 18:56:25
2005,1311,Genetics,4,CM,2025-12-01 18:56:25
2005,1605,Organic Chemistry,4,CM,2025-12-01 18:56:25
2005,1705,Computer Networks and Communications,4,CM,2025-12-01 18:56:25
2005,2306,Global and Planetary Change,4,CM,2025-12-01 18:56:25
2005,2307,"Health, Toxicology and Mutagenesis",4,CM,2025-12-01 18:56:25
2005,2611,Modeling and Simulation,4,CM,2025-12-01 18:56:25
2005,3320,Political Science and International Relations,4,CM,2025-12-01 18:56:25
2005,3404,Small Animals,4,CM,2025-12-01 18:56:25
2005,2309,Nature and Landscape Conservation,3,CM,2025-12-01 18:56:25
2005,2705,Cardiology and Cardiovascular Medicine,3,CM,2025-12-01 18:56:25
2005,2711,Emergency Medicine,3,CM,2025-12-01 18:56:25
2005,2716,Genetics,3,CM,2025-12-01 18:56:25
2005,2734,Pathology and Forensic Medicine,3,CM,2025-12-01 18:56:25
2005,2738,Psychiatry and Mental health,3,CM,2025-12-01 18:56:25
2005,2807,Endocrine and Autonomic Systems,3,CM,2025-12-01 18:56:25
2005,3310,Linguistics and Language,3,CM,2025-12-01 18:56:25
2005,3311,Safety Research,3,CM,2025-12-01 18:56:25
2005,3318,Gender Studies,3,CM,2025-12-01 18:56:25
2005,1103,Animal Science and Zoology,2,CM,2025-12-01 18:56:25
2005,1308,Clinical Biochemistry,2,CM,2025-12-01 18:56:25
2005,1407,Organizational Behavior and Human Resource Management,2,CM,2025-12-01 18:56:25
2005,1703,Computational Theory and Mathematics,2,CM,2025-12-01 18:56:25
2005,1710,Information Systems,2,CM,2025-12-01 18:56:25
2005,1803,Management Science and Operations Research,2,CM,2025-12-01 18:56:25
2005,1908,Geophysics,2,CM,2025-12-01 18:56:25
2005,2000,"General Economics, Econometrics and Finance",2,CM,2025-12-01 18:56:25
2005,2308,"Management, Monitoring, Policy and Law",2,CM,2025-12-01 18:56:25
2005,2502,Biomaterials,2,CM,2025-12-01 18:56:25
2005,2704,Biochemistry,2,CM,2025-12-01 18:56:25
2005,2707,Complementary and alternative medicine,2,CM,2025-12-01 18:56:25
2005,2714,Family Practice,2,CM,2025-12-01 18:56:25
