subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,A review of electrode materials for electrochemical supercapacitors,https://doi.org/10.1039/c1cs15060j,2011,8766,https://openalex.org/W2037502361
2208,Electrical and Electronic Engineering,Black phosphorus field-effect transistors,https://doi.org/10.1038/nnano.2014.35,2014,8117,https://openalex.org/W2041311241
2208,Electrical and Electronic Engineering,"Aggregation-Induced Emission: Together We Shine, United We Soar!",https://doi.org/10.1021/acs.chemrev.5b00263,2015,7701,https://openalex.org/W2177603935
2208,Electrical and Electronic Engineering,Li-ion battery materials: present and future,https://doi.org/10.1016/j.mattod.2014.10.040,2014,6809,https://openalex.org/W2065077785
2208,Electrical and Electronic Engineering,TiO2 photocatalysis and related surface phenomena,https://doi.org/10.1016/j.surfrep.2008.10.001,2008,6357,https://openalex.org/W2145274462
2208,Electrical and Electronic Engineering,Electrocatalysis for the oxygen evolution reaction: recent development and future perspectives,https://doi.org/10.1039/c6cs00328a,2017,5806,https://openalex.org/W2575823937
2208,Electrical and Electronic Engineering,Toward Safe Lithium Metal Anode in Rechargeable Batteries: A Review,https://doi.org/10.1021/acs.chemrev.7b00115,2017,5716,https://openalex.org/W2742075475
2208,Electrical and Electronic Engineering,Single-Junction Organic Solar Cell with over 15% Efficiency Using Fused-Ring Acceptor with Electron-Deficient Core,https://doi.org/10.1016/j.joule.2019.01.004,2019,5392,https://openalex.org/W2909990379
2208,Electrical and Electronic Engineering,Design of electrocatalysts for oxygen- and hydrogen-involving energy conversion reactions,https://doi.org/10.1039/c4cs00470a,2015,5126,https://openalex.org/W1973891115
2208,Electrical and Electronic Engineering,The reduction of graphene oxide,https://doi.org/10.1016/j.carbon.2011.11.010,2011,4894,https://openalex.org/W2123830103
1312,Molecular Biology,The Sequence Alignment/Map format and SAMtools,https://doi.org/10.1093/bioinformatics/btp352,2009,63175,https://openalex.org/W2108234281
1312,Molecular Biology,clusterProfiler: an R Package for Comparing Biological Themes Among Gene Clusters,https://doi.org/10.1089/omi.2011.0118,2012,34565,https://openalex.org/W2035618305
1312,Molecular Biology,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",https://doi.org/10.1038/s41587-019-0209-9,2019,21046,https://openalex.org/W2963276645
1312,Molecular Biology,A global reference for human genetic variation,https://doi.org/10.1038/nature15393,2015,18697,https://openalex.org/W2104549677
1312,Molecular Biology,Repertoires of Autophagy in the Pathogenesis of Ocular Diseases,https://doi.org/10.1159/000373980,2015,16331,https://openalex.org/W1523693806
1312,Molecular Biology,Multiplex Genome Engineering Using CRISPR/Cas Systems,https://doi.org/10.1126/science.1231143,2013,15196,https://openalex.org/W2064815984
1312,Molecular Biology,TBtools: An Integrative Toolkit Developed for Interactive Analyses of Big Biological Data,https://doi.org/10.1016/j.molp.2020.06.009,2020,14023,https://openalex.org/W3036319615
1312,Molecular Biology,Squeeze-and-Excitation Networks,https://doi.org/10.1109/tpami.2019.2913372,2019,12013,https://openalex.org/W2963420686
1312,Molecular Biology,clusterProfiler 4.0: A universal enrichment tool for interpreting omics data,https://doi.org/10.1016/j.xinn.2021.100141,2021,11660,https://openalex.org/W3175752499
1312,Molecular Biology,A human gut microbial gene catalogue established by metagenomic sequencing,https://doi.org/10.1038/nature08821,2010,11278,https://openalex.org/W2125826054
2505,Materials Chemistry,Dye-Sensitized Solar Cells,https://doi.org/10.1021/cr900356p,2010,8731,https://openalex.org/W2116327492
2505,Materials Chemistry,Black phosphorus field-effect transistors,https://doi.org/10.1038/nnano.2014.35,2014,8117,https://openalex.org/W2041311241
2505,Materials Chemistry,"Aggregation-Induced Emission: Together We Shine, United We Soar!",https://doi.org/10.1021/acs.chemrev.5b00263,2015,7701,https://openalex.org/W2177603935
2505,Materials Chemistry,Semiconductor-based Photocatalytic Hydrogen Generation,https://doi.org/10.1021/cr1001645,2010,7565,https://openalex.org/W2154903153
2505,Materials Chemistry,Single-atom catalysis of CO oxidation using Pt1/FeOx,https://doi.org/10.1038/nchem.1095,2011,6749,https://openalex.org/W2134716155
2505,Materials Chemistry,Intrinsic peroxidase-like activity of ferromagnetic nanoparticles,https://doi.org/10.1038/nnano.2007.260,2007,6724,https://openalex.org/W2170913114
2505,Materials Chemistry,Aggregation-induced emission,https://doi.org/10.1039/c1cs15113d,2011,6080,https://openalex.org/W2159182565
