year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T14276,Power Systems and Technologies,3607,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T14257,Advanced Measurement and Detection Methods,3137,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T12451,Smart Grid and Power Systems,2716,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,1861,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T14444,Power Systems and Renewable Energy,1679,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T14158,Optical Systems and Laser Technology,1634,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T13734,Advanced Computational Techniques and Applications,1385,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T14502,High-Voltage Power Transmission Systems,1339,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,1248,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,1208,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T14225,Advanced Sensor and Control Systems,1193,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10461,Gas Sensing Nanomaterials and Sensors,1053,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T13717,Advanced Algorithms and Applications,1046,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,1026,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,985,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,964,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,893,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,787,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,716,CN,2025-11-25 22:02:03
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,689,CN,2025-11-25 22:02:03
2005,2207,Control and Systems Engineering,T14225,Advanced Sensor and Control Systems,7380,CN,2025-11-25 22:02:03
