year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10573,Power Quality and Harmonics,22,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10590,Chalcogenide Semiconductor Thin Films,11,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T12146,Power Line Communications and Noise,11,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T13870,Environmental and Ecological Studies,9,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10321,Quantum Dots Synthesis And Properties,8,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10424,Electric Power System Optimization,8,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T11444,Electromagnetic Compatibility and Noise Suppression,8,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,7,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10461,Gas Sensing Nanomaterials and Sensors,7,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10847,Advanced Optical Network Technologies,7,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T11343,Power Transformer Diagnostics and Insulation,7,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10138,Network Traffic and Congestion Control,6,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10305,Power System Optimization and Stability,6,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10660,Conducting polymers and applications,6,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T11472,Analytical Chemistry and Sensors,6,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10223,Microgrid Control and Optimization,5,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10377,Metal and Thin Film Mechanics,5,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10714,Software-Defined Networks and 5G,5,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10787,Lightning and Electromagnetic Phenomena,5,CO,2025-11-25 22:59:17
2005,2208,Electrical and Electronic Engineering,T10972,Power Systems Fault Detection,5,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,23,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,19,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10321,Quantum Dots Synthesis And Properties,13,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,13,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,13,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T11351,Catalysis and Hydrodesulfurization Studies,10,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10353,Zeolite Catalysis and Synthesis,9,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,9,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10310,Corrosion Behavior and Inhibition,8,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10590,Chalcogenide Semiconductor Thin Films,8,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T12358,Thermal and Kinetic Analysis,8,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T12427,Metal Alloys Wear and Properties,8,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T11940,Layered Double Hydroxides Synthesis and Applications,7,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10022,Semiconductor Quantum Structures and Devices,6,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10037,Physics of Superconductivity and Magnetism,6,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10440,Advanced Thermoelectric Materials and Devices,6,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10607,Magnetic and transport properties of perovskites and related materials,6,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,5,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T11341,Boron and Carbon Nanomaterials Research,5,CO,2025-11-25 22:59:17
2005,2505,Materials Chemistry,T11878,Solid-state spectroscopy and crystallography,5,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,18,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,14,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10507,Biodiesel Production and Applications,11,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10404,Enzyme Catalysis and Immobilization,8,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10932,Microbial Metabolic Engineering and Bioproduction,7,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10962,Thermodynamic properties of mixtures,7,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11009,Catalysis for Biomass Conversion,7,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T13280,Biomedical and Engineering Education,7,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11351,Catalysis and Hydrodesulfurization Studies,6,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,6,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11073,Metal Extraction and Bioleaching,5,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11936,Chemical and Physical Properties in Aqueous Solutions,5,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T12015,Photoacoustic and Ultrasonic Imaging,5,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,5,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,4,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10522,Medical Imaging Techniques and Applications,4,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,4,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T10908,Analytical Chemistry and Chromatography,4,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11472,Analytical Chemistry and Sensors,4,CO,2025-11-25 22:59:17
2005,2204,Biomedical Engineering,T11617,Enzyme Production and Characterization,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10635,Hydraulic Fracturing and Reservoir Analysis,15,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11351,Catalysis and Hydrodesulfurization Studies,15,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10192,Catalytic Processes in Materials Science,11,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T12282,Mineral Processing and Grinding,11,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11801,Reservoir Engineering and Simulation Methods,10,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T12784,Modular Robots and Swarm Intelligence,7,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10633,Metallic Glasses and Amorphous Alloys,6,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10892,Drilling and Well Engineering,6,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11009,Catalysis for Biomass Conversion,6,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T12099,Advanced materials and composites,6,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T12427,Metal Alloys Wear and Properties,6,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10188,Advanced machining processes and optimization,5,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10271,Seismic Imaging and Inversion Techniques,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10377,Metal and Thin Film Mechanics,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10386,Microstructure and Mechanical Properties of Steels,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10735,Mesoporous Materials and Catalysis,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T10967,Carbon Dioxide Capture Technologies,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11062,Gear and Bearing Dynamics Analysis,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11126,Metallurgical Processes and Thermodynamics,4,CO,2025-11-25 22:59:17
2005,2210,Mechanical Engineering,T11138,Tribology and Lubrication Engineering,4,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10820,Fuzzy Logic and Control Systems,18,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,15,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10100,Metaheuristic Optimization Algorithms Research,10,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,9,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10126,"Logic, programming, and type systems",8,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,8,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,8,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,7,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,7,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,6,CO,2025-11-25 22:59:17
2005,1702,Artificial Intelligence,T10906,AI-based Problem Solving and Planning,6,CO,2025-11-25 22:59:17
