year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,126,CR,2025-11-28 17:31:44
2005,3312,Sociology and Political Science,103,CR,2025-11-28 17:31:44
2005,1105,"Ecology, Evolution, Behavior and Systematics",87,CR,2025-11-28 17:31:44
2005,1312,Molecular Biology,68,CR,2025-11-28 17:31:44
2005,3304,Education,67,CR,2025-11-28 17:31:44
2005,3320,Political Science and International Relations,67,CR,2025-11-28 17:31:44
2005,2303,Ecology,49,CR,2025-11-28 17:31:44
2005,2739,"Public Health, Environmental and Occupational Health",44,CR,2025-11-28 17:31:44
2005,3600,General Health Professions,36,CR,2025-11-28 17:31:44
2005,2002,Economics and Econometrics,35,CR,2025-11-28 17:31:44
2005,1311,Genetics,33,CR,2025-11-28 17:31:44
2005,1106,Food Science,26,CR,2025-11-28 17:31:44
2005,1109,Insect Science,25,CR,2025-11-28 17:31:44
2005,1307,Cell Biology,20,CR,2025-11-28 17:31:44
2005,3300,General Social Sciences,19,CR,2025-11-28 17:31:44
2005,1100,General Agricultural and Biological Sciences,18,CR,2025-11-28 17:31:44
2005,2306,Global and Planetary Change,17,CR,2025-11-28 17:31:44
2005,2309,Nature and Landscape Conservation,15,CR,2025-11-28 17:31:44
2005,1208,Literature and Literary Theory,14,CR,2025-11-28 17:31:44
2005,3308,Law,14,CR,2025-11-28 17:31:44
2005,3318,Gender Studies,13,CR,2025-11-28 17:31:44
2005,1108,Horticulture,12,CR,2025-11-28 17:31:44
2005,3203,Clinical Psychology,12,CR,2025-11-28 17:31:44
2005,3303,Development,11,CR,2025-11-28 17:31:44
2005,3311,Safety Research,11,CR,2025-11-28 17:31:44
2005,1107,Forestry,10,CR,2025-11-28 17:31:44
2005,2713,Epidemiology,10,CR,2025-11-28 17:31:44
2005,3316,Cultural Studies,10,CR,2025-11-28 17:31:44
2005,1111,Soil Science,9,CR,2025-11-28 17:31:44
2005,1710,Information Systems,9,CR,2025-11-28 17:31:44
2005,2736,Pharmacology,9,CR,2025-11-28 17:31:44
2005,3322,Urban Studies,9,CR,2025-11-28 17:31:44
2005,1202,History,8,CR,2025-11-28 17:31:44
2005,1407,Organizational Behavior and Human Resource Management,8,CR,2025-11-28 17:31:44
2005,1910,Oceanography,8,CR,2025-11-28 17:31:44
2005,2725,Infectious Diseases,8,CR,2025-11-28 17:31:44
2005,3207,Social Psychology,8,CR,2025-11-28 17:31:44
2005,3317,Demography,8,CR,2025-11-28 17:31:44
2005,1211,Philosophy,7,CR,2025-11-28 17:31:44
