subfield_id,subfield_name,title,doi,year,cited_by_count,id
3600,General Health Professions,"Not enough there, too many here: understanding geographical imbalances in the distribution of the health workforce",https://doi.org/10.1186/1478-4491-4-12,2006,718,https://openalex.org/W1857614722
3600,General Health Professions,"International Tourism Highlights, 2019 Edition",https://doi.org/10.18111/9789284421152,2019,691,https://openalex.org/W4211018079
3600,General Health Professions,Contribution of chronic diseases to disability in elderly people in countries with low and middle incomes: a 10/66 Dementia Research Group population-based survey,https://doi.org/10.1016/s0140-6736(09)61829-8,2009,471,https://openalex.org/W2107466701
3600,General Health Professions,"Prevalence of dementia in Latin America, India, and China: a population-based cross-sectional survey",https://doi.org/10.1016/s0140-6736(08)61002-8,2008,461,https://openalex.org/W2100484216
3600,General Health Professions,The Global State of the Genetic Counseling Profession,https://doi.org/10.1038/s41431-018-0252-x,2018,364,https://openalex.org/W2895534446
3600,General Health Professions,The protocols for the 10/66 dementia research group population-based research programme,https://doi.org/10.1186/1471-2458-7-165,2007,353,https://openalex.org/W2023611349
3600,General Health Professions,"Call for emergency action to limit global temperature increases, restore biodiversity, and protect health",https://doi.org/10.1136/bmj.n1734,2021,334,https://openalex.org/W3196326237
3600,General Health Professions,Prevalence of dementia in Latin America: a collaborative study of population-based cohorts,https://doi.org/10.1017/s1041610209009430,2009,330,https://openalex.org/W2107706865
3600,General Health Professions,Parental Burnout Around the Globe: a 42-Country Study,https://doi.org/10.1007/s42761-020-00028-4,2021,262,https://openalex.org/W3137450077
3600,General Health Professions,La Investigación Cualitativa,,2015,251,https://openalex.org/W1538960628
3304,Education,La Investigación Cualitativa,,2015,251,https://openalex.org/W1538960628
3304,Education,Basic numerical capacities and prevalence of developmental dyscalculia: The Havana Survey.,https://doi.org/10.1037/a0025356,2011,174,https://openalex.org/W2166710118
3304,Education,Teaching of Energy Issues: A Debate Proposal for a Global Reorientation,https://doi.org/10.1007/s11191-005-5036-3,2006,124,https://openalex.org/W1988738833
3304,Education,El desempeño del docente como factor asociado a la calidad educativa en América Latina,https://doi.org/10.15517/revedu.v42i2.27033,2018,120,https://openalex.org/W2884613190
3304,Education,Using a mobile phone acceleration sensor in physics experiments on free and damped harmonic oscillations,https://doi.org/10.1119/1.4793438,2013,99,https://openalex.org/W1967152085
