year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,268,CU,2025-11-28 17:30:03
2005,1110,Plant Science,239,CU,2025-11-28 17:30:03
2005,3600,General Health Professions,217,CU,2025-11-28 17:30:03
2005,2746,Surgery,215,CU,2025-11-28 17:30:03
2005,2739,"Public Health, Environmental and Occupational Health",192,CU,2025-11-28 17:30:03
2005,3304,Education,162,CU,2025-11-28 17:30:03
2005,2713,Epidemiology,159,CU,2025-11-28 17:30:03
2005,1106,Food Science,146,CU,2025-11-28 17:30:03
2005,1100,General Agricultural and Biological Sciences,130,CU,2025-11-28 17:30:03
2005,3312,Sociology and Political Science,113,CU,2025-11-28 17:30:03
2005,2725,Infectious Diseases,51,CU,2025-11-28 17:30:03
2005,2403,Immunology,42,CU,2025-11-28 17:30:03
2005,1311,Genetics,39,CU,2025-11-28 17:30:03
2005,2740,Pulmonary and Respiratory Medicine,37,CU,2025-11-28 17:30:03
2005,1710,Information Systems,35,CU,2025-11-28 17:30:03
2005,2736,Pharmacology,35,CU,2025-11-28 17:30:03
2005,2705,Cardiology and Cardiovascular Medicine,32,CU,2025-11-28 17:30:03
2005,1109,Insect Science,31,CU,2025-11-28 17:30:03
2005,1307,Cell Biology,30,CU,2025-11-28 17:30:03
2005,2741,"Radiology, Nuclear Medicine and Imaging",29,CU,2025-11-28 17:30:03
2005,3004,Pharmacology,28,CU,2025-11-28 17:30:03
2005,3306,Health,28,CU,2025-11-28 17:30:03
2005,2404,Microbiology,26,CU,2025-11-28 17:30:03
2005,2204,Biomedical Engineering,25,CU,2025-11-28 17:30:03
2005,3300,General Social Sciences,25,CU,2025-11-28 17:30:03
2005,1305,Biotechnology,22,CU,2025-11-28 17:30:03
2005,1407,Organizational Behavior and Human Resource Management,22,CU,2025-11-28 17:30:03
2005,2002,Economics and Econometrics,22,CU,2025-11-28 17:30:03
2005,2916,Nutrition and Dietetics,22,CU,2025-11-28 17:30:03
2005,3611,Pharmacy,21,CU,2025-11-28 17:30:03
2005,2735,"Pediatrics, Perinatology and Child Health",20,CU,2025-11-28 17:30:03
2005,2737,Physiology,20,CU,2025-11-28 17:30:03
2005,1706,Computer Science Applications,19,CU,2025-11-28 17:30:03
2005,2712,"Endocrinology, Diabetes and Metabolism",19,CU,2025-11-28 17:30:03
2005,1105,"Ecology, Evolution, Behavior and Systematics",18,CU,2025-11-28 17:30:03
2005,1402,Accounting,18,CU,2025-11-28 17:30:03
2005,2721,Hepatology,18,CU,2025-11-28 17:30:03
2005,1703,Computational Theory and Mathematics,17,CU,2025-11-28 17:30:03
2005,1202,History,16,CU,2025-11-28 17:30:03
2005,3207,Social Psychology,16,CU,2025-11-28 17:30:03
2005,3317,Demography,16,CU,2025-11-28 17:30:03
2005,1605,Organic Chemistry,14,CU,2025-11-28 17:30:03
2005,2731,Ophthalmology,14,CU,2025-11-28 17:30:03
2005,2745,Rheumatology,14,CU,2025-11-28 17:30:03
2005,1111,Soil Science,13,CU,2025-11-28 17:30:03
2005,2405,Parasitology,13,CU,2025-11-28 17:30:03
2005,2716,Genetics,13,CU,2025-11-28 17:30:03
2005,2734,Pathology and Forensic Medicine,13,CU,2025-11-28 17:30:03
2005,2728,Neurology,12,CU,2025-11-28 17:30:03
2005,2730,Oncology,12,CU,2025-11-28 17:30:03
2005,2804,Cellular and Molecular Neuroscience,12,CU,2025-11-28 17:30:03
2005,3203,Clinical Psychology,12,CU,2025-11-28 17:30:03
2005,3204,Developmental and Educational Psychology,12,CU,2025-11-28 17:30:03
2005,1103,Animal Science and Zoology,11,CU,2025-11-28 17:30:03
2005,1108,Horticulture,11,CU,2025-11-28 17:30:03
2005,1310,Endocrinology,11,CU,2025-11-28 17:30:03
2005,2502,Biomaterials,11,CU,2025-11-28 17:30:03
2005,2720,Hematology,11,CU,2025-11-28 17:30:03
2005,1102,Agronomy and Crop Science,10,CU,2025-11-28 17:30:03
2005,1107,Forestry,10,CU,2025-11-28 17:30:03
2005,1602,Analytical Chemistry,10,CU,2025-11-28 17:30:03
2005,1306,Cancer Research,9,CU,2025-11-28 17:30:03
2005,2307,"Health, Toxicology and Mutagenesis",9,CU,2025-11-28 17:30:03
2005,2406,Virology,9,CU,2025-11-28 17:30:03
