subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,"Place attachment, host–tourist interactions, and residents’ attitudes towards tourism development: the case of Boa Vista Island in Cape Verde",https://doi.org/10.1080/09669582.2018.1425695,2018,225,https://openalex.org/W2790790765
3312,Sociology and Political Science,"Vector competence of the Aedes aegypti population from Santiago Island, Cape Verde, to different serotypes of dengue virus",https://doi.org/10.1186/s13071-015-0706-8,2015,39,https://openalex.org/W2066239409
3312,Sociology and Political Science,TURISMO RELIGIOSO: ESTUDIO DEL CAMINO DE SANTIAGO,https://doi.org/10.4206/gest.tur.2010.n13-01,2010,34,https://openalex.org/W1966890011
2303,Ecology,Plastic pollution on the world’s coral reefs,https://doi.org/10.1038/s41586-023-06113-5,2023,169,https://openalex.org/W4384023780
2303,Ecology,Restructuring of the ‘Macaronesia’ biogeographic unit: A marine multi-taxon biogeographical approach,https://doi.org/10.1038/s41598-019-51786-6,2019,156,https://openalex.org/W2985569147
2303,Ecology,Spatial scales of marine conservation management for breeding seabirds,https://doi.org/10.1016/j.marpol.2018.08.024,2018,98,https://openalex.org/W2892457695
2306,Global and Planetary Change,"A Roadmap for Using the UN Decade of Ocean Science for Sustainable Development in Support of Science, Policy, and Action",https://doi.org/10.1016/j.oneear.2019.10.012,2019,295,https://openalex.org/W2984236828
2306,Global and Planetary Change,Potential adverse health effects of persistent organic pollutants on sea turtles: Evidences from a cross-sectional study on Cape Verde loggerhead sea turtles,https://doi.org/10.1016/j.scitotenv.2013.04.043,2013,108,https://openalex.org/W2031326613
2306,Global and Planetary Change,Evidence from genetic and Lagrangian drifter data for transatlantic transport of small juvenile green turtles,https://doi.org/10.1111/j.1365-2699.2010.02326.x,2010,108,https://openalex.org/W2119797230
2739,"Public Health, Environmental and Occupational Health",The SARS-CoV-2 pandemic: A syndemic perspective,https://doi.org/10.1016/j.onehlt.2021.100228,2021,118,https://openalex.org/W3131652885
2739,"Public Health, Environmental and Occupational Health",Indoor residual spraying for malaria control in sub-Saharan Africa 1997 to 2017: an adjusted retrospective analysis,https://doi.org/10.1186/s12936-020-03216-6,2020,115,https://openalex.org/W3015658120
2739,"Public Health, Environmental and Occupational Health",Titer regulation in arthropod-<i>Wolbachia</i> symbioses,https://doi.org/10.1093/femsle/fnz232,2019,71,https://openalex.org/W2990005582
2002,Economics and Econometrics,The Effects of Government Bonds on Liquidity Risk and Bank Profitability in Cape Verde,https://doi.org/10.3390/ijfs9010002,2021,13,https://openalex.org/W3118958124
2002,Economics and Econometrics,Understanding the microenterprise sector to design a tailor-made microfinance policy for Cape Verde,https://doi.org/10.1007/s10258-006-0004-7,2006,13,https://openalex.org/W1972554761
2002,Economics and Econometrics,A Implementação da Telemedicina em Cabo Verde: Fatores Influenciadores,https://doi.org/10.20344/amp.7578,2017,11,https://openalex.org/W2610478967
2309,Nature and Landscape Conservation,Phenotypically Linked Dichotomy in Sea Turtle Foraging Requires Multiple Conservation Approaches,https://doi.org/10.1016/j.cub.2006.03.063,2006,208,https://openalex.org/W2016380596
2309,Nature and Landscape Conservation,Potential adverse health effects of persistent organic pollutants on sea turtles: Evidences from a cross-sectional study on Cape Verde loggerhead sea turtles,https://doi.org/10.1016/j.scitotenv.2013.04.043,2013,108,https://openalex.org/W2031326613
2309,Nature and Landscape Conservation,Evidence from genetic and Lagrangian drifter data for transatlantic transport of small juvenile green turtles,https://doi.org/10.1111/j.1365-2699.2010.02326.x,2010,108,https://openalex.org/W2119797230
2308,"Management, Monitoring, Policy and Law","A Roadmap for Using the UN Decade of Ocean Science for Sustainable Development in Support of Science, Policy, and Action",https://doi.org/10.1016/j.oneear.2019.10.012,2019,295,https://openalex.org/W2984236828
2308,"Management, Monitoring, Policy and Law","Lava flow hazard modeling during the 2014–2015 Fogo eruption, Cape Verde",https://doi.org/10.1002/2015jb012666,2016,70,https://openalex.org/W2299359736
2308,"Management, Monitoring, Policy and Law","Lava flow hazard at Fogo Volcano, Cabo Verde, before and after the 2014–2015eruption",https://doi.org/10.5194/nhess-16-1925-2016,2016,68,https://openalex.org/W2324292658
3600,General Health Professions,"Excess all-cause mortality and COVID-19-related mortality: a temporal analysis in 22 countries, from January until August 2020",https://doi.org/10.1093/ije/dyab123,2021,66,https://openalex.org/W3186574649
3600,General Health Professions,"Determinants, Health Problems, and Food Insecurity in Urban Areas of the Largest City in Cape Verde",https://doi.org/10.3390/ijerph13111155,2016,34,https://openalex.org/W2552324963
3600,General Health Professions,"Perspectives on health policy dialogue: definition, perceived importance and coordination",https://doi.org/10.1186/s12913-016-1451-1,2016,26,https://openalex.org/W2495650185
3304,Education,Social and emotional competencies as predictors of student engagement in youth: a cross-cultural multilevel study,https://doi.org/10.1080/03075079.2022.2099370,2022,31,https://openalex.org/W4284967492
3304,Education,Promoting distance education in higher education in Cape Verde and Mozambique,https://doi.org/10.1080/01587919.2011.584845,2011,21,https://openalex.org/W2011951237
3304,Education,The Relationship between Students’ Approach to Learning and Lifelong Learning,https://doi.org/10.4236/psych.2013.411113,2013,11,https://openalex.org/W2083906759
3320,Political Science and International Relations,Promoting distance education in higher education in Cape Verde and Mozambique,https://doi.org/10.1080/01587919.2011.584845,2011,21,https://openalex.org/W2011951237
3320,Political Science and International Relations,Handbook on Measuring Digital Trade,https://doi.org/10.5089/9789287073600.071,2023,12,https://openalex.org/W4385989498
3320,Political Science and International Relations,The Relationship between Students’ Approach to Learning and Lifelong Learning,https://doi.org/10.4236/psych.2013.411113,2013,11,https://openalex.org/W2083906759
