subfield_id,subfield_name,title,doi,year,cited_by_count,id
2746,Surgery,Early versus On-Demand Nasoenteric Tube Feeding in Acute Pancreatitis,https://doi.org/10.1056/nejmoa1404393,2014,320,https://openalex.org/W2117435626
2746,Surgery,Carpal Tunnel Syndrome: A Review of Literature,https://doi.org/10.7759/cureus.7333,2020,298,https://openalex.org/W3012439938
2746,Surgery,Surgery for complete rectal prolapse in adults,https://doi.org/10.1002/14651858.cd001758.pub2,2008,246,https://openalex.org/W1593768840
2303,Ecology,Surviving in a Marine Desert: The Sponge Loop Retains Resources Within Coral Reefs,https://doi.org/10.1126/science.1241981,2013,837,https://openalex.org/W2109476731
2303,Ecology,Lytic to temperate switching of viral communities,https://doi.org/10.1038/nature17193,2016,655,https://openalex.org/W2300639547
2303,Ecology,New perspectives on ecological mechanisms affecting coral recruitment on reefs,https://doi.org/10.5479/si.01960768.38.437,2009,370,https://openalex.org/W2167850477
2740,Pulmonary and Respiratory Medicine,Chloride: The queen of electrolytes?,https://doi.org/10.1016/j.ejim.2011.11.013,2011,307,https://openalex.org/W2118981009
2740,Pulmonary and Respiratory Medicine,Spontaneous Rupture of the Oesophagus: Boerhaave’s Syndrome in 2008,https://doi.org/10.1159/000191283,2009,180,https://openalex.org/W2153260207
2740,Pulmonary and Respiratory Medicine,AMS INSIGHT—Absorbable Metal Stent Implantation for Treatment of Below-the-Knee Critical Limb Ischemia: 6-Month Analysis,https://doi.org/10.1007/s00270-008-9472-8,2008,152,https://openalex.org/W2109219552
2713,Epidemiology,"Adjuvant Procarbazine, Lomustine, and Vincristine Improves Progression-Free Survival but Not Overall Survival in Newly Diagnosed Anaplastic Oligodendrogliomas and Oligoastrocytomas: A Randomized European Organisation for Research and Treatment of Cancer Phase III Trial",https://doi.org/10.1200/jco.2005.04.6078,2006,739,https://openalex.org/W2137013555
2713,Epidemiology,The Anti-vaccination Movement: A Regression in Modern Medicine,https://doi.org/10.7759/cureus.2919,2018,432,https://openalex.org/W2811145640
2713,Epidemiology,"Monkeypox: A Comprehensive Review of Transmission, Pathogenesis, and Manifestation",https://doi.org/10.7759/cureus.26531,2022,378,https://openalex.org/W4283787588
2739,"Public Health, Environmental and Occupational Health",Oil-Based or Water-Based Contrast for Hysterosalpingography in Infertile Women,https://doi.org/10.1056/nejmoa1612337,2017,172,https://openalex.org/W2616364968
2739,"Public Health, Environmental and Occupational Health",Modern techniques of teaching and learning in medical education: a descriptive literature review,https://doi.org/10.15694/mep.2021.000018.1,2021,125,https://openalex.org/W3125925163
2739,"Public Health, Environmental and Occupational Health",‘One also needs a bit of trust in the doctor … ’: a qualitative interview study with pancreatic cancer patients about their perceptions and views on information and treatment decision-making,https://doi.org/10.1093/annonc/mdt193,2013,93,https://openalex.org/W2109140524
2728,Neurology,Comorbidity and its Impact on Patients with COVID-19,https://doi.org/10.1007/s42399-020-00363-4,2020,1564,https://openalex.org/W3038063455
2728,Neurology,Spinal dural arteriovenous fistulas: a congestive myelopathy that initially mimics a peripheral nerve disorder,https://doi.org/10.1093/brain/awl220,2006,300,https://openalex.org/W2171376298
2728,Neurology,Management of large vestibular schwannoma. Part I. Planned subtotal resection followed by Gamma Knife surgery: radiological and clinical aspects,https://doi.org/10.3171/2011.6.jns101958,2011,165,https://openalex.org/W1591973389
1312,Molecular Biology,"Monkeypox: A Comprehensive Review of Transmission, Pathogenesis, and Manifestation",https://doi.org/10.7759/cureus.26531,2022,378,https://openalex.org/W4283787588
1312,Molecular Biology,Chloride: The queen of electrolytes?,https://doi.org/10.1016/j.ejim.2011.11.013,2011,307,https://openalex.org/W2118981009
1312,Molecular Biology,Physiological Approach to Assessment of Acid–Base Disturbances,https://doi.org/10.1056/nejmra1003327,2014,264,https://openalex.org/W2154779047
2725,Infectious Diseases,Comorbidity and its Impact on Patients with COVID-19,https://doi.org/10.1007/s42399-020-00363-4,2020,1564,https://openalex.org/W3038063455
2725,Infectious Diseases,Emergence of Methicillin-Resistant<i>Staphylococcus aureus</i>of Animal Origin in Humans,https://doi.org/10.3201/eid1312.070384,2007,450,https://openalex.org/W2096716766
2725,Infectious Diseases,Secular Trends in Nosocomial Bloodstream Infections: Antibiotic-Resistant Bacteria Increase the Total Burden of Infection,https://doi.org/10.1093/cid/cis1006,2012,175,https://openalex.org/W2133736418
2705,Cardiology and Cardiovascular Medicine,Genomewide Association Studies of Stroke,https://doi.org/10.1056/nejmoa0900094,2009,462,https://openalex.org/W2011877873
2705,Cardiology and Cardiovascular Medicine,Depression and anxiety as predictors of heart rate variability after myocardial infarction,https://doi.org/10.1017/s0033291707002097,2007,93,https://openalex.org/W2036754745
2705,Cardiology and Cardiovascular Medicine,Impact of Postdischarge Surveillance on Surgical Site Infection Rates for Several Surgical Procedures Results From the Nosocomial Surveillance Network in The Netherlands,https://doi.org/10.1086/506403,2006,92,https://openalex.org/W2114832818
2730,Oncology,Surgery for complete rectal prolapse in adults,https://doi.org/10.1002/14651858.cd001758.pub2,2008,246,https://openalex.org/W1593768840
2730,Oncology,Oncological outcome of malignant colonic obstruction in the Dutch Stent-In 2 trial,https://doi.org/10.1002/bjs.9645,2014,231,https://openalex.org/W2044910217
2730,Oncology,Consensus conference on the stapled transanal rectal resection (STARR) for disordered defaecation,https://doi.org/10.1111/j.1463-1318.2005.00941.x,2006,164,https://openalex.org/W1997570630
