year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,99,CY,2025-12-01 18:54:30
2005,1705,Computer Networks and Communications,92,CY,2025-12-01 18:54:30
2005,1702,Artificial Intelligence,73,CY,2025-12-01 18:54:30
2005,3304,Education,71,CY,2025-12-01 18:54:30
2005,3312,Sociology and Political Science,62,CY,2025-12-01 18:54:30
2005,1312,Molecular Biology,46,CY,2025-12-01 18:54:30
2005,2002,Economics and Econometrics,43,CY,2025-12-01 18:54:30
2005,1710,Information Systems,34,CY,2025-12-01 18:54:30
2005,2204,Biomedical Engineering,30,CY,2025-12-01 18:54:30
2005,3107,"Atomic and Molecular Physics, and Optics",23,CY,2025-12-01 18:54:30
2005,1707,Computer Vision and Pattern Recognition,22,CY,2025-12-01 18:54:30
2005,1708,Hardware and Architecture,19,CY,2025-12-01 18:54:30
2005,2746,Surgery,17,CY,2025-12-01 18:54:30
2005,3204,Developmental and Educational Psychology,15,CY,2025-12-01 18:54:30
2005,1703,Computational Theory and Mathematics,13,CY,2025-12-01 18:54:30
2005,1803,Management Science and Operations Research,13,CY,2025-12-01 18:54:30
2005,2207,Control and Systems Engineering,12,CY,2025-12-01 18:54:30
2005,2210,Mechanical Engineering,11,CY,2025-12-01 18:54:30
2005,2000,"General Economics, Econometrics and Finance",10,CY,2025-12-01 18:54:30
2005,3320,Political Science and International Relations,10,CY,2025-12-01 18:54:30
2005,2003,Finance,9,CY,2025-12-01 18:54:30
2005,2206,Computational Mechanics,9,CY,2025-12-01 18:54:30
2005,2505,Materials Chemistry,9,CY,2025-12-01 18:54:30
2005,3207,Social Psychology,9,CY,2025-12-01 18:54:30
2005,1311,Genetics,8,CY,2025-12-01 18:54:30
2005,1408,Strategy and Management,8,CY,2025-12-01 18:54:30
2005,2613,Statistics and Probability,8,CY,2025-12-01 18:54:30
2005,3600,General Health Professions,8,CY,2025-12-01 18:54:30
2005,1404,Management Information Systems,7,CY,2025-12-01 18:54:30
2005,1407,Organizational Behavior and Human Resource Management,7,CY,2025-12-01 18:54:30
2005,1605,Organic Chemistry,6,CY,2025-12-01 18:54:30
2005,1706,Computer Science Applications,6,CY,2025-12-01 18:54:30
2005,1711,Signal Processing,6,CY,2025-12-01 18:54:30
2005,1802,Information Systems and Management,6,CY,2025-12-01 18:54:30
2005,2209,Industrial and Manufacturing Engineering,6,CY,2025-12-01 18:54:30
2005,1211,Philosophy,5,CY,2025-12-01 18:54:30
2005,1402,Accounting,5,CY,2025-12-01 18:54:30
2005,1406,Marketing,5,CY,2025-12-01 18:54:30
2005,2105,"Renewable Energy, Sustainability and the Environment",5,CY,2025-12-01 18:54:30
2005,2202,Aerospace Engineering,5,CY,2025-12-01 18:54:30
2005,2214,Media Technology,5,CY,2025-12-01 18:54:30
2005,2740,Pulmonary and Respiratory Medicine,5,CY,2025-12-01 18:54:30
2005,2805,Cognitive Neuroscience,5,CY,2025-12-01 18:54:30
2005,3103,Astronomy and Astrophysics,5,CY,2025-12-01 18:54:30
2005,3317,Demography,5,CY,2025-12-01 18:54:30
2005,1304,Biophysics,4,CY,2025-12-01 18:54:30
2005,2203,Automotive Engineering,4,CY,2025-12-01 18:54:30
2005,2712,"Endocrinology, Diabetes and Metabolism",4,CY,2025-12-01 18:54:30
2005,2739,"Public Health, Environmental and Occupational Health",4,CY,2025-12-01 18:54:30
2005,2804,Cellular and Molecular Neuroscience,4,CY,2025-12-01 18:54:30
2005,3316,Cultural Studies,4,CY,2025-12-01 18:54:30
2005,1110,Plant Science,3,CY,2025-12-01 18:54:30
2005,1203,Language and Linguistics,3,CY,2025-12-01 18:54:30
2005,1208,Literature and Literary Theory,3,CY,2025-12-01 18:54:30
2005,1602,Analytical Chemistry,3,CY,2025-12-01 18:54:30
2005,1908,Geophysics,3,CY,2025-12-01 18:54:30
2005,2308,"Management, Monitoring, Policy and Law",3,CY,2025-12-01 18:54:30
2005,2507,Polymers and Plastics,3,CY,2025-12-01 18:54:30
2005,2604,Applied Mathematics,3,CY,2025-12-01 18:54:30
2005,2716,Genetics,3,CY,2025-12-01 18:54:30
2005,2730,Oncology,3,CY,2025-12-01 18:54:30
2005,2735,"Pediatrics, Perinatology and Child Health",3,CY,2025-12-01 18:54:30
2005,2736,Pharmacology,3,CY,2025-12-01 18:54:30
2005,3109,Statistical and Nonlinear Physics,3,CY,2025-12-01 18:54:30
2005,3205,Experimental and Cognitive Psychology,3,CY,2025-12-01 18:54:30
2005,3318,Gender Studies,3,CY,2025-12-01 18:54:30
2005,1204,Archeology,2,CY,2025-12-01 18:54:30
2005,1306,Cancer Research,2,CY,2025-12-01 18:54:30
2005,1308,Clinical Biochemistry,2,CY,2025-12-01 18:54:30
2005,1607,Spectroscopy,2,CY,2025-12-01 18:54:30
2005,1709,Human-Computer Interaction,2,CY,2025-12-01 18:54:30
2005,2100,General Energy,2,CY,2025-12-01 18:54:30
2005,2102,Energy Engineering and Power Technology,2,CY,2025-12-01 18:54:30
2005,2211,Mechanics of Materials,2,CY,2025-12-01 18:54:30
2005,2212,Ocean Engineering,2,CY,2025-12-01 18:54:30
2005,2215,Building and Construction,2,CY,2025-12-01 18:54:30
2005,2403,Immunology,2,CY,2025-12-01 18:54:30
2005,2508,"Surfaces, Coatings and Films",2,CY,2025-12-01 18:54:30
2005,2705,Cardiology and Cardiovascular Medicine,2,CY,2025-12-01 18:54:30
2005,2711,Emergency Medicine,2,CY,2025-12-01 18:54:30
2005,2724,Internal Medicine,2,CY,2025-12-01 18:54:30
2005,2734,Pathology and Forensic Medicine,2,CY,2025-12-01 18:54:30
2005,2737,Physiology,2,CY,2025-12-01 18:54:30
2005,2741,"Radiology, Nuclear Medicine and Imaging",2,CY,2025-12-01 18:54:30
2005,2916,Nutrition and Dietetics,2,CY,2025-12-01 18:54:30
2005,3305,"Geography, Planning and Development",2,CY,2025-12-01 18:54:30
2005,3307,Human Factors and Ergonomics,2,CY,2025-12-01 18:54:30
2005,3311,Safety Research,2,CY,2025-12-01 18:54:30
2005,3313,Transportation,2,CY,2025-12-01 18:54:30
2005,3314,Anthropology,2,CY,2025-12-01 18:54:30
2005,3315,Communication,2,CY,2025-12-01 18:54:30
2005,3321,Public Administration,2,CY,2025-12-01 18:54:30
2005,3322,Urban Studies,2,CY,2025-12-01 18:54:30
2005,1109,Insect Science,1,CY,2025-12-01 18:54:30
2005,1202,History,1,CY,2025-12-01 18:54:30
2005,1207,History and Philosophy of Science,1,CY,2025-12-01 18:54:30
2005,1210,Music,1,CY,2025-12-01 18:54:30
2005,1405,Management of Technology and Innovation,1,CY,2025-12-01 18:54:30
2005,1502,Bioengineering,1,CY,2025-12-01 18:54:30
2005,1507,Fluid Flow and Transfer Processes,1,CY,2025-12-01 18:54:30
2005,1606,Physical and Theoretical Chemistry,1,CY,2025-12-01 18:54:30
2005,1704,Computer Graphics and Computer-Aided Design,1,CY,2025-12-01 18:54:30
2005,1712,Software,1,CY,2025-12-01 18:54:30
2005,2205,Civil and Structural Engineering,1,CY,2025-12-01 18:54:30
2005,2312,Water Science and Technology,1,CY,2025-12-01 18:54:30
2005,2504,"Electronic, Optical and Magnetic Materials",1,CY,2025-12-01 18:54:30
2005,2602,Algebra and Number Theory,1,CY,2025-12-01 18:54:30
2005,2607,Discrete Mathematics and Combinatorics,1,CY,2025-12-01 18:54:30
2005,2611,Modeling and Simulation,1,CY,2025-12-01 18:54:30
2005,2612,Numerical Analysis,1,CY,2025-12-01 18:54:30
2005,2703,Anesthesiology and Pain Medicine,1,CY,2025-12-01 18:54:30
2005,2708,Dermatology,1,CY,2025-12-01 18:54:30
2005,2728,Neurology,1,CY,2025-12-01 18:54:30
2005,2733,Otorhinolaryngology,1,CY,2025-12-01 18:54:30
2005,2742,Rehabilitation,1,CY,2025-12-01 18:54:30
