subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,The MIQE Guidelines: Minimum Information for Publication of Quantitative Real-Time PCR Experiments,https://doi.org/10.1373/clinchem.2008.112797,2009,15324,https://openalex.org/W2168420558
1312,Molecular Biology,Antiinflammatory Therapy with Canakinumab for Atherosclerotic Disease,https://doi.org/10.1056/nejmoa1707914,2017,8419,https://openalex.org/W2748400555
1312,Molecular Biology,The DNA-damage response in human biology and disease,https://doi.org/10.1038/nature08467,2009,5793,https://openalex.org/W2145200068
1312,Molecular Biology,Plasma Hsp90 levels in patients with systemic sclerosis and relation to lung and skin involvement: a cross-sectional and longitudinal study,https://doi.org/10.1038/s41598-020-79139-8,2021,4935,https://openalex.org/W3118577024
1312,Molecular Biology,Nuclear ribosomal internal transcribed spacer (ITS) region as a universal DNA barcode marker for <i>Fungi</i>,https://doi.org/10.1073/pnas.1117018109,2012,4851,https://openalex.org/W2110375946
1312,Molecular Biology,Cardiovascular and Renal Outcomes with Empagliflozin in Heart Failure,https://doi.org/10.1056/nejmoa2022190,2020,4550,https://openalex.org/W3081830235
1312,Molecular Biology,Surface Plasmon Resonance Sensors for Detection of Chemical and Biological Species,https://doi.org/10.1021/cr068107d,2008,4204,https://openalex.org/W2127159287
1312,Molecular Biology,EAU Guidelines on Renal Cell Carcinoma: 2014 Update,https://doi.org/10.1016/j.eururo.2015.01.005,2015,3428,https://openalex.org/W2164317031
1312,Molecular Biology,Pembrolizumab plus Axitinib versus Sunitinib for Advanced Renal-Cell Carcinoma,https://doi.org/10.1056/nejmoa1816714,2019,3194,https://openalex.org/W2913745075
1312,Molecular Biology,Evidence for wavelike energy transfer through quantum coherence in photosynthetic systems,https://doi.org/10.1038/nature05678,2007,3167,https://openalex.org/W2058468006
2505,Materials Chemistry,Crystallographic Computing System JANA2006: General features,https://doi.org/10.1515/zkri-2014-1737,2014,4522,https://openalex.org/W2327828477
2505,Materials Chemistry,"Functionalization of Graphene: Covalent and Non-Covalent Approaches, Derivatives and Applications",https://doi.org/10.1021/cr3000412,2012,3943,https://openalex.org/W2166691312
2505,Materials Chemistry,Cu and Cu-Based Nanoparticles: Synthesis and Applications in Catalysis,https://doi.org/10.1021/acs.chemrev.5b00482,2016,2725,https://openalex.org/W2290966472
2505,Materials Chemistry,Organometallic Halide Perovskites: Sharp Optical Absorption Edge and Its Relation to Photovoltaic Performance,https://doi.org/10.1021/jz500279b,2014,2662,https://openalex.org/W2078019609
