year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,84,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,67,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T11127,Solid State Laser Technologies,54,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,48,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T12760,Laser Design and Applications,45,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10022,Semiconductor Quantum Structures and Devices,44,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,42,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T11472,Analytical Chemistry and Sensors,42,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T11637,Advanced Semiconductor Detectors and Materials,39,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,35,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10624,Silicon and Solar Cell Technologies,35,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,34,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10107,Ferroelectric and Piezoelectric Materials,32,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,32,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10590,Chalcogenide Semiconductor Thin Films,32,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T11434,Electrochemical Analysis and Applications,32,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10781,Plasma Diagnostics and Applications,31,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,31,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T10377,Metal and Thin Film Mechanics,27,CZ,2025-11-25 22:45:21
2005,2208,Electrical and Electronic Engineering,T12155,Microwave Dielectric Ceramics Synthesis,27,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,100,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,60,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10377,Metal and Thin Film Mechanics,55,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10097,Luminescence Properties of Advanced Materials,52,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,50,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11242,Nuclear Materials and Properties,37,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,36,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10472,Semiconductor materials and devices,35,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10204,Microstructure and mechanical properties,31,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,30,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,29,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,29,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,29,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11160,Acoustic Wave Resonator Technologies,28,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T12506,Nuclear materials and radiation effects,28,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,27,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11216,Radiation Detection and Scintillator Technologies,27,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T11878,Solid-state spectroscopy and crystallography,27,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T12155,Microwave Dielectric Ceramics Synthesis,27,CZ,2025-11-25 22:45:21
2005,2505,Materials Chemistry,T10544,Glass properties and applications,26,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10002,Advanced Chemical Physics Studies,98,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11177,Spectroscopy and Quantum Chemical Studies,81,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10022,Semiconductor Quantum Structures and Devices,56,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10523,Atomic and Molecular Physics,56,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10988,Advanced Fiber Laser Technologies,54,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10020,Quantum Information and Cryptography,47,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10622,Quantum Mechanics and Applications,46,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10049,Magnetic properties of thin films,44,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10299,Photonic and Optical Devices,44,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10566,Laser-Matter Interactions and Applications,40,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10382,Quantum and electron transport phenomena,39,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11127,Solid State Laser Technologies,39,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11050,Photorefractive and Nonlinear Optics,36,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10666,Photonic Crystals and Applications,33,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T10425,Cold Atom Physics and Bose-Einstein Condensates,31,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11853,Semiconductor materials and interfaces,30,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11854,Laser-induced spectroscopy and plasma,25,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11993,Atomic and Subatomic Physics Research,25,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T11261,Quantum chaos and dynamical systems,24,CZ,2025-11-25 22:45:21
2005,3107,"Atomic and Molecular Physics, and Optics",T12760,Laser Design and Applications,24,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,76,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,56,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,44,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10908,Analytical Chemistry and Chromatography,39,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,38,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11255,Microfluidic and Bio-sensing Technologies,31,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11472,Analytical Chemistry and Sensors,30,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10107,Ferroelectric and Piezoelectric Materials,25,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,25,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11407,Innovative Microfluidic and Catalytic Techniques Innovation,22,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,20,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,19,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T11366,Elasticity and Material Modeling,18,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,16,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10683,Mass Spectrometry Techniques and Applications,15,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T12466,Near-Field Optical Microscopy,15,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,14,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10478,Diamond and Carbon-based Materials Research,14,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10662,Ultrasonics and Acoustic Wave Propagation,14,CZ,2025-11-25 22:45:21
2005,2204,Biomedical Engineering,T10864,Fluid Dynamics and Mixing,14,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10181,Natural Language Processing Techniques,55,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10020,Quantum Information and Cryptography,54,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10320,Neural Networks and Applications,53,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10820,Fuzzy Logic and Control Systems,50,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11010,"Logic, Reasoning, and Knowledge",47,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T12157,Geochemistry and Geologic Mapping,47,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10215,Semantic Web and Ontologies,45,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11269,Algorithms and Data Compression,39,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11727,Advanced Algebra and Logic,39,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11063,Rough Sets and Fuzzy Logic,38,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10622,Quantum Mechanics and Applications,34,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10126,"Logic, programming, and type systems",31,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10142,Formal Methods in Verification,30,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11567,semigroups and automata theory,28,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10682,Quantum Computing Algorithms and Architecture,27,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10001,Geological and Geochemical Analysis,25,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10456,Multi-Agent Systems and Negotiation,24,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10028,Topic Modeling,20,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T10639,Advanced Software Engineering Methodologies,18,CZ,2025-11-25 22:45:21
2005,1702,Artificial Intelligence,T11975,Evolutionary Algorithms and Applications,18,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10386,Microstructure and Mechanical Properties of Steels,40,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10717,Aluminum Alloys Composites Properties,34,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10840,High Temperature Alloys and Creep,32,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T12099,Advanced materials and composites,27,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T13312,Mechanical and Thermal Properties Analysis,27,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10396,Fatigue and fracture mechanics,23,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11583,Advanced Measurement and Metrology Techniques,23,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10204,Microstructure and mechanical properties,22,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11100,Intermetallics and Advanced Alloy Properties,22,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T12169,Non-Destructive Testing Techniques,20,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10377,Metal and Thin Film Mechanics,19,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11201,Metallurgy and Material Forming,19,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11351,Catalysis and Hydrodesulfurization Studies,19,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10700,Metal Forming Simulation Techniques,18,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11091,Extraction and Separation Processes,18,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T11126,Metallurgical Processes and Thermodynamics,18,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10670,Aluminum Alloy Microstructure Properties,17,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T14128,Metallurgical and Alloy Processes,17,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T12898,Induction Heating and Inverter Technology,16,CZ,2025-11-25 22:45:21
2005,2210,Mechanical Engineering,T10192,Catalytic Processes in Materials Science,15,CZ,2025-11-25 22:45:21
2005,1703,Computational Theory and Mathematics,T11727,Advanced Algebra and Logic,87,CZ,2025-11-25 22:45:21
2005,1703,Computational Theory and Mathematics,T11063,Rough Sets and Fuzzy Logic,71,CZ,2025-11-25 22:45:21
2005,1703,Computational Theory and Mathematics,T10374,Advanced Graph Theory Research,68,CZ,2025-11-25 22:45:21
