year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,1300,CZ,2025-12-03 12:07:33
2005,2208,Electrical and Electronic Engineering,933,CZ,2025-12-03 12:07:33
2005,2505,Materials Chemistry,895,CZ,2025-12-03 12:07:33
2005,3107,"Atomic and Molecular Physics, and Optics",695,CZ,2025-12-03 12:07:33
2005,2204,Biomedical Engineering,647,CZ,2025-12-03 12:07:33
2005,1110,Plant Science,616,CZ,2025-12-03 12:07:33
2005,1702,Artificial Intelligence,563,CZ,2025-12-03 12:07:33
2005,2210,Mechanical Engineering,542,CZ,2025-12-03 12:07:33
2005,1605,Organic Chemistry,426,CZ,2025-12-03 12:07:33
2005,2746,Surgery,417,CZ,2025-12-03 12:07:33
2005,2211,Mechanics of Materials,295,CZ,2025-12-03 12:07:33
2005,1607,Spectroscopy,237,CZ,2025-12-03 12:07:33
2005,1703,Computational Theory and Mathematics,187,CZ,2025-12-03 12:07:33
2005,2504,"Electronic, Optical and Magnetic Materials",179,CZ,2025-12-03 12:07:33
2005,1311,Genetics,140,CZ,2025-12-03 12:07:33
2005,2730,Oncology,139,CZ,2025-12-03 12:07:33
2005,1705,Computer Networks and Communications,131,CZ,2025-12-03 12:07:33
2005,2740,Pulmonary and Respiratory Medicine,131,CZ,2025-12-03 12:07:33
2005,2206,Computational Mechanics,128,CZ,2025-12-03 12:07:33
2005,1604,Inorganic Chemistry,126,CZ,2025-12-03 12:07:33
2005,2202,Aerospace Engineering,115,CZ,2025-12-03 12:07:33
2005,2713,Epidemiology,109,CZ,2025-12-03 12:07:33
2005,2804,Cellular and Molecular Neuroscience,106,CZ,2025-12-03 12:07:33
2005,2507,Polymers and Plastics,105,CZ,2025-12-03 12:07:33
2005,2741,"Radiology, Nuclear Medicine and Imaging",102,CZ,2025-12-03 12:07:33
2005,3104,Condensed Matter Physics,102,CZ,2025-12-03 12:07:33
2005,2207,Control and Systems Engineering,101,CZ,2025-12-03 12:07:33
2005,1105,"Ecology, Evolution, Behavior and Systematics",97,CZ,2025-12-03 12:07:33
2005,2736,Pharmacology,96,CZ,2025-12-03 12:07:33
2005,3106,Nuclear and High Energy Physics,89,CZ,2025-12-03 12:07:33
2005,1606,Physical and Theoretical Chemistry,84,CZ,2025-12-03 12:07:33
2005,3103,Astronomy and Astrophysics,84,CZ,2025-12-03 12:07:33
2005,2737,Physiology,82,CZ,2025-12-03 12:07:33
2005,3108,Radiation,82,CZ,2025-12-03 12:07:33
2005,2705,Cardiology and Cardiovascular Medicine,81,CZ,2025-12-03 12:07:33
2005,1106,Food Science,77,CZ,2025-12-03 12:07:33
2005,2303,Ecology,77,CZ,2025-12-03 12:07:33
2005,3109,Statistical and Nonlinear Physics,74,CZ,2025-12-03 12:07:33
2005,1307,Cell Biology,73,CZ,2025-12-03 12:07:33
2005,1109,Insect Science,72,CZ,2025-12-03 12:07:33
2005,1305,Biotechnology,68,CZ,2025-12-03 12:07:33
2005,1502,Bioengineering,67,CZ,2025-12-03 12:07:33
2005,1908,Geophysics,66,CZ,2025-12-03 12:07:33
2005,2105,"Renewable Energy, Sustainability and the Environment",66,CZ,2025-12-03 12:07:33
2005,1707,Computer Vision and Pattern Recognition,65,CZ,2025-12-03 12:07:33
2005,1306,Cancer Research,64,CZ,2025-12-03 12:07:33
2005,1603,Electrochemistry,62,CZ,2025-12-03 12:07:33
