year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,1773,DK,2025-12-01 18:45:36
2005,2208,Electrical and Electronic Engineering,893,DK,2025-12-01 18:45:36
2005,2746,Surgery,814,DK,2025-12-01 18:45:36
2005,2204,Biomedical Engineering,654,DK,2025-12-01 18:45:36
2005,1311,Genetics,603,DK,2025-12-01 18:45:36
2005,2737,Physiology,552,DK,2025-12-01 18:45:36
2005,2713,Epidemiology,513,DK,2025-12-01 18:45:36
2005,2740,Pulmonary and Respiratory Medicine,502,DK,2025-12-01 18:45:36
2005,3312,Sociology and Political Science,462,DK,2025-12-01 18:45:36
2005,3304,Education,402,DK,2025-12-01 18:45:36
2005,2705,Cardiology and Cardiovascular Medicine,285,DK,2025-12-01 18:45:36
2005,3107,"Atomic and Molecular Physics, and Optics",275,DK,2025-12-01 18:45:36
2005,2730,Oncology,247,DK,2025-12-01 18:45:36
2005,2712,"Endocrinology, Diabetes and Metabolism",218,DK,2025-12-01 18:45:36
2005,2804,Cellular and Molecular Neuroscience,191,DK,2025-12-01 18:45:36
2005,2505,Materials Chemistry,175,DK,2025-12-01 18:45:36
2005,2741,"Radiology, Nuclear Medicine and Imaging",163,DK,2025-12-01 18:45:36
2005,3207,Social Psychology,159,DK,2025-12-01 18:45:36
2005,2739,"Public Health, Environmental and Occupational Health",156,DK,2025-12-01 18:45:36
2005,2403,Immunology,153,DK,2025-12-01 18:45:36
2005,2734,Pathology and Forensic Medicine,152,DK,2025-12-01 18:45:36
2005,1307,Cell Biology,141,DK,2025-12-01 18:45:36
2005,2735,"Pediatrics, Perinatology and Child Health",129,DK,2025-12-01 18:45:36
2005,1110,Plant Science,119,DK,2025-12-01 18:45:36
2005,1306,Cancer Research,116,DK,2025-12-01 18:45:36
2005,2303,Ecology,115,DK,2025-12-01 18:45:36
2005,1605,Organic Chemistry,114,DK,2025-12-01 18:45:36
2005,2745,Rheumatology,111,DK,2025-12-01 18:45:36
2005,2725,Infectious Diseases,106,DK,2025-12-01 18:45:36
2005,1705,Computer Networks and Communications,103,DK,2025-12-01 18:45:36
2005,2736,Pharmacology,96,DK,2025-12-01 18:45:36
2005,1607,Spectroscopy,85,DK,2025-12-01 18:45:36
2005,2207,Control and Systems Engineering,83,DK,2025-12-01 18:45:36
2005,3320,Political Science and International Relations,82,DK,2025-12-01 18:45:36
2005,2805,Cognitive Neuroscience,75,DK,2025-12-01 18:45:36
2005,3600,General Health Professions,75,DK,2025-12-01 18:45:36
2005,2916,Nutrition and Dietetics,70,DK,2025-12-01 18:45:36
2005,2732,Orthopedics and Sports Medicine,69,DK,2025-12-01 18:45:36
2005,1702,Artificial Intelligence,67,DK,2025-12-01 18:45:36
2005,2728,Neurology,66,DK,2025-12-01 18:45:36
2005,1105,"Ecology, Evolution, Behavior and Systematics",65,DK,2025-12-01 18:45:36
2005,2202,Aerospace Engineering,61,DK,2025-12-01 18:45:36
2005,2721,Hepatology,59,DK,2025-12-01 18:45:36
2005,2723,Immunology and Allergy,59,DK,2025-12-01 18:45:36
2005,2738,Psychiatry and Mental health,58,DK,2025-12-01 18:45:36
2005,1106,Food Science,57,DK,2025-12-01 18:45:36
2005,2720,Hematology,57,DK,2025-12-01 18:45:36
2005,2002,Economics and Econometrics,52,DK,2025-12-01 18:45:36
2005,2743,Reproductive Medicine,52,DK,2025-12-01 18:45:36
2005,2404,Microbiology,51,DK,2025-12-01 18:45:36
2005,2715,Gastroenterology,51,DK,2025-12-01 18:45:36
2005,3103,Astronomy and Astrophysics,51,DK,2025-12-01 18:45:36
2005,2210,Mechanical Engineering,49,DK,2025-12-01 18:45:36
2005,2708,Dermatology,49,DK,2025-12-01 18:45:36
2005,2727,Nephrology,49,DK,2025-12-01 18:45:36
2005,1303,Biochemistry,46,DK,2025-12-01 18:45:36
2005,2508,"Surfaces, Coatings and Films",46,DK,2025-12-01 18:45:36
2005,1305,Biotechnology,44,DK,2025-12-01 18:45:36
2005,2807,Endocrine and Autonomic Systems,44,DK,2025-12-01 18:45:36
2005,2711,Emergency Medicine,42,DK,2025-12-01 18:45:36
2005,2206,Computational Mechanics,41,DK,2025-12-01 18:45:36
2005,2716,Genetics,40,DK,2025-12-01 18:45:36
2005,1103,Animal Science and Zoology,39,DK,2025-12-01 18:45:36
2005,1308,Clinical Biochemistry,39,DK,2025-12-01 18:45:36
2005,2307,"Health, Toxicology and Mutagenesis",39,DK,2025-12-01 18:45:36
2005,3203,Clinical Psychology,39,DK,2025-12-01 18:45:36
2005,2703,Anesthesiology and Pain Medicine,38,DK,2025-12-01 18:45:36
2005,2742,Rehabilitation,38,DK,2025-12-01 18:45:36
2005,2748,Urology,38,DK,2025-12-01 18:45:36
2005,2105,"Renewable Energy, Sustainability and the Environment",37,DK,2025-12-01 18:45:36
2005,2211,Mechanics of Materials,36,DK,2025-12-01 18:45:36
2005,2731,Ophthalmology,35,DK,2025-12-01 18:45:36
2005,2504,"Electronic, Optical and Magnetic Materials",34,DK,2025-12-01 18:45:36
2005,1310,Endocrinology,32,DK,2025-12-01 18:45:36
2005,1703,Computational Theory and Mathematics,32,DK,2025-12-01 18:45:36
2005,1710,Information Systems,32,DK,2025-12-01 18:45:36
2005,2707,Complementary and alternative medicine,30,DK,2025-12-01 18:45:36
2005,3204,Developmental and Educational Psychology,30,DK,2025-12-01 18:45:36
2005,1502,Bioengineering,29,DK,2025-12-01 18:45:36
2005,1603,Electrochemistry,29,DK,2025-12-01 18:45:36
2005,1407,Organizational Behavior and Human Resource Management,28,DK,2025-12-01 18:45:36
2005,1507,Fluid Flow and Transfer Processes,28,DK,2025-12-01 18:45:36
2005,3404,Small Animals,28,DK,2025-12-01 18:45:36
2005,1109,Insect Science,27,DK,2025-12-01 18:45:36
2005,1313,Molecular Medicine,27,DK,2025-12-01 18:45:36
2005,2808,Neurology,25,DK,2025-12-01 18:45:36
2005,1606,Physical and Theoretical Chemistry,24,DK,2025-12-01 18:45:36
