subfield_id,subfield_name,title,doi,year,cited_by_count,id
3304,Education,Development and Evaluation of an International Service Learning Program for Nursing Students,https://doi.org/10.1111/phn.12040,2013,57,https://openalex.org/W2020434746
3304,Education,Comentario al libro La cabeza bien puesta. Repensar la Reforma. Reformar el pensamiento de Edgar Morin,https://doi.org/10.29197/cpu.v4i8.72,2014,46,https://openalex.org/W1855965396
3304,Education,"Are teachers techno-optimists or techno-pessimists? A pilot comparative among teachers in Bolivia, Brazil, the Dominican Republic, Ecuador, Finland, Poland, Turkey, and Uruguay",https://doi.org/10.1007/s10639-020-10380-4,2020,45,https://openalex.org/W3101337222
3304,Education,Digital reading and reading competence. The influence in the Z generation from the Dominican Republic,https://doi.org/10.3916/c52-2017-10,2017,41,https://openalex.org/W3193915826
3304,Education,EL ENFOQUE SISTÉMICO EN LOS ESTUDIOS SOBRE LA FAMILIA,https://doi.org/10.5281/zenodo.1137569,2005,37,https://openalex.org/W807080626
3304,Education,A family of modified Ostrowski’s methods with optimal eighth order of convergence,https://doi.org/10.1016/j.aml.2011.06.002,2011,30,https://openalex.org/W2077134541
3304,Education,Adaptación y validación del cuestionario CUVE3-EP para la evaluación de la violencia escolar en centros de enseñanza básica de la República Dominicana,https://doi.org/10.6018/analesps.31.3.186481,2015,28,https://openalex.org/W1806842846
3304,Education,El Desafío de Evaluar por Competencias en la Universidad. Reflexiones y Experiencias Prácticas,https://doi.org/10.15366/riee2019.12.2.002,2019,27,https://openalex.org/W2982397789
3304,Education,Acompañamiento Pedagógico Digital para Docentes,https://doi.org/10.37843/rted.v9i2.164,2020,27,https://openalex.org/W3088149425
3304,Education,Evaluation of an academic satisfaction model in E-learning education contexts,https://doi.org/10.1080/10494820.2021.1979047,2021,27,https://openalex.org/W3201098035
3312,Sociology and Political Science,The protocols for the 10/66 dementia research group population-based research programme,https://doi.org/10.1186/1471-2458-7-165,2007,353,https://openalex.org/W2023611349
3312,Sociology and Political Science,Three-year Efficacy and Safety of Takeda’s Dengue Vaccine Candidate (TAK-003),https://doi.org/10.1093/cid/ciab864,2021,208,https://openalex.org/W3203455658
3312,Sociology and Political Science,"""The contribution of chronic diseases to the prevalence of dependence among older people in Latin America, China and India: a 10/66 Dementia Research Group population-based survey""",https://doi.org/10.1186/1471-2318-10-53,2010,142,https://openalex.org/W2048145302
3312,Sociology and Political Science,ASSORTMENT AND THE EVOLUTION OF GENERALIZED RECIPROCITY,https://doi.org/10.1111/j.1558-5646.2009.00656.x,2009,128,https://openalex.org/W2104189275
3312,Sociology and Political Science,A brief dementia screener suitable for use by non‐specialists in resource poor settings—the cross‐cultural derivation and validation of the brief Community Screening Instrument for Dementia,https://doi.org/10.1002/gps.2622,2010,125,https://openalex.org/W2040364060
3312,Sociology and Political Science,Internet addiction and sleep quality among medical students during the COVID-19 pandemic: A multinational cross-sectional survey,https://doi.org/10.1371/journal.pone.0259594,2021,119,https://openalex.org/W3209709362
3312,Sociology and Political Science,A comparative cross-cultural study of the prevalence of late life depression in low and middle income countries,https://doi.org/10.1016/j.jad.2015.09.004,2015,118,https://openalex.org/W2159917466
3312,Sociology and Political Science,Strain and its correlates among carers of people with dementia in low‐income and middle‐income countries. A 10/66 Dementia Research Group population‐based survey,https://doi.org/10.1002/gps.2727,2012,115,https://openalex.org/W1522622114
3312,Sociology and Political Science,The relevance of psychological factors in the ecotourist experience satisfaction through ecotourist site perceived value,https://doi.org/10.1016/j.jclepro.2016.02.126,2016,111,https://openalex.org/W2297078190
3312,Sociology and Political Science,"Tourism in protected areas and the impact of servicescape on tourist satisfaction, key in sustainability",https://doi.org/10.1016/j.jdmm.2019.02.005,2019,109,https://openalex.org/W2929532005
2739,"Public Health, Environmental and Occupational Health",Redefining Palliative Care—A New Consensus-Based Definition,https://doi.org/10.1016/j.jpainsymman.2020.04.027,2020,1071,https://openalex.org/W3023463185
2739,"Public Health, Environmental and Occupational Health",Efficacy of a Tetravalent Dengue Vaccine in Healthy Children and Adolescents,https://doi.org/10.1056/nejmoa1903869,2019,340,https://openalex.org/W2987109794
2739,"Public Health, Environmental and Occupational Health","Efficacy of a tetravalent dengue vaccine in healthy children aged 4–16 years: a randomised, placebo-controlled, phase 3 trial",https://doi.org/10.1016/s0140-6736(20)30414-1,2020,223,https://openalex.org/W3011429008
2739,"Public Health, Environmental and Occupational Health",Nutritional status at diagnosis is related to clinical outcomes in children and adolescents with cancer: A perspective from Central America,https://doi.org/10.1016/j.ejca.2011.06.006,2011,209,https://openalex.org/W2054735694
2739,"Public Health, Environmental and Occupational Health",Three-year Efficacy and Safety of Takeda’s Dengue Vaccine Candidate (TAK-003),https://doi.org/10.1093/cid/ciab864,2021,208,https://openalex.org/W3203455658
2739,"Public Health, Environmental and Occupational Health",Immediate pre-ovulatory administration of 30 mg ulipristal acetate significantly delays follicular rupture,https://doi.org/10.1093/humrep/deq157,2010,164,https://openalex.org/W2135679278
2739,"Public Health, Environmental and Occupational Health","Long-term efficacy and safety of a tetravalent dengue vaccine (TAK-003): 4·5-year results from a phase 3, randomised, double-blind, placebo-controlled trial",https://doi.org/10.1016/s2214-109x(23)00522-3,2024,160,https://openalex.org/W4391074691
2739,"Public Health, Environmental and Occupational Health",Ulipristal acetate prevents ovulation more effectively than levonorgestrel: analysis of pooled data from three randomized trials of emergency contraception regimens,https://doi.org/10.1016/j.contraception.2013.05.010,2013,127,https://openalex.org/W2049678026
2739,"Public Health, Environmental and Occupational Health",Extended use up to 5 years of the etonogestrel-releasing subdermal contraceptive implant: comparison to levonorgestrel-releasing subdermal implant,https://doi.org/10.1093/humrep/dew222,2016,114,https://openalex.org/W2525824154
2739,"Public Health, Environmental and Occupational Health",Effect of a Chikungunya Virus–Like Particle Vaccine on Safety and Tolerability Outcomes,https://doi.org/10.1001/jama.2020.2477,2020,100,https://openalex.org/W3015959975
3600,General Health Professions,Contribution of chronic diseases to disability in elderly people in countries with low and middle incomes: a 10/66 Dementia Research Group population-based survey,https://doi.org/10.1016/s0140-6736(09)61829-8,2009,471,https://openalex.org/W2107466701
3600,General Health Professions,"Prevalence of dementia in Latin America, India, and China: a population-based cross-sectional survey",https://doi.org/10.1016/s0140-6736(08)61002-8,2008,461,https://openalex.org/W2100484216
