year,id,name,works_count,country,fetch_date
2005,3304,Education,15,DO,2025-12-03 12:41:12
2005,2739,"Public Health, Environmental and Occupational Health",9,DO,2025-12-03 12:41:12
2005,1100,General Agricultural and Biological Sciences,5,DO,2025-12-03 12:41:12
2005,1710,Information Systems,5,DO,2025-12-03 12:41:12
2005,2002,Economics and Econometrics,4,DO,2025-12-03 12:41:12
2005,3600,General Health Professions,4,DO,2025-12-03 12:41:12
2005,2725,Infectious Diseases,3,DO,2025-12-03 12:41:12
2005,1706,Computer Science Applications,2,DO,2025-12-03 12:41:12
2005,2214,Media Technology,2,DO,2025-12-03 12:41:12
2005,2713,Epidemiology,2,DO,2025-12-03 12:41:12
2005,2735,"Pediatrics, Perinatology and Child Health",2,DO,2025-12-03 12:41:12
2005,2738,Psychiatry and Mental health,2,DO,2025-12-03 12:41:12
2005,3203,Clinical Psychology,2,DO,2025-12-03 12:41:12
2005,3308,Law,2,DO,2025-12-03 12:41:12
2005,3312,Sociology and Political Science,2,DO,2025-12-03 12:41:12
2005,3317,Demography,2,DO,2025-12-03 12:41:12
2005,1102,Agronomy and Crop Science,1,DO,2025-12-03 12:41:12
2005,1106,Food Science,1,DO,2025-12-03 12:41:12
2005,1208,Literature and Literary Theory,1,DO,2025-12-03 12:41:12
2005,1305,Biotechnology,1,DO,2025-12-03 12:41:12
2005,1312,Molecular Biology,1,DO,2025-12-03 12:41:12
2005,1407,Organizational Behavior and Human Resource Management,1,DO,2025-12-03 12:41:12
2005,1705,Computer Networks and Communications,1,DO,2025-12-03 12:41:12
2005,2003,Finance,1,DO,2025-12-03 12:41:12
2005,2212,Ocean Engineering,1,DO,2025-12-03 12:41:12
2005,2404,Microbiology,1,DO,2025-12-03 12:41:12
2005,2708,Dermatology,1,DO,2025-12-03 12:41:12
2005,2743,Reproductive Medicine,1,DO,2025-12-03 12:41:12
2005,2746,Surgery,1,DO,2025-12-03 12:41:12
2005,3204,Developmental and Educational Psychology,1,DO,2025-12-03 12:41:12
2005,3207,Social Psychology,1,DO,2025-12-03 12:41:12
2005,3300,General Social Sciences,1,DO,2025-12-03 12:41:12
2005,3306,Health,1,DO,2025-12-03 12:41:12
2005,3318,Gender Studies,1,DO,2025-12-03 12:41:12
2005,3404,Small Animals,1,DO,2025-12-03 12:41:12
2006,2002,Economics and Econometrics,10,DO,2025-12-03 12:41:12
2006,2739,"Public Health, Environmental and Occupational Health",9,DO,2025-12-03 12:41:12
2006,3304,Education,9,DO,2025-12-03 12:41:12
2006,3312,Sociology and Political Science,6,DO,2025-12-03 12:41:12
2006,3600,General Health Professions,6,DO,2025-12-03 12:41:12
2006,1312,Molecular Biology,5,DO,2025-12-03 12:41:12
2006,1407,Organizational Behavior and Human Resource Management,4,DO,2025-12-03 12:41:12
2006,1710,Information Systems,4,DO,2025-12-03 12:41:12
2006,2003,Finance,4,DO,2025-12-03 12:41:12
2006,3320,Political Science and International Relations,4,DO,2025-12-03 12:41:12
2006,1311,Genetics,3,DO,2025-12-03 12:41:12
2006,2000,"General Economics, Econometrics and Finance",3,DO,2025-12-03 12:41:12
2006,1705,Computer Networks and Communications,2,DO,2025-12-03 12:41:12
2006,2403,Immunology,2,DO,2025-12-03 12:41:12
2006,2735,"Pediatrics, Perinatology and Child Health",2,DO,2025-12-03 12:41:12
2006,2746,Surgery,2,DO,2025-12-03 12:41:12
2006,3314,Anthropology,2,DO,2025-12-03 12:41:12
2006,1100,General Agricultural and Biological Sciences,1,DO,2025-12-03 12:41:12
2006,1213,Visual Arts and Performing Arts,1,DO,2025-12-03 12:41:12
2006,1402,Accounting,1,DO,2025-12-03 12:41:12
2006,1403,Business and International Management,1,DO,2025-12-03 12:41:12
2006,1405,Management of Technology and Innovation,1,DO,2025-12-03 12:41:12
2006,1408,Strategy and Management,1,DO,2025-12-03 12:41:12
