subfield_id,subfield_name,title,doi,year,cited_by_count,id
2208,Electrical and Electronic Engineering,Artificial intelligence techniques for photovoltaic applications: A review,https://doi.org/10.1016/j.pecs.2008.01.001,2008,888,https://openalex.org/W2145804350
2208,Electrical and Electronic Engineering,"A 24-h forecast of solar irradiance using artificial neural network: Application for performance prediction of a grid-connected PV plant at Trieste, Italy",https://doi.org/10.1016/j.solener.2010.02.006,2010,862,https://openalex.org/W2070826863
2208,Electrical and Electronic Engineering,"A review on the complementarity of renewable energy sources: Concept, metrics, application and future research directions",https://doi.org/10.1016/j.solener.2019.11.087,2019,720,https://openalex.org/W2933024154
2208,Electrical and Electronic Engineering,A review of studies on central receiver solar thermal power plants,https://doi.org/10.1016/j.rser.2013.02.017,2013,633,https://openalex.org/W2009437481
2208,Electrical and Electronic Engineering,A detailed modeling method for photovoltaic cells,https://doi.org/10.1016/j.energy.2006.12.006,2007,583,https://openalex.org/W2113989510
2208,Electrical and Electronic Engineering,"Artificial intelligence based anomaly detection of energy consumption in buildings: A review, current trends and new perspectives",https://doi.org/10.1016/j.apenergy.2021.116601,2021,539,https://openalex.org/W3107249503
2208,Electrical and Electronic Engineering,Optimal sizing of PV/wind/diesel hybrid microgrid system using multi-objective self-adaptive differential evolution algorithm,https://doi.org/10.1016/j.renene.2018.01.058,2018,506,https://openalex.org/W2788023261
2208,Electrical and Electronic Engineering,Fault detection and diagnosis methods for photovoltaic systems: A review,https://doi.org/10.1016/j.rser.2018.03.062,2018,493,https://openalex.org/W2796210775
2208,Electrical and Electronic Engineering,A survey of the most used MPPT methods: Conventional and advanced algorithms applied for photovoltaic systems,https://doi.org/10.1016/j.rser.2015.02.009,2015,490,https://openalex.org/W1977858618
2208,Electrical and Electronic Engineering,Electron and hole transport layers optimization by numerical simulation of a perovskite solar cell,https://doi.org/10.1016/j.solener.2019.02.017,2019,465,https://openalex.org/W2914486344
2505,Materials Chemistry,An extensive study on multiple ETL and HTL layers to design and simulation of high-performance lead-free CsSnCl3-based perovskite solar cells,https://doi.org/10.1038/s41598-023-28506-2,2023,447,https://openalex.org/W4320491231
2505,Materials Chemistry,Corrosion inhibition of mild steel by two new S-heterocyclic compounds in 1 M HCl: Experimental and computational study,https://doi.org/10.1016/j.corsci.2015.01.025,2015,423,https://openalex.org/W2031143381
2505,Materials Chemistry,Sonochemical degradation of Rhodamine B in aqueous phase: Effects of additives,https://doi.org/10.1016/j.cej.2010.01.048,2010,374,https://openalex.org/W1966856505
2505,Materials Chemistry,Effects of pH and chloride concentration on pitting corrosion of AA6061 aluminum alloy,https://doi.org/10.1016/j.corsci.2008.03.006,2008,359,https://openalex.org/W2031960988
2505,Materials Chemistry,Growth of silicene layers on Ag(111): unexpected effect of the substrate temperature,https://doi.org/10.1088/0953-8984/24/17/172001,2012,358,https://openalex.org/W1977668380
2505,Materials Chemistry,Semiquantitative Study of the EDC/NHS Activation of Acid Terminal Groups at Modified Porous Silicon Surfaces,https://doi.org/10.1021/la902220a,2009,352,https://openalex.org/W2067313136
2505,Materials Chemistry,Toxicity of Nanoparticles in Biomedical Application: Nanotoxicology,https://doi.org/10.1155/2021/9954443,2021,336,https://openalex.org/W3192110442
2505,Materials Chemistry,High temperature steam oxidation of chromium-coated zirconium-based alloys: Kinetics and process,https://doi.org/10.1016/j.corsci.2020.108537,2020,329,https://openalex.org/W3006250507
2505,Materials Chemistry,A Review on Thermoelectric Generators: Progress and Applications,https://doi.org/10.3390/en13143606,2020,327,https://openalex.org/W3041908919
2505,Materials Chemistry,"Structural, magnetic, electronic and mechanical properties of full-Heusler alloys Co2YAl (Y = Fe, Ti): First principles calculations with different exchange-correlation potentials",https://doi.org/10.1016/j.jmmm.2017.06.048,2017,323,https://openalex.org/W2622524250
2210,Mechanical Engineering,The removal of uranium(VI) from aqueous solutions onto activated carbon: Kinetic and thermodynamic investigations,https://doi.org/10.1016/j.jcis.2005.09.045,2005,455,https://openalex.org/W2017793502
2210,Mechanical Engineering,A refined trigonometric shear deformation theory for thermoelastic bending of functionally graded sandwich plates,https://doi.org/10.1016/j.ast.2011.11.009,2011,430,https://openalex.org/W2029015764
2210,Mechanical Engineering,An efficient and simple higher order shear and normal deformation theory for functionally graded material (FGM) plates,https://doi.org/10.1016/j.compositesb.2013.12.057,2014,417,https://openalex.org/W2005725951
2210,Mechanical Engineering,Statistical analysis of surface roughness and cutting forces using response surface methodology in hard turning of AISI 52100 bearing steel with CBN tool,https://doi.org/10.1016/j.ijrmhm.2009.11.011,2009,376,https://openalex.org/W2005132697
2210,Mechanical Engineering,Health assessment and life prediction of cutting tools based on support vector regression,https://doi.org/10.1007/s10845-013-0774-6,2013,370,https://openalex.org/W2069262928
2210,Mechanical Engineering,Characterization of a novel natural cellulosic fiber from Juncus effusus L.,https://doi.org/10.1016/j.carbpol.2017.04.096,2017,356,https://openalex.org/W2611232384
2210,Mechanical Engineering,Effect of textured area on the performances of a hydrodynamic journal bearing,https://doi.org/10.1016/j.triboint.2010.10.003,2010,339,https://openalex.org/W1992976440
2210,Mechanical Engineering,Remaining useful life estimation based on nonlinear feature reduction and support vector regression,https://doi.org/10.1016/j.engappai.2013.02.006,2013,330,https://openalex.org/W2030166992
2210,Mechanical Engineering,Effect of Chemical treatment on Flexure Properties of Natural Fiber-reinforced Polyester Composite,https://doi.org/10.1016/j.proeng.2011.04.346,2011,328,https://openalex.org/W2044120916
2210,Mechanical Engineering,Advances in thermal energy storage: Fundamentals and applications,https://doi.org/10.1016/j.pecs.2023.101109,2023,320,https://openalex.org/W4387205121
1702,Artificial Intelligence,A survey on optimization metaheuristics,https://doi.org/10.1016/j.ins.2013.02.041,2013,1508,https://openalex.org/W2118044993
1702,Artificial Intelligence,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",https://doi.org/10.18653/v1/d18-1259,2018,1367,https://openalex.org/W2889787757
1702,Artificial Intelligence,FiLM: Visual Reasoning with a General Conditioning Layer,https://doi.org/10.1609/aaai.v32i1.11671,2018,1294,https://openalex.org/W2760103357
1702,Artificial Intelligence,Artificial intelligence techniques for photovoltaic applications: A review,https://doi.org/10.1016/j.pecs.2008.01.001,2008,888,https://openalex.org/W2145804350
1702,Artificial Intelligence,"Deep learning for cyber security intrusion detection: Approaches, datasets, and comparative study",https://doi.org/10.1016/j.jisa.2019.102419,2019,881,https://openalex.org/W2991507433
1702,Artificial Intelligence,"A 24-h forecast of solar irradiance using artificial neural network: Application for performance prediction of a grid-connected PV plant at Trieste, Italy",https://doi.org/10.1016/j.solener.2010.02.006,2010,862,https://openalex.org/W2070826863
1702,Artificial Intelligence,Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,https://doi.org/10.1109/access.2022.3165809,2022,707,https://openalex.org/W4226319939
1702,Artificial Intelligence,Deep Learning for Time Series Forecasting: A Survey,https://doi.org/10.1089/big.2020.0159,2020,675,https://openalex.org/W3109365969
1702,Artificial Intelligence,"Artificial intelligence based anomaly detection of energy consumption in buildings: A review, current trends and new perspectives",https://doi.org/10.1016/j.apenergy.2021.116601,2021,539,https://openalex.org/W3107249503
1702,Artificial Intelligence,Security and Privacy in Fog Computing: Challenges,https://doi.org/10.1109/access.2017.2749422,2017,527,https://openalex.org/W2753672491
2207,Control and Systems Engineering,Overview of energy storage in renewable energy systems,https://doi.org/10.1016/j.ijhydene.2016.06.243,2016,724,https://openalex.org/W2490954318
2207,Control and Systems Engineering,Optimal sizing of PV/wind/diesel hybrid microgrid system using multi-objective self-adaptive differential evolution algorithm,https://doi.org/10.1016/j.renene.2018.01.058,2018,506,https://openalex.org/W2788023261
2207,Control and Systems Engineering,Human–robot interaction in industrial collaborative robotics: a literature review of the decade 2008–2017,https://doi.org/10.1080/01691864.2019.1636714,2019,402,https://openalex.org/W2955189310
2207,Control and Systems Engineering,A survey on control of electric power distributed generation systems for microgrid applications,https://doi.org/10.1016/j.rser.2015.01.016,2015,381,https://openalex.org/W2081225240
2207,Control and Systems Engineering,A brief status on condition monitoring and fault diagnosis in wind energy conversion systems,https://doi.org/10.1016/j.rser.2009.06.031,2009,376,https://openalex.org/W2040229032
2207,Control and Systems Engineering,Health assessment and life prediction of cutting tools based on support vector regression,https://doi.org/10.1007/s10845-013-0774-6,2013,370,https://openalex.org/W2069262928
2207,Control and Systems Engineering,Artificial bee colony based algorithm for maximum power point tracking (MPPT) for PV systems operating under partial shaded conditions,https://doi.org/10.1016/j.asoc.2015.03.047,2015,347,https://openalex.org/W2076217933
2207,Control and Systems Engineering,DeepCoin: A Novel Deep Learning and Blockchain-Based Energy Exchange Framework for Smart Grids,https://doi.org/10.1109/tem.2019.2922936,2019,340,https://openalex.org/W2962621836
2207,Control and Systems Engineering,Adaptive Fuzzy Backstepping Tracking Control for Strict-Feedback Systems With Input Delay,https://doi.org/10.1109/tfuzz.2016.2567457,2016,333,https://openalex.org/W2379289466
2207,Control and Systems Engineering,Remaining useful life estimation based on nonlinear feature reduction and support vector regression,https://doi.org/10.1016/j.engappai.2013.02.006,2013,330,https://openalex.org/W2030166992
2204,Biomedical Engineering,"Microcrystalline cellulose: Isolation, characterization and bio-composites application—A review",https://doi.org/10.1016/j.ijbiomac.2016.09.056,2016,746,https://openalex.org/W2519977258
2204,Biomedical Engineering,Renewable energy-driven desalination technologies: A comprehensive review on challenges and potential applications of integrated systems,https://doi.org/10.1016/j.desal.2014.10.024,2014,578,https://openalex.org/W2029205199
2204,Biomedical Engineering,Preparation and characterization of activated carbon from date stones by physical activation with steam,https://doi.org/10.1016/j.jaap.2007.12.009,2008,481,https://openalex.org/W2048665017
