year,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,241,DZ,2025-11-28 17:29:11
2005,2505,Materials Chemistry,163,DZ,2025-11-28 17:29:11
2005,2210,Mechanical Engineering,135,DZ,2025-11-28 17:29:11
2005,3312,Sociology and Political Science,112,DZ,2025-11-28 17:29:11
2005,1702,Artificial Intelligence,107,DZ,2025-11-28 17:29:11
2005,2207,Control and Systems Engineering,101,DZ,2025-11-28 17:29:11
2005,2204,Biomedical Engineering,94,DZ,2025-11-28 17:29:11
2005,1110,Plant Science,78,DZ,2025-11-28 17:29:11
2005,2211,Mechanics of Materials,74,DZ,2025-11-28 17:29:11
2005,3107,"Atomic and Molecular Physics, and Optics",67,DZ,2025-11-28 17:29:11
2005,2205,Civil and Structural Engineering,57,DZ,2025-11-28 17:29:11
2005,1705,Computer Networks and Communications,52,DZ,2025-11-28 17:29:11
2005,2202,Aerospace Engineering,44,DZ,2025-11-28 17:29:11
2005,2206,Computational Mechanics,40,DZ,2025-11-28 17:29:11
2005,2504,"Electronic, Optical and Magnetic Materials",33,DZ,2025-11-28 17:29:11
2005,1707,Computer Vision and Pattern Recognition,28,DZ,2025-11-28 17:29:11
2005,3320,Political Science and International Relations,28,DZ,2025-11-28 17:29:11
2005,1312,Molecular Biology,26,DZ,2025-11-28 17:29:11
2005,2105,"Renewable Energy, Sustainability and the Environment",24,DZ,2025-11-28 17:29:11
2005,2507,Polymers and Plastics,24,DZ,2025-11-28 17:29:11
2005,1703,Computational Theory and Mathematics,23,DZ,2025-11-28 17:29:11
2005,3104,Condensed Matter Physics,23,DZ,2025-11-28 17:29:11
2005,1604,Inorganic Chemistry,22,DZ,2025-11-28 17:29:11
2005,1605,Organic Chemistry,22,DZ,2025-11-28 17:29:11
2005,2212,Ocean Engineering,21,DZ,2025-11-28 17:29:11
2005,1105,"Ecology, Evolution, Behavior and Systematics",20,DZ,2025-11-28 17:29:11
2005,2312,Water Science and Technology,17,DZ,2025-11-28 17:29:11
2005,1711,Signal Processing,16,DZ,2025-11-28 17:29:11
2005,1106,Food Science,15,DZ,2025-11-28 17:29:11
2005,1908,Geophysics,14,DZ,2025-11-28 17:29:11
2005,3109,Statistical and Nonlinear Physics,11,DZ,2025-11-28 17:29:11
2005,1710,Information Systems,10,DZ,2025-11-28 17:29:11
2005,2311,Industrial and Manufacturing Engineering,10,DZ,2025-11-28 17:29:11
2005,3304,Education,10,DZ,2025-11-28 17:29:11
2005,1606,Physical and Theoretical Chemistry,9,DZ,2025-11-28 17:29:11
2005,2215,Building and Construction,9,DZ,2025-11-28 17:29:11
2005,1204,Archeology,8,DZ,2025-11-28 17:29:11
2005,1503,Catalysis,8,DZ,2025-11-28 17:29:11
2005,1507,Fluid Flow and Transfer Processes,8,DZ,2025-11-28 17:29:11
2005,2209,Industrial and Manufacturing Engineering,8,DZ,2025-11-28 17:29:11
2005,2612,Numerical Analysis,8,DZ,2025-11-28 17:29:11
2005,3314,Anthropology,8,DZ,2025-11-28 17:29:11
2005,3322,Urban Studies,8,DZ,2025-11-28 17:29:11
2005,1109,Insect Science,7,DZ,2025-11-28 17:29:11
2005,1111,Soil Science,7,DZ,2025-11-28 17:29:11
2005,1502,Bioengineering,7,DZ,2025-11-28 17:29:11
2005,2500,General Materials Science,7,DZ,2025-11-28 17:29:11
2005,2506,Metals and Alloys,7,DZ,2025-11-28 17:29:11
2005,2508,"Surfaces, Coatings and Films",7,DZ,2025-11-28 17:29:11
2005,3600,General Health Professions,7,DZ,2025-11-28 17:29:11
2005,1404,Management Information Systems,6,DZ,2025-11-28 17:29:11
2005,2502,Biomaterials,6,DZ,2025-11-28 17:29:11
2005,2503,Ceramics and Composites,6,DZ,2025-11-28 17:29:11
2005,1107,Forestry,5,DZ,2025-11-28 17:29:11
2005,1307,Cell Biology,5,DZ,2025-11-28 17:29:11
2005,1607,Spectroscopy,5,DZ,2025-11-28 17:29:11
2005,2305,Environmental Engineering,5,DZ,2025-11-28 17:29:11
2005,2306,Global and Planetary Change,5,DZ,2025-11-28 17:29:11
2005,3103,Astronomy and Astrophysics,5,DZ,2025-11-28 17:29:11
2005,3108,Radiation,5,DZ,2025-11-28 17:29:11
2005,3310,Linguistics and Language,5,DZ,2025-11-28 17:29:11
2005,1202,History,4,DZ,2025-11-28 17:29:11
2005,1306,Cancer Research,4,DZ,2025-11-28 17:29:11
2005,1803,Management Science and Operations Research,4,DZ,2025-11-28 17:29:11
2005,1902,Atmospheric Science,4,DZ,2025-11-28 17:29:11
2005,2002,Economics and Econometrics,4,DZ,2025-11-28 17:29:11
2005,2213,"Safety, Risk, Reliability and Quality",4,DZ,2025-11-28 17:29:11
2005,2604,Applied Mathematics,4,DZ,2025-11-28 17:29:11
2005,2607,Discrete Mathematics and Combinatorics,4,DZ,2025-11-28 17:29:11
2005,2610,Mathematical Physics,4,DZ,2025-11-28 17:29:11
2005,2611,Modeling and Simulation,4,DZ,2025-11-28 17:29:11
2005,3106,Nuclear and High Energy Physics,4,DZ,2025-11-28 17:29:11
2005,3316,Cultural Studies,4,DZ,2025-11-28 17:29:11
2005,1102,Agronomy and Crop Science,3,DZ,2025-11-28 17:29:11
2005,1211,Philosophy,3,DZ,2025-11-28 17:29:11
2005,1305,Biotechnology,3,DZ,2025-11-28 17:29:11
2005,1506,Filtration and Separation,3,DZ,2025-11-28 17:29:11
2005,1706,Computer Science Applications,3,DZ,2025-11-28 17:29:11
