subfield_id,subfield_name,title,doi,year,cited_by_count,id
2002,Economics and Econometrics,The effect of human mobility and control measures on the COVID-19 epidemic in China,https://doi.org/10.1126/science.abb4218,2020,2997,https://openalex.org/W3013594674
2002,Economics and Econometrics,Get vaccinated when it is your turn and follow the local guidelines,https://doi.org/10.53730/ijhs.v5n3.2938,2021,734,https://openalex.org/W4200303364
2002,Economics and Econometrics,Analyze the environmental sustainability factors of China: The role of fossil fuel energy and renewable energy,https://doi.org/10.1016/j.renene.2022.01.066,2022,685,https://openalex.org/W4207031931
3304,Education,Self-regulated learning strategies predict learner behavior and goal attainment in Massive Open Online Courses,https://doi.org/10.1016/j.compedu.2016.10.001,2016,889,https://openalex.org/W2528720667
3304,Education,Trends in Educational Research about e-Learning: A Systematic Literature Review (2009–2018),https://doi.org/10.3390/su12125153,2020,454,https://openalex.org/W3037628497
3304,Education,The mathematics teacher’s specialised knowledge (MTSK) model*,https://doi.org/10.1080/14794802.2018.1479981,2018,359,https://openalex.org/W2884987732
3312,Sociology and Political Science,Preexposure Chemoprophylaxis for HIV Prevention in Men Who Have Sex with Men,https://doi.org/10.1056/nejmoa1011205,2010,4984,https://openalex.org/W2103920597
3312,Sociology and Political Science,Environmental justice and the SDGs: from synergies to gaps and contradictions,https://doi.org/10.1007/s11625-020-00789-8,2020,349,https://openalex.org/W3016195942
3312,Sociology and Political Science,Fragmentation of Andes-to-Amazon connectivity by hydropower dams,https://doi.org/10.1126/sciadv.aao1642,2018,328,https://openalex.org/W2788693165
1710,Information Systems,Context-Aware Recommender Systems for Learning: A Survey and Future Challenges,https://doi.org/10.1109/tlt.2012.11,2012,541,https://openalex.org/W2128070164
1710,Information Systems,Energy efficiency and sustainable development goals (SDGs),https://doi.org/10.1016/j.energy.2021.122365,2021,538,https://openalex.org/W3209561545
1710,Information Systems,COVID-19 pandemic,https://doi.org/10.53730/ijhs.v5n2.2937,2021,486,https://openalex.org/W4206039048
3600,General Health Professions,Get vaccinated when it is your turn and follow the local guidelines,https://doi.org/10.53730/ijhs.v5n3.2938,2021,734,https://openalex.org/W4200303364
3600,General Health Professions,Health and treatment of diabetes mellitus,https://doi.org/10.53730/ijhs.v5n1.2864,2021,719,https://openalex.org/W4206186952
3600,General Health Professions,GRADE Guidelines 28: Use of GRADE for the assessment of evidence about prognostic factors: rating certainty in identification of groups of patients with different absolute risks,https://doi.org/10.1016/j.jclinepi.2019.12.023,2020,340,https://openalex.org/W3001477424
1407,Organizational Behavior and Human Resource Management,"Variations between women and men in risk factors, treatments, cardiovascular disease incidence, and death in 27 high-income, middle-income, and low-income countries (PURE): a prospective cohort study",https://doi.org/10.1016/s0140-6736(20)30543-2,2020,305,https://openalex.org/W3026637300
1407,Organizational Behavior and Human Resource Management,Measuring customer experience in physical retail environments,https://doi.org/10.1108/josm-06-2016-0142,2017,228,https://openalex.org/W2757363806
1407,Organizational Behavior and Human Resource Management,"Global burden of metabolic diseases, 1990–2021",https://doi.org/10.1016/j.metabol.2024.155999,2024,196,https://openalex.org/W4401562714
3308,Law,COVID-19 pandemic,https://doi.org/10.53730/ijhs.v5n2.2937,2021,486,https://openalex.org/W4206039048
3308,Law,"Michael Howlett Designing Public Policies: Principles and Instruments, Londres y Nueva Yok, Routledge, 2011, 236 pp.",https://doi.org/10.18504/rl0213-008-2018,2018,210,https://openalex.org/W2898078565
3308,Law,Clinical practice guidelines for the care of girls and women with Turner syndrome,https://doi.org/10.1093/ejendo/lvae050,2024,120,https://openalex.org/W4396917273
2739,"Public Health, Environmental and Occupational Health","Global Surgery 2030: evidence and solutions for achieving health, welfare, and economic development",https://doi.org/10.1016/s0140-6736(15)60160-x,2015,3421,https://openalex.org/W2043861297
2739,"Public Health, Environmental and Occupational Health",Global and regional effects of potentially modifiable risk factors associated with acute stroke in 32 countries (INTERSTROKE): a case-control study,https://doi.org/10.1016/s0140-6736(16)30506-2,2016,2070,https://openalex.org/W2463406035
2739,"Public Health, Environmental and Occupational Health","Low Protein Intake Is Associated with a Major Reduction in IGF-1, Cancer, and Overall Mortality in the 65 and Younger but Not Older Population",https://doi.org/10.1016/j.cmet.2014.02.006,2014,878,https://openalex.org/W2150665743
1106,Food Science,Indirect effects of COVID-19 on the environment,https://doi.org/10.1016/j.scitotenv.2020.138813,2020,1300,https://openalex.org/W3016402618
1106,Food Science,Total phenolic compounds and antioxidant capacities of major fruits from Ecuador,https://doi.org/10.1016/j.foodchem.2008.04.054,2008,706,https://openalex.org/W2036381469
1106,Food Science,Geographic and Genetic Population Differentiation of the Amazonian Chocolate Tree (Theobroma cacao L),https://doi.org/10.1371/journal.pone.0003311,2008,468,https://openalex.org/W2113626726
1100,General Agricultural and Biological Sciences,Rethinking the Galapagos Islands as a Complex Social-Ecological System: Implications for Conservation and Management,https://doi.org/10.5751/es-02557-130213,2008,279,https://openalex.org/W1517640814
1100,General Agricultural and Biological Sciences,Alcances de una investigación,https://doi.org/10.33210/ca.v9i3.336,2020,255,https://openalex.org/W3094450386
1100,General Agricultural and Biological Sciences,Collective action for market chain innovation in the Andes,https://doi.org/10.1016/j.foodpol.2008.10.007,2008,243,https://openalex.org/W2094966817
