year,id,name,works_count,country,fetch_date
2005,3600,General Health Professions,26,EC,2025-12-01 18:52:06
2005,3312,Sociology and Political Science,23,EC,2025-12-01 18:52:06
2005,2739,"Public Health, Environmental and Occupational Health",21,EC,2025-12-01 18:52:06
2005,2002,Economics and Econometrics,20,EC,2025-12-01 18:52:06
2005,1407,Organizational Behavior and Human Resource Management,14,EC,2025-12-01 18:52:06
2005,3304,Education,11,EC,2025-12-01 18:52:06
2005,1100,General Agricultural and Biological Sciences,10,EC,2025-12-01 18:52:06
2005,1106,Food Science,10,EC,2025-12-01 18:52:06
2005,1710,Information Systems,9,EC,2025-12-01 18:52:06
2005,2713,Epidemiology,7,EC,2025-12-01 18:52:06
2005,3306,Health,7,EC,2025-12-01 18:52:06
2005,3317,Demography,6,EC,2025-12-01 18:52:06
2005,3320,Political Science and International Relations,6,EC,2025-12-01 18:52:06
2005,3308,Law,5,EC,2025-12-01 18:52:06
2005,1110,Plant Science,4,EC,2025-12-01 18:52:06
2005,1402,Accounting,4,EC,2025-12-01 18:52:06
2005,2105,"Renewable Energy, Sustainability and the Environment",3,EC,2025-12-01 18:52:06
2005,2916,Nutrition and Dietetics,3,EC,2025-12-01 18:52:06
2005,3303,Development,3,EC,2025-12-01 18:52:06
2005,3609,Occupational Therapy,3,EC,2025-12-01 18:52:06
2005,1109,Insect Science,2,EC,2025-12-01 18:52:06
2005,1111,Soil Science,2,EC,2025-12-01 18:52:06
2005,1311,Genetics,2,EC,2025-12-01 18:52:06
2005,1312,Molecular Biology,2,EC,2025-12-01 18:52:06
2005,1408,Strategy and Management,2,EC,2025-12-01 18:52:06
2005,1706,Computer Science Applications,2,EC,2025-12-01 18:52:06
2005,2746,Surgery,2,EC,2025-12-01 18:52:06
2005,2807,Endocrine and Autonomic Systems,2,EC,2025-12-01 18:52:06
2005,3203,Clinical Psychology,2,EC,2025-12-01 18:52:06
2005,3300,General Social Sciences,2,EC,2025-12-01 18:52:06
2005,3310,Linguistics and Language,2,EC,2025-12-01 18:52:06
2005,3318,Gender Studies,2,EC,2025-12-01 18:52:06
2005,3604,Emergency Medical Services,2,EC,2025-12-01 18:52:06
2005,1103,Animal Science and Zoology,1,EC,2025-12-01 18:52:06
2005,1105,"Ecology, Evolution, Behavior and Systematics",1,EC,2025-12-01 18:52:06
2005,1202,History,1,EC,2025-12-01 18:52:06
2005,1207,History and Philosophy of Science,1,EC,2025-12-01 18:52:06
2005,1213,Visual Arts and Performing Arts,1,EC,2025-12-01 18:52:06
2005,1403,Business and International Management,1,EC,2025-12-01 18:52:06
2005,1705,Computer Networks and Communications,1,EC,2025-12-01 18:52:06
2005,1712,Software,1,EC,2025-12-01 18:52:06
2005,1802,Information Systems and Management,1,EC,2025-12-01 18:52:06
2005,1804,"Statistics, Probability and Uncertainty",1,EC,2025-12-01 18:52:06
2005,1911,Paleontology,1,EC,2025-12-01 18:52:06
2005,2207,Control and Systems Engineering,1,EC,2025-12-01 18:52:06
2005,2214,Media Technology,1,EC,2025-12-01 18:52:06
2005,2307,"Health, Toxicology and Mutagenesis",1,EC,2025-12-01 18:52:06
2005,2405,Parasitology,1,EC,2025-12-01 18:52:06
2005,2613,Statistics and Probability,1,EC,2025-12-01 18:52:06
2005,2728,Neurology,1,EC,2025-12-01 18:52:06
2005,2729,Obstetrics and Gynecology,1,EC,2025-12-01 18:52:06
2005,2732,Orthopedics and Sports Medicine,1,EC,2025-12-01 18:52:06
2005,2735,"Pediatrics, Perinatology and Child Health",1,EC,2025-12-01 18:52:06
2005,2741,"Radiology, Nuclear Medicine and Imaging",1,EC,2025-12-01 18:52:06
2005,2743,Reproductive Medicine,1,EC,2025-12-01 18:52:06
2005,3204,Developmental and Educational Psychology,1,EC,2025-12-01 18:52:06
2005,3206,Neuropsychology and Physiological Psychology,1,EC,2025-12-01 18:52:06
2005,3307,Human Factors and Ergonomics,1,EC,2025-12-01 18:52:06
2005,3314,Anthropology,1,EC,2025-12-01 18:52:06
2005,3316,Cultural Studies,1,EC,2025-12-01 18:52:06
2005,3322,Urban Studies,1,EC,2025-12-01 18:52:06
2005,3506,Periodontics,1,EC,2025-12-01 18:52:06
2005,3611,Pharmacy,1,EC,2025-12-01 18:52:06
2005,3612,"Physical Therapy, Sports Therapy and Rehabilitation",1,EC,2025-12-01 18:52:06
2005,3616,Speech and Hearing,1,EC,2025-12-01 18:52:06
2006,3304,Education,39,EC,2025-12-01 18:52:06
2006,3312,Sociology and Political Science,34,EC,2025-12-01 18:52:06
2006,2002,Economics and Econometrics,30,EC,2025-12-01 18:52:06
2006,2739,"Public Health, Environmental and Occupational Health",28,EC,2025-12-01 18:52:06
2006,3600,General Health Professions,27,EC,2025-12-01 18:52:06
2006,1106,Food Science,21,EC,2025-12-01 18:52:06
2006,1710,Information Systems,21,EC,2025-12-01 18:52:06
2006,1100,General Agricultural and Biological Sciences,18,EC,2025-12-01 18:52:06
2006,1407,Organizational Behavior and Human Resource Management,16,EC,2025-12-01 18:52:06
2006,3308,Law,11,EC,2025-12-01 18:52:06
2006,3317,Demography,11,EC,2025-12-01 18:52:06
2006,3300,General Social Sciences,9,EC,2025-12-01 18:52:06
2006,3320,Political Science and International Relations,9,EC,2025-12-01 18:52:06
2006,1110,Plant Science,8,EC,2025-12-01 18:52:06
2006,3306,Health,8,EC,2025-12-01 18:52:06
2006,3316,Cultural Studies,8,EC,2025-12-01 18:52:06
2006,1402,Accounting,7,EC,2025-12-01 18:52:06
2006,1706,Computer Science Applications,7,EC,2025-12-01 18:52:06
2006,2713,Epidemiology,6,EC,2025-12-01 18:52:06
2006,3303,Development,6,EC,2025-12-01 18:52:06
2006,1408,Strategy and Management,5,EC,2025-12-01 18:52:06
2006,2613,Statistics and Probability,5,EC,2025-12-01 18:52:06
2006,2705,Cardiology and Cardiovascular Medicine,5,EC,2025-12-01 18:52:06
2006,3207,Social Psychology,5,EC,2025-12-01 18:52:06
2006,1105,"Ecology, Evolution, Behavior and Systematics",4,EC,2025-12-01 18:52:06
2006,1311,Genetics,4,EC,2025-12-01 18:52:06
2006,1705,Computer Networks and Communications,4,EC,2025-12-01 18:52:06
2006,2000,"General Economics, Econometrics and Finance",4,EC,2025-12-01 18:52:06
2006,2712,"Endocrinology, Diabetes and Metabolism",4,EC,2025-12-01 18:52:06
2006,2725,Infectious Diseases,4,EC,2025-12-01 18:52:06
2006,2916,Nutrition and Dietetics,4,EC,2025-12-01 18:52:06
2006,3322,Urban Studies,3,EC,2025-12-01 18:52:06
2006,1211,Philosophy,2,EC,2025-12-01 18:52:06
2006,1702,Artificial Intelligence,2,EC,2025-12-01 18:52:06
2006,1911,Paleontology,2,EC,2025-12-01 18:52:06
2006,2208,Electrical and Electronic Engineering,2,EC,2025-12-01 18:52:06
2006,2308,"Management, Monitoring, Policy and Law",2,EC,2025-12-01 18:52:06
2006,2309,Nature and Landscape Conservation,2,EC,2025-12-01 18:52:06
2006,2729,Obstetrics and Gynecology,2,EC,2025-12-01 18:52:06
2006,2734,Pathology and Forensic Medicine,2,EC,2025-12-01 18:52:06
2006,2735,"Pediatrics, Perinatology and Child Health",2,EC,2025-12-01 18:52:06
2006,2736,Pharmacology,2,EC,2025-12-01 18:52:06
2006,2746,Surgery,2,EC,2025-12-01 18:52:06
2006,2805,Cognitive Neuroscience,2,EC,2025-12-01 18:52:06
2006,3203,Clinical Psychology,2,EC,2025-12-01 18:52:06
2006,3311,Safety Research,2,EC,2025-12-01 18:52:06
2006,3315,Communication,2,EC,2025-12-01 18:52:06
2006,1108,Horticulture,1,EC,2025-12-01 18:52:06
2006,1204,Archeology,1,EC,2025-12-01 18:52:06
2006,1209,Museology,1,EC,2025-12-01 18:52:06
2006,1213,Visual Arts and Performing Arts,1,EC,2025-12-01 18:52:06
2006,1303,Biochemistry,1,EC,2025-12-01 18:52:06
2006,1305,Biotechnology,1,EC,2025-12-01 18:52:06
2006,1307,Cell Biology,1,EC,2025-12-01 18:52:06
2006,1310,Endocrinology,1,EC,2025-12-01 18:52:06
2006,1312,Molecular Biology,1,EC,2025-12-01 18:52:06
2006,1403,Business and International Management,1,EC,2025-12-01 18:52:06
2006,1405,Management of Technology and Innovation,1,EC,2025-12-01 18:52:06
2006,1605,Organic Chemistry,1,EC,2025-12-01 18:52:06
2006,1711,Signal Processing,1,EC,2025-12-01 18:52:06
2006,1712,Software,1,EC,2025-12-01 18:52:06
2006,1802,Information Systems and Management,1,EC,2025-12-01 18:52:06
2006,1803,Management Science and Operations Research,1,EC,2025-12-01 18:52:06
2006,1804,"Statistics, Probability and Uncertainty",1,EC,2025-12-01 18:52:06
2006,2003,Finance,1,EC,2025-12-01 18:52:06
2006,2202,Aerospace Engineering,1,EC,2025-12-01 18:52:06
2006,2207,Control and Systems Engineering,1,EC,2025-12-01 18:52:06
2006,2302,Ecological Modeling,1,EC,2025-12-01 18:52:06
2006,2303,Ecology,1,EC,2025-12-01 18:52:06
2006,2306,Global and Planetary Change,1,EC,2025-12-01 18:52:06
2006,2402,Applied Microbiology and Biotechnology,1,EC,2025-12-01 18:52:06
2006,2405,Parasitology,1,EC,2025-12-01 18:52:06
2006,2406,Virology,1,EC,2025-12-01 18:52:06
2006,2708,Dermatology,1,EC,2025-12-01 18:52:06
2006,2717,Geriatrics and Gerontology,1,EC,2025-12-01 18:52:06
2006,2720,Hematology,1,EC,2025-12-01 18:52:06
2006,2730,Oncology,1,EC,2025-12-01 18:52:06
2006,2738,Psychiatry and Mental health,1,EC,2025-12-01 18:52:06
2006,2745,Rheumatology,1,EC,2025-12-01 18:52:06
