subfield_id,subfield_name,title,doi,year,cited_by_count,id
1312,Molecular Biology,g:Profiler: a web server for functional enrichment analysis and conversions of gene lists (2019 update),https://doi.org/10.1093/nar/gkz369,2019,5065,https://openalex.org/W2944545583
1312,Molecular Biology,Nuclear ribosomal internal transcribed spacer (ITS) region as a universal DNA barcode marker for <i>Fungi</i>,https://doi.org/10.1073/pnas.1117018109,2012,4851,https://openalex.org/W2110375946
1312,Molecular Biology,Secondary prevention of macrovascular events in patients with type 2 diabetes in the PROactive Study (PROspective pioglitAzone Clinical Trial In macroVascular Events): a randomised controlled trial,https://doi.org/10.1016/s0140-6736(05)67528-9,2005,4090,https://openalex.org/W2159969745
1312,Molecular Biology,ClustVis: a web tool for visualizing clustering of multivariate data using Principal Component Analysis and heatmap,https://doi.org/10.1093/nar/gkv468,2015,3692,https://openalex.org/W1617495083
1312,Molecular Biology,Discovery and refinement of loci associated with lipid levels,https://doi.org/10.1038/ng.2797,2013,3214,https://openalex.org/W2153118028
1312,Molecular Biology,Enhancements and modifications of primer design program Primer3,https://doi.org/10.1093/bioinformatics/btm091,2007,2605,https://openalex.org/W2100303227
1312,Molecular Biology,A higher-level phylogenetic classification of the Fungi,https://doi.org/10.1016/j.mycres.2007.03.004,2007,2352,https://openalex.org/W2140682278
1312,Molecular Biology,Structure and function of the global topsoil microbiome,https://doi.org/10.1038/s41586-018-0386-6,2018,2238,https://openalex.org/W2887136521
1312,Molecular Biology,Defining the role of common variation in the genomic and biological architecture of adult human height,https://doi.org/10.1038/ng.3097,2014,2050,https://openalex.org/W2139852278
1312,Molecular Biology,Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes,https://doi.org/10.1038/ng.2383,2012,1975,https://openalex.org/W2045017910
2208,Electrical and Electronic Engineering,Grid-Connected Photovoltaic Systems: An Overview of Recent Research and Emerging PV Converter Technology,https://doi.org/10.1109/mie.2014.2376976,2015,1142,https://openalex.org/W2001356449
2208,Electrical and Electronic Engineering,"Mn<sup>2+</sup>and Mn<sup>4+</sup>red phosphors: synthesis, luminescence and applications in WLEDs. A review",https://doi.org/10.1039/c8tc00251g,2018,660,https://openalex.org/W2788861441
2208,Electrical and Electronic Engineering,Raman scattering in nanosized nickel oxide NiO,https://doi.org/10.1088/1742-6596/93/1/012039,2007,471,https://openalex.org/W2099846497
2208,Electrical and Electronic Engineering,MXene as a novel intercalation-type pseudocapacitive cathode and anode for capacitive deionization,https://doi.org/10.1039/c6ta07833h,2016,449,https://openalex.org/W2546971341
2208,Electrical and Electronic Engineering,Accurate GSM Indoor Localization,https://doi.org/10.1007/11551201_9,2005,445,https://openalex.org/W2132110947
2208,Electrical and Electronic Engineering,Electrocatalysis of oxygen reduction on heteroatom-doped nanocarbons and transition metal–nitrogen–carbon catalysts for alkaline membrane fuel cells,https://doi.org/10.1039/c7ta08690c,2017,417,https://openalex.org/W2771259291
2208,Electrical and Electronic Engineering,"Droplet microfluidics for microbiology: techniques, applications and challenges",https://doi.org/10.1039/c6lc00367b,2016,407,https://openalex.org/W2345850129
2208,Electrical and Electronic Engineering,50th anniversary of the Judd–Ofelt theory: An experimentalist's view of the formalism and its application,https://doi.org/10.1016/j.jlumin.2012.10.035,2012,404,https://openalex.org/W2094044837
2208,Electrical and Electronic Engineering,Quasi-Z-Source-Based Isolated DC/DC Converters for Distributed Power Generation,https://doi.org/10.1109/tie.2009.2039460,2010,390,https://openalex.org/W2078108796
2208,Electrical and Electronic Engineering,Cu<sub>2</sub>Zn<sub>1–<i>x</i></sub>Cd<i><sub>x</sub></i> Sn(Se<sub>1–<i>y</i></sub>S<i><sub>y</sub></i>)<sub>4</sub> solid solutions as absorber materials for solar cells,https://doi.org/10.1002/pssa.200776839,2008,356,https://openalex.org/W2088279415
3312,Sociology and Political Science,Differences Between Tight and Loose Cultures: A 33-Nation Study,https://doi.org/10.1126/science.1197754,2011,2973,https://openalex.org/W2161411308
3312,Sociology and Political Science,Novel ecosystems: theoretical and management aspects of the new ecological world order,https://doi.org/10.1111/j.1466-822x.2006.00212.x,2006,2030,https://openalex.org/W2124696785
