year,id,name,works_count,country,fetch_date
2005,1605,Organic Chemistry,599,EG,2025-11-28 17:25:53
2005,1110,Plant Science,591,EG,2025-11-28 17:25:53
2005,2208,Electrical and Electronic Engineering,588,EG,2025-11-28 17:25:53
2005,2505,Materials Chemistry,488,EG,2025-11-28 17:25:53
2005,1312,Molecular Biology,476,EG,2025-11-28 17:25:53
2005,2210,Mechanical Engineering,301,EG,2025-11-28 17:25:53
2005,2204,Biomedical Engineering,280,EG,2025-11-28 17:25:53
2005,2746,Surgery,252,EG,2025-11-28 17:25:53
2005,2713,Epidemiology,180,EG,2025-11-28 17:25:53
2005,2740,Pulmonary and Respiratory Medicine,127,EG,2025-11-28 17:25:53
2005,2730,Oncology,98,EG,2025-11-28 17:25:53
2005,2504,"Electronic, Optical and Magnetic Materials",97,EG,2025-11-28 17:25:53
2005,1106,Food Science,94,EG,2025-11-28 17:25:53
2005,2507,Polymers and Plastics,94,EG,2025-11-28 17:25:53
2005,2211,Mechanics of Materials,92,EG,2025-11-28 17:25:53
2005,3107,"Atomic and Molecular Physics, and Optics",89,EG,2025-11-28 17:25:53
2005,2207,Control and Systems Engineering,85,EG,2025-11-28 17:25:53
2005,1109,Insect Science,73,EG,2025-11-28 17:25:53
2005,2503,Ceramics and Composites,72,EG,2025-11-28 17:25:53
2005,2205,Civil and Structural Engineering,71,EG,2025-11-28 17:25:53
2005,2206,Computational Mechanics,71,EG,2025-11-28 17:25:53
2005,2202,Aerospace Engineering,70,EG,2025-11-28 17:25:53
2005,1311,Genetics,69,EG,2025-11-28 17:25:53
2005,1604,Inorganic Chemistry,68,EG,2025-11-28 17:25:53
2005,1705,Computer Networks and Communications,66,EG,2025-11-28 17:25:53
2005,2736,Pharmacology,64,EG,2025-11-28 17:25:53
2005,1102,Agronomy and Crop Science,62,EG,2025-11-28 17:25:53
2005,1105,"Ecology, Evolution, Behavior and Systematics",49,EG,2025-11-28 17:25:53
2005,1111,Soil Science,47,EG,2025-11-28 17:25:53
2005,2741,"Radiology, Nuclear Medicine and Imaging",46,EG,2025-11-28 17:25:53
2005,2916,Nutrition and Dietetics,46,EG,2025-11-28 17:25:53
2005,2721,Hepatology,45,EG,2025-11-28 17:25:53
2005,1305,Biotechnology,44,EG,2025-11-28 17:25:53
2005,1502,Bioengineering,44,EG,2025-11-28 17:25:53
2005,2748,Urology,44,EG,2025-11-28 17:25:53
2005,1307,Cell Biology,43,EG,2025-11-28 17:25:53
2005,1603,Electrochemistry,42,EG,2025-11-28 17:25:53
2005,2745,Rheumatology,41,EG,2025-11-28 17:25:53
2005,1602,Analytical Chemistry,40,EG,2025-11-28 17:25:53
2005,1607,Spectroscopy,39,EG,2025-11-28 17:25:53
2005,2105,"Renewable Energy, Sustainability and the Environment",39,EG,2025-11-28 17:25:53
2005,2725,Infectious Diseases,39,EG,2025-11-28 17:25:53
2005,1103,Animal Science and Zoology,37,EG,2025-11-28 17:25:53
2005,2502,Biomaterials,36,EG,2025-11-28 17:25:53
2005,2739,"Public Health, Environmental and Occupational Health",36,EG,2025-11-28 17:25:53
2005,1306,Cancer Research,34,EG,2025-11-28 17:25:53
2005,1606,Physical and Theoretical Chemistry,34,EG,2025-11-28 17:25:53
2005,1702,Artificial Intelligence,34,EG,2025-11-28 17:25:53
2005,2215,Building and Construction,32,EG,2025-11-28 17:25:53
2005,2403,Immunology,32,EG,2025-11-28 17:25:53
2005,2737,Physiology,32,EG,2025-11-28 17:25:53
2005,2712,"Endocrinology, Diabetes and Metabolism",30,EG,2025-11-28 17:25:53
2005,2734,Pathology and Forensic Medicine,27,EG,2025-11-28 17:25:53
2005,2506,Metals and Alloys,26,EG,2025-11-28 17:25:53
2005,2735,"Pediatrics, Perinatology and Child Health",26,EG,2025-11-28 17:25:53
2005,3004,Pharmacology,26,EG,2025-11-28 17:25:53
2005,2705,Cardiology and Cardiovascular Medicine,25,EG,2025-11-28 17:25:53
2005,2212,Ocean Engineering,24,EG,2025-11-28 17:25:53
2005,2311,Industrial and Manufacturing Engineering,22,EG,2025-11-28 17:25:53
2005,2312,Water Science and Technology,21,EG,2025-11-28 17:25:53
2005,1708,Hardware and Architecture,20,EG,2025-11-28 17:25:53
2005,2213,"Safety, Risk, Reliability and Quality",20,EG,2025-11-28 17:25:53
2005,2303,Ecology,20,EG,2025-11-28 17:25:53
2005,2804,Cellular and Molecular Neuroscience,20,EG,2025-11-28 17:25:53
2005,3103,Astronomy and Astrophysics,20,EG,2025-11-28 17:25:53
2005,1503,Catalysis,19,EG,2025-11-28 17:25:53
2005,2727,Nephrology,19,EG,2025-11-28 17:25:53
2005,3404,Small Animals,19,EG,2025-11-28 17:25:53
2005,2704,Biochemistry,18,EG,2025-11-28 17:25:53
2005,2743,Reproductive Medicine,18,EG,2025-11-28 17:25:53
2005,1303,Biochemistry,17,EG,2025-11-28 17:25:53
2005,2707,Complementary and alternative medicine,17,EG,2025-11-28 17:25:53
2005,2715,Gastroenterology,17,EG,2025-11-28 17:25:53
2005,3504,Oral Surgery,17,EG,2025-11-28 17:25:53
2005,2310,Pollution,16,EG,2025-11-28 17:25:53
2005,2404,Microbiology,16,EG,2025-11-28 17:25:53
2005,1507,Fluid Flow and Transfer Processes,15,EG,2025-11-28 17:25:53
2005,3108,Radiation,15,EG,2025-11-28 17:25:53
2005,1100,General Agricultural and Biological Sciences,14,EG,2025-11-28 17:25:53
2005,2405,Parasitology,14,EG,2025-11-28 17:25:53
2005,2733,Otorhinolaryngology,14,EG,2025-11-28 17:25:53
2005,3003,Pharmaceutical Science,14,EG,2025-11-28 17:25:53
2005,1313,Molecular Medicine,13,EG,2025-11-28 17:25:53
2005,2209,Industrial and Manufacturing Engineering,13,EG,2025-11-28 17:25:53
2005,2304,Environmental Chemistry,13,EG,2025-11-28 17:25:53
2005,3005,Toxicology,13,EG,2025-11-28 17:25:53
2005,1703,Computational Theory and Mathematics,12,EG,2025-11-28 17:25:53
2005,2203,Automotive Engineering,12,EG,2025-11-28 17:25:53
2005,2307,"Health, Toxicology and Mutagenesis",12,EG,2025-11-28 17:25:53
2005,2729,Obstetrics and Gynecology,12,EG,2025-11-28 17:25:53
2005,3104,Condensed Matter Physics,12,EG,2025-11-28 17:25:53
2005,3109,Statistical and Nonlinear Physics,12,EG,2025-11-28 17:25:53
2005,3614,Radiological and Ultrasound Technology,12,EG,2025-11-28 17:25:53
2005,2508,"Surfaces, Coatings and Films",11,EG,2025-11-28 17:25:53
2005,2738,Psychiatry and Mental health,11,EG,2025-11-28 17:25:53
2005,2728,Neurology,10,EG,2025-11-28 17:25:53
2005,1310,Endocrinology,9,EG,2025-11-28 17:25:53
