subfield_id,subfield_name,title,doi,year,cited_by_count,id
2713,Epidemiology,"Prevalence of self-medication with antibiotics and associated factors in the community of Asmara, Eritrea: a descriptive cross sectional survey",https://doi.org/10.1186/s12889-019-7020-x,2019,117,https://openalex.org/W2948569404
2713,Epidemiology,"Seroprevalence of transfusion-transmissible infections among blood donors at National Blood Transfusion Service, Eritrea: a seven-year retrospective study",https://doi.org/10.1186/s12879-018-3174-x,2018,83,https://openalex.org/W2806331220
2713,Epidemiology,"Prescribing practices using WHO prescribing indicators and factors associated with antibiotic prescribing in six community pharmacies in Asmara, Eritrea: a cross-sectional study",https://doi.org/10.1186/s13756-019-0620-5,2019,76,https://openalex.org/W2981536237
2713,Epidemiology,Digital health in the era of COVID-19: Reshaping the next generation of healthcare,https://doi.org/10.3389/fpubh.2023.942703,2023,75,https://openalex.org/W4320896623
2713,Epidemiology,Transfusion transmitted infections – A retrospective analysis from the National Blood Transfusion Service in Eritrea,https://doi.org/10.4314/pamj.v9i1.71219,2011,70,https://openalex.org/W1975577392
2713,Epidemiology,"Prevalence and associated factors of postpartum depression among postpartum mothers in central region, Eritrea: a health facility based survey",https://doi.org/10.1186/s12889-020-09676-4,2020,56,https://openalex.org/W3097357617
2713,Epidemiology,The global burden of trichiasis in 2016,https://doi.org/10.1371/journal.pntd.0007835,2019,46,https://openalex.org/W2990203862
2713,Epidemiology,"Knowledge, attitude, and practice of breast Cancer among nurses in hospitals in Asmara, Eritrea",https://doi.org/10.1186/s12912-018-0300-4,2018,37,https://openalex.org/W2885949148
2713,Epidemiology,Assessment of inpatient antibiotic use in Halibet National Referral Hospital using WHO indicators: a retrospective study,https://doi.org/10.1186/s13104-018-4000-7,2018,33,https://openalex.org/W2904165941
2713,Epidemiology,Nature and prevalence of adverse drug reaction of antiretroviral medications in Halibet National Referral Hospital: a retrospective study,https://doi.org/10.1186/s40360-019-0307-9,2019,30,https://openalex.org/W2947997241
2739,"Public Health, Environmental and Occupational Health",Mosquito feeding behavior and how it influences residual malaria transmission across Africa,https://doi.org/10.1073/pnas.1820646116,2019,294,https://openalex.org/W2961018688
2739,"Public Health, Environmental and Occupational Health",A steep decline of malaria morbidity and mortality trends in Eritrea between 2000 and 2004: the effect of combination of control methods,https://doi.org/10.1186/1475-2875-5-33,2006,253,https://openalex.org/W1961560774
2739,"Public Health, Environmental and Occupational Health","Major Threat to Malaria Control Programs by <i>Plasmodium falciparum</i> Lacking Histidine-Rich Protein 2, Eritrea",https://doi.org/10.3201/eid2403.171723,2018,192,https://openalex.org/W2793052768
2739,"Public Health, Environmental and Occupational Health",Increasing Access to Surgical Services in Sub-Saharan Africa: Priorities for National and International Agencies Recommended by the Bellagio Essential Surgery Group,https://doi.org/10.1371/journal.pmed.1000200,2009,161,https://openalex.org/W1995878584
2739,"Public Health, Environmental and Occupational Health",Costs and consequences of large-scale vector control for malaria,https://doi.org/10.1186/1475-2875-7-258,2008,148,https://openalex.org/W1996762732
2739,"Public Health, Environmental and Occupational Health",Rapid diagnostic tests failing to detect Plasmodium falciparum infections in Eritrea: an investigation of reported false negative RDT results,https://doi.org/10.1186/s12936-017-1752-9,2017,102,https://openalex.org/W2594607163
2739,"Public Health, Environmental and Occupational Health","Self medication practice and associated factors among students of Asmara College of Health Sciences, Eritrea: a cross sectional study",https://doi.org/10.1186/s40545-019-0165-2,2019,86,https://openalex.org/W2921756935
2739,"Public Health, Environmental and Occupational Health","Malaria Stratification, Climate, and Epidemic Early Warning in Eritrea",https://doi.org/10.4269/ajtmh.2007.77.61,2007,83,https://openalex.org/W2118501723
2739,"Public Health, Environmental and Occupational Health",M Protein Gene ( <i>emm</i> Type) Analysis of Group A Beta-Hemolytic Streptococci from Ethiopia Reveals Unique Patterns,https://doi.org/10.1128/jcm.43.9.4369-4376.2005,2005,82,https://openalex.org/W2016530689
2739,"Public Health, Environmental and Occupational Health","Effectiveness of malaria control during changing climate conditions in Eritrea, 1998–2003",https://doi.org/10.1111/j.1365-3156.2007.01993.x,2008,73,https://openalex.org/W1862419810
1110,Plant Science,Fungal diversity notes 491–602: taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-017-0378-0,2017,304,https://openalex.org/W4211102453
1110,Plant Science,The efficacy of combined application of edible coatings and thyme oil in inducing resistance components in avocado (Persea americana Mill.) against anthracnose during post-harvest storage,https://doi.org/10.1016/j.cropro.2014.06.015,2014,210,https://openalex.org/W1986874640
1110,Plant Science,Fungal diversity notes 1277–1386: taxonomic and phylogenetic contributions to fungal taxa,https://doi.org/10.1007/s13225-020-00461-7,2020,142,https://openalex.org/W4231241367
1110,Plant Science,Medicinal uses and health benefits of chili pepper (Capsicum spp.): a review,https://doi.org/10.15406/mojfpt.2018.06.00183,2018,135,https://openalex.org/W2897163304
1110,Plant Science,Antibacterial properties of Passiflora foetida L. a common exotic medicinal plant,https://doi.org/10.5897/ajb2007.000-2426,2007,89,https://openalex.org/W2143894506
