year,id,name,works_count,country,fetch_date
2005,3320,Political Science and International Relations,6,ER,2025-12-01 19:12:26
2005,3600,General Health Professions,4,ER,2025-12-01 19:12:26
2005,1105,"Ecology, Evolution, Behavior and Systematics",2,ER,2025-12-01 19:12:26
2005,1111,Soil Science,2,ER,2025-12-01 19:12:26
2005,1312,Molecular Biology,2,ER,2025-12-01 19:12:26
2005,2306,Global and Planetary Change,2,ER,2025-12-01 19:12:26
2005,2725,Infectious Diseases,2,ER,2025-12-01 19:12:26
2005,2729,Obstetrics and Gynecology,2,ER,2025-12-01 19:12:26
2005,2735,"Pediatrics, Perinatology and Child Health",2,ER,2025-12-01 19:12:26
2005,2739,"Public Health, Environmental and Occupational Health",2,ER,2025-12-01 19:12:26
2005,2916,Nutrition and Dietetics,2,ER,2025-12-01 19:12:26
2005,3202,Applied Psychology,2,ER,2025-12-01 19:12:26
2005,3203,Clinical Psychology,2,ER,2025-12-01 19:12:26
2005,3312,Sociology and Political Science,2,ER,2025-12-01 19:12:26
2005,3314,Anthropology,2,ER,2025-12-01 19:12:26
2005,1102,Agronomy and Crop Science,1,ER,2025-12-01 19:12:26
2005,1104,Aquatic Science,1,ER,2025-12-01 19:12:26
2005,1110,Plant Science,1,ER,2025-12-01 19:12:26
2005,1202,History,1,ER,2025-12-01 19:12:26
2005,2308,"Management, Monitoring, Policy and Law",1,ER,2025-12-01 19:12:26
2005,2746,Surgery,1,ER,2025-12-01 19:12:26
2005,2748,Urology,1,ER,2025-12-01 19:12:26
2005,2802,Behavioral Neuroscience,1,ER,2025-12-01 19:12:26
2005,2804,Cellular and Molecular Neuroscience,1,ER,2025-12-01 19:12:26
2005,3311,Safety Research,1,ER,2025-12-01 19:12:26
2005,3616,Speech and Hearing,1,ER,2025-12-01 19:12:26
2006,3320,Political Science and International Relations,8,ER,2025-12-01 19:12:26
2006,2735,"Pediatrics, Perinatology and Child Health",4,ER,2025-12-01 19:12:26
2006,2739,"Public Health, Environmental and Occupational Health",3,ER,2025-12-01 19:12:26
2006,2002,Economics and Econometrics,2,ER,2025-12-01 19:12:26
2006,2003,Finance,2,ER,2025-12-01 19:12:26
2006,2713,Epidemiology,2,ER,2025-12-01 19:12:26
2006,2725,Infectious Diseases,2,ER,2025-12-01 19:12:26
2006,3314,Anthropology,2,ER,2025-12-01 19:12:26
2006,1106,Food Science,1,ER,2025-12-01 19:12:26
2006,1110,Plant Science,1,ER,2025-12-01 19:12:26
2006,1307,Cell Biology,1,ER,2025-12-01 19:12:26
2006,1310,Endocrinology,1,ER,2025-12-01 19:12:26
2006,1312,Molecular Biology,1,ER,2025-12-01 19:12:26
2006,1407,Organizational Behavior and Human Resource Management,1,ER,2025-12-01 19:12:26
2006,1710,Information Systems,1,ER,2025-12-01 19:12:26
2006,2303,Ecology,1,ER,2025-12-01 19:12:26
2006,2308,"Management, Monitoring, Policy and Law",1,ER,2025-12-01 19:12:26
2006,2702,Anatomy,1,ER,2025-12-01 19:12:26
2006,2705,Cardiology and Cardiovascular Medicine,1,ER,2025-12-01 19:12:26
2006,2712,"Endocrinology, Diabetes and Metabolism",1,ER,2025-12-01 19:12:26
2006,2746,Surgery,1,ER,2025-12-01 19:12:26
2006,3304,Education,1,ER,2025-12-01 19:12:26
2006,3312,Sociology and Political Science,1,ER,2025-12-01 19:12:26
2006,3600,General Health Professions,1,ER,2025-12-01 19:12:26
2007,1312,Molecular Biology,5,ER,2025-12-01 19:12:26
2007,1110,Plant Science,4,ER,2025-12-01 19:12:26
2007,2746,Surgery,3,ER,2025-12-01 19:12:26
2007,3320,Political Science and International Relations,3,ER,2025-12-01 19:12:26
2007,2713,Epidemiology,2,ER,2025-12-01 19:12:26
2007,2725,Infectious Diseases,2,ER,2025-12-01 19:12:26
2007,2739,"Public Health, Environmental and Occupational Health",2,ER,2025-12-01 19:12:26
2007,1105,"Ecology, Evolution, Behavior and Systematics",1,ER,2025-12-01 19:12:26
2007,1106,Food Science,1,ER,2025-12-01 19:12:26
2007,1109,Insect Science,1,ER,2025-12-01 19:12:26
2007,1111,Soil Science,1,ER,2025-12-01 19:12:26
2007,2204,Biomedical Engineering,1,ER,2025-12-01 19:12:26
2007,2303,Ecology,1,ER,2025-12-01 19:12:26
2007,2308,"Management, Monitoring, Policy and Law",1,ER,2025-12-01 19:12:26
2007,2707,Complementary and alternative medicine,1,ER,2025-12-01 19:12:26
2007,2712,"Endocrinology, Diabetes and Metabolism",1,ER,2025-12-01 19:12:26
2007,2720,Hematology,1,ER,2025-12-01 19:12:26
2007,2737,Physiology,1,ER,2025-12-01 19:12:26
2007,3004,Pharmacology,1,ER,2025-12-01 19:12:26
2007,3600,General Health Professions,1,ER,2025-12-01 19:12:26
2007,3616,Speech and Hearing,1,ER,2025-12-01 19:12:26
2008,2735,"Pediatrics, Perinatology and Child Health",2,ER,2025-12-01 19:12:26
2008,2739,"Public Health, Environmental and Occupational Health",2,ER,2025-12-01 19:12:26
2008,3600,General Health Professions,2,ER,2025-12-01 19:12:26
2008,1110,Plant Science,1,ER,2025-12-01 19:12:26
2008,1311,Genetics,1,ER,2025-12-01 19:12:26
2008,2405,Parasitology,1,ER,2025-12-01 19:12:26
2008,2916,Nutrition and Dietetics,1,ER,2025-12-01 19:12:26
2009,2739,"Public Health, Environmental and Occupational Health",2,ER,2025-12-01 19:12:26
2009,2405,Parasitology,1,ER,2025-12-01 19:12:26
2009,2725,Infectious Diseases,1,ER,2025-12-01 19:12:26
2009,2735,"Pediatrics, Perinatology and Child Health",1,ER,2025-12-01 19:12:26
2009,3306,Health,1,ER,2025-12-01 19:12:26
2009,3600,General Health Professions,1,ER,2025-12-01 19:12:26
2009,3604,Emergency Medical Services,1,ER,2025-12-01 19:12:26
2010,2735,"Pediatrics, Perinatology and Child Health",14,ER,2025-12-01 19:12:26
2010,3600,General Health Professions,7,ER,2025-12-01 19:12:26
2010,2725,Infectious Diseases,5,ER,2025-12-01 19:12:26
2010,2739,"Public Health, Environmental and Occupational Health",5,ER,2025-12-01 19:12:26
2010,2746,Surgery,4,ER,2025-12-01 19:12:26
2010,2916,Nutrition and Dietetics,4,ER,2025-12-01 19:12:26
2010,2002,Economics and Econometrics,3,ER,2025-12-01 19:12:26
2010,3203,Clinical Psychology,3,ER,2025-12-01 19:12:26
2010,2705,Cardiology and Cardiovascular Medicine,2,ER,2025-12-01 19:12:26
2010,2729,Obstetrics and Gynecology,2,ER,2025-12-01 19:12:26
