year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,333,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,265,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,187,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,180,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,173,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10913,Molecular Junctions and Nanostructures,172,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10232,Optical Network Technologies,167,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10212,Electrochemical sensors and biosensors,165,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,163,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T11472,Analytical Chemistry and Sensors,155,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,150,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,142,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10767,Advanced Photonic Communication Systems,129,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10175,Advanced DC-DC Converters,127,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,125,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10461,Gas Sensing Nanomaterials and Sensors,124,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,115,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T11434,Electrochemical Analysis and Applications,115,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10363,Low-power high-performance VLSI design,114,ES,2025-11-25 22:16:53
2005,2208,Electrical and Electronic Engineering,T10205,Advanced Fiber Optic Sensors,112,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10192,Catalytic Processes in Materials Science,344,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10735,Mesoporous Materials and Catalysis,190,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10474,Material Dynamics and Properties,177,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T11825,Catalysis and Oxidation Reactions,171,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10612,Magnetism in coordination complexes,137,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T11279,Lanthanide and Transition Metal Complexes,134,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10903,Porphyrin and Phthalocyanine Chemistry,131,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10353,Zeolite Catalysis and Synthesis,110,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10090,ZnO doping and properties,104,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T12358,Thermal and Kinetic Analysis,102,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T11162,Enzyme Structure and Function,101,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T12588,Electronic and Structural Properties of Oxides,99,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T11169,Silicon Nanostructures and Photoluminescence,97,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10478,Diamond and Carbon-based Materials Research,94,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10083,Graphene research and applications,91,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10097,Luminescence Properties of Advanced Materials,88,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T11286,Polyoxometalates: Synthesis and Applications,88,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10107,Ferroelectric and Piezoelectric Materials,86,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10074,Carbon Nanotubes in Composites,85,ES,2025-11-25 22:16:53
2005,2505,Materials Chemistry,T10310,Corrosion Behavior and Inhibition,83,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,237,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T10402,Phase Equilibria and Thermodynamics,216,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,157,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,136,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T10962,Thermodynamic properties of mixtures,109,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,105,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T11472,Analytical Chemistry and Sensors,105,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T10908,Analytical Chemistry and Chromatography,99,ES,2025-11-25 22:16:53
2005,2204,Biomedical Engineering,T12852,Chemical Thermodynamics and Molecular Structure,94,ES,2025-11-25 22:16:53
