year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,5322,ES,2025-12-03 12:03:21
2005,2208,Electrical and Electronic Engineering,3882,ES,2025-12-03 12:03:21
2005,2746,Surgery,3755,ES,2025-12-03 12:03:21
2005,2505,Materials Chemistry,2854,ES,2025-12-03 12:03:21
2005,2204,Biomedical Engineering,2593,ES,2025-12-03 12:03:21
2005,2713,Epidemiology,2577,ES,2025-12-03 12:03:21
2005,2740,Pulmonary and Respiratory Medicine,2462,ES,2025-12-03 12:03:21
2005,1110,Plant Science,2171,ES,2025-12-03 12:03:21
2005,2739,"Public Health, Environmental and Occupational Health",1790,ES,2025-12-03 12:03:21
2005,3312,Sociology and Political Science,1505,ES,2025-12-03 12:03:21
2005,3107,"Atomic and Molecular Physics, and Optics",1154,ES,2025-12-03 12:03:21
2005,2730,Oncology,1046,ES,2025-12-03 12:03:21
2005,2705,Cardiology and Cardiovascular Medicine,971,ES,2025-12-03 12:03:21
2005,1605,Organic Chemistry,936,ES,2025-12-03 12:03:21
2005,1311,Genetics,908,ES,2025-12-03 12:03:21
2005,2737,Physiology,783,ES,2025-12-03 12:03:21
2005,2725,Infectious Diseases,659,ES,2025-12-03 12:03:21
2005,2210,Mechanical Engineering,655,ES,2025-12-03 12:03:21
2005,2504,"Electronic, Optical and Magnetic Materials",630,ES,2025-12-03 12:03:21
2005,1705,Computer Networks and Communications,565,ES,2025-12-03 12:03:21
2005,2741,"Radiology, Nuclear Medicine and Imaging",551,ES,2025-12-03 12:03:21
2005,2745,Rheumatology,545,ES,2025-12-03 12:03:21
2005,2804,Cellular and Molecular Neuroscience,502,ES,2025-12-03 12:03:21
2005,1307,Cell Biology,489,ES,2025-12-03 12:03:21
2005,1106,Food Science,483,ES,2025-12-03 12:03:21
2005,2734,Pathology and Forensic Medicine,460,ES,2025-12-03 12:03:21
2005,2721,Hepatology,428,ES,2025-12-03 12:03:21
2005,2712,"Endocrinology, Diabetes and Metabolism",426,ES,2025-12-03 12:03:21
2005,2736,Pharmacology,421,ES,2025-12-03 12:03:21
2005,1607,Spectroscopy,411,ES,2025-12-03 12:03:21
2005,1604,Inorganic Chemistry,368,ES,2025-12-03 12:03:21
2005,1306,Cancer Research,353,ES,2025-12-03 12:03:21
2005,2403,Immunology,346,ES,2025-12-03 12:03:21
2005,2916,Nutrition and Dietetics,322,ES,2025-12-03 12:03:21
2005,2728,Neurology,318,ES,2025-12-03 12:03:21
2005,2735,"Pediatrics, Perinatology and Child Health",316,ES,2025-12-03 12:03:21
2005,3600,General Health Professions,312,ES,2025-12-03 12:03:21
2005,2202,Aerospace Engineering,296,ES,2025-12-03 12:03:21
2005,1105,"Ecology, Evolution, Behavior and Systematics",292,ES,2025-12-03 12:03:21
2005,2211,Mechanics of Materials,287,ES,2025-12-03 12:03:21
2005,3320,Political Science and International Relations,286,ES,2025-12-03 12:03:21
2005,2303,Ecology,279,ES,2025-12-03 12:03:21
2005,3104,Condensed Matter Physics,278,ES,2025-12-03 12:03:21
2005,2507,Polymers and Plastics,277,ES,2025-12-03 12:03:21
2005,1702,Artificial Intelligence,270,ES,2025-12-03 12:03:21
2005,2207,Control and Systems Engineering,269,ES,2025-12-03 12:03:21
2005,2206,Computational Mechanics,267,ES,2025-12-03 12:03:21
2005,1503,Catalysis,246,ES,2025-12-03 12:03:21
2005,2105,"Renewable Energy, Sustainability and the Environment",237,ES,2025-12-03 12:03:21
2005,1502,Bioengineering,236,ES,2025-12-03 12:03:21
2005,2711,Emergency Medicine,231,ES,2025-12-03 12:03:21
2005,2002,Economics and Econometrics,225,ES,2025-12-03 12:03:21
2005,2720,Hematology,220,ES,2025-12-03 12:03:21
2005,2704,Biochemistry,219,ES,2025-12-03 12:03:21
2005,1305,Biotechnology,214,ES,2025-12-03 12:03:21
2005,2708,Dermatology,212,ES,2025-12-03 12:03:21
2005,1303,Biochemistry,204,ES,2025-12-03 12:03:21
2005,2743,Reproductive Medicine,199,ES,2025-12-03 12:03:21
2005,1602,Analytical Chemistry,194,ES,2025-12-03 12:03:21
2005,1703,Computational Theory and Mathematics,188,ES,2025-12-03 12:03:21
2005,2716,Genetics,187,ES,2025-12-03 12:03:21
2005,1606,Physical and Theoretical Chemistry,186,ES,2025-12-03 12:03:21
2005,2502,Biomaterials,186,ES,2025-12-03 12:03:21
2005,1109,Insect Science,183,ES,2025-12-03 12:03:21
2005,1507,Fluid Flow and Transfer Processes,183,ES,2025-12-03 12:03:21
2005,2748,Urology,178,ES,2025-12-03 12:03:21
2005,2715,Gastroenterology,173,ES,2025-12-03 12:03:21
2005,2727,Nephrology,167,ES,2025-12-03 12:03:21
2005,2747,Transplantation,166,ES,2025-12-03 12:03:21
2005,1308,Clinical Biochemistry,164,ES,2025-12-03 12:03:21
2005,2309,Nature and Landscape Conservation,164,ES,2025-12-03 12:03:21
2005,1603,Electrochemistry,163,ES,2025-12-03 12:03:21
2005,2738,Psychiatry and Mental health,160,ES,2025-12-03 12:03:21
2005,1707,Computer Vision and Pattern Recognition,155,ES,2025-12-03 12:03:21
2005,2731,Ophthalmology,148,ES,2025-12-03 12:03:21
2005,1103,Animal Science and Zoology,142,ES,2025-12-03 12:03:21
2005,2503,Ceramics and Composites,141,ES,2025-12-03 12:03:21
2005,2404,Microbiology,139,ES,2025-12-03 12:03:21
2005,1708,Hardware and Architecture,135,ES,2025-12-03 12:03:21
2005,2312,Water Science and Technology,135,ES,2025-12-03 12:03:21
2005,2508,"Surfaces, Coatings and Films",134,ES,2025-12-03 12:03:21
2005,3300,General Social Sciences,132,ES,2025-12-03 12:03:21
2005,2805,Cognitive Neuroscience,131,ES,2025-12-03 12:03:21
2005,3203,Clinical Psychology,131,ES,2025-12-03 12:03:21
2005,3304,Education,131,ES,2025-12-03 12:03:21
2005,2807,Endocrine and Autonomic Systems,129,ES,2025-12-03 12:03:21
2005,2306,Global and Planetary Change,128,ES,2025-12-03 12:03:21
2005,2706,Critical Care and Intensive Care Medicine,128,ES,2025-12-03 12:03:21
2005,2732,Orthopedics and Sports Medicine,128,ES,2025-12-03 12:03:21
2005,1902,Atmospheric Science,123,ES,2025-12-03 12:03:21
2005,2307,"Health, Toxicology and Mutagenesis",123,ES,2025-12-03 12:03:21
2005,1407,Organizational Behavior and Human Resource Management,121,ES,2025-12-03 12:03:21
2005,2703,Anesthesiology and Pain Medicine,121,ES,2025-12-03 12:03:21
2005,1310,Endocrinology,118,ES,2025-12-03 12:03:21
2005,1102,Agronomy and Crop Science,117,ES,2025-12-03 12:03:21
2005,3109,Statistical and Nonlinear Physics,116,ES,2025-12-03 12:03:21
2005,2205,Civil and Structural Engineering,115,ES,2025-12-03 12:03:21
2005,3108,Radiation,115,ES,2025-12-03 12:03:21
2005,3404,Small Animals,112,ES,2025-12-03 12:03:21
2005,2406,Virology,106,ES,2025-12-03 12:03:21
2005,3611,Pharmacy,104,ES,2025-12-03 12:03:21
2005,3207,Social Psychology,103,ES,2025-12-03 12:03:21
2005,2310,Pollution,102,ES,2025-12-03 12:03:21
2005,2723,Immunology and Allergy,98,ES,2025-12-03 12:03:21
2005,3103,Astronomy and Astrophysics,95,ES,2025-12-03 12:03:21
2005,3504,Oral Surgery,95,ES,2025-12-03 12:03:21
2005,3604,Emergency Medical Services,95,ES,2025-12-03 12:03:21
2005,3308,Law,92,ES,2025-12-03 12:03:21
2005,2405,Parasitology,91,ES,2025-12-03 12:03:21
2005,2729,Obstetrics and Gynecology,91,ES,2025-12-03 12:03:21
2005,2724,Internal Medicine,88,ES,2025-12-03 12:03:21
2005,2311,Industrial and Manufacturing Engineering,87,ES,2025-12-03 12:03:21
2005,3306,Health,87,ES,2025-12-03 12:03:21
2005,1710,Information Systems,86,ES,2025-12-03 12:03:21
2005,1711,Signal Processing,84,ES,2025-12-03 12:03:21
2005,3004,Pharmacology,80,ES,2025-12-03 12:03:21
2005,3316,Cultural Studies,80,ES,2025-12-03 12:03:21
2005,3106,Nuclear and High Energy Physics,79,ES,2025-12-03 12:03:21
2005,2733,Otorhinolaryngology,78,ES,2025-12-03 12:03:21
2005,3317,Demography,78,ES,2025-12-03 12:03:21
2005,1313,Molecular Medicine,77,ES,2025-12-03 12:03:21
2005,2808,Neurology,77,ES,2025-12-03 12:03:21
2005,1111,Soil Science,76,ES,2025-12-03 12:03:21
2005,1908,Geophysics,76,ES,2025-12-03 12:03:21
2005,3616,Speech and Hearing,73,ES,2025-12-03 12:03:21
2005,2214,Media Technology,72,ES,2025-12-03 12:03:21
2005,2308,"Management, Monitoring, Policy and Law",71,ES,2025-12-03 12:03:21
2005,1304,Biophysics,69,ES,2025-12-03 12:03:21
2005,1314,Physiology,69,ES,2025-12-03 12:03:21
2005,2742,Rehabilitation,67,ES,2025-12-03 12:03:21
2005,3311,Safety Research,66,ES,2025-12-03 12:03:21
2005,3318,Gender Studies,64,ES,2025-12-03 12:03:21
2005,2213,"Safety, Risk, Reliability and Quality",62,ES,2025-12-03 12:03:21
2005,2212,Ocean Engineering,61,ES,2025-12-03 12:03:21
2005,1202,History,60,ES,2025-12-03 12:03:21
2005,2304,Environmental Chemistry,60,ES,2025-12-03 12:03:21
2005,1204,Archeology,57,ES,2025-12-03 12:03:21
2005,1208,Literature and Literary Theory,57,ES,2025-12-03 12:03:21
2005,2203,Automotive Engineering,57,ES,2025-12-03 12:03:21
2005,3003,Pharmaceutical Science,51,ES,2025-12-03 12:03:21
