year,id,name,works_count,country,fetch_date
2005,1110,Plant Science,73,ET,2025-11-28 17:30:22
2005,2713,Epidemiology,48,ET,2025-11-28 17:30:22
2005,2739,"Public Health, Environmental and Occupational Health",41,ET,2025-11-28 17:30:22
2005,2746,Surgery,37,ET,2025-11-28 17:30:22
2005,2725,Infectious Diseases,35,ET,2025-11-28 17:30:22
2005,2308,"Management, Monitoring, Policy and Law",29,ET,2025-11-28 17:30:22
2005,1111,Soil Science,26,ET,2025-11-28 17:30:22
2005,2735,"Pediatrics, Perinatology and Child Health",24,ET,2025-11-28 17:30:22
2005,1312,Molecular Biology,22,ET,2025-11-28 17:30:22
2005,1102,Agronomy and Crop Science,20,ET,2025-11-28 17:30:22
2005,2916,Nutrition and Dietetics,20,ET,2025-11-28 17:30:22
2005,3600,General Health Professions,16,ET,2025-11-28 17:30:22
2005,1106,Food Science,15,ET,2025-11-28 17:30:22
2005,2740,Pulmonary and Respiratory Medicine,14,ET,2025-11-28 17:30:22
2005,1105,"Ecology, Evolution, Behavior and Systematics",12,ET,2025-11-28 17:30:22
2005,2736,Pharmacology,12,ET,2025-11-28 17:30:22
2005,1311,Genetics,11,ET,2025-11-28 17:30:22
2005,2303,Ecology,10,ET,2025-11-28 17:30:22
2005,2406,Virology,10,ET,2025-11-28 17:30:22
2005,1107,Forestry,9,ET,2025-11-28 17:30:22
2005,2403,Immunology,9,ET,2025-11-28 17:30:22
2005,2404,Microbiology,8,ET,2025-11-28 17:30:22
2005,2737,Physiology,8,ET,2025-11-28 17:30:22
2005,3004,Pharmacology,8,ET,2025-11-28 17:30:22
2005,3312,Sociology and Political Science,8,ET,2025-11-28 17:30:22
2005,1100,General Agricultural and Biological Sciences,6,ET,2025-11-28 17:30:22
2005,1307,Cell Biology,6,ET,2025-11-28 17:30:22
2005,2405,Parasitology,6,ET,2025-11-28 17:30:22
2005,2734,Pathology and Forensic Medicine,6,ET,2025-11-28 17:30:22
2005,1103,Animal Science and Zoology,5,ET,2025-11-28 17:30:22
2005,2729,Obstetrics and Gynecology,5,ET,2025-11-28 17:30:22
2005,3311,Safety Research,5,ET,2025-11-28 17:30:22
2005,1109,Insect Science,4,ET,2025-11-28 17:30:22
2005,1308,Clinical Biochemistry,4,ET,2025-11-28 17:30:22
2005,1904,Earth-Surface Processes,4,ET,2025-11-28 17:30:22
2005,2502,Biomaterials,4,ET,2025-11-28 17:30:22
2005,2705,Cardiology and Cardiovascular Medicine,4,ET,2025-11-28 17:30:22
2005,2711,Emergency Medicine,4,ET,2025-11-28 17:30:22
2005,2712,"Endocrinology, Diabetes and Metabolism",4,ET,2025-11-28 17:30:22
2005,2730,Oncology,4,ET,2025-11-28 17:30:22
2005,2741,"Radiology, Nuclear Medicine and Imaging",4,ET,2025-11-28 17:30:22
2005,2743,Reproductive Medicine,4,ET,2025-11-28 17:30:22
2005,2745,Rheumatology,4,ET,2025-11-28 17:30:22
2005,2807,Endocrine and Autonomic Systems,4,ET,2025-11-28 17:30:22
2005,3320,Political Science and International Relations,4,ET,2025-11-28 17:30:22
2005,3604,Emergency Medical Services,4,ET,2025-11-28 17:30:22
2005,2002,Economics and Econometrics,3,ET,2025-11-28 17:30:22
2005,2304,Environmental Chemistry,3,ET,2025-11-28 17:30:22
2005,2312,Water Science and Technology,3,ET,2025-11-28 17:30:22
2005,2703,Anesthesiology and Pain Medicine,3,ET,2025-11-28 17:30:22
2005,2707,Complementary and alternative medicine,3,ET,2025-11-28 17:30:22
2005,2720,Hematology,3,ET,2025-11-28 17:30:22
2005,2721,Hepatology,3,ET,2025-11-28 17:30:22
2005,3404,Small Animals,3,ET,2025-11-28 17:30:22
2005,1306,Cancer Research,2,ET,2025-11-28 17:30:22
2005,1602,Analytical Chemistry,2,ET,2025-11-28 17:30:22
2005,2210,Mechanical Engineering,2,ET,2025-11-28 17:30:22
2005,2306,Global and Planetary Change,2,ET,2025-11-28 17:30:22
2005,2309,Nature and Landscape Conservation,2,ET,2025-11-28 17:30:22
2005,2728,Neurology,2,ET,2025-11-28 17:30:22
2005,2738,Psychiatry and Mental health,2,ET,2025-11-28 17:30:22
2005,2911,Leadership and Management,2,ET,2025-11-28 17:30:22
2005,3003,Pharmaceutical Science,2,ET,2025-11-28 17:30:22
2005,3318,Gender Studies,2,ET,2025-11-28 17:30:22
2005,3605,Health Information Management,2,ET,2025-11-28 17:30:22
2005,1304,Biophysics,1,ET,2025-11-28 17:30:22
2005,1305,Biotechnology,1,ET,2025-11-28 17:30:22
2005,1310,Endocrinology,1,ET,2025-11-28 17:30:22
2005,1504,Chemical Health and Safety,1,ET,2025-11-28 17:30:22
2005,1803,Management Science and Operations Research,1,ET,2025-11-28 17:30:22
2005,1910,Oceanography,1,ET,2025-11-28 17:30:22
2005,2003,Finance,1,ET,2025-11-28 17:30:22
2005,2204,Biomedical Engineering,1,ET,2025-11-28 17:30:22
2005,2205,Civil and Structural Engineering,1,ET,2025-11-28 17:30:22
2005,2211,Mechanics of Materials,1,ET,2025-11-28 17:30:22
2005,2307,"Health, Toxicology and Mutagenesis",1,ET,2025-11-28 17:30:22
