year,subfield_id,subfield_name,id,name,works_count,country,fetch_date
2005,2208,Electrical and Electronic Engineering,T10575,Wireless Communication Networks Research,198,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10125,Advanced Wireless Communication Techniques,169,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10472,Semiconductor materials and devices,114,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T11409,Advanced Wireless Network Optimization,86,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10651,"IPv6, Mobility, Handover, Networks, Security",68,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10148,Advanced MIMO Systems Optimization,60,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T11429,Semiconductor Lasers and Optical Devices,60,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10299,Photonic and Optical Devices,53,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10187,Radio Frequency Integrated Circuit Design,49,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T12146,Power Line Communications and Noise,49,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T11444,Electromagnetic Compatibility and Noise Suppression,45,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10323,Analog and Mixed-Signal Circuit Design,41,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10262,Microwave Engineering and Waveguides,40,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T14117,Integrated Circuits and Semiconductor Failure Analysis,39,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10558,Advancements in Semiconductor Devices and Circuit Design,38,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10138,Network Traffic and Congestion Control,36,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10988,Advanced Fiber Laser Technologies,36,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T11873,PAPR reduction in OFDM,36,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T11527,3D IC and TSV technologies,33,FI,2025-11-25 22:49:17
2005,2208,Electrical and Electronic Engineering,T10045,Organic Electronics and Photovoltaics,32,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10323,Analog and Mixed-Signal Circuit Design,54,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10059,Bone Tissue Engineering Materials,41,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11196,Non-Invasive Vital Sign Monitoring,38,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10088,Thermochemical Biomass Conversion Processes,36,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T12015,Photoacoustic and Ultrasonic Imaging,35,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10977,Optical Imaging and Spectroscopy Techniques,31,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10171,Biofuel production and bioconversion,26,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10412,Microfluidic and Capillary Electrophoresis Applications,26,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11667,Advanced Chemical Sensor Technologies,26,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11160,Acoustic Wave Resonator Technologies,25,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11208,Lignin and Wood Chemistry,23,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T12386,Advanced X-ray and CT Imaging,22,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10338,Advanced Sensor and Energy Harvesting Materials,21,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10784,Muscle activation and electromyography studies,21,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11808,Superconducting Materials and Applications,21,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T10745,Heart Rate Variability and Autonomic Control,20,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11009,Catalysis for Biomass Conversion,20,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11301,Advanced Surface Polishing Techniques,20,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11018,Lower Extremity Biomechanics and Pathologies,18,FI,2025-11-25 22:49:17
2005,2204,Biomedical Engineering,T11417,Advancements in PLL and VCO Technologies,18,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10575,Wireless Communication Networks Research,222,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10125,Advanced Wireless Communication Techniques,141,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T11409,Advanced Wireless Network Optimization,81,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10651,"IPv6, Mobility, Handover, Networks, Security",62,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10829,Interconnection Networks and Systems,54,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T12203,Mobile Agent-Based Network Management,54,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10148,Advanced MIMO Systems Optimization,51,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10138,Network Traffic and Congestion Control,50,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T11158,Wireless Networks and Protocols,50,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10904,Embedded Systems Design Techniques,49,FI,2025-11-25 22:49:17
2005,1705,Computer Networks and Communications,T10796,Cooperative Communication and Network Coding,44,FI,2025-11-25 22:49:17
