year,id,name,works_count,country,fetch_date
2005,1312,Molecular Biology,1353,FI,2025-12-01 18:47:25
2005,2208,Electrical and Electronic Engineering,1249,FI,2025-12-01 18:47:25
2005,2746,Surgery,690,FI,2025-12-01 18:47:25
2005,2204,Biomedical Engineering,680,FI,2025-12-01 18:47:25
2005,1702,Artificial Intelligence,634,FI,2025-12-01 18:47:25
2005,1311,Genetics,584,FI,2025-12-01 18:47:25
2005,2505,Materials Chemistry,527,FI,2025-12-01 18:47:25
2005,2713,Epidemiology,479,FI,2025-12-01 18:47:25
2005,1705,Computer Networks and Communications,429,FI,2025-12-01 18:47:25
2005,3312,Sociology and Political Science,406,FI,2025-12-01 18:47:25
2005,3107,"Atomic and Molecular Physics, and Optics",267,FI,2025-12-01 18:47:25
2005,3304,Education,248,FI,2025-12-01 18:47:25
2005,2730,Oncology,205,FI,2025-12-01 18:47:25
2005,2705,Cardiology and Cardiovascular Medicine,172,FI,2025-12-01 18:47:25
2005,2712,"Endocrinology, Diabetes and Metabolism",160,FI,2025-12-01 18:47:25
2005,2740,Pulmonary and Respiratory Medicine,160,FI,2025-12-01 18:47:25
2005,2734,Pathology and Forensic Medicine,143,FI,2025-12-01 18:47:25
2005,2741,"Radiology, Nuclear Medicine and Imaging",143,FI,2025-12-01 18:47:25
2005,2210,Mechanical Engineering,140,FI,2025-12-01 18:47:25
2005,1703,Computational Theory and Mathematics,138,FI,2025-12-01 18:47:25
2005,1710,Information Systems,136,FI,2025-12-01 18:47:25
2005,2804,Cellular and Molecular Neuroscience,135,FI,2025-12-01 18:47:25
2005,2737,Physiology,133,FI,2025-12-01 18:47:25
2005,1711,Signal Processing,131,FI,2025-12-01 18:47:25
2005,2739,"Public Health, Environmental and Occupational Health",116,FI,2025-12-01 18:47:25
2005,1707,Computer Vision and Pattern Recognition,113,FI,2025-12-01 18:47:25
2005,2202,Aerospace Engineering,113,FI,2025-12-01 18:47:25
2005,2207,Control and Systems Engineering,113,FI,2025-12-01 18:47:25
2005,1307,Cell Biology,111,FI,2025-12-01 18:47:25
2005,2403,Immunology,98,FI,2025-12-01 18:47:25
2005,1110,Plant Science,97,FI,2025-12-01 18:47:25
2005,2206,Computational Mechanics,97,FI,2025-12-01 18:47:25
2005,1605,Organic Chemistry,95,FI,2025-12-01 18:47:25
2005,1306,Cancer Research,93,FI,2025-12-01 18:47:25
2005,2211,Mechanics of Materials,93,FI,2025-12-01 18:47:25
2005,2303,Ecology,90,FI,2025-12-01 18:47:25
2005,1607,Spectroscopy,85,FI,2025-12-01 18:47:25
2005,2504,"Electronic, Optical and Magnetic Materials",84,FI,2025-12-01 18:47:25
2005,2916,Nutrition and Dietetics,84,FI,2025-12-01 18:47:25
2005,2732,Orthopedics and Sports Medicine,81,FI,2025-12-01 18:47:25
2005,1105,"Ecology, Evolution, Behavior and Systematics",74,FI,2025-12-01 18:47:25
2005,2745,Rheumatology,67,FI,2025-12-01 18:47:25
2005,2725,Infectious Diseases,66,FI,2025-12-01 18:47:25
2005,1708,Hardware and Architecture,64,FI,2025-12-01 18:47:25
2005,3106,Nuclear and High Energy Physics,62,FI,2025-12-01 18:47:25
2005,1604,Inorganic Chemistry,61,FI,2025-12-01 18:47:25
2005,1106,Food Science,60,FI,2025-12-01 18:47:25
2005,3103,Astronomy and Astrophysics,60,FI,2025-12-01 18:47:25
2005,3204,Developmental and Educational Psychology,59,FI,2025-12-01 18:47:25
2005,2736,Pharmacology,53,FI,2025-12-01 18:47:25
2005,3104,Condensed Matter Physics,53,FI,2025-12-01 18:47:25
2005,2715,Gastroenterology,52,FI,2025-12-01 18:47:25
2005,3320,Political Science and International Relations,52,FI,2025-12-01 18:47:25
2005,3203,Clinical Psychology,47,FI,2025-12-01 18:47:25
2005,3207,Social Psychology,46,FI,2025-12-01 18:47:25
2005,2507,Polymers and Plastics,45,FI,2025-12-01 18:47:25
2005,2723,Immunology and Allergy,44,FI,2025-12-01 18:47:25
2005,2743,Reproductive Medicine,44,FI,2025-12-01 18:47:25
2005,1503,Catalysis,43,FI,2025-12-01 18:47:25
2005,2728,Neurology,43,FI,2025-12-01 18:47:25
2005,2805,Cognitive Neuroscience,43,FI,2025-12-01 18:47:25
2005,3600,General Health Professions,43,FI,2025-12-01 18:47:25
2005,1908,Geophysics,42,FI,2025-12-01 18:47:25
2005,2735,"Pediatrics, Perinatology and Child Health",42,FI,2025-12-01 18:47:25
2005,1712,Software,40,FI,2025-12-01 18:47:25
2005,2404,Microbiology,40,FI,2025-12-01 18:47:25
2005,1305,Biotechnology,39,FI,2025-12-01 18:47:25
2005,2738,Psychiatry and Mental health,39,FI,2025-12-01 18:47:25
2005,1709,Human-Computer Interaction,37,FI,2025-12-01 18:47:25
2005,2002,Economics and Econometrics,37,FI,2025-12-01 18:47:25
2005,2508,"Surfaces, Coatings and Films",37,FI,2025-12-01 18:47:25
2005,1404,Management Information Systems,35,FI,2025-12-01 18:47:25
2005,1803,Management Science and Operations Research,35,FI,2025-12-01 18:47:25
2005,1303,Biochemistry,34,FI,2025-12-01 18:47:25
2005,3108,Radiation,34,FI,2025-12-01 18:47:25
2005,1308,Clinical Biochemistry,33,FI,2025-12-01 18:47:25
2005,2105,"Renewable Energy, Sustainability and the Environment",33,FI,2025-12-01 18:47:25
2005,2213,"Safety, Risk, Reliability and Quality",33,FI,2025-12-01 18:47:25
2005,1502,Bioengineering,32,FI,2025-12-01 18:47:25
2005,2711,Emergency Medicine,32,FI,2025-12-01 18:47:25
2005,2502,Biomaterials,30,FI,2025-12-01 18:47:25
2005,3504,Oral Surgery,30,FI,2025-12-01 18:47:25
2005,1407,Organizational Behavior and Human Resource Management,28,FI,2025-12-01 18:47:25
2005,1603,Electrochemistry,28,FI,2025-12-01 18:47:25
2005,1606,Physical and Theoretical Chemistry,28,FI,2025-12-01 18:47:25
2005,2720,Hematology,28,FI,2025-12-01 18:47:25
2005,2731,Ophthalmology,28,FI,2025-12-01 18:47:25
2005,1802,Information Systems and Management,27,FI,2025-12-01 18:47:25
2005,2309,Nature and Landscape Conservation,27,FI,2025-12-01 18:47:25
2005,2733,Otorhinolaryngology,27,FI,2025-12-01 18:47:25
2005,2748,Urology,27,FI,2025-12-01 18:47:25
2005,2807,Endocrine and Autonomic Systems,27,FI,2025-12-01 18:47:25
2005,1109,Insect Science,26,FI,2025-12-01 18:47:25
2005,3318,Gender Studies,26,FI,2025-12-01 18:47:25
2005,2214,Media Technology,25,FI,2025-12-01 18:47:25
2005,2307,"Health, Toxicology and Mutagenesis",25,FI,2025-12-01 18:47:25
2005,2312,Water Science and Technology,25,FI,2025-12-01 18:47:25
2005,3004,Pharmacology,25,FI,2025-12-01 18:47:25
2005,2742,Rehabilitation,24,FI,2025-12-01 18:47:25
2005,3315,Communication,24,FI,2025-12-01 18:47:25
2005,1902,Atmospheric Science,23,FI,2025-12-01 18:47:25
2005,2808,Neurology,23,FI,2025-12-01 18:47:25
2005,3109,Statistical and Nonlinear Physics,23,FI,2025-12-01 18:47:25
2005,3205,Experimental and Cognitive Psychology,23,FI,2025-12-01 18:47:25
2005,1304,Biophysics,22,FI,2025-12-01 18:47:25
2005,1906,Geochemistry and Petrology,22,FI,2025-12-01 18:47:25
2005,2703,Anesthesiology and Pain Medicine,22,FI,2025-12-01 18:47:25
2005,2203,Automotive Engineering,21,FI,2025-12-01 18:47:25
2005,2613,Statistics and Probability,21,FI,2025-12-01 18:47:25
2005,2721,Hepatology,20,FI,2025-12-01 18:47:25
2005,1103,Animal Science and Zoology,19,FI,2025-12-01 18:47:25
2005,1203,Language and Linguistics,19,FI,2025-12-01 18:47:25
2005,2729,Obstetrics and Gynecology,19,FI,2025-12-01 18:47:25
2005,1602,Analytical Chemistry,18,FI,2025-12-01 18:47:25
2005,1706,Computer Science Applications,18,FI,2025-12-01 18:47:25
2005,2212,Ocean Engineering,18,FI,2025-12-01 18:47:25
2005,2610,Mathematical Physics,18,FI,2025-12-01 18:47:25
2005,2704,Biochemistry,18,FI,2025-12-01 18:47:25
2005,3404,Small Animals,18,FI,2025-12-01 18:47:25
