subfield_id,subfield_name,title,doi,year,cited_by_count,id
3312,Sociology and Political Science,"Intimate partner violence, abortion, and unintended pregnancy: Results from the WHO Multi‐country Study on Women's Health and Domestic Violence",https://doi.org/10.1016/j.ijgo.2012.07.003,2012,402,https://openalex.org/W2147475641
3312,Sociology and Political Science,Tourism-led growth hypothesis in the top ten tourist destinations: New evidence using the quantile-on-quantile approach,https://doi.org/10.1016/j.tourman.2016.12.006,2016,343,https://openalex.org/W2566501962
3312,Sociology and Political Science,Beyond social exchange theory,https://doi.org/10.1016/j.annals.2011.02.005,2011,321,https://openalex.org/W153970401
3312,Sociology and Political Science,Pro-poor Tourism: a critique,https://doi.org/10.1080/01436590802105983,2008,309,https://openalex.org/W2125794055
3312,Sociology and Political Science,Change in mean temperature as a predictor of extreme temperature change in the Asia–Pacific region,https://doi.org/10.1002/joc.1194,2005,241,https://openalex.org/W2156652283
3312,Sociology and Political Science,Tourism and Economic Growth: A Panel Data Analysis for Pacific Island Countries,https://doi.org/10.5367/000000010790872006,2010,238,https://openalex.org/W2014554663
3312,Sociology and Political Science,An assessment of community-based adaptation initiatives in the Pacific Islands,https://doi.org/10.1038/s41558-020-0813-1,2020,221,https://openalex.org/W3037062522
3312,Sociology and Political Science,"Motivations, emotions and satisfaction: The keys to a tourism destination choice",https://doi.org/10.1016/j.jdmm.2018.12.006,2019,218,https://openalex.org/W2912534287
3312,Sociology and Political Science,"Small islands, valuable insights: systems of customary resource use and resilience to climate change in the Pacific",https://doi.org/10.5751/es-06937-190444,2014,202,https://openalex.org/W2058844845
3312,Sociology and Political Science,Responding to the challenges of climate change in the Pacific Islands: management and technological imperatives,https://doi.org/10.3354/cr00806,2009,197,https://openalex.org/W2021712055
3317,Demography,Pro-poor Tourism: a critique,https://doi.org/10.1080/01436590802105983,2008,309,https://openalex.org/W2125794055
3317,Demography,An assessment of community-based adaptation initiatives in the Pacific Islands,https://doi.org/10.1038/s41558-020-0813-1,2020,221,https://openalex.org/W3037062522
3317,Demography,"Small islands, valuable insights: systems of customary resource use and resilience to climate change in the Pacific",https://doi.org/10.5751/es-06937-190444,2014,202,https://openalex.org/W2058844845
